GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Less than $10,000","Margin of Error; Less than $10,000","Estimate; $10,000 to $14,999","Margin of Error; $10,000 to $14,999","Estimate; $15,000 to $19,999","Margin of Error; $15,000 to $19,999","Estimate; $20,000 to $24,999","Margin of Error; $20,000 to $24,999","Estimate; $25,000 to $29,999","Margin of Error; $25,000 to $29,999","Estimate; $30,000 to $34,999","Margin of Error; $30,000 to $34,999","Estimate; $35,000 to $39,999","Margin of Error; $35,000 to $39,999","Estimate; $40,000 to $44,999","Margin of Error; $40,000 to $44,999","Estimate; $45,000 to $49,999","Margin of Error; $45,000 to $49,999","Estimate; $50,000 to $59,999","Margin of Error; $50,000 to $59,999","Estimate; $60,000 to $74,999","Margin of Error; $60,000 to $74,999","Estimate; $75,000 to $99,999","Margin of Error; $75,000 to $99,999","Estimate; $100,000 to $124,999","Margin of Error; $100,000 to $124,999","Estimate; $125,000 to $149,999","Margin of Error; $125,000 to $149,999","Estimate; $150,000 to $199,999","Margin of Error; $150,000 to $199,999","Estimate; $200,000 or more","Margin of Error; $200,000 or more"
0500000US34001,34001,"Atlantic County, New Jersey",69189,2189,4908,1286,2768,897,2649,787,3620,1040,2401,559,3236,920,3717,961,3531,865,3727,1279,5789,1315,8212,1269,9516,1261,6935,1324,2541,660,3098,838,2541,727
0500000US34003,34003,"Bergen County, New Jersey",238381,3323,10219,2041,9827,1846,8787,1225,8033,1130,7915,1602,9677,1702,9856,1999,8973,1377,9979,1696,15644,1761,21885,2482,30729,2506,25362,2099,17598,2411,18952,1771,24945,2344
0500000US34005,34005,"Burlington County, New Jersey",127200,1779,3078,835,4276,880,4266,890,4400,855,4459,1143,4014,824,5644,1353,5044,1289,4782,844,10448,1320,16944,2065,19794,2115,13563,1314,10527,1333,9075,1304,6886,1028
0500000US34007,34007,"Camden County, New Jersey",128791,2802,5768,1543,6332,1253,5246,1123,5162,1111,5824,1502,4561,1069,7006,1234,4779,1149,5779,1088,12490,1718,14475,1729,18995,2233,11949,1526,7943,1083,6864,1104,5618,1187
0500000US34009,34009,"Cape May County, New Jersey",41061,1690,2383,876,2209,699,1863,657,2629,789,2410,723,1835,618,2865,725,1299,457,1225,437,4590,965,4108,874,5603,1140,3268,644,1358,599,1695,584,1721,601
0500000US34011,34011,"Cumberland County, New Jersey",31070,1280,1639,625,2123,653,1351,361,1491,432,1543,592,1599,609,1708,606,1021,477,1750,550,2897,835,3972,803,3989,1010,2363,721,1313,477,1672,724,639,276
0500000US34013,34013,"Essex County, New Jersey",109788,2605,5574,1597,4304,1019,4328,785,4241,911,3743,985,4242,1061,3419,950,3529,712,2894,832,6736,1469,10473,1904,15987,2157,10704,1734,6271,1025,9310,1341,14033,1774
0500000US34015,34015,"Gloucester County, New Jersey",84470,1969,3193,915,2705,684,3741,1198,3854,1023,3544,871,3377,751,3401,922,3391,732,3398,796,6227,968,10894,1585,14518,1742,10492,1610,5457,1104,4254,833,2024,539
0500000US34017,34017,"Hudson County, New Jersey",92987,2406,6076,1001,5762,1004,6116,1695,4386,1080,2749,738,3908,934,4920,1003,4119,859,2428,798,8193,1689,7906,1978,11872,1474,8538,1466,6176,1582,4870,1148,4968,969
