GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0500000US34003,34003,"Bergen County, New Jersey",12588,2610,6044,1429,1251,676,818,383,1022,585,260,183,216,206,275,332,252,246,232,171,719,419,200,189,308,254,252,258,152,191,87,148,6544,1609,1183,484,949,617,564,432,528,330,126,159,329,294,313,343,701,491,986,561,616,370,169,162,38,76,42,76,0,273
0500000US34005,34005,"Burlington County, New Jersey",9431,2026,4095,1213,453,298,425,216,597,418,176,210,476,322,112,139,184,266,571,553,352,307,474,264,105,135,131,157,39,66,0,273,5336,1542,1038,541,409,238,675,378,80,130,155,176,443,346,206,216,211,330,943,591,537,278,339,288,228,186,38,69,34,59
0500000US34007,34007,"Camden County, New Jersey",9591,2522,4206,1222,509,313,406,370,804,550,338,277,34,59,289,227,231,244,228,222,350,335,202,194,700,506,115,134,0,273,0,273,5385,1686,711,484,1129,750,915,530,463,375,62,119,124,158,615,566,180,177,488,414,399,290,177,195,0,273,122,153,0,273
0500000US34013,34013,"Essex County, New Jersey",14102,2953,6620,1597,1151,612,761,326,646,353,158,159,96,119,364,244,515,479,567,430,672,508,972,465,718,433,0,273,0,273,0,273,7482,1999,1366,732,788,533,885,465,352,241,45,77,522,478,586,403,711,409,373,371,837,407,289,210,454,394,226,234,48,76
0500000US34017,34017,"Hudson County, New Jersey",7996,1859,4250,1453,822,851,158,185,676,532,236,232,48,80,217,191,98,136,70,115,391,346,588,349,297,249,403,332,198,187,48,80,3746,939,662,466,201,195,285,217,207,204,55,91,325,247,303,219,233,266,408,265,189,159,548,394,181,175,71,117,78,127
0500000US34023,34023,"Middlesex County, New Jersey",14697,3221,7702,2115,1427,687,758,418,523,276,302,254,270,216,801,712,323,314,1435,1077,641,349,566,364,343,252,173,176,89,107,51,89,6995,1649,684,389,623,422,1269,796,601,322,132,131,329,233,708,527,300,320,806,385,550,294,580,381,212,340,159,180,42,70
0500000US34025,34025,"Monmouth County, New Jersey",7869,1749,4707,1069,434,273,706,379,293,322,89,97,150,190,322,259,293,197,315,313,468,315,770,418,683,397,125,222,59,73,0,273,3162,1059,432,294,322,285,771,494,213,207,141,172,123,125,198,196,0,273,507,348,189,163,134,151,132,152,0,273,0,273
0500000US34039,34039,"Union County, New Jersey",7508,1637,3724,1058,547,406,246,304,271,237,114,135,0,273,500,300,225,289,159,156,721,474,441,324,323,248,177,205,0,273,0,273,3784,1094,697,416,335,269,351,235,199,161,86,146,466,318,108,136,381,284,322,252,185,160,318,278,336,325,0,273,0,273
0500000US42003,42003,"Allegheny County, Pennsylvania",18660,3763,8924,1741,1615,692,1234,788,1860,715,650,384,426,314,162,140,411,270,218,178,402,309,1017,523,418,347,194,156,317,226,0,240,9736,2516,2247,964,1075,773,1560,849,608,441,409,304,731,560,553,447,272,191,830,466,451,340,367,242,318,209,236,196,79,126
0500000US42091,42091,"Montgomery County, Pennsylvania",14105,3018,7027,1554,1300,557,1615,718,1228,590,524,272,284,200,218,232,211,269,597,486,557,375,52,87,321,166,71,83,49,81,0,240,7078,1842,1708,774,1344,574,905,459,391,360,210,233,852,501,436,344,152,210,478,275,252,202,164,127,95,108,51,84,40,60
0500000US42101,42101,"Philadelphia County, Pennsylvania",23176,3700,11256,2126,1925,949,1404,815,1076,562,682,428,629,405,961,476,554,340,497,372,955,457,1716,954,344,221,327,246,126,150,60,115,11920,2178,2069,788,1157,604,815,528,659,428,710,293,1255,627,1484,652,540,318,1443,590,1080,504,236,173,378,328,94,120,0,240
