GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Less than $10,000","Margin of Error; Less than $10,000","Estimate; $10,000 to $14,999","Margin of Error; $10,000 to $14,999","Estimate; $15,000 to $19,999","Margin of Error; $15,000 to $19,999","Estimate; $20,000 to $24,999","Margin of Error; $20,000 to $24,999","Estimate; $25,000 to $29,999","Margin of Error; $25,000 to $29,999","Estimate; $30,000 to $34,999","Margin of Error; $30,000 to $34,999","Estimate; $35,000 to $39,999","Margin of Error; $35,000 to $39,999","Estimate; $40,000 to $44,999","Margin of Error; $40,000 to $44,999","Estimate; $45,000 to $49,999","Margin of Error; $45,000 to $49,999","Estimate; $50,000 to $59,999","Margin of Error; $50,000 to $59,999","Estimate; $60,000 to $74,999","Margin of Error; $60,000 to $74,999","Estimate; $75,000 to $99,999","Margin of Error; $75,000 to $99,999","Estimate; $100,000 to $124,999","Margin of Error; $100,000 to $124,999","Estimate; $125,000 to $149,999","Margin of Error; $125,000 to $149,999","Estimate; $150,000 to $199,999","Margin of Error; $150,000 to $199,999","Estimate; $200,000 or more","Margin of Error; $200,000 or more"
0500000US34001,34001,"Atlantic County, New Jersey",71634,1834,3992,1126,3049,937,3211,816,4098,973,3464,860,3603,867,2696,764,2905,847,3148,903,6446,1265,8285,1367,10216,1387,6143,1022,5054,953,3186,856,2138,606
0500000US34003,34003,"Bergen County, New Jersey",256290,3376,11057,1951,7956,1443,8903,1527,10215,1657,8936,1656,8121,1424,6977,1490,10287,1456,8284,1569,18758,2289,23297,2267,35546,2819,28106,2893,19949,2174,20689,2347,29209,2101
0500000US34005,34005,"Burlington County, New Jersey",128032,2085,3704,913,3501,889,4584,814,5156,956,4938,1152,5161,1137,5924,1103,5932,1337,5176,891,9902,1428,13941,1432,21180,2148,14517,1721,9392,1249,9010,1190,6014,1171
0500000US34007,34007,"Camden County, New Jersey",133401,2254,5873,1180,4910,973,5555,1097,6318,1201,5178,1100,5557,1102,5367,939,5925,1144,5510,1023,12583,1561,16236,1572,19176,1596,13356,1646,8002,1007,7797,1356,6058,1104
0500000US34009,34009,"Cape May County, New Jersey",42186,2029,2791,945,1667,697,1859,771,2179,862,3169,794,1957,830,2192,775,2716,988,1866,711,3082,779,4640,1014,6348,1089,2467,579,1437,439,2369,631,1447,425
0500000US34011,34011,"Cumberland County, New Jersey",36290,1335,1594,683,2914,855,1678,578,1371,418,1744,645,2226,797,1835,684,1303,417,1931,568,3506,955,4754,1085,5566,1125,2948,771,1702,538,937,364,281,199
0500000US34013,34013,"Essex County, New Jersey",126690,2942,7643,1339,4304,947,5841,1209,4825,1099,4811,1141,3401,1008,4824,864,4847,1083,3977,882,9271,1645,10475,1206,17471,1643,11110,1415,7394,1285,9586,1429,16910,1708
0500000US34015,34015,"Gloucester County, New Jersey",86402,1584,3581,984,2577,751,3245,754,3571,950,2843,765,3632,790,3523,1028,4304,1024,4408,1093,7210,1089,8958,1175,13493,1613,9909,1042,6260,858,5679,1047,3209,721
0500000US34017,34017,"Hudson County, New Jersey",135760,3339,11227,1439,10555,1620,8338,1348,6438,1133,5453,1082,6379,1392,5062,1149,4997,1119,5310,1254,11772,1788,12204,1567,16537,2128,10801,1700,6752,1157,7565,1216,6370,1347
0500000US34019,34019,"Hunterdon County, New Jersey",42999,1177,427,237,791,326,1301,490,1568,713,1380,367,1510,585,1312,586,1437,455,1476,471,2491,642,3841,855,5699,823,5559,893,3126,708,4944,810,6137,834
0500000US34021,34021,"Mercer County, New Jersey",90177,2093,3120,847,4149,1039,2736,851,3151,929,2879,841,3463,1190,3277,941,3698,912,3903,944,7329,1194,9959,1703,12120,1560,9534,1303,6217,1110,7474,1088,7168,1119
0500000US34023,34023,"Middlesex County, New Jersey",178819,2972,8199,1361,7772,1238,6211,1103,5000,858,4722,1026,6909,1154,5691,980,7359,1350,7252,1209,14488,2026,19125,2123,28201,2263,21051,1866,14535,1752,13677,1396,8627,1414
0500000US34025,34025,"Monmouth County, New Jersey",195557,2743,7217,1490,5650,1029,5857,975,7482,1483,7781,1237,5731,1232,5312,1087,7743,1209,5742,999,14579,1752,20023,2000,28658,2273,22782,2006,13357,1526,18402,1523,19241,1815
0500000US34027,34027,"Morris County, New Jersey",149969,2060,4086,957,3530,952,4079,907,3000,789,4504,965,3686,907,4037,964,5911,1043,4514,1047,9046,1259,13316,2004,24034,2108,17099,1571,12862,1501,16269,1649,19996,1744
0500000US34029,34029,"Ocean County, New Jersey",206832,3007,9470,1440,12561,1517,12511,1739,11500,1686,9355,1407,9786,1447,9938,1439,9780,1555,8291,1395,17032,1885,21973,2130,29033,2370,18972,1838,10669,1366,9473,1524,6488,1098
0500000US34031,34031,"Passaic County, New Jersey",98887,2484,6358,1280,4219,911,4224,1085,4779,1133,4219,984,4153,1120,4053,1106,4737,1037,3372,978,6083,1302,11944,1422,12235,1427,10933,1501,6936,1114,5719,1016,4923,1087
0500000US34033,34033,"Salem County, New Jersey",20139,822,983,443,870,310,1054,457,675,320,640,285,749,267,647,291,439,224,1154,448,1689,507,2774,703,4306,723,2321,524,651,282,926,311,261,164
0500000US34035,34035,"Somerset County, New Jersey",89618,1422,2198,719,1887,592,2724,692,2121,667,2950,897,2741,970,2255,743,2883,841,2804,742,4893,1067,9245,1345,13510,1523,11228,1671,8333,1121,7745,1067,12101,1449
0500000US34037,34037,"Sussex County, New Jersey",52267,1255,1466,562,1244,422,1198,577,1775,583,1327,471,1601,489,1427,533,2679,820,1493,518,4410,976,5894,1087,8863,1241,7699,1233,4272,879,3834,826,3085,766
