GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Less than $10,000","Margin of Error; Less than $10,000","Estimate; $10,000 to $14,999","Margin of Error; $10,000 to $14,999","Estimate; $15,000 to $19,999","Margin of Error; $15,000 to $19,999","Estimate; $20,000 to $24,999","Margin of Error; $20,000 to $24,999","Estimate; $25,000 to $29,999","Margin of Error; $25,000 to $29,999","Estimate; $30,000 to $34,999","Margin of Error; $30,000 to $34,999","Estimate; $35,000 to $39,999","Margin of Error; $35,000 to $39,999","Estimate; $40,000 to $44,999","Margin of Error; $40,000 to $44,999","Estimate; $45,000 to $49,999","Margin of Error; $45,000 to $49,999","Estimate; $50,000 to $59,999","Margin of Error; $50,000 to $59,999","Estimate; $60,000 to $74,999","Margin of Error; $60,000 to $74,999","Estimate; $75,000 to $99,999","Margin of Error; $75,000 to $99,999","Estimate; $100,000 to $124,999","Margin of Error; $100,000 to $124,999","Estimate; $125,000 to $149,999","Margin of Error; $125,000 to $149,999","Estimate; $150,000 to $199,999","Margin of Error; $150,000 to $199,999","Estimate; $200,000 or more","Margin of Error; $200,000 or more"
0500000US34001,34001,"Atlantic County, New Jersey",5451,641,222,207,353,294,0,273,414,262,211,150,454,363,238,173,269,206,373,306,685,481,441,270,799,425,590,364,77,96,198,201,127,146
0500000US34003,34003,"Bergen County, New Jersey",41572,1416,2334,863,1125,478,916,540,1025,636,736,379,1547,619,1362,657,1609,748,1115,497,3075,962,3942,1113,6018,1276,5011,1249,2779,947,3974,976,5004,1007
0500000US34005,34005,"Burlington County, New Jersey",5135,598,0,273,244,204,0,273,87,105,180,133,215,216,91,112,228,192,394,288,191,157,706,552,952,452,785,475,308,209,536,333,218,183
0500000US34007,34007,"Camden County, New Jersey",7542,581,371,341,487,356,266,239,316,316,431,275,209,208,215,199,563,454,466,393,428,261,931,378,804,436,680,335,498,334,649,323,228,237
0500000US34013,34013,"Essex County, New Jersey",10089,782,188,156,322,284,154,234,367,391,540,365,285,245,209,177,284,159,248,226,786,441,850,588,1552,458,1245,480,400,252,1387,568,1272,487
0500000US34017,34017,"Hudson County, New Jersey",23300,1574,1748,632,519,388,1039,549,521,344,808,545,854,467,440,343,705,510,515,362,1816,513,2841,858,3489,883,1627,655,1499,587,2546,757,2333,753
0500000US34021,34021,"Mercer County, New Jersey",8534,720,298,326,55,95,73,122,283,245,201,200,611,641,205,201,140,196,152,223,522,338,733,342,490,286,1346,526,839,371,1300,497,1286,589
0500000US34023,34023,"Middlesex County, New Jersey",42708,1329,1024,469,395,290,374,259,749,365,825,483,1109,521,597,398,848,474,780,395,2781,824,5332,1243,7143,1157,6522,925,4484,1020,5830,1104,3915,739
0500000US34025,34025,"Monmouth County, New Jersey",10028,824,194,186,181,225,41,71,134,159,50,86,0,273,271,267,325,302,39,66,238,237,488,345,1598,496,2069,616,1051,453,1754,647,1595,614
0500000US34027,34027,"Morris County, New Jersey",13276,806,264,299,0,273,55,88,60,101,181,196,187,230,456,341,394,377,268,233,809,419,971,533,2021,620,2519,762,1654,496,1058,558,2379,662
0500000US34031,34031,"Passaic County, New Jersey",6991,728,116,154,386,509,259,257,447,355,406,501,0,273,259,252,533,407,498,385,436,313,584,350,416,326,1092,662,448,352,750,441,361,300
0500000US34035,34035,"Somerset County, New Jersey",12669,833,781,536,153,185,0,273,72,116,75,117,60,103,145,163,124,146,267,216,579,464,936,480,1501,648,1641,575,1068,462,2727,735,2540,725
0500000US34039,34039,"Union County, New Jersey",7465,760,216,263,55,88,324,328,255,195,398,331,314,248,111,133,309,274,153,167,482,366,546,335,770,430,1268,419,833,409,848,361,583,328
0500000US42003,42003,"Allegheny County, Pennsylvania",11085,994,909,509,656,483,311,277,387,293,1126,665,271,185,494,292,646,457,390,238,568,355,1288,576,840,482,981,468,600,304,786,409,832,368
0500000US42017,42017,"Bucks County, Pennsylvania",6350,709,172,213,213,318,102,156,83,139,85,142,0,240,252,220,223,203,0,240,368,261,1873,826,1054,431,557,341,262,215,750,379,356,270
0500000US42045,42045,"Delaware County, Pennsylvania",7057,564,432,279,382,262,335,279,307,233,59,69,100,100,492,396,506,296,160,122,441,255,991,425,1219,470,341,199,236,183,527,294,529,299
0500000US42091,42091,"Montgomery County, Pennsylvania",13473,929,944,614,487,402,467,301,399,285,251,261,550,431,620,235,683,399,447,317,782,428,1268,487,1809,639,1257,518,1250,505,1284,434,975,354
0500000US42101,42101,"Philadelphia County, Pennsylvania",23667,1929,3648,1135,2195,848,1496,735,2274,810,1223,587,916,432,1260,564,917,524,1145,571,2763,800,1737,743,1581,659,1224,554,320,224,544,428,424,295
