GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0500000US34001,34001,"Atlantic County, New Jersey",24212,3367,12859,2071,1153,498,984,603,1429,540,755,205,442,377,1016,307,1010,564,1213,536,2761,490,1359,492,225,198,512,394,0,277,0,277,11353,1868,1466,541,921,629,672,466,441,369,0,277,1355,580,881,461,1191,368,2491,568,1084,398,552,494,262,312,37,62,0,277
0500000US34003,34003,"Bergen County, New Jersey",49020,5908,26074,3211,1528,620,2650,804,1544,718,1312,444,836,606,1124,716,3620,1150,2746,671,5272,1088,3310,990,1512,540,331,263,0,277,289,471,22946,3473,1761,762,1493,644,1325,437,708,431,493,463,1893,873,1876,801,2098,828,3906,1015,3918,863,1675,727,726,577,689,511,385,409
0500000US34005,34005,"Burlington County, New Jersey",10157,1947,6022,1158,249,239,191,236,297,216,309,243,610,421,493,305,735,309,815,310,1203,496,779,260,300,181,41,68,0,277,0,277,4135,1090,394,267,371,449,369,289,227,169,87,146,48,79,409,271,312,294,752,363,388,241,358,262,225,188,61,78,134,214
0500000US34007,34007,"Camden County, New Jersey",42024,3271,21509,1634,1663,543,1656,565,1913,571,1254,334,767,195,2472,273,2333,233,2005,321,3592,528,1983,417,1048,369,462,392,361,339,0,277,20515,1876,2223,447,1700,584,1363,543,1141,368,756,225,1895,396,2029,584,1654,407,3628,483,2311,374,1001,282,504,296,268,298,42,72
0500000US34011,34011,"Cumberland County, New Jersey",13074,2566,8535,1717,1181,498,525,392,415,342,617,548,274,234,772,403,877,428,699,371,1663,454,933,368,355,228,224,222,0,277,0,277,4539,1130,347,283,390,410,149,168,0,277,262,145,538,348,625,242,314,395,650,321,656,329,254,236,303,236,51,98,0,277
0500000US34013,34013,"Essex County, New Jersey",94317,5660,48731,3297,4353,915,3002,810,3700,932,2191,415,911,412,3322,930,5378,1075,5466,812,9336,1068,5779,864,2987,599,1752,754,554,552,0,277,45586,3315,5250,807,3076,879,4092,775,2335,500,811,466,3561,629,3610,526,4117,586,7310,1003,5183,885,3695,658,1509,631,708,386,329,298
0500000US34017,34017,"Hudson County, New Jersey",85297,8292,41674,4756,3326,1082,2693,789,3547,1183,1879,896,1052,455,4477,1237,3383,1023,3831,936,7722,1319,5074,1021,2510,905,1637,689,543,455,0,277,43623,4641,3752,948,2503,1156,3840,1014,2298,617,1024,404,3056,804,3542,900,3147,914,6965,1466,5691,1043,3322,826,2591,927,1425,558,467,344
0500000US34021,34021,"Mercer County, New Jersey",18019,3565,11664,2355,1321,455,816,479,481,362,676,330,288,380,1315,516,1293,695,1620,578,2274,634,793,370,372,447,358,271,57,93,0,277,6355,1719,997,479,231,237,333,320,313,238,91,157,364,212,731,467,864,478,807,467,855,469,411,259,282,293,76,118,0,277
0500000US34023,34023,"Middlesex County, New Jersey",49689,7619,26355,4152,3222,958,3119,831,1943,772,1241,527,956,381,2453,766,3021,1054,3150,887,3842,1260,2334,761,857,367,155,145,62,107,0,277,23334,4117,3444,997,2189,874,1330,597,769,388,560,371,1716,809,3209,831,2938,794,3934,1205,1851,680,984,420,410,353,0,277,0,277
0500000US34025,34025,"Monmouth County, New Jersey",20737,4102,10120,2558,917,557,912,507,272,266,119,147,77,127,592,455,1616,793,1741,821,1501,694,1229,545,927,387,217,219,0,277,0,277,10617,1976,1653,646,692,464,1062,673,115,101,197,160,1231,513,1454,400,1510,582,1137,506,635,404,537,304,169,194,225,322,0,277
0500000US34027,34027,"Morris County, New Jersey",17078,4187,8497,2312,1381,586,1089,867,233,247,285,254,154,150,675,441,980,738,744,652,1657,990,964,487,242,283,93,159,0,277,0,277,8581,2163,1189,549,722,505,551,366,467,292,141,163,522,434,916,717,1054,474,1761,641,981,472,168,190,109,187,0,277,0,277
0500000US34029,34029,"Ocean County, New Jersey",14639,3069,7779,1840,767,437,930,560,585,366,537,339,234,164,421,379,1152,444,724,367,1591,514,436,246,331,188,71,122,0,277,0,277,6860,1615,1236,523,607,430,312,246,0,277,197,196,623,277,708,314,799,409,1424,431,578,317,241,231,135,163,0,277,0,277
0500000US34031,34031,"Passaic County, New Jersey",115018,6589,57818,3685,5449,1274,3265,1098,4766,1188,2701,635,1627,436,5638,614,7020,394,5878,763,9414,1367,5282,1013,4261,687,1770,561,521,459,226,333,57200,3858,5987,1267,4849,1054,4473,1083,2830,551,1367,693,3682,1052,5505,805,5563,544,8996,1165,6355,1024,4709,756,2138,624,537,499,209,322
0500000US34035,34035,"Somerset County, New Jersey",10199,2904,5551,1756,511,435,696,422,129,159,502,355,581,462,119,147,645,515,292,338,592,386,792,444,455,450,124,194,0,277,113,186,4648,1459,634,389,451,384,207,217,121,144,47,80,805,355,441,373,429,327,732,421,413,271,81,138,137,222,150,239,0,277
0500000US34039,34039,"Union County, New Jersey",76620,5220,38749,2920,3180,699,2934,883,2794,787,1853,770,1217,486,2430,775,4626,803,4095,776,7181,1266,4813,775,2467,662,1030,558,129,143,0,277,37871,3241,3388,873,2939,821,2701,846,2036,651,881,332,2627,890,3487,698,3625,736,7394,1052,3921,937,2634,612,1582,548,465,348,191,308
0500000US42011,42011,"Berks County, Pennsylvania",30288,3301,15822,1809,1500,594,2007,677,1217,520,1173,371,1003,633,787,432,1984,454,1320,456,2401,812,1432,323,466,497,103,173,232,363,197,320,14466,1956,1823,615,1181,552,2316,703,867,327,325,201,1000,299,1249,448,1092,369,2596,573,1194,359,511,255,0,242,312,212,0,242
0500000US42029,42029,"Chester County, Pennsylvania",8957,2158,4469,1357,316,415,527,389,278,240,329,214,159,156,362,261,707,335,351,229,713,396,504,282,133,128,57,95,0,242,33,57,4488,1142,916,359,347,203,477,276,334,222,336,412,275,178,355,306,350,303,806,398,259,185,33,55,0,242,0,242,0,242
0500000US42071,42071,"Lancaster County, Pennsylvania",13094,3168,7223,1799,1050,525,1074,741,377,191,503,310,165,205,538,329,412,365,589,380,957,432,513,361,419,313,626,384,0,242,0,242,5871,1585,710,487,286,259,599,399,377,342,51,69,613,366,626,423,667,295,897,400,574,287,197,164,144,156,97,112,33,55
0500000US42077,42077,"Lehigh County, Pennsylvania",29893,3575,14826,1911,2165,591,1558,714,1433,600,1296,256,619,199,1154,548,1137,529,1402,444,1996,627,1391,305,190,224,447,469,38,63,0,242,15067,2118,1924,434,1918,698,1226,490,1164,258,547,227,865,297,1224,363,1081,475,2804,594,1459,498,438,395,329,260,88,103,0,242
0500000US42091,42091,"Montgomery County, Pennsylvania",7655,2312,3304,1005,355,292,342,257,328,249,22,38,101,103,109,113,320,307,535,339,820,487,317,225,55,92,0,242,0,242,0,242,4351,1464,1156,491,297,262,438,312,214,312,121,116,148,183,238,196,344,257,571,374,676,369,148,175,0,242,0,242,0,242
0500000US42095,42095,"Northampton County, Pennsylvania",12581,2243,6598,1363,573,347,741,382,294,192,594,323,473,272,1017,515,177,217,585,373,1053,453,407,229,684,340,0,242,0,242,0,242,5983,1119,604,343,200,254,516,414,196,158,171,161,468,293,661,327,485,226,1277,354,588,290,334,218,251,238,131,175,101,122
0500000US42101,42101,"Philadelphia County, Pennsylvania",86827,7759,42837,4452,5650,1228,4996,1325,3801,1047,3332,782,2457,505,2869,944,3114,896,3140,665,5722,1337,4215,902,2287,570,1119,640,135,208,0,242,43990,4135,4485,1152,3843,1235,4062,1219,2138,770,1637,476,3784,775,3888,717,3397,794,7101,1057,5202,711,2900,810,493,327,710,397,350,231
0500000US42133,42133,"York County, Pennsylvania",7275,1757,4198,1004,719,470,84,95,341,235,188,194,311,283,276,255,701,406,243,186,590,379,466,382,238,151,41,53,0,242,0,242,3077,1027,326,284,182,178,689,444,143,113,176,297,398,304,132,145,190,211,322,219,357,201,113,182,49,85,0,242,0,242
