GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2007 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2007 inflation-adjusted dollars)
0500000US34001,34001,"Atlantic County, New Jersey",40654,27406
0500000US34003,34003,"Bergen County, New Jersey",60290,19940
0500000US34005,34005,"Burlington County, New Jersey",52449,26391
0500000US34007,34007,"Camden County, New Jersey",44882,17471
0500000US34009,34009,"Cape May County, New Jersey",64057,13260
0500000US34011,34011,"Cumberland County, New Jersey",72571,34909
0500000US34013,34013,"Essex County, New Jersey",46101,12916
0500000US34015,34015,"Gloucester County, New Jersey",66458,41326
0500000US34017,34017,"Hudson County, New Jersey",45559,19636
0500000US34019,34019,"Hunterdon County, New Jersey",111597,106131
0500000US34021,34021,"Mercer County, New Jersey",61897,41723
0500000US34023,34023,"Middlesex County, New Jersey",70321,19540
0500000US34025,34025,"Monmouth County, New Jersey",49375,17470
0500000US34027,34027,"Morris County, New Jersey",75901,22419
0500000US34029,34029,"Ocean County, New Jersey",75229,11943
0500000US34035,34035,"Somerset County, New Jersey",104837,26487
0500000US34037,34037,"Sussex County, New Jersey",95925,20285
0500000US34039,34039,"Union County, New Jersey",70821,31135
0500000US34041,34041,"Warren County, New Jersey",30995,22264
0500000US42003,42003,"Allegheny County, Pennsylvania",26002,4787
0500000US42011,42011,"Berks County, Pennsylvania",28644,7352
0500000US42017,42017,"Bucks County, Pennsylvania",100612,61932
0500000US42021,42021,"Cambria County, Pennsylvania",68654,52347
0500000US42029,42029,"Chester County, Pennsylvania",52643,20513
0500000US42033,42033,"Clearfield County, Pennsylvania",-,**
0500000US42037,42037,"Columbia County, Pennsylvania",32833,2156
0500000US42041,42041,"Cumberland County, Pennsylvania",75434,38624
0500000US42045,42045,"Delaware County, Pennsylvania",46750,19299
0500000US42049,42049,"Erie County, Pennsylvania",16583,9275
0500000US42055,42055,"Franklin County, Pennsylvania",67414,53996
0500000US42069,42069,"Lackawanna County, Pennsylvania",53227,16814
0500000US42071,42071,"Lancaster County, Pennsylvania",37878,22059
0500000US42075,42075,"Lebanon County, Pennsylvania",6656,3213
0500000US42077,42077,"Lehigh County, Pennsylvania",40082,20203
0500000US42079,42079,"Luzerne County, Pennsylvania",32443,11723
0500000US42081,42081,"Lycoming County, Pennsylvania",32210,21350
0500000US42089,42089,"Monroe County, Pennsylvania",55675,33210
0500000US42091,42091,"Montgomery County, Pennsylvania",63864,40682
0500000US42097,42097,"Northumberland County, Pennsylvania",-,**
0500000US42101,42101,"Philadelphia County, Pennsylvania",32171,10193
0500000US42125,42125,"Washington County, Pennsylvania",33236,7636
