GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0500000US34001,34001,"Atlantic County, New Jersey",17016,725,8195,655,585,224,447,298,367,299,331,249,171,170,540,220,527,191,677,374,1578,407,1361,131,831,326,399,310,345,332,36,59,8821,472,739,227,544,317,481,278,289,226,153,131,463,246,439,261,707,401,1923,400,1379,73,782,115,701,152,221,152,0,277
0500000US34003,34003,"Bergen County, New Jersey",128502,1847,62072,1345,3962,517,4762,797,3427,838,2490,331,1116,152,2798,303,4049,205,5200,277,12348,217,11321,157,6251,165,3089,277,1259,255,0,277,66430,800,4186,171,4668,850,3945,813,2766,242,1062,277,2542,287,4086,174,5897,163,13855,217,11539,304,6567,61,3344,80,1633,261,340,225
0500000US34005,34005,"Burlington County, New Jersey",18511,738,9030,661,793,478,602,292,344,244,271,169,337,251,291,252,749,283,994,121,2014,277,1170,117,386,246,743,288,252,194,84,141,9481,598,492,396,629,300,518,216,349,182,86,142,913,351,290,261,923,108,1905,161,1333,136,1037,277,464,237,410,228,132,161
0500000US34007,34007,"Camden County, New Jersey",22822,1150,10439,971,642,231,439,380,397,307,245,240,219,219,902,390,452,273,815,197,2082,81,1756,104,1357,277,848,258,201,205,84,129,12383,689,729,201,1084,313,425,283,733,354,502,298,360,257,907,277,1077,277,1917,117,1962,277,1587,277,567,325,211,199,322,341
0500000US34013,34013,"Essex County, New Jersey",34878,1376,17326,951,980,335,1117,326,1384,348,954,344,331,195,1100,197,1081,216,1200,73,2955,124,2847,202,1948,115,1040,339,316,296,73,136,17552,666,1032,186,1105,508,1077,490,303,263,327,249,901,357,1177,277,1440,277,3087,105,3202,272,2173,76,1161,349,498,309,69,114
0500000US34017,34017,"Hudson County, New Jersey",68241,1587,34969,953,2069,346,2041,512,1829,485,693,450,333,282,2827,321,3667,139,4032,123,7280,236,4574,130,3363,117,1766,402,307,289,188,238,33272,987,1992,325,1745,425,1572,439,1582,445,655,71,1914,273,2664,126,3606,73,6439,181,4563,237,3598,124,1845,277,870,251,227,251
0500000US34021,34021,"Mercer County, New Jersey",29849,654,14470,487,1103,194,1194,361,692,357,299,208,772,302,465,269,1360,277,1356,244,2853,277,2074,166,1302,97,950,99,50,99,0,277,15379,402,1096,114,775,242,1020,277,576,216,383,213,755,202,1265,277,1630,277,3089,277,2171,277,1449,277,1037,166,133,166,0,277
0500000US34023,34023,"Middlesex County, New Jersey",151179,1636,77126,1071,6518,369,6544,874,4697,889,2624,70,1590,168,3688,194,5534,218,8599,272,17227,283,10080,183,5552,258,3016,108,1153,206,304,206,74053,868,6293,371,5464,700,5420,790,2373,172,1580,201,3820,137,5796,62,8682,217,14731,272,9472,223,5529,187,3071,96,1449,366,373,350
0500000US34025,34025,"Monmouth County, New Jersey",32455,965,16001,661,837,219,1391,431,913,408,743,296,699,458,720,554,700,437,1208,216,2899,173,2709,89,1903,277,630,325,397,283,252,354,16454,603,879,153,1064,387,1096,389,755,303,273,204,770,204,864,280,1285,277,3119,281,2882,201,1851,98,1164,410,362,404,90,108
