GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0500000US34001,34001,"Atlantic County, New Jersey",270681,*****
0500000US34003,34003,"Bergen County, New Jersey",894840,*****
0500000US34005,34005,"Burlington County, New Jersey",445475,*****
0500000US34007,34007,"Camden County, New Jersey",517234,*****
0500000US34009,34009,"Cape May County, New Jersey",95838,*****
0500000US34011,34011,"Cumberland County, New Jersey",156830,*****
0500000US34013,34013,"Essex County, New Jersey",770675,*****
0500000US34015,34015,"Gloucester County, New Jersey",287860,*****
0500000US34017,34017,"Hudson County, New Jersey",595419,*****
0500000US34019,34019,"Hunterdon County, New Jersey",129031,*****
0500000US34021,34021,"Mercer County, New Jersey",364883,*****
0500000US34023,34023,"Middlesex County, New Jersey",789102,*****
0500000US34025,34025,"Monmouth County, New Jersey",642448,*****
0500000US34027,34027,"Morris County, New Jersey",487548,*****
0500000US34029,34029,"Ocean County, New Jersey",569111,*****
0500000US34031,34031,"Passaic County, New Jersey",490948,*****
0500000US34033,34033,"Salem County, New Jersey",66141,*****
0500000US34035,34035,"Somerset County, New Jersey",324563,*****
0500000US34037,34037,"Sussex County, New Jersey",150909,*****
0500000US34039,34039,"Union County, New Jersey",523249,*****
0500000US34041,34041,"Warren County, New Jersey",109876,*****
0500000US42001,42001,"Adams County, Pennsylvania",101119,*****
0500000US42003,42003,"Allegheny County, Pennsylvania",1215103,*****
0500000US42005,42005,"Armstrong County, Pennsylvania",68790,*****
0500000US42007,42007,"Beaver County, Pennsylvania",172476,*****
0500000US42011,42011,"Berks County, Pennsylvania",403595,*****
0500000US42013,42013,"Blair County, Pennsylvania",125174,*****
0500000US42017,42017,"Bucks County, Pennsylvania",621643,*****
0500000US42019,42019,"Butler County, Pennsylvania",182902,*****
0500000US42021,42021,"Cambria County, Pennsylvania",144319,*****
0500000US42027,42027,"Centre County, Pennsylvania",144779,*****
0500000US42029,42029,"Chester County, Pennsylvania",491489,*****
0500000US42033,42033,"Clearfield County, Pennsylvania",82896,*****
0500000US42037,42037,"Columbia County, Pennsylvania",65004,*****
0500000US42039,42039,"Crawford County, Pennsylvania",88411,*****
0500000US42041,42041,"Cumberland County, Pennsylvania",229361,*****
0500000US42043,42043,"Dauphin County, Pennsylvania",256562,*****
0500000US42045,42045,"Delaware County, Pennsylvania",553619,*****
0500000US42049,42049,"Erie County, Pennsylvania",279175,*****
0500000US42051,42051,"Fayette County, Pennsylvania",143925,*****
0500000US42055,42055,"Franklin County, Pennsylvania",143495,*****
0500000US42063,42063,"Indiana County, Pennsylvania",87479,*****
0500000US42069,42069,"Lackawanna County, Pennsylvania",209408,*****
0500000US42071,42071,"Lancaster County, Pennsylvania",502370,*****
0500000US42073,42073,"Lawrence County, Pennsylvania",90272,*****
0500000US42075,42075,"Lebanon County, Pennsylvania",128934,*****
0500000US42077,42077,"Lehigh County, Pennsylvania",339989,*****
0500000US42079,42079,"Luzerne County, Pennsylvania",311983,*****
0500000US42081,42081,"Lycoming County, Pennsylvania",116670,*****
0500000US42085,42085,"Mercer County, Pennsylvania",116652,*****
0500000US42089,42089,"Monroe County, Pennsylvania",165058,*****
0500000US42091,42091,"Montgomery County, Pennsylvania",778048,*****
0500000US42095,42095,"Northampton County, Pennsylvania",294787,*****
0500000US42097,42097,"Northumberland County, Pennsylvania",91091,*****
0500000US42101,42101,"Philadelphia County, Pennsylvania",1447395,*****
0500000US42107,42107,"Schuylkill County, Pennsylvania",147254,*****
0500000US42111,42111,"Somerset County, Pennsylvania",77454,*****
0500000US42125,42125,"Washington County, Pennsylvania",206407,*****
0500000US42129,42129,"Westmoreland County, Pennsylvania",361589,*****
0500000US42133,42133,"York County, Pennsylvania",424583,*****
