GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2009 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2009 inflation-adjusted dollars)
0500000US34001,34001,"Atlantic County, New Jersey",55399,8190
0500000US34003,34003,"Bergen County, New Jersey",91693,7123
0500000US34005,34005,"Burlington County, New Jersey",98265,19143
0500000US34007,34007,"Camden County, New Jersey",91848,16101
0500000US34009,34009,"Cape May County, New Jersey",53438,10329
0500000US34011,34011,"Cumberland County, New Jersey",70789,51480
0500000US34013,34013,"Essex County, New Jersey",100895,8939
0500000US34015,34015,"Gloucester County, New Jersey",60646,9185
0500000US34017,34017,"Hudson County, New Jersey",82854,8805
0500000US34019,34019,"Hunterdon County, New Jersey",174566,78455
0500000US34021,34021,"Mercer County, New Jersey",126121,20365
0500000US34023,34023,"Middlesex County, New Jersey",104432,9554
0500000US34025,34025,"Monmouth County, New Jersey",107545,13034
0500000US34027,34027,"Morris County, New Jersey",99693,13710
0500000US34029,34029,"Ocean County, New Jersey",64597,15538
0500000US34031,34031,"Passaic County, New Jersey",102028,27055
0500000US34033,34033,"Salem County, New Jersey",-,**
0500000US34035,34035,"Somerset County, New Jersey",118775,5926
0500000US34037,34037,"Sussex County, New Jersey",68601,23143
0500000US34039,34039,"Union County, New Jersey",97590,17615
0500000US34041,34041,"Warren County, New Jersey",94349,38137
0500000US42003,42003,"Allegheny County, Pennsylvania",79263,10767
0500000US42005,42005,"Armstrong County, Pennsylvania",-,**
0500000US42007,42007,"Beaver County, Pennsylvania",80720,46374
0500000US42011,42011,"Berks County, Pennsylvania",79098,30972
0500000US42013,42013,"Blair County, Pennsylvania",144231,46418
0500000US42017,42017,"Bucks County, Pennsylvania",99129,18566
0500000US42021,42021,"Cambria County, Pennsylvania","250,000+",***
0500000US42027,42027,"Centre County, Pennsylvania",22855,22614
0500000US42029,42029,"Chester County, Pennsylvania",133621,18027
0500000US42033,42033,"Clearfield County, Pennsylvania",228425,173928
0500000US42037,42037,"Columbia County, Pennsylvania",-,**
0500000US42039,42039,"Crawford County, Pennsylvania",70299,49776
0500000US42041,42041,"Cumberland County, Pennsylvania",113571,37395
0500000US42043,42043,"Dauphin County, Pennsylvania",49693,25831
0500000US42045,42045,"Delaware County, Pennsylvania",61842,18120
0500000US42049,42049,"Erie County, Pennsylvania",31827,14394
0500000US42069,42069,"Lackawanna County, Pennsylvania",60517,58188
0500000US42071,42071,"Lancaster County, Pennsylvania",48446,28051
0500000US42073,42073,"Lawrence County, Pennsylvania",-,**
0500000US42075,42075,"Lebanon County, Pennsylvania",71744,24990
0500000US42077,42077,"Lehigh County, Pennsylvania",64126,11478
0500000US42079,42079,"Luzerne County, Pennsylvania",47704,21348
0500000US42081,42081,"Lycoming County, Pennsylvania",113714,5194
0500000US42091,42091,"Montgomery County, Pennsylvania",83592,8289
0500000US42095,42095,"Northampton County, Pennsylvania",77121,67490
0500000US42101,42101,"Philadelphia County, Pennsylvania",38836,5428
0500000US42107,42107,"Schuylkill County, Pennsylvania",-,**
0500000US42125,42125,"Washington County, Pennsylvania",116865,68241
0500000US42129,42129,"Westmoreland County, Pennsylvania",64515,53331
0500000US42133,42133,"York County, Pennsylvania",72460,24778
