GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0500000US34001,34001,"Atlantic County, New Jersey",18490,4305,9672,2312,437,445,853,552,431,346,618,369,294,193,1308,1007,1437,694,119,196,2048,654,1529,472,491,403,107,115,0,198,0,198,8818,2485,389,423,517,596,577,661,295,300,850,813,872,620,546,468,716,460,1728,800,1508,684,311,322,315,252,0,198,194,265
0500000US34003,34003,"Bergen County, New Jersey",51470,7000,24236,3687,1082,634,1708,669,1378,678,1405,585,1130,593,2098,1035,2670,940,2868,981,5036,1028,3251,1076,766,490,648,440,196,236,0,198,27234,4089,2269,854,1968,770,2234,883,1641,697,928,458,2582,813,2364,808,2004,939,4322,1080,4449,1068,991,545,702,547,600,358,180,292
0500000US34007,34007,"Camden County, New Jersey",40039,3980,20488,2338,1510,626,1976,659,1705,623,1227,498,1003,194,2081,557,2817,499,864,449,3172,835,2367,436,978,386,385,306,149,179,254,295,19551,2186,1402,518,1931,658,1742,670,945,368,576,321,1592,529,1819,549,1643,501,3226,522,2670,401,1266,327,379,243,265,168,95,93
0500000US34011,34011,"Cumberland County, New Jersey",14758,3031,8408,1661,184,261,775,493,678,418,428,288,355,368,425,299,1308,390,1084,524,1538,520,502,426,809,318,290,232,0,198,32,53,6350,1536,630,407,206,192,667,483,291,225,0,198,281,317,936,401,204,224,1033,397,1203,310,515,287,289,264,95,132,0,198
0500000US34013,34013,"Essex County, New Jersey",64491,6043,36511,3551,3200,907,2553,778,2058,643,1128,515,1357,547,4212,896,3132,942,3262,825,8682,1253,3790,821,1747,751,1013,394,377,310,0,198,27980,3224,3379,884,2716,743,1786,668,819,395,499,345,1948,787,2802,762,2575,625,5201,983,3363,766,1676,513,708,362,508,289,0,198
0500000US34017,34017,"Hudson County, New Jersey",99555,9138,49581,5005,3552,1083,4082,1077,3275,941,2489,804,1120,443,5304,1181,4294,1149,5888,1161,7591,1307,6960,1254,2969,796,1256,559,579,391,222,220,49974,4992,3212,879,2918,955,3109,1136,2394,644,1713,483,4205,867,5154,1138,4272,917,6989,1439,8033,1191,3939,952,2638,865,695,380,703,453
0500000US34021,34021,"Mercer County, New Jersey",26500,4908,14613,2755,1533,638,1114,507,705,620,306,262,445,413,1674,688,1526,523,1688,630,3279,864,1328,596,972,396,0,198,43,80,0,198,11887,2660,1223,597,1248,883,996,505,654,375,561,428,1029,569,1314,488,918,402,1851,759,1639,736,318,295,0,198,136,218,0,198
0500000US34023,34023,"Middlesex County, New Jersey",25142,4948,12857,3108,616,380,781,553,1029,415,550,347,1017,455,1013,533,1485,683,954,574,1414,690,1655,719,1410,724,572,365,294,235,67,119,12285,2252,584,338,969,433,1065,516,779,325,86,137,420,395,1194,567,819,390,1899,650,2086,787,1253,478,601,463,312,156,218,261
0500000US34027,34027,"Morris County, New Jersey",19741,4954,10850,2662,542,656,814,551,1181,721,434,354,715,383,364,285,1468,814,693,565,2171,836,1596,662,628,505,106,131,138,196,0,198,8891,2557,611,531,605,560,751,649,676,391,118,186,1223,503,708,625,406,316,1818,625,1799,738,133,112,43,74,0,198,0,198
