GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0500000US34001,34001,"Atlantic County, New Jersey",8901,2952,3559,1308,702,620,437,328,340,297,359,282,93,104,423,291,108,186,272,277,229,193,345,267,144,154,0,198,107,187,0,198,5342,1956,321,240,562,410,1543,1067,594,441,202,250,103,81,244,325,178,202,930,734,351,251,185,151,38,68,91,131,0,198
0500000US34003,34003,"Bergen County, New Jersey",15932,2901,8074,2060,1546,748,851,458,1226,565,336,310,60,110,263,284,522,287,274,304,1066,505,739,426,835,570,113,141,188,187,55,93,7858,1478,1286,557,550,346,1203,498,246,212,362,289,180,134,391,425,599,328,1469,670,628,318,570,363,374,255,0,198,0,198
0500000US34005,34005,"Burlington County, New Jersey",13736,2420,5885,1325,985,551,475,271,505,280,225,202,202,209,652,583,335,241,437,281,890,438,245,197,723,360,100,159,89,129,22,47,7851,1771,1463,550,733,360,875,577,503,434,270,259,269,221,573,342,614,377,1134,666,675,350,695,348,47,89,0,198,0,198
0500000US34007,34007,"Camden County, New Jersey",16791,3135,8049,1875,1558,790,1090,508,893,461,246,178,153,152,471,364,393,361,640,388,870,503,921,545,275,238,253,211,179,168,107,161,8742,1846,2044,656,869,398,1350,602,445,331,93,114,939,573,763,486,475,355,365,249,538,407,465,378,219,180,111,110,66,114
0500000US34013,34013,"Essex County, New Jersey",23953,3602,10774,2245,1909,710,1182,501,1155,420,326,248,135,128,997,597,1056,727,409,347,852,455,1496,583,1064,533,193,162,0,198,0,198,13179,1908,1301,678,1094,627,833,360,562,359,234,205,1577,760,520,319,865,593,1626,595,2342,662,1293,567,507,314,332,269,93,140
0500000US34017,34017,"Hudson County, New Jersey",19026,3611,9587,2190,1792,775,432,335,937,706,269,206,319,295,522,332,649,352,723,372,1746,830,1034,471,774,367,390,263,0,198,0,198,9439,2019,1643,756,473,370,759,478,179,237,155,181,804,380,807,454,890,447,1062,525,1122,432,844,356,514,289,167,142,20,34
0500000US34021,34021,"Mercer County, New Jersey",7212,1924,3853,1281,1083,528,356,304,273,214,340,306,175,144,181,198,412,391,186,142,145,162,256,203,251,240,107,139,60,110,28,47,3359,1008,322,243,167,151,340,311,168,211,22,41,205,240,284,251,359,344,569,367,295,258,140,129,323,286,113,133,52,90
0500000US34023,34023,"Middlesex County, New Jersey",18984,3116,8596,1743,1358,494,900,419,766,458,479,275,363,295,848,431,291,238,542,310,1023,524,901,421,629,364,343,233,127,166,26,48,10388,1841,1436,667,1102,670,925,472,744,325,449,250,941,359,489,239,616,351,1336,584,839,476,915,399,375,269,68,85,153,185
0500000US34025,34025,"Monmouth County, New Jersey",13598,2497,6893,1407,1120,419,439,271,1073,415,530,262,182,156,607,481,809,570,106,113,868,570,456,328,507,397,174,179,22,38,0,198,6705,1511,1125,578,550,339,750,443,620,362,152,157,310,269,795,510,513,350,467,245,929,549,104,97,201,228,169,172,20,33
