GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0500000US34001,34001,"Atlantic County, New Jersey",5151,811,365,296,80,124,562,484,258,250,23,41,511,357,44,54,189,169,111,144,237,207,304,235,660,312,554,315,736,444,117,120,400,381
0500000US34003,34003,"Bergen County, New Jersey",44134,1755,3422,1231,493,390,1232,497,1486,828,1610,735,1166,540,1052,510,1133,600,960,497,2632,896,4658,1192,5837,1227,4655,1156,3605,1023,5154,1436,5039,958
0500000US34005,34005,"Burlington County, New Jersey",5759,667,190,173,80,98,201,152,253,218,156,143,487,337,149,132,127,133,111,116,223,145,317,225,551,241,501,217,376,200,1206,455,831,347
0500000US34007,34007,"Camden County, New Jersey",8580,657,983,507,0,198,159,157,299,256,228,174,834,567,153,181,653,393,280,211,309,216,696,373,2056,779,917,437,294,198,400,330,319,244
0500000US34013,34013,"Essex County, New Jersey",11239,846,380,311,209,192,100,98,251,176,24,42,460,330,353,318,237,181,265,334,708,389,812,390,1781,669,952,397,960,496,1142,440,2605,698
0500000US34017,34017,"Hudson County, New Jersey",31606,1758,1438,565,1119,588,743,449,1045,626,555,307,857,511,822,429,942,485,725,385,2217,655,3279,770,4201,1004,3391,910,2647,817,3824,922,3801,905
0500000US34021,34021,"Mercer County, New Jersey",9430,950,383,339,0,198,151,159,52,86,504,272,229,284,200,194,166,180,256,263,211,257,445,276,1424,750,883,408,736,396,1138,543,2652,784
0500000US34023,34023,"Middlesex County, New Jersey",51815,1486,845,425,924,464,688,317,995,588,1124,618,425,298,1359,697,1420,546,1082,543,2790,946,3958,823,8626,1258,7016,1266,7023,1594,6787,1142,6753,1159
0500000US34025,34025,"Monmouth County, New Jersey",10371,827,79,130,313,312,369,316,208,240,457,302,67,117,338,399,542,495,305,317,282,218,385,359,1047,530,1548,505,776,433,1749,598,1906,616
