GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0500000US34001,34001,"Atlantic County, New Jersey",66539,2384,5702,1279,2948,808,3210,877,3107,985,2969,962,3424,982,2517,786,3661,995,2405,789,5114,912,6417,1118,7923,1055,6419,956,4422,1223,3585,917,2716,707
0500000US34003,34003,"Bergen County, New Jersey",218122,3018,8645,1589,6515,1423,8632,1506,8929,1869,7436,1317,6999,1300,7312,1170,7304,1227,6931,1318,12607,1827,17501,2168,26176,2686,21441,2195,16402,2067,23601,2362,31691,2800
0500000US34005,34005,"Burlington County, New Jersey",124612,2287,3603,820,2670,633,4342,974,4908,1105,4805,1017,3796,902,3673,957,5188,1197,5274,1168,8334,1181,14314,1722,18788,1694,14809,1742,9723,1229,10592,1481,9793,1254
0500000US34007,34007,"Camden County, New Jersey",119761,2173,4753,974,5361,1117,3822,765,4423,800,4300,977,4676,908,4209,920,4414,894,4387,1103,10806,1445,12491,1484,17088,1647,14804,1278,9531,1243,8565,1206,6131,965
0500000US34009,34009,"Cape May County, New Jersey",37522,2196,2300,690,1784,869,1622,736,1418,508,2209,782,1985,663,1983,824,2206,815,1556,602,3833,918,3220,950,4815,961,2569,748,2700,872,1700,540,1622,660
0500000US34011,34011,"Cumberland County, New Jersey",29698,1336,1074,377,1313,516,1163,459,1896,553,1761,592,1290,466,1424,432,1400,538,1230,473,2170,642,3489,829,4698,872,3246,764,1424,468,1127,507,993,465
0500000US34013,34013,"Essex County, New Jersey",99391,2144,4027,1016,3543,934,4100,990,3287,799,2212,749,4286,704,3496,852,2716,787,2759,724,5668,1168,8499,1240,10549,1407,9118,1071,7896,1130,10207,1185,17028,1450
0500000US34015,34015,"Gloucester County, New Jersey",87226,1445,2416,773,2710,903,3465,872,3254,987,3014,795,3362,902,2449,721,3595,891,3611,971,6534,1441,8886,1468,13932,1451,10390,1299,7112,1125,7861,1322,4635,1091
0500000US34017,34017,"Hudson County, New Jersey",90884,2419,4526,999,4178,1006,3282,669,3722,818,3652,947,3159,830,3150,980,3100,770,3079,863,4914,1141,8854,1381,12664,1749,10211,1554,6760,1208,7725,1405,7908,1289
