GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Quintile Means: - Lowest Quintile,Margin of Error; Quintile Means: - Lowest Quintile,Estimate; Quintile Means: - Second Quintile,Margin of Error; Quintile Means: - Second Quintile,Estimate; Quintile Means: - Third Quintile,Margin of Error; Quintile Means: - Third Quintile,Estimate; Quintile Means: - Fourth Quintile,Margin of Error; Quintile Means: - Fourth Quintile,Estimate; Quintile Means: - Highest Quintile,Margin of Error; Quintile Means: - Highest Quintile,Estimate; Top 5 Percent,Margin of Error; Top 5 Percent
0500000US34001,34001,"Atlantic County, New Jersey",10715,1315,29980,1860,50490,2568,82056,4085,160707,8498,253521,24099
0500000US34003,34003,"Bergen County, New Jersey",16763,1213,45828,1897,79198,2172,125428,3272,290794,14830,543264,47563
0500000US34005,34005,"Burlington County, New Jersey",20134,1164,46105,2047,73509,2671,110231,3366,212367,8898,347021,26597
0500000US34007,34007,"Camden County, New Jersey",12028,848,34216,1579,58402,2212,91744,2278,178747,6787,292092,20619
0500000US34009,34009,"Cape May County, New Jersey",13195,2174,33494,3207,53175,4214,83721,5969,169414,16330,269645,39470
0500000US34011,34011,"Cumberland County, New Jersey",13622,1507,31543,2132,52021,3664,79079,4017,147105,18124,243753,63790
0500000US34013,34013,"Essex County, New Jersey",9177,529,27478,1080,51307,1603,89946,2709,236081,12809,431593,40992
0500000US34015,34015,"Gloucester County, New Jersey",18663,1482,44760,2772,72746,3450,108278,4281,193447,12055,296981,36019
0500000US34017,34017,"Hudson County, New Jersey",11213,759,31662,1419,57035,2182,91861,2851,197105,10696,331633,32725
0500000US34019,34019,"Hunterdon County, New Jersey",24814,2977,63612,4685,98244,5535,141643,7424,275460,27138,431814,75322
0500000US34021,34021,"Mercer County, New Jersey",14047,1334,42565,2539,73677,3536,114298,4759,255128,16383,447299,43812
0500000US34023,34023,"Middlesex County, New Jersey",17199,1103,44725,1607,74226,2395,112718,2867,213430,8532,341676,27968
0500000US34025,34025,"Monmouth County, New Jersey",17502,1245,46003,2120,79623,2676,124948,3324,268854,16300,473831,51492
0500000US34027,34027,"Morris County, New Jersey",22747,1758,58229,2381,91323,2761,135506,3848,291426,14142,508667,43194
0500000US34029,34029,"Ocean County, New Jersey",14647,770,33313,1108,57012,2034,88839,2437,172934,7379,274808,22280
0500000US34031,34031,"Passaic County, New Jersey",10647,1005,30117,1806,53327,2957,90074,3945,178853,9931,275015,26397
0500000US34033,34033,"Salem County, New Jersey",12578,1545,33388,3870,54298,3722,85408,5744,151943,11341,234796,30448
0500000US34035,34035,"Somerset County, New Jersey",24077,2037,60386,3022,96883,4088,144458,5203,309851,20924,547626,71939
0500000US34037,34037,"Sussex County, New Jersey",21547,2758,53123,3908,83875,4223,118618,4845,214738,16077,335891,43473
0500000US34039,34039,"Union County, New Jersey",14334,1072,39013,1985,67230,2572,106507,3323,238109,10187,420538,33000
0500000US34041,34041,"Warren County, New Jersey",16795,2012,41829,3101,66206,4047,101513,5109,184907,11758,263685,29722
0500000US42001,42001,"Adams County, Pennsylvania",14327,1710,33611,3087,53997,2801,78052,3834,152728,11993,253569,34709
0500000US42003,42003,"Allegheny County, Pennsylvania",10571,395,27701,663,49306,981,77975,1512,171752,5573,297068,15286
0500000US42005,42005,"Armstrong County, Pennsylvania",12221,1425,27092,2194,43813,3338,65398,3600,135781,16812,233567,51271
0500000US42007,42007,"Beaver County, Pennsylvania",11761,1133,29469,1847,48906,2340,73763,3188,137547,7256,208034,15612
0500000US42011,42011,"Berks County, Pennsylvania",13272,796,32473,1579,53015,1788,78784,2571,155660,9063,250654,25346
0500000US42013,42013,"Blair County, Pennsylvania",11024,1171,26526,2175,43061,2316,61854,2956,127011,10602,216013,37838
0500000US42017,42017,"Bucks County, Pennsylvania",18572,936,44784,1544,70667,2007,107375,2793,218914,10064,368956,30235
0500000US42019,42019,"Butler County, Pennsylvania",15121,1204,35901,1820,55398,2380,84689,4096,186042,17426,326353,52100
0500000US42021,42021,"Cambria County, Pennsylvania",10837,753,24389,1386,40162,2238,62505,2801,122826,10169,203330,31128
0500000US42025,42025,"Carbon County, Pennsylvania",11693,2218,28180,3585,43724,3860,70308,6564,137650,20040,222094,70798
0500000US42027,42027,"Centre County, Pennsylvania",7322,1501,26059,2199,47989,3214,75942,3419,160252,11268,267121,33487
0500000US42029,42029,"Chester County, Pennsylvania",19554,1329,48590,1784,78589,2575,121109,3733,247596,9053,401339,25103
0500000US42033,42033,"Clearfield County, Pennsylvania",11031,1161,24545,2057,43045,3390,64228,3880,127376,15858,208387,44266
0500000US42037,42037,"Columbia County, Pennsylvania",9671,1109,22763,2221,40054,3136,65103,3800,129921,9386,204128,27871
0500000US42039,42039,"Crawford County, Pennsylvania",12023,770,24441,1850,41133,2391,63923,3514,121143,9825,196699,35131
0500000US42041,42041,"Cumberland County, Pennsylvania",16662,1594,38951,1875,58770,1832,83730,2844,167588,13373,278075,44081
0500000US42043,42043,"Dauphin County, Pennsylvania",14028,1064,32989,1627,52524,2038,79310,2429,170925,11890,304905,39856
0500000US42045,42045,"Delaware County, Pennsylvania",14878,786,36078,1187,60152,1751,96980,2634,214643,9320,370434,27399
0500000US42049,42049,"Erie County, Pennsylvania",10322,698,25731,1517,42455,1702,64779,2164,135119,9324,228877,30707
0500000US42051,42051,"Fayette County, Pennsylvania",10463,811,22721,1453,36912,2246,56345,3034,107061,5932,161391,14900
0500000US42055,42055,"Franklin County, Pennsylvania",14420,1366,31053,2230,49647,2967,73014,3835,130273,11832,201583,39435
0500000US42063,42063,"Indiana County, Pennsylvania",9229,1253,25030,1693,42389,2216,66212,3626,124723,9616,190723,23284
0500000US42069,42069,"Lackawanna County, Pennsylvania",11232,926,27202,1826,44528,2190,69728,2972,143895,7933,239657,22452
0500000US42071,42071,"Lancaster County, Pennsylvania",14373,651,33291,1226,53575,1450,77881,1888,147442,5865,232880,17920
0500000US42073,42073,"Lawrence County, Pennsylvania",9790,1355,24825,2125,41692,2677,65065,3470,124819,12078,203727,39484
0500000US42075,42075,"Lebanon County, Pennsylvania",14009,1495,33399,2531,54647,2819,75111,3128,148596,16044,253724,56535
0500000US42077,42077,"Lehigh County, Pennsylvania",11844,1017,29630,1915,50917,2316,79381,2679,169734,10944,297777,37726
0500000US42079,42079,"Luzerne County, Pennsylvania",10832,680,25729,1033,43259,1656,68110,2639,135815,7363,222745,20938
0500000US42081,42081,"Lycoming County, Pennsylvania",11769,1258,27411,1763,42932,2358,64255,3109,121385,7075,191811,20152
0500000US42085,42085,"Mercer County, Pennsylvania",12218,1099,26959,1823,42031,2294,63629,3728,129250,12153,219343,44395
0500000US42089,42089,"Monroe County, Pennsylvania",12553,1812,31984,4312,53228,3775,77431,4743,139942,11017,205415,23581
0500000US42091,42091,"Montgomery County, Pennsylvania",17940,956,46561,1618,76426,1695,115259,2241,249897,9410,445627,29827
0500000US42095,42095,"Northampton County, Pennsylvania",14102,1164,35053,1863,57959,2276,87403,2938,165920,10651,264787,35738
0500000US42097,42097,"Northumberland County, Pennsylvania",12117,1402,26084,1627,40405,2773,64450,4155,127263,12830,201370,37400
0500000US42101,42101,"Philadelphia County, Pennsylvania",6287,356,18512,645,34495,985,58906,1365,134187,4837,233250,14177
0500000US42107,42107,"Schuylkill County, Pennsylvania",13149,1039,27769,1647,47529,2539,70183,2752,124324,7152,186786,18080
0500000US42111,42111,"Somerset County, Pennsylvania",11642,956,25426,1363,39134,2698,60999,3387,124986,12345,206164,34820
0500000US42125,42125,"Washington County, Pennsylvania",12565,860,31160,1486,52354,2061,79195,2941,158003,9081,260709,26514
0500000US42129,42129,"Westmoreland County, Pennsylvania",12353,817,28329,1193,46848,1574,75692,2739,153523,7482,251884,23601
0500000US42133,42133,"York County, Pennsylvania",14285,1006,34867,1521,55889,1486,82187,2217,154324,5192,241866,15850
