GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04
0500000US34001,34001,"Atlantic County, New Jersey",29589,1699,33345,3334,24887,2000
0500000US34003,34003,"Bergen County, New Jersey",42480,1886,51838,1059,35992,1034
0500000US34005,34005,"Burlington County, New Jersey",39673,1601,47061,2030,34191,2678
0500000US34007,34007,"Camden County, New Jersey",34547,1823,42160,1472,29604,1541
0500000US34009,34009,"Cape May County, New Jersey",30045,4307,33734,4784,26223,3092
0500000US34011,34011,"Cumberland County, New Jersey",29425,1885,31966,3067,27188,2670
0500000US34013,34013,"Essex County, New Jersey",34062,1452,38878,2855,30640,1130
0500000US34015,34015,"Gloucester County, New Jersey",40355,1572,46867,3430,32323,3181
0500000US34017,34017,"Hudson County, New Jersey",36310,946,40901,1179,31831,1052
0500000US34019,34019,"Hunterdon County, New Jersey",50198,3466,62412,6439,37325,7655
0500000US34021,34021,"Mercer County, New Jersey",36357,1498,40280,2948,33589,2864
0500000US34023,34023,"Middlesex County, New Jersey",40741,962,49904,2437,32711,1569
0500000US34025,34025,"Monmouth County, New Jersey",41978,1696,53093,3411,32679,2344
0500000US34027,34027,"Morris County, New Jersey",48634,2722,59987,3094,36699,2196
0500000US34029,34029,"Ocean County, New Jersey",36179,1572,46617,2466,27864,1832
0500000US34031,34031,"Passaic County, New Jersey",31284,773,35835,2970,27158,1321
0500000US34033,34033,"Salem County, New Jersey",32213,2167,38865,3455,25688,2218
0500000US34035,34035,"Somerset County, New Jersey",51375,1289,61022,1679,41311,3352
0500000US34037,34037,"Sussex County, New Jersey",41398,2065,51238,1677,30993,2572
0500000US34039,34039,"Union County, New Jersey",33948,1755,41640,1456,27898,1825
0500000US34041,34041,"Warren County, New Jersey",39981,3052,47600,6598,31421,2181
0500000US42001,42001,"Adams County, Pennsylvania",27914,1983,32235,1656,21640,1163
0500000US42003,42003,"Allegheny County, Pennsylvania",30720,417,36270,974,26132,724
0500000US42005,42005,"Armstrong County, Pennsylvania",30235,2376,36863,3283,21559,2013
0500000US42007,42007,"Beaver County, Pennsylvania",30299,1472,37165,2523,23781,1684
0500000US42011,42011,"Berks County, Pennsylvania",30782,1126,37778,1939,22791,1843
0500000US42013,42013,"Blair County, Pennsylvania",24106,1212,29010,2565,21460,1247
0500000US42017,42017,"Bucks County, Pennsylvania",38971,1821,45785,1141,31421,1012
0500000US42019,42019,"Butler County, Pennsylvania",30436,1198,39530,3719,23141,2050
0500000US42021,42021,"Cambria County, Pennsylvania",25658,1410,30574,1791,21236,1313
0500000US42025,42025,"Carbon County, Pennsylvania",29288,4164,36426,4986,24284,4041
0500000US42027,42027,"Centre County, Pennsylvania",19437,2006,22908,2080,13051,2399
0500000US42029,42029,"Chester County, Pennsylvania",40628,930,50694,987,31552,1082
0500000US42033,42033,"Clearfield County, Pennsylvania",27606,2677,33586,3984,21546,2330
0500000US42037,42037,"Columbia County, Pennsylvania",24405,3039,32187,2849,17545,1894
0500000US42039,42039,"Crawford County, Pennsylvania",21560,1130,29029,2189,15675,2133
0500000US42041,42041,"Cumberland County, Pennsylvania",30822,1058,38304,2278,25245,1390
0500000US42043,42043,"Dauphin County, Pennsylvania",31064,1151,37542,2599,27257,1288
0500000US42045,42045,"Delaware County, Pennsylvania",35154,1181,40575,1290,30912,855
0500000US42049,42049,"Erie County, Pennsylvania",23622,1390,27991,2136,19641,1483
0500000US42051,42051,"Fayette County, Pennsylvania",23662,1346,27414,2891,20156,1311
0500000US42055,42055,"Franklin County, Pennsylvania",29856,2292,35477,1404,24458,1836
0500000US42063,42063,"Indiana County, Pennsylvania",21053,1278,30030,2895,15038,1427
0500000US42069,42069,"Lackawanna County, Pennsylvania",27247,1535,32190,1756,22990,1935
0500000US42071,42071,"Lancaster County, Pennsylvania",27110,871,36131,1357,21334,894
0500000US42073,42073,"Lawrence County, Pennsylvania",26228,1527,33792,4058,20984,1740
0500000US42075,42075,"Lebanon County, Pennsylvania",30396,1916,36468,1636,22652,2276
0500000US42077,42077,"Lehigh County, Pennsylvania",29330,1418,36618,2218,22427,1114
0500000US42079,42079,"Luzerne County, Pennsylvania",27944,1434,32428,1982,23496,1510
0500000US42081,42081,"Lycoming County, Pennsylvania",23861,1385,30389,1877,18742,2020
0500000US42085,42085,"Mercer County, Pennsylvania",23922,1559,30759,2093,20302,1581
0500000US42089,42089,"Monroe County, Pennsylvania",25713,2063,31656,3021,19252,3321
0500000US42091,42091,"Montgomery County, Pennsylvania",41111,602,48495,2717,34221,1332
0500000US42095,42095,"Northampton County, Pennsylvania",30224,1548,35616,2002,23617,2193
0500000US42097,42097,"Northumberland County, Pennsylvania",28968,1622,32088,1542,24301,2523
0500000US42101,42101,"Philadelphia County, Pennsylvania",27507,811,30260,978,25791,885
0500000US42107,42107,"Schuylkill County, Pennsylvania",29699,1329,35294,1616,23519,2086
0500000US42111,42111,"Somerset County, Pennsylvania",24278,1997,30229,2015,18585,2036
0500000US42125,42125,"Washington County, Pennsylvania",30136,1498,36936,1868,22343,1198
0500000US42129,42129,"Westmoreland County, Pennsylvania",28358,1665,37290,1967,22330,984
0500000US42133,42133,"York County, Pennsylvania",30896,796,38374,2169,23794,990
