GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0500000US34003,34003,"Bergen County, New Jersey",16576,2367,1676,856,301,306,615,383,680,543,848,453,533,423,811,490,938,550,659,522,1454,777,1433,600,1838,834,1623,693,1164,712,1186,683,817,541
0500000US34007,34007,"Camden County, New Jersey",14482,1527,2272,812,610,437,1060,568,604,405,622,475,666,411,715,497,1326,783,903,554,1417,737,1679,803,849,480,1033,587,412,266,314,287,0,195
0500000US34013,34013,"Essex County, New Jersey",26461,1952,1978,633,3132,792,2266,775,1562,672,1859,685,1231,491,1760,799,1150,567,1044,499,2166,816,2180,630,2667,819,1565,655,1164,546,401,231,336,271
0500000US34017,34017,"Hudson County, New Jersey",27036,2388,3615,1083,1845,627,2471,717,1889,693,1443,667,905,478,805,480,1521,567,1603,724,1494,612,3110,1086,2970,995,1695,601,886,538,119,123,665,492
0500000US34023,34023,"Middlesex County, New Jersey",8747,1423,256,262,74,87,345,316,634,405,586,547,533,324,568,437,240,251,565,421,684,393,1091,545,1774,688,330,247,662,435,152,155,253,226
0500000US34031,34031,"Passaic County, New Jersey",25512,1848,3905,816,1733,560,2212,683,2151,698,1681,646,1630,703,971,460,1677,709,871,499,2400,778,2255,730,1416,533,1274,495,580,295,638,465,118,140
0500000US34039,34039,"Union County, New Jersey",21819,2152,1668,787,979,556,884,500,1409,668,1172,557,1787,748,1439,599,1150,619,1179,508,1132,531,3256,896,3168,910,1482,677,503,268,611,489,0,195
0500000US42077,42077,"Lehigh County, Pennsylvania",9079,1276,1362,609,679,434,864,532,659,399,493,339,453,270,569,411,547,384,502,419,1326,657,653,376,671,441,131,162,0,168,170,216,0,168
0500000US42101,42101,"Philadelphia County, Pennsylvania",21120,2564,4533,1242,2958,1008,1763,671,1217,597,1556,773,1372,676,541,446,1665,886,1221,699,907,451,505,312,1448,763,1001,636,38,63,307,233,88,151
