GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0500000US34001,34001,"Atlantic County, New Jersey",185429,4246,89934,2253,5059,637,4581,956,5487,827,3214,287,1991,133,5486,568,5578,468,4920,511,10483,514,13548,563,13729,354,9530,434,4883,581,1445,468,95495,2327,4958,611,4854,725,5288,900,2971,319,2963,660,5591,451,5470,339,5087,435,10192,599,13510,525,14911,361,10421,272,5847,887,3432,752
0500000US34003,34003,"Bergen County, New Jersey",656493,6606,318985,3774,15948,695,18391,1685,20106,1626,13474,561,7912,486,18298,861,17641,784,17505,854,39637,1256,49831,1357,47335,593,29423,536,15848,1030,7636,1020,337508,3532,15314,709,19049,1556,19028,1626,12597,534,7479,395,17841,906,16704,640,17303,782,39433,1100,52170,997,49829,855,34340,523,22788,1045,13633,1020
0500000US34005,34005,"Burlington County, New Jersey",324433,2233,159515,1410,7699,340,8760,977,9907,1112,6382,272,3434,117,10428,436,10229,362,9289,520,19017,386,25536,423,23919,242,14730,276,6848,747,3337,723,164918,1218,7327,227,9549,990,8138,983,6103,202,2999,138,8946,345,8977,365,8818,225,19296,390,26678,340,25157,199,17024,282,9514,881,6392,896
0500000US34007,34007,"Camden County, New Jersey",323313,6041,158319,3320,8646,902,8745,1303,9392,1260,5768,505,3291,375,8801,463,10854,724,10527,686,20642,893,23672,638,23371,336,14709,356,6849,729,3052,689,164994,3006,7997,593,8320,1118,8717,1100,5535,364,2758,279,8833,637,10489,616,10578,450,19237,782,25019,547,25016,482,16727,282,10354,774,5414,777
0500000US34009,34009,"Cape May County, New Jersey",86752,776,42853,676,2106,302,1906,510,2347,464,1519,415,864,197,2488,197,2674,417,2070,302,3930,418,5790,422,6977,222,6259,134,2722,419,1201,419,43899,457,1683,230,1758,480,1600,477,1520,304,728,97,2091,49,2079,198,1961,322,4489,507,6052,300,7615,79,6873,139,3684,450,1766,450
0500000US34011,34011,"Cumberland County, New Jersey",110447,2636,55823,1428,3687,360,4754,850,2803,820,2128,460,755,160,3633,332,4401,192,3736,298,7303,462,7730,344,6815,258,4696,379,2198,420,1184,363,54624,1536,3253,394,2936,700,4166,723,1655,423,836,344,3261,489,3379,265,3818,66,6627,346,7287,443,7027,376,5180,405,3036,599,2163,572
0500000US34013,34013,"Essex County, New Jersey",333541,6963,162785,4142,8946,970,10336,1414,11174,1318,5978,606,4638,401,9992,1022,9781,1003,10303,1005,21457,1182,25468,975,21992,626,12871,649,6236,686,3613,649,170756,3812,9129,989,9503,1344,12644,1550,5902,473,3697,400,8647,760,8747,669,10262,863,22293,1090,25522,876,23020,705,14939,625,8837,1134,7614,1157
0500000US34015,34015,"Gloucester County, New Jersey",236613,1908,115579,1117,6101,253,6725,991,7815,1010,4819,95,2662,197,7659,355,7334,64,7015,498,14451,389,18179,288,16560,203,10198,197,4619,383,1442,386,121034,1000,5789,254,6623,732,7380,759,4571,118,2508,197,7087,146,6916,146,7037,190,15550,531,18873,95,17670,248,11502,112,6408,685,3120,620
0500000US34017,34017,"Hudson County, New Jersey",362723,8423,184017,4714,12123,1205,9963,1362,7892,1127,5472,701,2819,568,10542,1063,18739,1118,20282,1036,30348,1341,24650,1169,20982,955,11221,737,6866,572,2118,527,178706,4697,9862,1208,8149,1250,9021,1169,4723,617,2936,490,9204,894,17093,1072,18286,989,26188,1234,23677,1234,22004,1164,13857,900,7707,1024,5999,913
0500000US34019,34019,"Hunterdon County, New Jersey",114265,709,56229,632,2009,126,3193,579,3968,694,2838,182,1366,58,3484,249,2493,362,2258,229,5510,177,10346,276,9831,197,5637,192,2419,369,877,346,58036,522,1976,213,2580,622,3917,642,2620,172,1359,149,2868,124,2080,147,2269,151,6603,514,11275,588,9899,201,5928,184,3317,459,1345,459
0500000US34021,34021,"Mercer County, New Jersey",240995,3059,120243,1461,6799,257,6483,916,6999,915,4412,205,4295,101,9345,252,7961,251,7911,203,14721,503,17981,206,16381,438,10192,296,5031,485,1732,450,120752,1903,5984,530,6413,1153,5868,1155,3896,430,4479,133,8712,421,7107,162,6849,312,13452,566,17719,364,17507,248,11726,368,6382,925,4658,871
0500000US34023,34023,"Middlesex County, New Jersey",504867,5157,248119,2897,13726,809,12475,1477,14839,1526,9068,601,7900,347,17273,675,18160,614,15753,760,30698,866,36392,795,35548,667,21065,394,10262,850,4960,802,256748,2705,13065,674,11597,1238,14965,1385,8564,461,6467,466,16133,647,16815,592,15202,689,29114,889,37315,733,37796,550,25377,309,14276,1224,10062,1174
0500000US34025,34025,"Monmouth County, New Jersey",513647,4528,249874,2697,12414,513,14407,1428,16606,1377,11190,309,6025,202,14799,613,13329,410,12736,447,28316,711,41808,508,39641,473,24077,302,10584,817,3942,758,263773,2199,11381,618,15663,1676,14566,1638,10265,378,5872,244,14680,376,12434,310,12944,434,30039,551,43899,595,41321,394,26944,424,13918,1120,9847,1127
0500000US34027,34027,"Morris County, New Jersey",407191,3958,199831,2032,9437,566,13087,1341,12766,1378,8571,545,5576,647,12285,685,10280,492,10482,570,23428,759,34068,645,29659,375,17870,394,7871,750,4451,750,207360,2342,8929,497,10726,1129,13408,1185,8814,715,5181,91,11461,551,9829,231,10228,698,24386,543,34564,891,30654,360,20115,238,10823,1135,8242,1095
0500000US34029,34029,"Ocean County, New Jersey",536710,3318,257950,1848,18495,404,19055,1354,15755,1193,9824,318,5400,189,14182,356,15046,460,14186,401,26306,682,33383,480,33480,296,29218,318,16551,1032,7069,949,278760,1823,17734,282,15748,1434,16910,1649,9286,287,4824,463,14032,631,14637,163,14020,309,27191,460,34680,471,37730,326,36291,224,21861,1169,13816,1169
0500000US34031,34031,"Passaic County, New Jersey",299987,8218,147515,4549,8793,980,9006,1437,9300,1290,6032,661,4226,404,9844,909,9776,866,8732,871,18917,1206,21272,1143,20192,688,12580,605,6611,664,2234,578,152472,4705,8274,986,8060,1258,8799,1328,5351,676,4035,541,10169,786,9696,888,9150,738,17571,1127,21704,1006,20882,837,14719,728,9221,920,4841,890
0500000US34033,34033,"Salem County, New Jersey",51720,847,25266,515,1123,103,1627,410,1505,397,1158,192,363,227,1602,250,1425,118,1521,165,2925,187,3740,131,3835,169,2690,48,1330,267,422,246,26454,553,1237,212,1081,360,1681,331,960,111,436,230,1620,208,1356,132,1467,147,3196,230,3960,180,3918,32,2843,37,1310,353,1389,360
