GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0500000US34001,34001,"Atlantic County, New Jersey",40528,2579,18554,1414,1450,541,1613,613,1236,536,560,316,602,538,1827,540,1011,463,1185,119,2596,627,2333,552,2199,293,1187,370,594,355,161,152,21974,1441,1117,383,1436,773,1346,787,1102,436,1048,516,1333,504,1552,283,1133,250,2715,398,3324,242,2709,218,1754,197,778,341,627,343
0500000US34003,34003,"Bergen County, New Jersey",57051,2533,27123,1303,1593,312,2519,652,1089,574,1288,232,1224,481,2021,668,1958,543,1672,197,4247,441,3912,379,2944,221,1658,182,873,120,125,120,29928,1591,1079,489,1407,493,1871,473,1386,333,859,211,2177,381,1881,339,1842,466,4298,563,4939,409,3842,384,2457,109,1162,344,728,329
0500000US34005,34005,"Burlington County, New Jersey",73811,2950,36467,1529,1645,466,2239,610,2194,634,1531,342,1563,251,3557,501,3172,295,2290,362,4822,377,5195,480,4310,209,2297,182,1165,302,487,302,37344,1838,2000,314,2618,873,2488,572,1618,279,745,467,2200,649,2186,212,2397,345,5039,529,5617,373,4824,214,3070,191,1732,301,810,297
0500000US34007,34007,"Camden County, New Jersey",95542,2710,45174,1580,3440,546,4101,827,2911,655,2293,214,1384,566,3383,512,3720,335,3283,488,5546,340,6117,212,4843,137,2681,340,1098,295,374,254,50368,1677,3402,566,2579,860,3635,962,2031,390,991,358,3721,343,3838,465,3736,319,6889,169,7212,304,6075,348,3437,431,2082,474,740,469
0500000US34011,34011,"Cumberland County, New Jersey",29440,2305,16256,1149,875,279,1112,409,664,376,862,456,178,205,1101,555,1511,360,2219,514,2833,547,2327,154,1476,100,753,125,243,101,102,100,13184,1439,971,438,840,381,834,469,680,9,413,268,1026,479,865,199,786,83,1461,294,2016,446,1788,296,859,90,578,55,67,55
0500000US34013,34013,"Essex County, New Jersey",314799,2822,144567,1977,11272,638,9512,1267,12112,1149,6241,414,4352,376,11651,738,11681,328,9625,225,19516,611,20366,556,15489,453,8364,191,3266,373,1120,315,170232,1724,11039,575,10092,1193,10542,1234,6771,591,4341,152,12503,303,12997,267,11629,532,23847,416,24059,442,20531,448,12307,293,7112,672,2462,660
0500000US34015,34015,"Gloucester County, New Jersey",26939,2105,13069,1074,358,292,1100,439,890,433,940,378,702,416,838,394,624,535,570,512,1944,517,2074,74,1609,183,724,320,639,344,57,98,13870,1384,698,614,572,439,599,417,401,250,671,394,716,396,1085,375,733,562,2069,662,2458,183,1686,426,1494,263,269,242,419,263
0500000US34017,34017,"Hudson County, New Jersey",84148,4029,39543,2203,2113,682,2331,850,2799,814,1500,241,1111,309,4209,514,3709,263,3522,445,5682,636,5483,497,4072,446,2043,259,718,201,251,186,44605,2509,3736,1118,2346,691,2221,566,1234,283,1150,400,3293,294,4248,698,3479,463,6556,825,6784,564,4850,652,2871,234,1589,254,248,228
0500000US34021,34021,"Mercer County, New Jersey",76228,1375,35469,824,2105,395,2641,604,2416,600,1624,174,1054,166,3220,152,2975,251,2333,18,4733,243,4969,13,4291,398,1944,197,610,338,554,338,40759,898,2373,300,2214,681,2945,646,1796,83,1281,70,3402,258,2603,144,2576,197,5948,377,5674,153,4963,197,2701,232,1057,310,1226,309
0500000US34023,34023,"Middlesex County, New Jersey",85573,1996,41100,1146,3121,561,2622,720,3102,695,2156,228,1201,477,3303,578,3074,368,2596,198,6087,463,6382,301,4272,74,2142,244,910,219,132,219,44473,1520,2541,315,2653,966,2663,823,2109,282,1332,179,3717,213,3054,196,2818,117,6418,531,6841,180,5299,282,2856,277,1703,389,469,309
0500000US34025,34025,"Monmouth County, New Jersey",46377,1855,21958,1093,1293,170,1458,494,1534,487,796,277,816,400,2214,466,1574,465,1544,268,2821,219,2837,249,2551,41,1618,209,690,180,212,172,24419,1085,1674,269,1704,489,1013,436,1053,133,437,342,2260,499,1324,243,1480,280,3034,320,3682,216,3015,122,2106,127,1286,288,351,284
0500000US34027,34027,"Morris County, New Jersey",16557,1613,8632,855,667,344,199,195,677,356,411,283,129,143,1046,402,675,346,921,593,757,445,1271,390,1272,349,554,317,1,3,52,83,7925,1127,474,328,183,175,280,230,159,196,276,211,587,281,431,353,413,334,1502,461,1139,248,1284,212,800,298,229,231,168,231
0500000US34029,34029,"Ocean County, New Jersey",18766,1986,10614,1362,836,461,841,551,771,522,623,303,214,296,1035,404,773,329,1155,558,1408,540,847,492,1307,474,500,463,304,262,0,197,8152,985,224,227,567,326,394,337,135,159,41,66,257,245,1092,528,621,389,890,508,1509,623,1097,163,793,311,369,250,163,168
0500000US34031,34031,"Passaic County, New Jersey",58441,1970,27855,1288,2609,876,1678,592,2373,571,1928,385,961,422,2072,486,2474,306,1536,386,3322,109,3565,205,2938,278,1444,14,708,244,247,187,30586,1404,1467,689,2127,541,1751,595,609,268,1520,549,2289,698,2450,512,2032,197,4032,94,4445,529,3724,138,2516,162,1248,217,376,217
