GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0500000US34001,34001,"Atlantic County, New Jersey",72906,2296,2591,692,2624,904,4069,959,2573,786,3216,783,4435,1205,3023,912,4169,869,3185,840,6240,1381,5801,1190,9261,1531,8011,1198,3915,1140,5057,961,4736,981
0500000US34003,34003,"Bergen County, New Jersey",249456,3908,11089,1950,7349,1455,7882,1441,7874,1156,6025,1079,8189,1657,7161,1441,7623,1437,6283,1281,15408,2006,19512,2097,27176,2957,26040,2362,20813,2210,28792,2273,42240,3001
0500000US34005,34005,"Burlington County, New Jersey",122614,2245,4707,1176,3257,960,2906,719,5222,1046,3597,624,4255,985,4005,993,5265,979,4853,1110,7154,1067,12186,1376,16674,1629,15295,1386,9719,1140,11073,1146,12446,1353
0500000US34007,34007,"Camden County, New Jersey",123134,2708,5832,1274,3923,850,4908,944,3888,838,4607,1099,4784,946,4956,1115,4680,1080,5216,1021,7887,1092,10816,1515,16651,1883,14273,1631,10048,1184,9551,1340,11114,1470
0500000US34009,34009,"Cape May County, New Jersey",36507,2039,1611,500,1583,510,1617,518,1747,557,1701,560,1876,662,1400,515,1789,729,2233,698,2870,784,3442,813,5354,800,3242,758,1721,520,2396,610,1925,433
0500000US34011,34011,"Cumberland County, New Jersey",38893,1409,3001,962,1160,455,2019,682,1726,580,2031,792,2194,813,2495,828,1648,559,1566,714,3410,750,4237,1080,4432,996,3677,892,3062,853,1220,423,1015,499
0500000US34013,34013,"Essex County, New Jersey",123581,3138,7596,1203,6365,1293,4317,1094,4747,1027,4699,1143,4008,741,3713,957,3766,820,3589,991,6329,1103,10204,1394,12134,1451,10628,1511,8028,1181,11178,1391,22280,1528
0500000US34015,34015,"Gloucester County, New Jersey",86627,2136,2582,804,2074,543,2283,534,3937,876,2392,885,3136,801,3247,763,3094,709,2494,738,5259,1113,8998,1340,14964,1643,10316,1498,6423,1179,8282,1304,7146,1286
0500000US34017,34017,"Hudson County, New Jersey",146705,3147,9954,1322,6423,1292,7599,1151,7160,1334,5455,1136,6224,1279,5193,1203,4965,1032,5164,1135,9168,1575,15145,2123,15919,1770,13279,1624,9143,1327,11365,1562,14549,1661
0500000US34019,34019,"Hunterdon County, New Jersey",44944,982,1860,794,546,331,1277,566,1275,546,996,341,915,363,1100,482,661,390,737,418,2847,753,3805,983,5532,960,5744,992,3371,841,5199,1015,9079,1195
0500000US34021,34021,"Mercer County, New Jersey",87187,1898,3559,882,2715,739,2977,930,2291,661,3032,933,3216,858,3743,1054,3354,894,2190,631,5647,1175,8132,1349,11268,1460,8486,1194,7082,1250,8325,1242,11170,1237
0500000US34023,34023,"Middlesex County, New Jersey",181835,2865,6921,1245,6381,1282,5878,1065,7319,1541,6036,1235,7863,1332,7188,1395,7437,1227,6051,1065,13350,1591,19006,1980,23876,2174,20080,2132,14098,1530,15164,1413,15187,1767
0500000US34025,34025,"Monmouth County, New Jersey",198995,2811,7994,1402,5069,1100,6601,1276,8380,1645,6621,1395,5466,998,5343,1085,5543,1162,5080,1087,11759,1542,14457,2002,24812,2280,21318,2071,17102,1576,21970,2116,31480,2267
0500000US34027,34027,"Morris County, New Jersey",151169,2573,3890,816,3129,857,3705,944,4168,985,3420,833,3503,925,4224,1041,4576,1011,4022,1070,8750,1314,11955,1588,18197,2019,15863,1762,13801,1645,17713,1725,30253,1953
0500000US34029,34029,"Ocean County, New Jersey",207683,3260,8658,1380,6591,1044,9714,1562,10710,1712,9698,1695,9505,1439,9721,1481,8289,1241,9058,1490,15122,1988,22874,2153,24589,2505,23648,2157,13309,1823,14508,1593,11689,1607
0500000US34031,34031,"Passaic County, New Jersey",99818,2949,5327,1244,3787,1040,4079,1104,4685,1000,3654,975,5255,1138,3379,996,3397,905,3313,799,5776,1182,8028,1215,13346,1761,10167,1399,7811,1212,9896,1308,7918,1070
0500000US34033,34033,"Salem County, New Jersey",19100,935,992,349,699,317,723,310,385,199,370,191,860,353,553,239,882,339,934,427,1340,488,1624,432,3223,609,2305,631,1757,442,1624,510,829,324
0500000US34035,34035,"Somerset County, New Jersey",83792,2197,2200,766,1773,655,2381,812,2991,1050,2749,907,1988,645,2237,687,2339,797,2124,720,4880,1076,6765,1070,11723,1602,8819,1359,5917,1215,8500,1132,16406,1564
0500000US34037,34037,"Sussex County, New Jersey",50464,1251,1164,458,970,401,1472,556,2320,677,1556,547,1496,436,1505,555,1375,482,1825,543,3247,727,5125,921,7420,949,6278,881,4306,789,5846,882,4559,802
0500000US34039,34039,"Union County, New Jersey",115708,2815,4772,1050,3337,769,3965,1036,4285,1033,4073,1059,4428,1070,4134,1015,3926,1013,3675,926,6504,1178,10065,1240,14780,1799,11531,1560,7856,1346,10778,1249,17599,1646
0500000US34041,34041,"Warren County, New Jersey",38540,1235,1180,373,1471,620,1066,468,1336,522,2045,719,2343,856,796,311,2156,729,941,401,3017,739,3614,867,5183,910,4501,824,3148,725,2714,620,3029,827
0500000US42001,42001,"Adams County, Pennsylvania",36486,937,940,371,855,343,1872,655,1470,416,2139,653,1553,477,2179,540,1589,422,1651,432,2966,591,4903,821,6071,984,3355,724,1982,442,1817,569,1144,532
0500000US42003,42003,"Allegheny County, Pennsylvania",440228,3966,24245,2226,20315,2086,21569,1736,22465,1835,21177,1864,20123,2311,18183,1771,17883,1441,18491,1913,35419,2701,46046,2630,57172,3456,42757,2809,23209,1961,24398,2311,26776,2212
0500000US42005,42005,"Armstrong County, Pennsylvania",27686,876,1915,506,1388,389,2532,510,1391,377,1877,515,1871,365,1330,399,1549,442,1141,313,2567,526,3172,640,2876,569,1995,465,1180,502,547,234,355,180
0500000US42007,42007,"Beaver County, Pennsylvania",64489,1516,2861,655,3052,725,4431,847,3434,817,4197,931,3741,822,2457,609,3714,732,2909,693,5307,983,6923,1042,9772,1330,4902,740,3005,734,2306,599,1478,517
