GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC04_EST_VC12,HC04_MOE_VC12,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC04_EST_VC16,HC04_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC04_EST_VC17,HC04_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC03_EST_VC21,HC03_MOE_VC21,HC04_EST_VC21,HC04_MOE_VC21,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC03_EST_VC23,HC03_MOE_VC23,HC04_EST_VC23,HC04_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC03_EST_VC24,HC03_MOE_VC24,HC04_EST_VC24,HC04_MOE_VC24,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC03_EST_VC26,HC03_MOE_VC26,HC04_EST_VC26,HC04_MOE_VC26,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC03_EST_VC28,HC03_MOE_VC28,HC04_EST_VC28,HC04_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC03_EST_VC29,HC03_MOE_VC29,HC04_EST_VC29,HC04_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC03_EST_VC30,HC03_MOE_VC30,HC04_EST_VC30,HC04_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC03_EST_VC31,HC03_MOE_VC31,HC04_EST_VC31,HC04_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC03_EST_VC32,HC03_MOE_VC32,HC04_EST_VC32,HC04_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC03_EST_VC33,HC03_MOE_VC33,HC04_EST_VC33,HC04_MOE_VC33,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC03_EST_VC36,HC03_MOE_VC36,HC04_EST_VC36,HC04_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC03_EST_VC37,HC03_MOE_VC37,HC04_EST_VC37,HC04_MOE_VC37,HC01_EST_VC40,HC01_MOE_VC40,HC02_EST_VC40,HC02_MOE_VC40,HC03_EST_VC40,HC03_MOE_VC40,HC04_EST_VC40,HC04_MOE_VC40,HC01_EST_VC43,HC01_MOE_VC43,HC02_EST_VC43,HC02_MOE_VC43,HC03_EST_VC43,HC03_MOE_VC43,HC04_EST_VC43,HC04_MOE_VC43,HC01_EST_VC44,HC01_MOE_VC44,HC02_EST_VC44,HC02_MOE_VC44,HC03_EST_VC44,HC03_MOE_VC44,HC04_EST_VC44,HC04_MOE_VC44,HC01_EST_VC45,HC01_MOE_VC45,HC02_EST_VC45,HC02_MOE_VC45,HC03_EST_VC45,HC03_MOE_VC45,HC04_EST_VC45,HC04_MOE_VC45,HC01_EST_VC46,HC01_MOE_VC46,HC02_EST_VC46,HC02_MOE_VC46,HC03_EST_VC46,HC03_MOE_VC46,HC04_EST_VC46,HC04_MOE_VC46,HC01_EST_VC47,HC01_MOE_VC47,HC02_EST_VC47,HC02_MOE_VC47,HC03_EST_VC47,HC03_MOE_VC47,HC04_EST_VC47,HC04_MOE_VC47
0500000US34001,34001,"Atlantic County, New Jersey",220275,878,65.7,1.4,58.3,1.6,10.8,1.5,14460,1378,48.5,6.4,29.6,6.0,38.9,11.8,18056,1078,79.2,5.6,62.0,8.7,20.5,7.6,16626,557,84.5,4.8,74.1,5.6,12.3,4.5,15493,346,85.3,4.2,77.0,5.3,9.3,3.8,32917,651,83.2,3.2,76.6,3.5,6.4,2.8,39286,574,81.8,2.9,74.5,3.6,8.9,2.6,19751,1308,79.8,3.9,75.1,4.4,5.8,3.1,19032,1301,63.3,5.2,59.5,5.3,6.0,3.0,25487,797,28.6,4.3,26.4,4.3,8.0,4.1,19167,797,7.4,3.0,7.0,2.9,5.9,5.8,152953,2929,64.7,1.8,58.8,1.8,8.9,1.3,31212,1574,68.8,4.3,56.5,5.7,16.1,5.6,N,N,N,N,N,N,N,N,17669,1041,61.2,5.1,55.9,5.3,8.7,4.7,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,35661,422,71.2,3.5,60.9,4.1,14.5,4.2,132130,471,64.0,1.8,58.5,1.8,8.2,1.3,161161,1009,80.0,1.4,72.0,1.9,9.4,1.5,78389,636,83.3,1.9,74.8,2.7,9.4,2.4,82772,942,76.8,2.1,69.4,2.7,9.4,2.1,29647,2076,78.7,3.7,67.0,4.5,15.0,4.4,4422,1282,84.4,7.9,76.2,10.4,9.7,7.2,6218,1101,67.9,10.1,49.6,10.5,26.9,11.5,19007,2105,81.0,5.0,70.5,5.7,13.0,5.4,21294,2668,56.4,5.2,34.7,4.8,38.5,6.9,137724,3198,84.4,1.4,78.6,1.8,6.2,1.3,17821,1740,49.9,5.5,38.8,5.5,22.2,8.3,143105,564,80.1,1.5,73.3,1.8,8.1,1.3,18543,2347,67.3,6.3,62.9,6.2,6.6,3.5,45446,3791,80.7,3.1,72.1,3.8,9.6,2.3,39420,2984,80.9,2.8,72.4,3.3,10.4,2.9,39696,3161,84.6,2.6,80.4,2.8,4.7,2.2
0500000US34003,34003,"Bergen County, New Jersey",762263,1341,65.6,0.7,62.6,0.7,4.5,0.5,47349,1494,21.0,2.8,17.7,2.8,15.7,5.7,54309,470,63.1,4.2,56.8,4.4,10.0,2.7,51742,147,85.6,2.7,80.7,3.1,5.6,1.8,57671,67,86.7,2.6,83.0,2.9,4.3,1.2,125878,206,84.0,1.5,81.1,1.7,3.4,0.9,144477,119,84.7,1.5,81.5,1.5,3.8,0.7,71132,2736,80.4,2.3,76.8,2.5,4.4,1.3,57061,2715,67.5,2.8,65.5,2.8,2.9,1.2,82580,160,36.6,2.7,35.5,2.8,3.1,1.5,70064,87,11.0,1.9,10.6,1.9,3.5,2.9,539610,5803,64.6,0.9,61.6,0.9,4.6,0.6,46474,2053,70.7,2.8,67.1,2.8,5.0,1.6,N,N,N,N,N,N,N,N,124216,1659,66.8,2.3,64.5,2.3,3.4,0.9,N,N,N,N,N,N,N,N,39124,5348,71.7,4.7,68.3,5.0,4.7,2.1,10767,2035,62.8,7.4,56.8,7.4,9.5,6.5,136594,708,70.9,2.0,67.0,2.2,5.5,1.4,450345,1192,63.4,1.0,60.7,1.1,4.4,0.6,562270,487,80.4,0.8,76.9,0.8,4.4,0.5,274687,495,87.6,1.0,83.8,1.0,4.2,0.6,287583,122,73.6,1.2,70.3,1.3,4.6,0.7,109285,3619,72.8,2.0,69.4,2.1,4.6,1.1,24988,2050,69.9,4.7,67.0,4.7,4.1,1.5,19154,2041,63.7,5.6,57.5,5.7,9.8,5.7,65143,2858,76.6,2.9,73.9,2.9,3.5,1.0,35693,4552,43.7,5.0,33.1,4.6,24.3,5.3,523932,4529,83.2,0.8,80.1,0.8,3.7,0.4,29165,2441,44.8,4.7,39.9,4.4,10.8,4.2,507961,121,82.3,0.8,79.0,0.8,3.9,0.4,28996,3460,71.6,4.4,67.3,4.7,6.1,2.7,108287,5968,75.4,2.2,70.9,2.3,6.0,1.5,110546,5010,83.2,1.9,79.3,2.0,4.6,1.0,260132,6524,86.0,1.0,83.6,1.0,2.7,0.5
0500000US34005,34005,"Burlington County, New Jersey",365564,982,66.8,1.0,60.1,1.0,8.1,0.8,22175,1218,39.5,5.1,28.2,5.2,22.0,9.4,29517,753,78.8,3.9,60.2,4.5,19.0,4.0,27418,44,83.9,3.7,72.0,4.4,10.6,3.3,27260,189,85.2,2.8,74.9,3.8,8.0,2.8,55662,176,79.9,2.7,73.4,3.1,6.3,2.2,69702,165,86.0,1.7,81.4,2.1,5.2,1.3,35992,1758,82.8,2.6,78.5,2.9,4.7,1.5,26209,1747,65.4,4.0,60.6,4.2,7.3,3.1,39705,563,32.1,3.3,30.0,3.1,6.5,3.0,31924,545,5.7,1.5,5.5,1.5,4.3,4.5,268310,1902,67.7,1.1,61.5,1.3,7.3,1.0,59761,1936,63.4,2.6,55.0,3.0,11.4,3.1,N,N,N,N,N,N,N,N,18178,832,60.6,4.1,55.9,4.5,7.2,3.3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,10607,1983,69.8,7.5,55.5,7.8,16.8,9.3,25076,356,72.1,4.0,62.9,4.7,6.8,2.9,255796,765,67.4,1.2,61.4,1.3,7.2,1.0,271760,776,81.3,1.2,73.5,1.3,7.7,0.8,136190,497,84.5,1.6,74.9,1.9,8.3,1.3,135570,664,78.0,1.6,72.0,1.8,7.1,1.2,46510,2646,75.4,3.0,70.6,3.2,5.8,1.8,9664,1200,71.3,6.9,66.4,8.0,6.0,4.7,9820,1514,67.3,7.5,60.5,8.2,8.4,6.5,27026,2257,79.8,3.4,75.8,3.8,5.1,1.8,19497,2681,55.8,6.3,34.7,6.5,37.7,8.7,244957,3305,85.5,1.1,78.7,1.1,6.2,0.8,22487,2516,51.7,5.6,43.1,5.2,15.2,4.6,242243,183,81.6,1.2,75.1,1.3,6.5,0.8,11480,1824,53.0,5.9,46.8,6.1,10.8,6.1,63362,3683,76.3,2.8,68.2,3.0,10.2,2.2,74405,3370,82.3,2.0,74.2,2.6,7.2,2.0,92996,4380,88.2,1.6,84.0,1.6,3.4,1.0
0500000US34007,34007,"Camden County, New Jersey",406704,1112,66.0,1.2,61.0,1.3,7.4,0.9,25690,1136,32.3,5.1,26.2,4.3,19.0,6.8,32194,332,78.6,3.9,70.7,4.4,9.8,3.2,35327,99,86.4,3.3,77.3,4.0,10.1,3.0,34735,117,85.0,3.1,77.1,3.9,9.0,2.8,64742,182,86.2,2.5,81.1,3.0,5.7,1.8,72422,269,82.4,2.3,77.5,2.3,5.9,1.5,37712,2029,72.3,3.5,68.8,3.6,4.8,1.7,29387,2027,59.5,4.2,55.4,4.4,6.8,2.7,42731,419,29.2,3.2,27.2,3.2,7.1,3.6,31764,409,6.4,2.5,6.2,2.5,3.2,4.9,267777,4047,66.8,1.0,62.5,1.1,6.2,1.0,74280,1816,62.8,3.7,56.0,3.8,11.0,2.6,N,N,N,N,N,N,N,N,23868,735,71.2,3.5,66.8,3.7,6.2,3.6,N,N,N,N,N,N,N,N,29777,4205,64.6,5.5,57.3,5.9,11.3,4.7,N,N,N,N,N,N,N,N,56627,589,65.8,3.4,58.9,4.2,10.5,3.3,246396,1042,66.7,1.1,62.5,1.1,6.1,1.0,306519,457,80.1,1.4,74.3,1.5,7.1,0.9,148387,462,83.6,2.0,77.4,2.3,7.3,1.4,158132,203,76.8,1.7,71.4,1.8,6.9,1.1,54747,2774,80.2,2.7,73.9,2.9,7.9,1.8,12954,1724,83.9,5.2,74.2,5.8,11.6,4.8,10528,1561,76.2,8.0,73.1,8.4,4.1,2.9,31265,1959,80.1,3.4,74.1,3.7,7.4,2.7,34889,4119,45.1,5.5,27.2,4.2,39.8,6.4,268980,4219,85.4,1.1,81.1,1.2,4.8,0.8,33441,2835,37.3,4.5,31.9,4.2,14.4,4.2,274325,259,80.3,1.4,74.7,1.5,6.8,0.9,24945,2632,53.2,5.5,47.0,5.9,11.6,5.2,77890,4139,76.9,2.8,69.3,3.0,9.8,2.1,79813,4163,82.8,2.6,77.3,3.0,6.6,1.6,91677,4105,88.3,1.8,84.7,1.7,3.8,1.1
0500000US34009,34009,"Cape May County, New Jersey",80467,556,57.9,2.3,51.6,2.5,8.5,2.0,4380,485,38.6,10.6,21.0,11.1,13.1,20.4,5153,265,72.9,14.5,45.2,15.0,30.3,14.9,5058,480,84.4,7.7,80.5,8.7,3.2,3.8,4291,416,82.9,9.1,72.6,9.5,9.8,7.8,9263,803,89.1,6.0,82.4,7.2,7.5,4.3,13385,666,76.1,7.4,71.5,7.1,6.1,3.3,6873,819,79.2,7.7,73.9,8.1,6.8,5.9,8644,676,55.5,6.4,51.9,6.3,6.6,4.1,13547,416,26.2,4.4,24.2,4.1,7.4,5.1,9873,368,11.3,4.4,10.9,4.3,3.1,5.4,74423,688,57.8,2.3,52.3,2.4,6.9,1.9,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,70005,309,56.9,2.3,51.3,2.3,7.3,2.0,52667,573,76.5,2.9,68.9,3.1,8.6,2.3,26490,437,83.6,3.2,72.4,3.7,11.1,3.7,26177,437,69.2,4.8,65.3,4.7,5.6,1.9,7766,1022,74.9,6.9,70.4,7.5,6.1,4.3,1867,634,74.1,15.6,67.9,17.5,8.3,11.8,1347,625,83.5,14.3,73.7,19.0,11.7,13.8,4552,831,72.7,10.4,70.4,10.5,3.2,3.9,4343,1389,44.8,14.8,34.7,12.5,22.5,14.8,47163,1419,80.4,2.9,73.7,3.3,7.9,2.3,6595,1160,46.7,12.4,37.6,11.4,19.5,15.4,47514,716,76.8,3.1,71.4,3.3,6.6,2.0,4139,1650,60.2,15.5,52.2,17.0,13.2,12.8,13209,1554,76.7,5.6,69.4,6.1,9.0,4.3,14840,1623,75.4,5.7,70.9,6.2,5.0,3.0,15326,1421,82.8,4.0,78.9,4.2,4.8,2.4
0500000US34011,34011,"Cumberland County, New Jersey",123260,509,57.1,2.2,53.7,2.2,5.8,1.5,6667,695,32.8,7.8,26.0,7.8,20.8,13.1,10591,620,71.6,7.7,62.8,7.2,12.3,5.8,11511,122,71.7,7.2,65.0,6.7,9.4,6.6,12017,814,61.5,6.3,59.7,6.3,3.0,3.0,21305,736,75.0,4.7,73.1,4.5,2.5,1.4,21094,217,69.0,4.8,65.3,4.7,5.4,2.9,10668,1131,65.2,7.4,62.8,7.5,3.6,3.1,7773,1133,50.2,8.5,48.1,8.8,4.2,3.9,11922,536,25.9,6.4,24.9,6.2,3.8,3.5,9712,526,4.5,2.5,4.5,2.5,0.0,30.0,87708,1726,61.3,2.3,58.0,2.5,5.4,1.7,23630,1539,38.8,5.6,35.8,5.6,7.6,3.9,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,31884,342,66.8,3.9,64.5,4.2,3.4,2.4,63069,302,57.7,2.8,53.8,3.0,6.8,2.1,94959,603,68.1,2.7,64.3,2.7,5.5,1.5,51180,405,65.3,3.6,62.0,3.8,5.0,1.7,43779,518,71.3,3.5,67.0,3.4,6.0,2.5,17096,1435,73.9,5.6,70.1,5.6,5.1,3.4,3353,896,71.4,16.0,62.7,14.6,12.2,11.4,3744,898,55.9,15.8,49.8,16.6,10.9,11.5,9999,1149,81.4,5.9,80.2,5.9,1.5,1.8,12634,1920,45.2,9.0,37.2,8.3,17.7,8.1,71661,2525,82.2,2.3,78.7,2.5,4.3,1.4,8358,1739,42.1,7.4,37.7,7.8,10.4,6.2,84368,300,67.6,2.9,64.5,2.8,4.6,1.4,16455,2350,54.7,7.5,51.8,7.7,5.2,3.4,37335,2518,66.6,4.3,63.1,4.3,5.3,2.5,18565,1775,72.7,4.4,69.6,4.1,4.2,2.9,12013,1845,80.7,6.1,78.6,6.2,2.7,2.1
0500000US34013,34013,"Essex County, New Jersey",626840,1427,65.9,0.9,59.2,0.9,10.2,0.9,40868,1420,25.7,3.5,15.7,3.2,39.1,10.0,54168,379,70.7,3.9,54.4,4.1,23.0,3.9,54411,4,81.4,3.1,73.7,3.3,9.4,2.1,53704,11,85.0,2.3,79.1,3.1,6.9,2.1,112679,235,84.7,1.6,77.2,2.0,8.9,1.6,114937,350,81.8,1.8,74.6,2.0,8.9,1.7,50953,2309,74.3,2.9,69.9,2.7,5.9,1.7,44248,2309,60.7,3.7,55.8,3.5,8.1,2.4,57359,656,30.6,2.8,29.5,2.8,3.8,1.6,43513,645,6.6,1.7,6.2,1.7,5.5,5.6,266970,5276,64.7,1.4,61.1,1.4,5.5,0.9,246131,2224,65.5,1.7,55.2,1.6,15.8,1.7,N,N,N,N,N,N,N,N,33661,1316,68.8,3.6,64.7,3.4,6.0,2.7,N,N,N,N,N,N,N,N,65194,5512,72.4,3.1,64.5,3.4,10.9,3.1,13255,2420,62.1,6.6,57.3,6.6,7.7,4.7,131335,650,69.5,1.9,62.5,2.4,10.2,2.1,206254,1292,63.8,1.3,61.0,1.3,4.4,1.1,485100,547,78.8,1.1,71.1,1.0,9.8,0.9,235096,349,81.0,1.4,73.6,1.6,9.2,1.2,250004,411,76.8,1.4,68.9,1.5,10.3,1.2,89320,3244,79.2,1.9,71.9,2.1,9.2,1.6,19319,1929,75.1,5.4,64.8,5.9,13.8,4.7,15923,1794,77.1,5.5,69.0,6.0,10.5,4.3,54078,3111,81.2,2.7,75.2,2.7,7.4,1.7,70862,3964,55.4,3.7,37.2,3.0,32.9,4.2,404686,4526,84.7,0.9,78.7,0.9,7.1,0.8,46399,3691,46.8,3.9,36.6,3.7,21.7,4.8,430932,354,79.9,1.1,73.2,1.1,8.3,0.8,54524,3855,65.6,4.0,57.2,4.5,12.8,3.4,117626,5260,72.4,2.5,62.8,2.6,13.2,2.3,103784,4354,84.9,1.9,78.1,2.1,8.0,1.4,154998,5236,87.2,1.0,83.6,1.2,4.1,0.8
0500000US34015,34015,"Gloucester County, New Jersey",234128,803,66.2,1.5,61.1,1.5,7.7,0.8,15968,1184,35.4,6.9,25.9,5.9,26.7,9.2,19085,1011,76.2,7.0,66.8,7.2,12.3,4.1,17938,919,88.0,3.7,80.2,4.6,8.8,3.7,16656,1009,86.8,4.8,80.5,5.2,7.2,3.7,38817,1335,86.3,2.8,81.8,3.1,5.2,1.9,43358,722,83.0,2.8,78.2,3.2,5.8,1.8,21908,1483,75.7,4.0,70.9,4.8,6.4,3.3,18337,1458,64.0,5.1,59.1,5.2,7.6,3.6,25007,740,23.5,3.6,22.3,3.8,5.0,3.9,17054,522,5.0,2.7,4.6,2.4,6.8,11.3,193321,1584,66.0,1.6,61.6,1.5,6.8,1.0,22336,1296,62.8,4.1,56.3,4.4,10.2,4.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,189012,741,65.8,1.6,61.4,1.6,6.7,1.0,176099,919,81.0,1.8,75.3,1.8,7.0,0.8,86367,635,86.1,2.1,78.8,2.4,8.5,1.5,89732,733,76.0,2.6,71.9,2.5,5.4,1.2,31748,2487,79.2,3.2,76.0,3.7,4.1,2.3,6918,1125,79.1,6.4,72.3,7.2,8.5,5.6,5109,1125,68.3,10.9,64.5,11.9,5.6,7.0,19721,2170,82.1,4.1,80.3,4.4,2.3,1.8,12468,2406,49.7,8.1,35.5,7.1,28.6,9.6,163080,2539,83.6,1.6,78.5,1.6,6.0,0.8,23563,2898,46.8,5.2,38.6,4.7,17.5,6.0,157014,1047,81.5,1.7,76.3,1.8,6.4,0.9,9944,1589,58.5,9.1,45.1,7.9,22.9,7.5,49541,2981,76.0,3.2,69.6,3.1,8.4,1.9,45567,2986,84.6,2.5,80.7,2.9,4.6,1.7,51962,3485,88.6,1.9,84.9,2.5,4.2,1.7
0500000US34017,34017,"Hudson County, New Jersey",551310,932,69.2,0.9,64.1,1.0,7.3,0.7,25989,984,25.2,4.0,18.9,3.7,24.9,8.1,46004,267,67.2,3.7,57.4,3.8,14.5,3.0,69639,10,83.1,2.2,79.3,2.5,4.6,1.4,71920,77,86.3,2.3,81.4,2.4,5.5,1.6,106151,285,85.7,1.7,79.3,2.2,7.4,1.5,86688,438,82.0,1.8,76.1,2.1,7.2,1.4,37144,1975,75.1,3.9,71.6,3.8,4.6,1.7,34249,1989,61.1,3.5,57.1,3.5,6.5,2.7,42250,295,27.3,3.3,24.4,3.0,10.6,6.5,31276,199,6.1,2.0,5.8,2.0,3.8,6.2,301340,6695,70.0,1.1,65.5,1.2,6.4,0.9,68323,2679,67.2,3.0,59.7,3.3,11.2,2.7,N,N,N,N,N,N,N,N,86956,1520,67.3,2.0,63.5,1.9,5.6,1.6,N,N,N,N,N,N,N,N,78776,7248,71.8,3.2,65.3,3.0,9.0,2.3,13913,2838,61.4,8.3,56.1,7.6,8.7,4.9,227287,768,69.5,1.6,63.4,1.6,8.7,1.2,168301,545,71.0,1.4,67.2,1.5,5.3,1.0,451795,420,80.1,1.0,74.5,1.1,6.9,0.7,227988,283,86.0,1.3,81.3,1.5,5.5,0.8,223807,494,74.0,1.5,67.6,1.6,8.6,1.1,72722,3391,72.1,2.6,64.7,3.0,10.3,2.4,23841,2588,69.9,4.2,64.1,4.5,8.3,3.3,13970,2085,57.6,6.5,50.5,7.1,12.2,7.0,34911,2896,79.4,3.3,70.7,4.3,10.9,3.5,68766,5639,51.2,3.0,38.7,3.3,24.5,4.5,381305,5723,85.5,1.0,81.2,1.0,5.0,0.6,33690,3174,46.8,4.9,39.2,5.0,16.3,5.1,405791,401,81.5,1.0,76.4,1.1,6.2,0.7,51535,4181,66.9,3.1,61.4,3.2,8.2,2.5,104613,4904,75.5,2.6,68.7,2.7,9.0,1.8,74280,4093,83.9,2.1,78.1,2.6,6.9,1.7,175363,4788,88.4,1.1,84.7,1.2,4.1,0.7
0500000US34019,34019,"Hunterdon County, New Jersey",103219,644,66.7,2.2,63.9,2.2,4.2,1.1,7728,695,29.4,7.3,26.5,7.0,9.7,6.4,7695,559,66.1,8.9,54.4,9.7,17.7,8.8,5272,537,85.0,8.7,78.6,9.1,7.5,7.0,5252,513,83.7,6.0,83.6,6.0,0.1,0.3,13884,732,80.4,5.6,78.6,5.7,2.3,2.8,22805,581,85.8,4.3,83.6,4.2,2.6,1.6,11976,1027,85.6,4.5,81.5,5.3,4.8,2.8,8510,1052,78.4,5.5,77.6,5.7,1.0,1.4,12061,366,33.0,7.0,32.1,6.9,2.7,3.5,8036,222,12.7,4.7,12.7,4.7,0.0,14.5,94968,672,67.5,2.1,64.9,2.1,3.9,1.1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,90401,454,67.6,2.2,65.0,2.2,3.9,1.0,75394,720,81.7,2.4,78.3,2.6,4.1,1.2,37634,399,86.9,2.6,83.6,2.8,3.8,1.4,37760,596,76.5,3.8,73.1,3.7,4.5,2.0,13290,1251,77.7,6.0,74.9,5.9,3.6,3.2,1867,487,83.5,11.5,83.5,11.5,0.0,9.7,2436,633,53.3,15.1,53.3,15.1,0.0,11.6,8987,975,83.1,6.4,79.0,6.6,4.9,4.4,4167,1329,39.9,13.9,29.2,12.7,26.7,18.7,68990,1633,86.9,2.0,83.8,2.1,3.5,1.1,4817,954,59.8,12.4,54.3,12.0,9.2,8.3,67699,836,83.5,2.4,81.0,2.4,2.9,1.2,2606,734,71.9,11.2,68.8,11.2,4.4,4.8,13441,1664,77.1,5.7,74.3,5.5,3.6,3.1,16009,1616,77.6,5.3,74.2,5.6,4.5,3.0,35643,2269,89.3,2.4,87.5,2.8,2.0,1.3
