GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0500000US34001,34001,"Atlantic County, New Jersey",152274,248,73717,97,3225,200,3635,575,3388,573,2510,200,1065,515,5172,515,4258,200,3886,200,7648,200,10931,200,12826,200,9148,200,3852,475,2173,475,78557,184,2964,94,2659,713,4115,713,2282,200,1694,200,4562,147,4088,200,3920,200,7898,200,11687,200,13592,200,10336,200,6175,588,2585,588
0500000US34003,34003,"Bergen County, New Jersey",534883,635,260605,374,11761,112,13938,1319,16095,1345,10700,200,6044,200,15205,200,12581,200,13591,200,28825,62,40597,103,42275,200,27943,156,13130,996,7920,998,274278,395,11210,53,14976,1287,13739,1288,10235,200,5637,200,14500,200,12006,200,13351,58,29477,200,41362,153,43674,131,31043,260,18880,1349,14188,1349
0500000US34005,34005,"Burlington County, New Jersey",304085,738,148531,547,6835,200,7184,1051,9544,1062,5829,200,3124,72,9039,231,9189,200,8471,212,17350,223,23370,200,23618,200,14773,200,7662,591,2543,591,155554,285,6434,200,7046,1118,9137,1141,5482,200,2796,200,8179,200,8205,200,8438,158,17606,159,24696,200,24666,200,17164,200,10346,881,5359,881
0500000US34007,34007,"Camden County, New Jersey",291882,199,141807,67,7025,200,6420,824,8936,829,5105,200,2856,200,7808,200,9420,200,9621,200,17232,200,21123,200,22520,200,14421,200,6056,646,3264,646,150075,188,6759,200,6753,880,7699,880,4770,200,2491,200,7558,200,9201,200,9535,200,17275,200,22247,200,24015,200,16683,188,8943,808,6146,808
0500000US34009,34009,"Cape May County, New Jersey",80488,117,39025,117,1675,200,1652,330,1751,330,1142,117,813,200,2449,200,2180,200,1894,200,3390,200,5154,200,6847,200,6136,200,2891,333,1051,333,41463,200,1536,200,1521,446,1781,446,1188,200,344,184,2337,184,1891,200,1792,200,3578,200,5567,200,7641,200,6853,200,3104,473,2330,473
0500000US34011,34011,"Cumberland County, New Jersey",71971,82,35096,200,1519,200,1308,530,2053,530,1149,200,586,200,1759,200,2323,200,2188,200,4236,200,5466,200,5575,200,4182,200,2266,296,486,296,36875,82,1538,200,1056,409,2170,409,1037,200,1088,401,1198,401,2059,200,2071,200,4032,200,5544,82,6029,200,4786,200,2851,495,1416,495
0500000US34013,34013,"Essex County, New Jersey",247816,847,121555,282,5911,200,6529,912,7799,911,4487,200,2757,200,6627,99,6232,52,6718,200,15773,80,19567,200,18645,193,11947,200,5346,733,3217,723,126261,730,5499,200,6303,1055,7179,1034,4188,70,2457,83,6304,152,5993,102,6876,92,15694,108,19152,158,18977,402,13422,154,8077,870,6140,870
0500000US34015,34015,"Gloucester County, New Jersey",230613,200,112524,200,5817,200,6951,892,6759,892,4718,200,2724,200,7179,200,7349,200,6716,200,13541,200,17463,200,16678,200,10584,200,4547,500,1498,500,118089,200,5455,200,7149,872,6004,872,4491,200,2488,200,6707,200,6898,200,6845,200,14458,200,18581,200,17711,200,11894,200,5455,746,3953,746
0500000US34017,34017,"Hudson County, New Jersey",193489,1274,98933,853,5795,164,4426,489,2790,511,1989,47,1477,118,4898,213,11723,329,12582,200,16300,67,13133,200,12119,258,7031,200,3008,616,1662,616,94556,706,5473,200,3378,608,3493,608,1606,244,1096,200,4193,328,11618,77,11706,64,13963,190,11002,309,11297,87,7936,200,5244,658,2551,658
0500000US34019,34019,"Hunterdon County, New Jersey",107105,200,52702,200,1871,200,2266,529,3766,529,2498,200,1313,200,3257,200,2224,200,2178,200,5121,200,9242,200,9962,200,5757,200,2559,316,688,316,54403,200,1873,200,2264,607,3461,607,2423,200,1150,200,2933,200,1988,200,2172,200,5494,200,10048,200,9839,200,5952,200,3230,543,1576,543
