GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0500000US34001,34001,"Atlantic County, New Jersey",51340,*****,25719,*****,2301,*****,2725,474,2013,474,1404,*****,715,451,2101,451,2102,*****,2016,*****,3662,*****,3135,*****,2094,*****,734,397,717,397,0,206,25621,*****,2298,*****,2659,550,2053,550,1357,*****,910,516,1782,517,1821,*****,1833,*****,3601,*****,3254,*****,2312,*****,1075,413,613,409,53,91
0500000US34003,34003,"Bergen County, New Jersey",189053,*****,92745,*****,7079,*****,6834,1298,6990,1299,4164,*****,2650,*****,6896,*****,7334,*****,7677,*****,15500,*****,12818,*****,8433,*****,4046,*****,1984,309,340,309,96308,*****,6880,*****,6545,928,6991,928,3930,*****,2569,*****,6583,*****,6695,*****,7512,*****,15518,*****,14129,*****,9853,*****,5222,*****,2457,540,1424,540
0500000US34005,34005,"Burlington County, New Jersey",36283,*****,19189,437,1553,*****,1572,483,1462,482,972,437,897,395,1713,394,1854,*****,1795,*****,2837,*****,2168,*****,1410,*****,744,199,203,194,9,19,17094,437,1528,*****,1183,472,1909,472,657,437,811,471,877,471,1334,*****,1462,*****,2645,*****,2060,*****,1407,*****,989,242,232,242,0,206
0500000US34007,34007,"Camden County, New Jersey",86782,*****,42967,*****,4418,*****,3285,872,5119,872,2218,*****,1279,616,3432,616,3773,*****,3439,*****,6145,*****,4668,*****,2909,*****,1461,*****,492,220,329,220,43815,*****,4269,*****,3963,1018,4039,1018,2200,*****,1313,*****,3367,*****,3627,*****,3357,*****,6362,*****,5045,*****,3386,*****,1778,*****,953,144,156,144
0500000US34009,34009,"Cape May County, New Jersey",7325,*****,4132,325,397,351,569,446,481,426,132,141,401,352,291,258,157,147,319,361,515,252,379,252,221,183,123,161,0,206,147,222,3193,325,147,165,218,225,556,366,253,260,77,107,0,206,97,130,560,543,450,384,576,515,141,118,58,89,52,87,8,17
0500000US34011,34011,"Cumberland County, New Jersey",46911,*****,24560,*****,2318,*****,2467,605,2214,605,1241,*****,580,427,1917,427,2103,*****,2157,*****,3771,*****,2613,*****,1754,*****,879,407,357,300,189,245,22351,*****,2249,*****,2986,454,1523,454,1190,*****,363,328,1912,327,1706,*****,1625,*****,3020,*****,2481,*****,1609,*****,1065,*****,349,183,273,183
0500000US34013,34013,"Essex County, New Jersey",187730,*****,94737,*****,8529,*****,6866,1050,8467,1050,4032,*****,2553,*****,6866,*****,7592,*****,7859,*****,15662,*****,12484,*****,7748,*****,4059,*****,1172,484,848,484,92993,*****,8444,*****,7157,1083,7404,1083,3820,*****,2520,*****,6616,*****,7113,*****,7474,*****,14626,*****,11529,*****,8215,*****,4903,*****,2530,415,642,415
0500000US34015,34015,"Gloucester County, New Jersey",18132,*****,9205,277,783,*****,790,486,1083,486,605,277,426,225,562,380,835,393,359,270,1552,612,1207,581,497,312,360,290,146,202,0,206,8927,277,816,*****,657,327,1109,327,417,277,292,282,701,299,749,350,634,*****,1408,*****,1002,*****,760,207,75,92,307,185,0,206
0500000US34017,34017,"Hudson County, New Jersey",298373,*****,146596,*****,10821,*****,9980,1654,10043,1654,5792,*****,3689,*****,10435,*****,12757,*****,12538,*****,23197,*****,19210,*****,14667,*****,7981,*****,3936,563,1550,563,151777,*****,10554,*****,11076,1214,8137,1214,5456,*****,3475,*****,10012,*****,11931,*****,11657,*****,22112,*****,20396,*****,17065,*****,10819,*****,6269,873,2818,872
