GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0500000US34001,34001,"Atlantic County, New Jersey",14355,1424,3405,1311,1295,571,827,440,401,322,858,463,1116,680,909,753,689,426,253,305,473,400,1386,600,853,483,693,498,481,423,290,254,426,338
0500000US34003,34003,"Bergen County, New Jersey",21498,1712,1482,697,903,542,731,482,738,598,412,380,692,405,699,444,623,395,1372,840,1162,617,2016,739,3470,1014,1591,672,1645,823,1545,724,2417,757
0500000US34005,34005,"Burlington County, New Jersey",26055,1528,1696,883,1179,624,346,255,908,571,436,308,465,292,702,459,816,451,1325,790,2898,834,1997,700,4455,1091,3628,1018,1649,772,2018,826,1537,644
0500000US34007,34007,"Camden County, New Jersey",35702,2203,5211,1435,1235,572,2381,961,2686,1171,963,460,2757,1049,809,498,982,590,1998,1013,3605,1120,3840,896,2815,972,2430,938,1892,810,1204,554,894,680
0500000US34011,34011,"Cumberland County, New Jersey",8836,1045,909,453,1114,562,470,301,1045,696,573,438,526,393,408,383,309,191,148,143,464,331,652,549,907,445,394,289,462,300,415,355,40,69
0500000US34013,34013,"Essex County, New Jersey",117392,2642,18378,2470,7237,1409,5630,1218,6562,1291,6224,1696,6028,1493,4906,1119,6500,1267,4350,1178,9444,2245,9278,1617,12642,2098,7261,1465,4635,1189,4679,1300,3638,839
0500000US34015,34015,"Gloucester County, New Jersey",11067,914,1162,623,551,483,401,352,701,505,712,427,626,426,484,352,1077,854,124,161,715,426,955,446,1397,539,978,405,616,401,427,319,141,166
0500000US34017,34017,"Hudson County, New Jersey",28337,2075,2546,1026,2302,892,1410,635,1356,516,1575,640,1746,612,1497,690,1408,693,1010,633,2001,744,2611,892,2857,1058,2722,1042,1108,595,779,583,1409,702
0500000US34021,34021,"Mercer County, New Jersey",27357,1738,4110,1190,2046,636,1991,640,829,547,844,383,1869,812,1534,846,1868,855,1189,728,1597,829,2815,826,2825,861,934,381,1723,903,641,447,542,397
0500000US34023,34023,"Middlesex County, New Jersey",28212,1951,1907,855,895,447,364,305,1274,720,1186,767,1079,676,1226,615,1166,612,1161,743,2066,788,2970,849,4337,1338,2759,917,1176,632,2534,934,2112,709
0500000US34025,34025,"Monmouth County, New Jersey",16349,1456,1414,687,784,556,978,545,934,701,735,352,776,572,1025,767,377,301,525,410,1382,850,1322,683,2021,861,646,390,909,545,1580,748,941,503
0500000US34031,34031,"Passaic County, New Jersey",18733,1317,2169,751,1469,654,1326,608,683,331,655,468,960,482,631,384,935,445,838,517,2146,849,1494,613,2188,918,1600,799,796,489,599,436,244,243
0500000US34035,34035,"Somerset County, New Jersey",10994,1716,356,292,533,449,133,165,704,505,137,183,129,169,733,722,1094,879,418,445,269,259,1065,672,654,381,1868,787,1022,562,1231,788,648,359
0500000US34039,34039,"Union County, New Jersey",42063,1798,2043,654,1259,615,3249,1284,3303,1078,1774,866,1900,836,1865,745,2133,990,1608,765,3902,969,4169,1308,4802,1136,3790,1035,1764,640,2542,807,1960,715
0500000US42003,42003,"Allegheny County, Pennsylvania",67809,2858,10586,1664,7836,1539,6490,1377,5818,1253,3013,937,4398,1029,3276,970,2730,788,2667,883,5251,1351,4925,1315,4217,1093,2971,859,1555,799,1067,506,1009,489
0500000US42011,42011,"Berks County, Pennsylvania",7312,1159,793,495,573,473,122,143,610,380,164,153,646,321,224,193,615,454,37,64,406,304,563,372,1166,524,328,375,504,509,323,364,238,243
0500000US42017,42017,"Bucks County, Pennsylvania",8830,956,629,446,380,300,628,444,246,210,107,128,414,470,508,422,404,330,230,193,1192,813,823,423,872,532,1320,718,161,205,570,357,346,289
0500000US42029,42029,"Chester County, Pennsylvania",9744,1017,805,494,338,248,93,149,515,343,442,468,349,253,396,392,190,184,298,472,1033,468,812,373,1012,373,1414,722,1342,510,497,411,208,191
0500000US42043,42043,"Dauphin County, Pennsylvania",19247,1711,2228,784,1211,688,1271,554,1135,511,419,338,688,439,1208,567,1297,530,894,549,2509,919,2102,731,2680,912,1070,526,370,307,133,136,32,52
0500000US42045,42045,"Delaware County, Pennsylvania",41209,2047,4323,1073,1811,675,1736,629,3042,794,1457,611,3607,1150,2153,644,1601,765,1851,824,3711,981,4617,1142,5142,1022,2773,862,1356,547,1375,511,654,357
0500000US42049,42049,"Erie County, Pennsylvania",5676,778,1131,616,464,307,1040,498,428,318,413,312,420,272,251,233,142,157,196,167,187,198,168,168,612,368,17,29,119,182,88,107,0,179
0500000US42071,42071,"Lancaster County, Pennsylvania",7712,1197,254,179,1083,654,484,417,68,113,1095,540,648,593,534,417,698,536,553,470,335,286,359,311,792,679,434,285,121,206,30,51,224,240
0500000US42077,42077,"Lehigh County, Pennsylvania",9053,1255,324,322,865,513,306,316,766,571,399,337,514,332,790,537,58,95,235,254,1063,705,957,565,1038,581,668,425,547,435,197,188,326,203
0500000US42089,42089,"Monroe County, Pennsylvania",7382,828,75,126,32,55,194,293,573,531,208,211,458,305,344,504,433,406,0,179,282,324,1062,661,1084,501,1168,575,614,473,378,408,477,340
0500000US42091,42091,"Montgomery County, Pennsylvania",27455,1548,1288,586,905,466,1009,576,1624,794,1361,599,872,397,1809,776,1088,753,1375,691,2540,780,2305,980,2950,913,2681,1003,1683,686,1743,617,2222,770
0500000US42095,42095,"Northampton County, Pennsylvania",5348,789,353,290,301,229,322,300,105,126,185,254,147,169,400,260,109,115,132,160,662,438,256,219,446,300,1066,514,494,357,246,245,124,160
0500000US42101,42101,"Philadelphia County, Pennsylvania",236333,4526,42871,3560,20809,2648,15363,2042,16519,2502,10791,1883,11676,2010,14286,2253,11060,1841,9675,1904,14718,1803,21003,2756,20313,2324,13283,2254,5627,1294,4658,1181,3681,1160
0500000US42133,42133,"York County, Pennsylvania",8347,1177,990,455,502,410,386,243,379,206,603,319,873,461,407,309,157,169,211,201,1013,656,534,296,1152,597,550,441,208,216,272,288,110,181
