GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17
Id,Id2,Geography,Total:,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
0500000US34001,34001,"Atlantic County, New Jersey",3570,146,52,143,206,246,282,187,209,208,311,390,607,326,139,42,76
0500000US34003,34003,"Bergen County, New Jersey",28998,1775,650,906,1014,1012,1130,1359,1126,1118,2426,3265,4284,3172,1900,1734,2127
0500000US34005,34005,"Burlington County, New Jersey",3436,213,74,160,157,153,164,83,101,172,362,498,510,296,181,193,119
0500000US34007,34007,"Camden County, New Jersey",5604,305,225,206,305,223,318,272,294,255,465,728,887,414,358,238,111
0500000US34009,34009,"Cape May County, New Jersey",206,3,7,6,0,9,5,0,28,7,6,40,45,5,14,28,3
0500000US34011,34011,"Cumberland County, New Jersey",405,24,5,8,18,23,47,8,41,36,38,37,14,69,21,0,16
0500000US34013,34013,"Essex County, New Jersey",8801,501,232,250,167,234,309,307,334,351,619,1009,1392,1036,754,703,603
0500000US34015,34015,"Gloucester County, New Jersey",1091,51,14,14,14,25,48,31,28,40,147,175,203,136,84,54,27
0500000US34017,34017,"Hudson County, New Jersey",18663,1457,658,643,809,923,1130,945,1034,952,1517,2069,2650,1497,922,803,654
0500000US34019,34019,"Hunterdon County, New Jersey",759,0,30,18,12,3,7,29,19,26,73,57,128,118,70,131,38
0500000US34021,34021,"Mercer County, New Jersey",5044,260,133,112,142,98,182,184,181,163,360,436,747,524,501,520,501
0500000US34023,34023,"Middlesex County, New Jersey",31015,1187,585,627,580,805,870,992,1081,1081,2697,4256,5796,4038,2493,2447,1480
0500000US34025,34025,"Monmouth County, New Jersey",7135,241,115,135,142,165,191,251,236,236,453,739,973,1052,763,722,721
0500000US34027,34027,"Morris County, New Jersey",8954,291,51,118,167,173,275,178,270,254,681,1019,1489,1215,925,1028,820
0500000US34029,34029,"Ocean County, New Jersey",1831,109,65,58,53,92,78,77,83,39,134,225,293,188,71,130,136
0500000US34031,34031,"Passaic County, New Jersey",4972,227,142,207,192,198,196,229,233,228,459,608,745,666,223,283,136
0500000US34033,34033,"Salem County, New Jersey",99,5,0,4,9,3,8,6,10,0,0,16,21,14,0,0,3
0500000US34035,34035,"Somerset County, New Jersey",7446,139,60,95,64,145,134,173,209,154,525,808,1148,999,871,1028,894
0500000US34037,34037,"Sussex County, New Jersey",405,21,0,8,26,2,18,10,0,12,42,63,81,58,7,44,13
0500000US34039,34039,"Union County, New Jersey",5787,203,132,104,187,169,175,144,263,210,590,712,878,690,410,498,422
0500000US34041,34041,"Warren County, New Jersey",298,16,0,0,8,6,17,22,53,2,24,33,88,6,0,9,14
0500000US42001,42001,"Adams County, Pennsylvania",193,30,17,5,9,14,0,21,6,7,27,14,11,5,9,5,13
0500000US42003,42003,"Allegheny County, Pennsylvania",8003,1423,400,473,453,320,329,425,299,364,575,686,681,520,229,329,497
0500000US42005,42005,"Armstrong County, Pennsylvania",64,0,0,25,8,1,0,0,6,8,0,6,5,3,0,2,0
0500000US42007,42007,"Beaver County, Pennsylvania",165,7,23,18,8,14,0,5,5,11,0,9,34,11,8,0,12
0500000US42009,42009,"Bedford County, Pennsylvania",19,3,3,4,0,0,3,0,0,0,2,0,4,0,0,0,0
0500000US42011,42011,"Berks County, Pennsylvania",1029,113,72,10,23,59,49,26,35,69,85,84,159,75,78,30,62
0500000US42013,42013,"Blair County, Pennsylvania",161,18,5,7,12,8,2,0,8,16,7,6,3,22,0,21,26
0500000US42015,42015,"Bradford County, Pennsylvania",67,9,2,0,7,3,0,16,0,14,3,0,3,10,0,0,0
0500000US42017,42017,"Bucks County, Pennsylvania",4358,203,112,179,151,117,293,178,281,176,392,600,599,363,266,211,237
0500000US42019,42019,"Butler County, Pennsylvania",313,26,3,25,10,0,8,19,3,7,11,56,27,49,20,13,36
0500000US42021,42021,"Cambria County, Pennsylvania",170,25,17,2,9,1,24,20,2,6,3,15,10,15,0,0,21
0500000US42023,42023,"Cameron County, Pennsylvania",3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
0500000US42025,42025,"Carbon County, Pennsylvania",24,0,0,0,0,0,0,0,0,0,9,2,1,12,0,0,0
0500000US42027,42027,"Centre County, Pennsylvania",1933,525,184,296,157,128,82,61,66,35,91,76,72,57,59,21,23
0500000US42029,42029,"Chester County, Pennsylvania",2640,137,75,24,16,62,140,110,100,114,229,303,340,253,248,339,150
0500000US42031,42031,"Clarion County, Pennsylvania",54,17,0,7,2,0,0,0,2,3,10,2,2,5,0,0,4
0500000US42033,42033,"Clearfield County, Pennsylvania",94,2,0,0,2,12,0,13,2,6,0,0,13,11,0,12,21
0500000US42035,42035,"Clinton County, Pennsylvania",24,0,0,2,10,0,3,0,4,0,0,0,3,0,0,0,2
0500000US42037,42037,"Columbia County, Pennsylvania",102,16,14,4,3,12,15,0,8,9,0,2,3,4,0,6,6
0500000US42039,42039,"Crawford County, Pennsylvania",73,20,2,4,0,5,0,3,8,5,5,2,6,0,3,4,6
0500000US42041,42041,"Cumberland County, Pennsylvania",985,48,28,48,65,17,75,47,33,48,113,93,181,52,45,28,64
0500000US42043,42043,"Dauphin County, Pennsylvania",1571,97,128,109,79,68,127,96,112,83,172,146,145,110,15,38,46
0500000US42045,42045,"Delaware County, Pennsylvania",5603,426,274,249,294,293,356,241,273,334,596,679,638,311,270,182,187
0500000US42047,42047,"Elk County, Pennsylvania",53,0,0,5,7,3,0,0,0,9,0,14,15,0,0,0,0
0500000US42049,42049,"Erie County, Pennsylvania",602,102,47,29,19,28,55,34,47,20,40,55,37,21,19,22,27
