GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17
Id,Id2,Geography,Total:,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
0500000US34001,34001,"Atlantic County, New Jersey",1997,250,141,127,154,92,179,99,152,146,155,133,231,82,21,3,32
0500000US34003,34003,"Bergen County, New Jersey",6256,500,260,270,293,264,344,370,286,324,562,820,854,526,209,165,209
0500000US34005,34005,"Burlington County, New Jersey",2357,122,106,151,133,182,130,160,176,154,242,331,222,113,49,72,14
0500000US34007,34007,"Camden County, New Jersey",2859,425,253,116,183,230,132,221,189,110,289,237,206,119,82,50,17
0500000US34009,34009,"Cape May County, New Jersey",288,40,60,22,41,7,0,21,6,8,3,45,12,13,0,0,10
0500000US34011,34011,"Cumberland County, New Jersey",1025,152,86,57,54,89,47,80,69,84,66,95,94,29,6,17,0
0500000US34013,34013,"Essex County, New Jersey",9158,1398,630,830,524,518,639,553,417,481,527,879,974,319,167,136,166
0500000US34015,34015,"Gloucester County, New Jersey",887,123,60,30,41,44,41,61,18,50,63,89,128,89,17,30,3
0500000US34017,34017,"Hudson County, New Jersey",11572,1490,874,728,673,809,903,704,748,666,883,1145,983,509,187,166,104
0500000US34019,34019,"Hunterdon County, New Jersey",322,9,16,49,13,54,17,17,28,0,27,21,32,17,0,12,10
0500000US34021,34021,"Mercer County, New Jersey",2091,227,105,93,119,96,85,95,109,122,252,294,200,171,40,36,47
0500000US34023,34023,"Middlesex County, New Jersey",5786,317,240,299,314,423,324,327,291,328,655,705,679,469,161,154,100
0500000US34025,34025,"Monmouth County, New Jersey",2767,219,169,81,201,161,118,231,148,203,207,212,379,212,101,86,39
0500000US34027,34027,"Morris County, New Jersey",2015,152,59,96,71,153,114,63,101,119,194,227,224,179,134,85,44
0500000US34029,34029,"Ocean County, New Jersey",1650,138,98,130,96,124,139,75,96,79,108,182,181,108,54,40,2
0500000US34031,34031,"Passaic County, New Jersey",5524,676,390,370,363,368,465,406,249,191,476,477,506,303,114,103,67
0500000US34033,34033,"Salem County, New Jersey",259,55,25,6,22,13,17,10,5,11,34,23,28,0,0,7,3
0500000US34035,34035,"Somerset County, New Jersey",1541,67,56,45,76,127,100,115,29,91,118,167,255,86,58,51,100
0500000US34037,34037,"Sussex County, New Jersey",411,22,20,6,11,13,19,24,20,7,37,100,57,27,0,36,12
0500000US34039,34039,"Union County, New Jersey",5428,473,224,317,316,371,435,341,303,338,409,676,600,266,198,79,82
0500000US34041,34041,"Warren County, New Jersey",316,34,0,7,28,28,32,7,12,16,25,52,39,16,20,0,0
0500000US42001,42001,"Adams County, Pennsylvania",192,18,21,19,20,14,7,2,11,24,21,14,19,0,0,2,0
0500000US42003,42003,"Allegheny County, Pennsylvania",4503,971,466,343,434,277,277,218,224,203,283,268,264,99,57,46,73
0500000US42005,42005,"Armstrong County, Pennsylvania",57,6,6,19,4,7,0,0,3,3,6,0,3,0,0,0,0
0500000US42007,42007,"Beaver County, Pennsylvania",444,81,47,59,46,27,25,32,27,9,22,5,34,8,11,0,11
0500000US42009,42009,"Bedford County, Pennsylvania",105,17,8,10,10,11,17,7,1,6,6,2,4,0,4,0,2
0500000US42011,42011,"Berks County, Pennsylvania",1575,297,142,147,167,90,93,71,100,62,92,96,164,35,15,0,4
0500000US42013,42013,"Blair County, Pennsylvania",208,27,14,18,30,21,14,0,42,0,20,7,0,15,0,0,0
0500000US42015,42015,"Bradford County, Pennsylvania",148,20,14,2,6,7,14,17,11,8,7,19,21,0,2,0,0
0500000US42017,42017,"Bucks County, Pennsylvania",1725,130,70,81,112,144,134,160,109,86,93,237,164,65,33,34,73
0500000US42019,42019,"Butler County, Pennsylvania",287,49,13,25,12,16,28,5,9,21,58,21,10,9,0,11,0
0500000US42021,42021,"Cambria County, Pennsylvania",157,31,18,20,22,23,15,5,0,0,3,9,8,0,0,3,0
0500000US42023,42023,"Cameron County, Pennsylvania",2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
0500000US42025,42025,"Carbon County, Pennsylvania",117,12,0,18,7,33,9,0,0,19,8,0,5,6,0,0,0
0500000US42027,42027,"Centre County, Pennsylvania",358,83,42,48,24,15,26,13,23,7,18,22,15,6,6,0,10
0500000US42029,42029,"Chester County, Pennsylvania",1205,79,68,38,95,133,85,112,72,64,97,112,127,77,13,21,12
0500000US42031,42031,"Clarion County, Pennsylvania",58,9,10,13,4,4,5,0,2,0,9,0,2,0,0,0,0
0500000US42033,42033,"Clearfield County, Pennsylvania",105,32,8,9,6,11,2,0,0,15,11,11,0,0,0,0,0
0500000US42035,42035,"Clinton County, Pennsylvania",62,8,6,3,11,8,6,0,3,5,12,0,0,0,0,0,0
0500000US42037,42037,"Columbia County, Pennsylvania",111,35,28,8,1,2,2,17,0,0,5,13,0,0,0,0,0
0500000US42039,42039,"Crawford County, Pennsylvania",231,46,40,42,16,5,16,4,6,9,2,24,20,1,0,0,0
0500000US42041,42041,"Cumberland County, Pennsylvania",471,55,4,45,56,30,20,42,28,26,27,72,44,6,8,8,0
0500000US42043,42043,"Dauphin County, Pennsylvania",1180,205,73,109,102,112,77,122,48,55,86,105,50,4,10,9,13
0500000US42045,42045,"Delaware County, Pennsylvania",1828,321,83,107,90,151,104,102,108,68,224,171,108,103,12,34,42
0500000US42047,42047,"Elk County, Pennsylvania",36,0,3,0,2,10,2,3,0,7,9,0,0,0,0,0,0
0500000US42049,42049,"Erie County, Pennsylvania",926,275,106,98,108,64,24,61,25,23,76,12,20,6,12,8,8
0500000US42051,42051,"Fayette County, Pennsylvania",280,26,21,61,17,33,20,16,0,2,10,17,3,33,3,18,0
0500000US42053,42053,"Forest County, Pennsylvania",4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
0500000US42055,42055,"Franklin County, Pennsylvania",167,24,20,19,9,16,12,13,2,12,13,2,14,10,0,0,1
0500000US42057,42057,"Fulton County, Pennsylvania",27,11,2,2,0,1,2,2,5,0,0,2,0,0,0,0,0
0500000US42059,42059,"Greene County, Pennsylvania",70,25,2,0,2,2,6,5,12,7,0,3,1,0,0,3,2
0500000US42061,42061,"Huntingdon County, Pennsylvania",79,31,0,4,2,2,12,9,7,0,6,3,0,3,0,0,0
0500000US42063,42063,"Indiana County, Pennsylvania",108,26,9,17,14,3,15,9,0,7,5,0,0,3,0,0,0
0500000US42065,42065,"Jefferson County, Pennsylvania",69,5,13,7,11,3,7,0,2,3,10,8,0,0,0,0,0
0500000US42067,42067,"Juniata County, Pennsylvania",29,19,0,2,0,2,0,0,2,0,0,0,2,2,0,0,0
0500000US42069,42069,"Lackawanna County, Pennsylvania",350,71,40,42,31,35,39,0,3,3,22,24,30,8,2,0,0
0500000US42071,42071,"Lancaster County, Pennsylvania",1436,220,131,83,117,62,107,82,70,46,150,174,121,20,12,27,14
0500000US42073,42073,"Lawrence County, Pennsylvania",170,46,21,20,16,13,4,2,0,15,21,7,5,0,0,0,0
0500000US42075,42075,"Lebanon County, Pennsylvania",334,39,35,18,20,6,41,17,28,32,34,25,24,15,0,0,0
0500000US42077,42077,"Lehigh County, Pennsylvania",1575,256,121,153,91,173,111,62,136,83,150,107,61,40,0,7,24
0500000US42079,42079,"Luzerne County, Pennsylvania",522,69,72,47,37,59,28,45,40,12,30,25,23,12,3,20,0
0500000US42081,42081,"Lycoming County, Pennsylvania",216,81,20,32,22,6,7,5,13,6,7,12,3,2,0,0,0
0500000US42083,42083,"McKean County, Pennsylvania",100,23,15,18,3,10,8,3,0,0,8,3,0,0,8,1,0
0500000US42085,42085,"Mercer County, Pennsylvania",247,48,40,20,18,27,19,9,26,0,30,8,0,2,0,0,0
0500000US42087,42087,"Mifflin County, Pennsylvania",31,18,0,5,0,0,0,3,0,0,0,5,0,0,0,0,0
0500000US42089,42089,"Monroe County, Pennsylvania",771,48,54,30,61,20,74,41,72,17,71,96,106,47,20,2,12
0500000US42091,42091,"Montgomery County, Pennsylvania",2410,261,100,139,86,174,225,99,74,109,244,296,244,119,73,92,75
0500000US42093,42093,"Montour County, Pennsylvania",13,4,0,2,3,0,0,0,0,0,0,0,2,2,0,0,0
0500000US42095,42095,"Northampton County, Pennsylvania",1110,151,141,59,88,65,48,109,75,47,82,101,81,33,7,7,16
0500000US42097,42097,"Northumberland County, Pennsylvania",86,13,8,31,2,6,11,0,0,4,8,2,1,0,0,0,0
0500000US42099,42099,"Perry County, Pennsylvania",78,9,7,5,2,8,2,4,8,7,15,6,5,0,0,0,0
0500000US42101,42101,"Philadelphia County, Pennsylvania",11915,2901,956,863,957,779,755,867,516,680,877,648,562,287,103,74,90
0500000US42103,42103,"Pike County, Pennsylvania",212,6,11,3,17,15,17,42,11,8,18,18,18,19,0,9,0
0500000US42105,42105,"Potter County, Pennsylvania",38,7,0,3,4,4,1,0,0,2,3,6,6,0,2,0,0
0500000US42107,42107,"Schuylkill County, Pennsylvania",155,48,11,3,13,7,4,2,0,22,18,12,13,2,0,0,0
0500000US42109,42109,"Snyder County, Pennsylvania",43,11,0,0,18,1,5,0,0,2,0,6,0,0,0,0,0
0500000US42111,42111,"Somerset County, Pennsylvania",62,11,17,11,4,6,0,4,0,9,0,0,0,0,0,0,0
0500000US42113,42113,"Sullivan County, Pennsylvania",29,10,5,5,0,0,2,2,0,0,4,0,1,0,0,0,0
0500000US42115,42115,"Susquehanna County, Pennsylvania",107,37,2,16,6,9,5,2,5,2,8,9,6,0,0,0,0
0500000US42117,42117,"Tioga County, Pennsylvania",68,6,7,10,8,4,15,0,4,3,11,0,0,0,0,0,0
0500000US42119,42119,"Union County, Pennsylvania",86,41,4,8,0,0,0,6,0,0,4,0,11,12,0,0,0
0500000US42121,42121,"Venango County, Pennsylvania",98,27,9,7,2,9,9,1,4,2,2,10,3,10,0,0,3
0500000US42123,42123,"Warren County, Pennsylvania",79,13,5,4,5,11,5,6,9,8,6,3,4,0,0,0,0
0500000US42125,42125,"Washington County, Pennsylvania",374,82,39,43,13,78,4,16,27,10,22,2,24,6,0,8,0
0500000US42127,42127,"Wayne County, Pennsylvania",96,17,2,5,0,6,14,4,15,17,10,0,2,4,0,0,0
0500000US42129,42129,"Westmoreland County, Pennsylvania",694,89,69,88,64,15,22,38,68,10,31,90,70,17,0,9,14
0500000US42131,42131,"Wyoming County, Pennsylvania",35,6,0,10,3,0,0,0,1,6,4,0,2,0,3,0,0
0500000US42133,42133,"York County, Pennsylvania",1041,154,114,63,69,113,38,38,56,69,88,74,94,39,15,17,0
