GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17
Id,Id2,Geography,Total:,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
0500000US34001,34001,"Atlantic County, New Jersey",66132,4400,3412,3616,3887,4166,3898,3505,4025,3608,6964,8251,8348,3930,1664,1104,1354
0500000US34003,34003,"Bergen County, New Jersey",254521,11542,9718,9570,9463,10013,10525,11177,11079,9932,20224,26461,37555,25324,15091,16185,20662
0500000US34005,34005,"Burlington County, New Jersey",123546,4270,4207,4562,5243,6233,6151,6136,6585,5973,12076,16171,19402,11904,5997,4599,4037
0500000US34007,34007,"Camden County, New Jersey",134470,7605,6364,6511,7044,6759,7425,7223,7002,6632,12537,17836,18526,10115,5084,3994,3813
0500000US34009,34009,"Cape May County, New Jersey",38883,2631,2483,2709,2753,2623,2670,2265,2350,1888,3350,3883,4301,2052,940,855,1130
0500000US34011,34011,"Cumberland County, New Jersey",32973,2535,2051,2039,2144,2141,2022,1902,1935,1693,3323,4172,3667,1755,612,442,540
0500000US34013,34013,"Essex County, New Jersey",119076,7401,5480,4756,4872,4605,5204,4612,5123,4406,8528,12370,15158,10957,6735,7501,11368
0500000US34015,34015,"Gloucester County, New Jersey",79146,3765,3305,3321,3756,4239,3946,4339,3987,4044,8167,10749,12931,6595,2772,1958,1272
0500000US34017,34017,"Hudson County, New Jersey",100524,10479,6397,5819,4974,5160,5111,5370,4842,4540,7709,10367,12023,7043,3799,3519,3372
0500000US34019,34019,"Hunterdon County, New Jersey",41641,1055,1075,1212,1037,1257,1396,1410,1552,1420,2997,4885,6940,4948,3214,3662,3581
0500000US34021,34021,"Mercer County, New Jersey",87600,4451,3237,3321,3543,3478,3881,3798,3921,3701,7139,10662,12773,8873,4646,4823,5353
0500000US34023,34023,"Middlesex County, New Jersey",182422,8333,7348,7140,7264,8181,8831,8440,8772,7864,15890,22775,29270,18661,9629,7915,6109
0500000US34025,34025,"Monmouth County, New Jersey",188186,8631,7274,6330,7212,7613,7978,7662,7641,7534,14662,22057,28173,19140,12053,11928,12298
0500000US34027,34027,"Morris County, New Jersey",145389,4132,3537,3320,4106,4411,5031,5279,5869,5029,10696,16930,23382,17054,10564,12042,14007
0500000US34029,34029,"Ocean County, New Jersey",185891,10702,11417,12013,12020,11150,11228,10939,10522,9398,17080,21597,23381,11860,5452,4098,3034
0500000US34031,34031,"Passaic County, New Jersey",98727,5213,4807,4828,4480,4474,4753,4600,4669,4156,8376,11052,14787,9683,5066,4501,3282
0500000US34033,34033,"Salem County, New Jersey",19976,1069,1022,1103,1027,1216,1061,1274,1212,1010,1954,2848,2827,1303,555,254,241
0500000US34035,34035,"Somerset County, New Jersey",86171,2443,2468,2434,2397,2468,2559,3142,3514,3083,6628,9675,13235,9670,6365,7607,8483
0500000US34037,34037,"Sussex County, New Jersey",48106,1856,1522,1589,1666,1740,2000,2110,2316,2211,4439,6625,8616,5222,2488,2219,1487
0500000US34039,34039,"Union County, New Jersey",112523,5786,5085,4974,4840,5120,5047,4811,4904,4081,8685,12743,15618,10658,6159,6431,7581
0500000US34041,34041,"Warren County, New Jersey",36466,2065,1856,1494,1582,1598,1560,1746,2021,1795,3667,4828,5470,3308,1558,1095,823
0500000US42001,42001,"Adams County, Pennsylvania",32229,1814,1971,1902,2222,2103,2259,2357,2134,2048,3959,3946,3227,1331,432,325,199
0500000US42003,42003,"Allegheny County, Pennsylvania",458900,39145,31946,31944,33341,30259,29680,28011,25908,22983,40668,47833,44962,21491,10447,8871,11411
0500000US42005,42005,"Armstrong County, Pennsylvania",28505,3087,2846,2736,2584,2280,2074,2095,1845,1597,2395,2255,1547,641,262,109,152
0500000US42007,42007,"Beaver County, Pennsylvania",67518,5747,5243,4935,5210,5197,4606,4320,4166,3613,6472,7568,6123,2501,843,501,473
0500000US42009,42009,"Bedford County, Pennsylvania",19549,1998,1577,1682,1663,1913,1674,1485,1270,1093,1771,1605,1063,365,111,113,166
0500000US42011,42011,"Berks County, Pennsylvania",125465,7406,6577,7363,7522,8005,7968,7436,7603,6748,13659,16105,15378,6856,2618,2224,1997
0500000US42013,42013,"Blair County, Pennsylvania",50557,5700,4786,4040,4232,4136,3597,3673,3384,2761,4590,4223,3143,1203,342,376,371
0500000US42015,42015,"Bradford County, Pennsylvania",24067,2370,1907,1880,2007,2009,1861,1837,1569,1223,2332,2104,1650,632,250,228,208
0500000US42017,42017,"Bucks County, Pennsylvania",202004,8167,7149,7752,8154,9174,9733,9810,10064,9630,19664,26555,31089,19105,9466,8780,7712
0500000US42019,42019,"Butler County, Pennsylvania",64624,5201,4058,4455,4391,3983,4130,4166,3769,3335,6232,7148,7003,3267,1422,1139,925
0500000US42021,42021,"Cambria County, Pennsylvania",58760,6892,6018,5592,5587,4900,4545,3844,3554,3011,4699,4403,3333,1097,433,270,582
0500000US42023,42023,"Cameron County, Pennsylvania",2450,248,208,212,254,192,226,178,140,132,236,224,127,39,15,8,11
0500000US42025,42025,"Carbon County, Pennsylvania",23223,2313,1899,1824,1745,1981,1819,1670,1483,1343,2310,2268,1620,538,152,136,122
0500000US42027,42027,"Centre County, Pennsylvania",45731,4745,3580,3452,3067,3171,3441,2706,2520,2470,4052,4580,4000,1915,826,618,588
0500000US42029,42029,"Chester County, Pennsylvania",141711,4991,4333,4519,4928,5870,6224,6215,6252,5859,12290,16870,22470,14734,8673,8278,9205
0500000US42031,42031,"Clarion County, Pennsylvania",15785,2032,1403,1516,1411,1285,1267,1018,932,831,1428,1141,905,300,118,94,104
0500000US42033,42033,"Clearfield County, Pennsylvania",32426,3659,3095,3153,3046,2620,2344,2311,2189,1728,2819,2463,1778,630,224,158,209
0500000US42035,42035,"Clinton County, Pennsylvania",14629,1781,1436,1396,1322,1131,1111,1043,878,732,1167,1203,773,318,151,79,108
0500000US42037,42037,"Columbia County, Pennsylvania",24422,2489,2086,2003,1997,1953,1883,1794,1604,1389,2180,2040,1694,637,279,156,238
0500000US42039,42039,"Crawford County, Pennsylvania",33835,3325,2851,2908,2986,2816,2579,2270,2105,1862,2954,2996,2322,972,327,277,285
