GEO.id,GEO.id2,GEO.display-label,VD01
Id,Id2,Geography,Median household income in 1999
0500000US34001,34001,"Atlantic County, New Jersey",32638
0500000US34003,34003,"Bergen County, New Jersey",52084
0500000US34005,34005,"Burlington County, New Jersey",53367
0500000US34007,34007,"Camden County, New Jersey",35052
0500000US34009,34009,"Cape May County, New Jersey",27667
0500000US34011,34011,"Cumberland County, New Jersey",28255
0500000US34013,34013,"Essex County, New Jersey",32644
0500000US34015,34015,"Gloucester County, New Jersey",40808
0500000US34017,34017,"Hudson County, New Jersey",31565
0500000US34019,34019,"Hunterdon County, New Jersey",82424
0500000US34021,34021,"Mercer County, New Jersey",37096
0500000US34023,34023,"Middlesex County, New Jersey",56928
0500000US34025,34025,"Monmouth County, New Jersey",36450
0500000US34027,34027,"Morris County, New Jersey",52991
0500000US34029,34029,"Ocean County, New Jersey",44455
0500000US34031,34031,"Passaic County, New Jersey",32355
0500000US34033,34033,"Salem County, New Jersey",28402
0500000US34035,34035,"Somerset County, New Jersey",61886
0500000US34037,34037,"Sussex County, New Jersey",64444
0500000US34039,34039,"Union County, New Jersey",45719
0500000US34041,34041,"Warren County, New Jersey",46490
0500000US42001,42001,"Adams County, Pennsylvania",32206
0500000US42003,42003,"Allegheny County, Pennsylvania",22130
0500000US42005,42005,"Armstrong County, Pennsylvania",24000
0500000US42007,42007,"Beaver County, Pennsylvania",22166
0500000US42009,42009,"Bedford County, Pennsylvania",67250
0500000US42011,42011,"Berks County, Pennsylvania",30614
0500000US42013,42013,"Blair County, Pennsylvania",21125
0500000US42015,42015,"Bradford County, Pennsylvania",28750
0500000US42017,42017,"Bucks County, Pennsylvania",41063
0500000US42019,42019,"Butler County, Pennsylvania",26382
0500000US42021,42021,"Cambria County, Pennsylvania",18977
0500000US42023,42023,"Cameron County, Pennsylvania",6250
0500000US42025,42025,"Carbon County, Pennsylvania",34125
0500000US42027,42027,"Centre County, Pennsylvania",18750
0500000US42029,42029,"Chester County, Pennsylvania",37667
0500000US42031,42031,"Clarion County, Pennsylvania",13125
0500000US42033,42033,"Clearfield County, Pennsylvania",45893
0500000US42035,42035,"Clinton County, Pennsylvania",32885
0500000US42037,42037,"Columbia County, Pennsylvania",21108
0500000US42039,42039,"Crawford County, Pennsylvania",24250
0500000US42041,42041,"Cumberland County, Pennsylvania",31991
0500000US42043,42043,"Dauphin County, Pennsylvania",29638
0500000US42045,42045,"Delaware County, Pennsylvania",33027
0500000US42047,42047,"Elk County, Pennsylvania",0
0500000US42049,42049,"Erie County, Pennsylvania",22174
0500000US42051,42051,"Fayette County, Pennsylvania",18922
0500000US42053,42053,"Forest County, Pennsylvania",0
0500000US42055,42055,"Franklin County, Pennsylvania",30461
0500000US42057,42057,"Fulton County, Pennsylvania",23438
0500000US42059,42059,"Greene County, Pennsylvania",45938
0500000US42061,42061,"Huntingdon County, Pennsylvania",21111
0500000US42063,42063,"Indiana County, Pennsylvania",14000
0500000US42065,42065,"Jefferson County, Pennsylvania",51458
0500000US42067,42067,"Juniata County, Pennsylvania",32500
0500000US42069,42069,"Lackawanna County, Pennsylvania",20777
0500000US42071,42071,"Lancaster County, Pennsylvania",30648
0500000US42073,42073,"Lawrence County, Pennsylvania",19036
0500000US42075,42075,"Lebanon County, Pennsylvania",29261
0500000US42077,42077,"Lehigh County, Pennsylvania",32830
0500000US42079,42079,"Luzerne County, Pennsylvania",21883
0500000US42081,42081,"Lycoming County, Pennsylvania",21571
0500000US42083,42083,"McKean County, Pennsylvania",24286
0500000US42085,42085,"Mercer County, Pennsylvania",19196
0500000US42087,42087,"Mifflin County, Pennsylvania",45795
0500000US42089,42089,"Monroe County, Pennsylvania",56500
0500000US42091,42091,"Montgomery County, Pennsylvania",46930
0500000US42093,42093,"Montour County, Pennsylvania",45192
0500000US42095,42095,"Northampton County, Pennsylvania",35371
0500000US42097,42097,"Northumberland County, Pennsylvania",30625
0500000US42099,42099,"Perry County, Pennsylvania",83611
0500000US42101,42101,"Philadelphia County, Pennsylvania",26217
0500000US42103,42103,"Pike County, Pennsylvania",57212
0500000US42105,42105,"Potter County, Pennsylvania",38438
0500000US42107,42107,"Schuylkill County, Pennsylvania",19028
0500000US42109,42109,"Snyder County, Pennsylvania",18250
0500000US42111,42111,"Somerset County, Pennsylvania",34375
0500000US42113,42113,"Sullivan County, Pennsylvania",0
0500000US42115,42115,"Susquehanna County, Pennsylvania",36563
0500000US42117,42117,"Tioga County, Pennsylvania",12321
0500000US42119,42119,"Union County, Pennsylvania",52188
0500000US42121,42121,"Venango County, Pennsylvania",21667
0500000US42123,42123,"Warren County, Pennsylvania",29063
0500000US42125,42125,"Washington County, Pennsylvania",25985
0500000US42127,42127,"Wayne County, Pennsylvania",42000
0500000US42129,42129,"Westmoreland County, Pennsylvania",24724
0500000US42131,42131,"Wyoming County, Pennsylvania",48750
0500000US42133,42133,"York County, Pennsylvania",27470
