GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
VD01,Total races tallied for householders:
VD02,Total races tallied for Not Hispanic or Latino householders:
VD03,Total races tallied for Not Hispanic or Latino householders: - White alone or in combination with one or more other races
VD04,Total races tallied for Not Hispanic or Latino householders: - Black or African American alone or in combination with one or more other races
VD05,Total races tallied for Not Hispanic or Latino householders: - American Indian and Alaska Native alone or in combination with one or more other races
VD06,Total races tallied for Not Hispanic or Latino householders: - Asian alone or in combination with one or more other races
VD07,Total races tallied for Not Hispanic or Latino householders: - Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races
VD08,Total races tallied for Not Hispanic or Latino householders: - Some other race alone or in combination with one or more other races
VD09,Total races tallied for Hispanic or Latino householders:
VD10,Total races tallied for Hispanic or Latino householders: - White alone or in combination with one or more other races
VD11,Total races tallied for Hispanic or Latino householders: - Black or African American alone or in combination with one or more other races
VD12,Total races tallied for Hispanic or Latino householders: - American Indian and Alaska Native alone or in combination with one or more other races
VD13,Total races tallied for Hispanic or Latino householders: - Asian alone or in combination with one or more other races
VD14,Total races tallied for Hispanic or Latino householders: - Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races
VD15,Total races tallied for Hispanic or Latino householders: - Some other race alone or in combination with one or more other races
