GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017
0500000US34005,34005,"Burlington County, New Jersey",448734,448738,449200,450486,451256,449858,450318,448844,448342,448596
0500000US34007,34007,"Camden County, New Jersey",513657,513668,513506,513180,512827,511798,510913,510809,510741,510719
0500000US34015,34015,"Gloucester County, New Jersey",288288,288585,288994,289605,289912,290151,291151,291651,291703,292206
0500000US34021,34021,"Mercer County, New Jersey",366513,367517,367930,368201,370419,372337,372974,373104,373660,374733
0500000US42017,42017,"Bucks County, Pennsylvania",625249,625238,625431,626067,625572,625321,625806,626209,626751,628341
0500000US42029,42029,"Chester County, Pennsylvania",498886,499175,499920,503404,506283,509388,512864,515226,516489,519293
0500000US42045,42045,"Delaware County, Pennsylvania",558979,558699,558901,559079,560782,561609,562913,563705,563995,564696
0500000US42091,42091,"Montgomery County, Pennsylvania",799874,799930,800981,805186,808912,812838,815947,817869,820656,826075
0500000US42101,42101,"Philadelphia County, Pennsylvania",1526006,1526006,1528271,1539649,1551944,1558109,1564042,1570507,1574765,1580863
