GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0500000US34001,34001,"Atlantic County, New Jersey",23995,3073,11593,2136,1308,614,1728,487,1043,456,437,302,65,106,664,497,460,579,1001,358,2292,521,1286,516,1087,706,222,260,0,278,0,278,12402,1591,1020,470,1001,442,1483,418,1096,610,72,121,1153,462,1172,504,988,385,2704,218,1174,429,539,525,0,278,0,278,0,278
0500000US34003,34003,"Bergen County, New Jersey",49834,6334,26464,4263,2530,959,1480,664,1786,745,1306,425,941,813,3118,893,2740,944,2338,1098,5413,1270,3006,921,1467,857,217,253,122,131,0,278,23370,2918,1727,757,1501,780,1408,591,1445,481,1092,416,2331,679,1804,580,2141,907,4385,950,3423,1027,1299,601,360,244,454,369,0,278
0500000US34005,34005,"Burlington County, New Jersey",8751,1709,5072,1189,183,143,203,188,181,157,381,276,460,412,301,283,706,434,684,239,767,526,825,412,381,238,0,278,0,278,0,278,3679,988,154,143,300,353,182,172,107,123,0,278,371,306,436,228,259,251,601,396,838,426,431,292,0,278,0,278,0,278
0500000US34007,34007,"Camden County, New Jersey",41983,3362,22157,1835,2234,545,2492,686,2557,783,1174,390,788,188,2089,319,1446,626,2053,286,3081,451,2468,208,1132,292,498,213,67,106,78,126,19826,1997,1872,556,1856,700,1422,549,1145,283,498,191,1774,339,1935,416,1883,317,2921,488,2203,327,1443,353,565,323,213,250,96,165
0500000US34011,34011,"Cumberland County, New Jersey",11204,2820,5904,1725,568,413,220,202,559,446,664,386,166,206,810,595,528,424,83,112,1524,615,539,387,110,132,9,16,124,205,0,278,5300,1367,923,505,220,196,545,374,209,258,175,188,953,348,354,331,400,295,549,352,635,297,65,97,86,150,186,277,0,278
0500000US34013,34013,"Essex County, New Jersey",89780,7374,46322,4013,4828,964,2848,1164,3617,1279,2585,775,1664,664,4084,927,5151,871,4149,970,7777,1272,5753,943,2654,746,1076,439,136,157,0,278,43458,4134,4470,1110,4409,1715,2122,958,2083,659,1524,437,4388,883,3498,734,2784,769,7316,1264,5452,777,2771,689,1870,1084,174,112,597,635
0500000US34017,34017,"Hudson County, New Jersey",104830,9573,50250,5119,3956,1376,3190,1009,5105,1930,3157,868,1727,569,3574,957,4232,1060,3798,991,9085,1789,7570,1585,3185,909,1172,492,499,377,0,278,54580,6066,5277,1424,4132,1344,5319,1343,3905,655,1763,749,2937,960,3381,1023,4141,1086,10571,1970,6658,1536,3473,825,1843,992,1180,1245,0,278
0500000US34021,34021,"Mercer County, New Jersey",18282,3492,11068,2161,1047,406,625,349,553,312,449,391,0,278,1801,516,1107,832,1345,485,2056,697,1218,524,584,368,223,258,60,104,0,278,7214,1726,634,387,718,391,811,470,272,224,58,100,394,348,957,392,743,353,1314,568,451,329,443,323,324,330,95,163,0,278
0500000US34023,34023,"Middlesex County, New Jersey",78229,5666,41228,3729,4663,947,4578,1493,3331,1040,2251,473,1284,254,3702,835,5177,1008,3467,924,6563,943,3504,767,1356,499,1102,471,148,235,102,175,37001,2645,3624,812,3657,1132,2351,853,1342,598,1272,369,3478,782,2722,717,4542,610,6638,895,3620,772,1496,440,1515,408,514,347,230,239
