GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Less than $10,000","Margin of Error; Less than $10,000","Estimate; $10,000 to $14,999","Margin of Error; $10,000 to $14,999","Estimate; $15,000 to $19,999","Margin of Error; $15,000 to $19,999","Estimate; $20,000 to $24,999","Margin of Error; $20,000 to $24,999","Estimate; $25,000 to $29,999","Margin of Error; $25,000 to $29,999","Estimate; $30,000 to $34,999","Margin of Error; $30,000 to $34,999","Estimate; $35,000 to $39,999","Margin of Error; $35,000 to $39,999","Estimate; $40,000 to $44,999","Margin of Error; $40,000 to $44,999","Estimate; $45,000 to $49,999","Margin of Error; $45,000 to $49,999","Estimate; $50,000 to $59,999","Margin of Error; $50,000 to $59,999","Estimate; $60,000 to $74,999","Margin of Error; $60,000 to $74,999","Estimate; $75,000 to $99,999","Margin of Error; $75,000 to $99,999","Estimate; $100,000 to $124,999","Margin of Error; $100,000 to $124,999","Estimate; $125,000 to $149,999","Margin of Error; $125,000 to $149,999","Estimate; $150,000 to $199,999","Margin of Error; $150,000 to $199,999","Estimate; $200,000 or more","Margin of Error; $200,000 or more"
0500000US34001,34001,"Atlantic County, New Jersey",15660,1526,2486,849,728,531,1364,862,1679,948,1559,794,900,441,1014,588,643,490,676,419,962,418,1359,727,1061,560,725,388,213,302,242,248,49,86
0500000US34003,34003,"Bergen County, New Jersey",16750,1530,623,368,796,459,426,320,424,288,1228,676,750,620,146,190,873,562,574,358,2033,861,1829,803,2426,1061,1825,810,782,520,1296,628,719,487
0500000US34005,34005,"Burlington County, New Jersey",23835,1195,1540,771,821,872,1632,753,1196,653,1619,665,1003,476,854,564,637,341,1722,674,2172,613,3441,1086,3840,929,1366,504,1310,632,537,278,145,140
0500000US34007,34007,"Camden County, New Jersey",36631,1860,5156,1324,4437,1602,3224,1138,1715,1059,1782,706,2112,951,2100,864,1384,728,1584,700,4208,1394,2664,763,3470,1376,1068,473,736,538,701,482,290,224
0500000US34011,34011,"Cumberland County, New Jersey",9120,1185,1861,840,652,297,528,312,1306,583,721,449,283,226,416,294,348,312,587,449,1183,712,307,210,242,191,385,241,85,98,17,31,199,220
0500000US34013,34013,"Essex County, New Jersey",119391,3013,20373,2965,9597,1956,6975,1364,6962,1817,7562,2042,6191,1766,6526,1370,5106,1217,5778,1710,10562,1998,10394,2286,11817,2507,4929,1058,2282,680,2384,891,1953,704
0500000US34015,34015,"Gloucester County, New Jersey",9537,1247,1351,722,811,534,601,426,706,511,71,118,328,180,227,240,280,226,701,399,1215,673,1297,643,485,316,902,445,480,324,47,87,35,58
0500000US34017,34017,"Hudson County, New Jersey",29219,2014,3522,908,2435,1120,2950,936,2014,731,1791,720,1534,627,710,455,1838,709,1221,532,1947,775,2845,925,2917,800,1586,735,853,507,665,516,391,349
0500000US34021,34021,"Mercer County, New Jersey",23019,1342,2929,896,1991,657,1773,825,586,421,942,782,1551,849,1260,554,1178,584,1157,625,1615,566,1924,685,2782,949,1384,672,1446,631,303,230,198,139
