GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Less than $10,000","Margin of Error; Less than $10,000","Estimate; $10,000 to $14,999","Margin of Error; $10,000 to $14,999","Estimate; $15,000 to $19,999","Margin of Error; $15,000 to $19,999","Estimate; $20,000 to $24,999","Margin of Error; $20,000 to $24,999","Estimate; $25,000 to $29,999","Margin of Error; $25,000 to $29,999","Estimate; $30,000 to $34,999","Margin of Error; $30,000 to $34,999","Estimate; $35,000 to $39,999","Margin of Error; $35,000 to $39,999","Estimate; $40,000 to $44,999","Margin of Error; $40,000 to $44,999","Estimate; $45,000 to $49,999","Margin of Error; $45,000 to $49,999","Estimate; $50,000 to $59,999","Margin of Error; $50,000 to $59,999","Estimate; $60,000 to $74,999","Margin of Error; $60,000 to $74,999","Estimate; $75,000 to $99,999","Margin of Error; $75,000 to $99,999","Estimate; $100,000 to $124,999","Margin of Error; $100,000 to $124,999","Estimate; $125,000 to $149,999","Margin of Error; $125,000 to $149,999","Estimate; $150,000 to $199,999","Margin of Error; $150,000 to $199,999","Estimate; $200,000 or more","Margin of Error; $200,000 or more"
0500000US34001,34001,"Atlantic County, New Jersey",6660,936,1101,709,57,98,340,313,665,391,734,411,469,394,673,502,70,119,478,417,653,507,790,473,172,182,63,112,0,278,0,278,395,385
0500000US34003,34003,"Bergen County, New Jersey",13236,1994,732,432,372,367,1322,772,713,523,245,184,792,515,1003,675,983,732,536,440,1954,1079,956,555,1370,634,720,415,513,454,592,471,433,393
0500000US34007,34007,"Camden County, New Jersey",12621,1261,2151,752,1266,539,1493,877,862,508,674,414,949,456,406,251,603,393,610,417,1539,654,426,431,788,470,769,436,85,122,0,278,0,278
0500000US34013,34013,"Essex County, New Jersey",27490,2226,4695,1474,1315,601,1421,737,1297,619,1720,655,2905,1364,2534,1258,2029,812,1290,810,2103,790,3282,1151,1209,676,690,423,573,406,321,347,106,131
0500000US34017,34017,"Hudson County, New Jersey",34644,3365,4515,1910,3176,1405,2716,1167,1350,692,2723,898,2049,822,3488,1536,2124,983,2130,1400,1607,560,3528,1623,3221,1153,1214,733,123,159,476,252,204,196
0500000US34021,34021,"Mercer County, New Jersey",5089,1168,679,654,437,430,54,93,507,431,45,74,414,266,291,267,0,278,248,290,703,487,750,481,476,422,229,257,204,200,52,90,0,278
0500000US34023,34023,"Middlesex County, New Jersey",20298,2068,1367,672,1702,905,1417,1056,918,622,1086,469,1379,969,1008,496,1187,620,1482,747,2362,1235,1814,641,2034,753,1303,659,660,457,314,231,265,272
0500000US34031,34031,"Passaic County, New Jersey",29863,2180,4243,1624,2259,832,1577,814,2714,1416,1824,854,1335,590,3318,1310,1638,982,2372,1420,2494,1290,1635,673,2945,1427,1015,631,182,168,312,334,0,278
0500000US34039,34039,"Union County, New Jersey",15384,1949,1410,527,904,494,541,398,1031,568,598,408,1349,698,1365,697,1698,702,511,346,461,317,2015,818,1591,738,1148,569,345,258,417,295,0,278
0500000US42071,42071,"Lancaster County, Pennsylvania",3399,660,353,278,483,260,245,241,363,240,137,145,423,310,307,246,43,73,135,155,355,356,241,218,209,181,105,123,0,242,0,242,0,242
0500000US42077,42077,"Lehigh County, Pennsylvania",7279,1423,1058,594,1634,967,893,584,530,449,464,444,256,208,346,291,363,382,400,256,778,478,205,244,128,162,155,245,0,242,0,242,69,112
0500000US42101,42101,"Philadelphia County, Pennsylvania",26580,2654,5945,1477,3749,1094,1776,729,2397,1292,1582,797,1164,585,1508,679,1837,731,1322,704,1290,781,1939,1075,1050,471,558,394,221,274,0,242,242,344
