GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2005 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2005 inflation-adjusted dollars)
0500000US34001,34001,"Atlantic County, New Jersey",55855,2786
0500000US34003,34003,"Bergen County, New Jersey",72368,2542
0500000US34005,34005,"Burlington County, New Jersey",71420,2213
0500000US34007,34007,"Camden County, New Jersey",60372,2105
0500000US34009,34009,"Cape May County, New Jersey",52474,2771
0500000US34011,34011,"Cumberland County, New Jersey",51967,4041
0500000US34013,34013,"Essex County, New Jersey",72203,3331
0500000US34015,34015,"Gloucester County, New Jersey",66981,3132
0500000US34017,34017,"Hudson County, New Jersey",46797,2382
0500000US34019,34019,"Hunterdon County, New Jersey",93656,5466
0500000US34021,34021,"Mercer County, New Jersey",71769,3374
0500000US34023,34023,"Middlesex County, New Jersey",70080,2300
0500000US34025,34025,"Monmouth County, New Jersey",79254,2829
0500000US34027,34027,"Morris County, New Jersey",86111,3484
0500000US34029,34029,"Ocean County, New Jersey",52627,1880
0500000US34031,34031,"Passaic County, New Jersey",60846,2302
0500000US34033,34033,"Salem County, New Jersey",58073,5534
0500000US34035,34035,"Somerset County, New Jersey",87935,4453
0500000US34037,34037,"Sussex County, New Jersey",75849,4419
0500000US34039,34039,"Union County, New Jersey",69872,3661
0500000US34041,34041,"Warren County, New Jersey",61125,2030
0500000US42001,42001,"Adams County, Pennsylvania",47165,1692
0500000US42003,42003,"Allegheny County, Pennsylvania",45438,1070
0500000US42005,42005,"Armstrong County, Pennsylvania",35205,3399
0500000US42007,42007,"Beaver County, Pennsylvania",43436,2681
0500000US42011,42011,"Berks County, Pennsylvania",51985,1868
0500000US42013,42013,"Blair County, Pennsylvania",34189,2426
0500000US42017,42017,"Bucks County, Pennsylvania",66134,2375
0500000US42019,42019,"Butler County, Pennsylvania",47952,2667
0500000US42021,42021,"Cambria County, Pennsylvania",35450,2671
0500000US42027,42027,"Centre County, Pennsylvania",39416,2271
0500000US42029,42029,"Chester County, Pennsylvania",74482,2549
0500000US42033,42033,"Clearfield County, Pennsylvania",32333,2459
0500000US42039,42039,"Crawford County, Pennsylvania",36278,1639
0500000US42041,42041,"Cumberland County, Pennsylvania",55656,1835
0500000US42043,42043,"Dauphin County, Pennsylvania",51833,1600
0500000US42045,42045,"Delaware County, Pennsylvania",62851,2754
0500000US42049,42049,"Erie County, Pennsylvania",41323,1733
0500000US42051,42051,"Fayette County, Pennsylvania",31239,2636
0500000US42055,42055,"Franklin County, Pennsylvania",45233,2281
0500000US42063,42063,"Indiana County, Pennsylvania",33327,2570
0500000US42069,42069,"Lackawanna County, Pennsylvania",37686,2619
0500000US42071,42071,"Lancaster County, Pennsylvania",50511,1639
0500000US42073,42073,"Lawrence County, Pennsylvania",40648,2054
0500000US42075,42075,"Lebanon County, Pennsylvania",48342,3222
0500000US42077,42077,"Lehigh County, Pennsylvania",51535,1597
0500000US42079,42079,"Luzerne County, Pennsylvania",37721,1841
0500000US42081,42081,"Lycoming County, Pennsylvania",40008,2577
0500000US42085,42085,"Mercer County, Pennsylvania",39632,2400
0500000US42089,42089,"Monroe County, Pennsylvania",51209,4582
0500000US42091,42091,"Montgomery County, Pennsylvania",70731,1682
0500000US42095,42095,"Northampton County, Pennsylvania",54779,2021
0500000US42097,42097,"Northumberland County, Pennsylvania",36059,1842
0500000US42101,42101,"Philadelphia County, Pennsylvania",42371,1395
0500000US42107,42107,"Schuylkill County, Pennsylvania",35547,1462
0500000US42111,42111,"Somerset County, Pennsylvania",32930,3362
0500000US42125,42125,"Washington County, Pennsylvania",46656,2315
0500000US42129,42129,"Westmoreland County, Pennsylvania",43816,1918
0500000US42133,42133,"York County, Pennsylvania",50212,1294
