GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2005 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2005 inflation-adjusted dollars)
0500000US34001,34001,"Atlantic County, New Jersey",63514,9737
0500000US34003,34003,"Bergen County, New Jersey",82023,9621
0500000US34005,34005,"Burlington County, New Jersey",81211,10218
0500000US34007,34007,"Camden County, New Jersey",76342,12134
0500000US34009,34009,"Cape May County, New Jersey",-,**
0500000US34013,34013,"Essex County, New Jersey",74859,16597
0500000US34015,34015,"Gloucester County, New Jersey",76567,31515
0500000US34017,34017,"Hudson County, New Jersey",68003,10377
0500000US34019,34019,"Hunterdon County, New Jersey",117152,25980
0500000US34021,34021,"Mercer County, New Jersey",93933,19530
0500000US34023,34023,"Middlesex County, New Jersey",90482,5981
0500000US34025,34025,"Monmouth County, New Jersey",106041,19715
0500000US34027,34027,"Morris County, New Jersey",98123,9638
0500000US34029,34029,"Ocean County, New Jersey",75000,37777
0500000US34031,34031,"Passaic County, New Jersey",85766,9545
0500000US34033,34033,"Salem County, New Jersey",75487,*
0500000US34035,34035,"Somerset County, New Jersey",123167,14740
0500000US34037,34037,"Sussex County, New Jersey",42008,26043
0500000US34039,34039,"Union County, New Jersey",93238,13884
0500000US34041,34041,"Warren County, New Jersey",83290,6058
0500000US42003,42003,"Allegheny County, Pennsylvania",49964,5880
0500000US42005,42005,"Armstrong County, Pennsylvania",-,**
0500000US42011,42011,"Berks County, Pennsylvania",85952,14519
0500000US42017,42017,"Bucks County, Pennsylvania",70993,14897
0500000US42019,42019,"Butler County, Pennsylvania",85962,28975
0500000US42021,42021,"Cambria County, Pennsylvania",81177,46048
0500000US42027,42027,"Centre County, Pennsylvania",29050,22157
0500000US42029,42029,"Chester County, Pennsylvania",98840,17389
0500000US42033,42033,"Clearfield County, Pennsylvania",31250,*
0500000US42039,42039,"Crawford County, Pennsylvania",11250,*
0500000US42041,42041,"Cumberland County, Pennsylvania",51175,17968
0500000US42043,42043,"Dauphin County, Pennsylvania",53946,35334
0500000US42045,42045,"Delaware County, Pennsylvania",46386,11266
0500000US42049,42049,"Erie County, Pennsylvania",26101,12258
0500000US42051,42051,"Fayette County, Pennsylvania",-,**
0500000US42069,42069,"Lackawanna County, Pennsylvania",26872,1884
0500000US42071,42071,"Lancaster County, Pennsylvania",63075,17717
0500000US42073,42073,"Lawrence County, Pennsylvania",102264,*
0500000US42077,42077,"Lehigh County, Pennsylvania",66931,11404
0500000US42079,42079,"Luzerne County, Pennsylvania",92529,66208
0500000US42081,42081,"Lycoming County, Pennsylvania",6353,435
0500000US42085,42085,"Mercer County, Pennsylvania",187457,20755
0500000US42091,42091,"Montgomery County, Pennsylvania",73190,5185
0500000US42095,42095,"Northampton County, Pennsylvania",96249,22083
0500000US42097,42097,"Northumberland County, Pennsylvania",-,**
0500000US42101,42101,"Philadelphia County, Pennsylvania",37831,6147
0500000US42111,42111,"Somerset County, Pennsylvania",137545,102791
0500000US42125,42125,"Washington County, Pennsylvania",40541,18821
0500000US42133,42133,"York County, Pennsylvania",47961,20580
