GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0500000US34001,34001,"Atlantic County, New Jersey",178184,3080,86151,1520,4647,345,5597,547,4654,712,3512,175,3130,520,4433,587,4776,348,5347,363,13632,457,14617,478,9705,208,6553,213,4662,331,886,331,92033,1810,4578,517,3729,767,6202,828,3552,294,3459,502,3816,507,5490,318,5638,313,13575,558,14484,261,10523,312,7615,102,6469,629,2903,614
0500000US34003,34003,"Bergen County, New Jersey",672604,5303,329233,3183,19596,429,21216,1749,21094,1705,13289,470,7572,489,19594,793,13317,1198,17825,681,51199,1196,53593,832,42555,416,24992,325,17011,984,6380,959,343371,3009,17771,609,19701,1516,20084,1438,12075,450,7359,363,16773,928,12403,628,16704,633,49696,926,56744,810,46470,515,29815,402,25749,1308,12027,1377
0500000US34005,34005,"Burlington County, New Jersey",336398,2951,163488,2089,9326,306,10059,772,10863,779,7139,141,3916,131,9961,266,9323,766,10133,445,26004,1089,27579,253,19165,203,10981,188,6733,587,2306,580,172910,1429,9432,333,10225,1055,10139,957,7085,233,3390,182,8769,193,9540,647,9884,258,28117,426,27780,187,20317,197,12859,130,11228,709,4145,694
0500000US34007,34007,"Camden County, New Jersey",345113,2958,168406,1872,10167,459,10726,1244,11456,1189,7807,285,4083,116,11032,330,9764,341,9507,439,26315,738,27587,342,19577,297,10501,177,7538,634,2346,579,176707,1574,9352,437,9050,1165,11130,1189,7190,302,3559,273,10256,382,9888,501,9284,378,26599,421,29254,354,21311,243,12912,337,11547,660,5375,641
0500000US34009,34009,"Cape May County, New Jersey",88601,1619,42684,681,1839,116,2234,558,2554,544,1943,130,1137,273,2212,452,2308,273,2431,452,5925,387,6701,273,5279,273,4168,122,2833,360,1120,366,45917,1162,1690,222,2101,726,2422,684,1742,131,689,352,2077,538,2801,337,2169,273,6045,141,6981,273,6061,131,4848,273,4697,596,1594,602
0500000US34011,34011,"Cumberland County, New Jersey",103852,3332,51789,1906,2964,525,3713,746,2798,633,2206,401,1091,202,3648,464,4032,398,3659,432,8324,715,7104,420,6380,526,3067,49,2275,284,528,250,52063,1682,3096,453,3235,756,2981,651,2221,192,1014,146,2809,369,3395,246,3021,331,7082,577,7447,318,6113,236,4573,385,3776,581,1300,560
0500000US34013,34013,"Essex County, New Jersey",334699,5919,163123,3282,10174,787,10619,1180,10380,1203,6430,508,4075,364,9026,518,8763,768,9929,914,25417,1044,26122,904,20585,679,11125,559,7833,708,2645,634,171576,3498,10039,990,11296,1153,9314,1069,6164,432,3849,393,8774,613,7569,640,9503,723,24456,1087,27429,730,22003,738,13296,466,11514,1061,6370,1025
0500000US34015,34015,"Gloucester County, New Jersey",238991,1319,116840,768,6535,133,6981,892,8394,913,5390,132,3474,193,9025,235,7677,331,7402,262,18171,211,18897,161,13128,224,6684,115,3973,398,1109,398,122151,754,6082,97,7137,854,7466,872,5184,99,3250,273,9119,361,7730,139,7212,301,19554,305,19627,121,13272,225,7939,273,6553,435,2026,435
0500000US34017,34017,"Hudson County, New Jersey",339879,6675,169546,4155,10365,1011,7907,1216,8865,1549,5758,671,3672,585,9437,1032,14016,1120,17583,881,32679,1409,24003,1228,16060,999,10253,488,6840,652,2108,551,170333,3483,9480,945,7418,1312,8185,1275,5470,616,3071,475,8508,863,11403,822,15760,921,29374,1494,23700,1082,18305,759,13144,654,10783,908,5732,814
