GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0500000US34001,34001,"Atlantic County, New Jersey",167223,1294,80470,606,4117,273,5407,525,3897,603,3341,273,3035,520,3773,522,4398,273,4771,273,12573,273,13905,282,9485,273,6220,273,4662,331,886,331,86753,690,3770,273,3371,725,5636,719,3268,273,3051,483,3585,483,5056,273,5144,273,12692,350,14167,87,10173,273,7556,273,6381,614,2903,614
0500000US34003,34003,"Bergen County, New Jersey",593029,803,286766,492,15711,80,18006,1572,18788,1589,11776,218,6917,273,15441,273,9629,114,13564,71,43395,134,49012,107,39104,273,23094,122,16186,924,6143,924,306263,429,15271,84,17145,1343,17872,1322,11137,112,6362,273,14180,273,9521,273,13535,225,43769,273,51270,118,42631,93,27515,273,24421,1347,11634,1347
0500000US34005,34005,"Burlington County, New Jersey",326555,1938,158933,1556,9159,109,9750,755,10488,773,7054,273,3805,32,9551,273,8845,566,9792,363,25276,946,26739,273,18816,89,10711,273,6685,584,2262,584,167622,515,8833,84,9856,940,9705,938,6732,273,3244,273,8572,273,8743,410,9615,151,26968,273,27466,273,20001,82,12600,273,11142,694,4145,694
0500000US34007,34007,"Camden County, New Jersey",328646,502,159741,245,8919,273,9561,1027,10592,1034,7308,273,3970,273,10332,273,9207,273,8883,182,24685,108,27100,273,19150,273,10323,273,7430,583,2281,583,168905,291,8549,273,8439,1144,10514,1153,6764,83,3559,273,9620,273,8914,178,8701,273,25508,103,28122,273,20940,273,12537,273,11363,641,5375,641
0500000US34009,34009,"Cape May County, New Jersey",86354,1431,41567,415,1762,273,2157,544,2554,544,1854,273,1137,273,2129,415,2308,273,2079,273,5580,273,6701,273,5279,273,4098,273,2809,366,1120,366,44787,1028,1613,197,1960,723,2273,699,1654,273,629,323,2077,538,2440,273,2169,273,5962,273,6981,273,5990,273,4848,273,4597,602,1594,602
0500000US34011,34011,"Cumberland County, New Jersey",84099,268,40925,120,1989,273,2243,578,2204,591,1743,273,903,273,2412,273,2994,273,2574,273,6398,273,6483,273,5257,273,3031,273,2166,250,528,250,43174,242,1948,273,1923,475,2397,475,1574,273,865,273,2195,273,2544,273,2437,273,5884,242,6665,273,5824,273,3915,273,3703,560,1300,560
0500000US34013,34013,"Essex County, New Jersey",279205,2000,135385,1203,8067,163,8762,899,8416,922,5257,71,3280,175,7647,279,6231,239,6982,227,20400,459,22722,571,18161,273,9648,337,7167,634,2645,634,143820,1189,7589,248,8275,978,7776,924,5152,164,2997,100,7076,214,5838,124,7061,158,20188,395,24095,236,19330,132,11635,273,10601,945,6207,945
0500000US34015,34015,"Gloucester County, New Jersey",234661,268,114357,294,6453,273,6899,888,8143,884,5244,273,3368,273,8544,273,7392,290,7099,273,17868,273,18717,273,12917,273,6631,273,3973,398,1109,398,120304,72,6028,273,7137,854,7186,854,5107,273,3250,273,8809,68,7612,273,6969,273,19102,24,19525,273,13061,273,7939,273,6553,435,2026,435
0500000US34017,34017,"Hudson County, New Jersey",202616,1605,102205,735,5628,273,4584,704,4521,718,2831,273,2066,91,4887,161,7972,123,11532,106,20773,363,14952,175,10311,273,6021,273,4351,506,1776,506,100411,960,5327,273,4073,820,4431,763,2449,146,1653,116,4280,154,7201,119,9962,261,16563,435,13880,134,10865,272,7569,273,7421,690,4737,690
0500000US34019,34019,"Hunterdon County, New Jersey",116650,604,57746,273,3005,273,3560,599,4533,599,2754,273,1335,273,3147,273,2047,273,2684,273,8951,273,11256,273,8172,273,3777,273,1939,337,586,337,58904,604,2990,273,3999,629,3645,629,2498,291,1245,273,2783,273,2246,273,2820,273,9814,273,11381,315,8092,273,3726,273,2202,514,1463,514
0500000US34021,34021,"Mercer County, New Jersey",215641,563,104316,316,5066,113,5493,1032,6873,1032,4323,273,3865,273,7880,273,5051,263,5703,273,15390,273,17593,273,13424,119,7110,273,4998,532,1547,532,111325,316,4881,111,4881,920,6764,920,3957,273,4187,106,7734,273,4289,155,5535,273,16141,273,18560,120,14565,273,8310,273,7508,742,4013,742
0500000US34023,34023,"Middlesex County, New Jersey",426536,868,207769,430,10097,154,12203,1165,12214,1165,8418,273,6178,273,14002,273,9628,273,11419,78,31939,84,36196,273,25836,121,14851,334,10962,693,3826,693,218767,642,9466,264,10447,1131,12475,1130,7860,69,5815,273,13505,136,8953,82,10731,170,31254,86,36513,366,28237,80,18494,273,17488,1114,7529,1114
0500000US34025,34025,"Monmouth County, New Jersey",496871,707,242016,388,13567,273,15341,1220,18137,1220,11637,273,6630,273,14565,273,10144,114,11631,273,36424,280,43477,99,31463,273,16396,273,9110,655,3494,655,254855,447,12758,99,16362,1333,15501,1312,10977,79,5925,273,13586,115,10436,95,11691,126,39438,98,44996,87,32793,139,18581,273,15072,1073,6739,1073
0500000US34027,34027,"Morris County, New Jersey",380966,1095,186791,405,11318,273,13299,1259,13200,1253,8376,87,4912,273,10031,273,5798,311,8927,159,30262,273,32496,102,24922,273,13698,273,7355,570,2197,570,194175,788,10425,273,12692,1178,12526,1184,7798,273,4432,273,9693,259,5899,273,9127,456,30777,351,33687,273,26869,273,14651,366,10854,695,4745,695
0500000US34029,34029,"Ocean County, New Jersey",492763,610,233644,363,15056,273,15140,1552,14282,1552,9623,273,5153,273,12750,273,14731,273,13257,273,32651,342,32607,273,24372,273,18663,126,19025,1064,6334,1064,259119,428,14146,326,14313,1250,13437,1262,9248,97,4597,273,12738,273,14421,273,14191,273,34354,93,33647,273,27094,89,25052,273,29532,1390,12349,1390
0500000US34031,34031,"Passaic County, New Jersey",239768,824,116764,266,7175,145,6995,908,7768,899,4603,98,3131,273,6663,273,5003,134,6336,273,17856,116,19837,66,14497,273,8757,273,5508,635,2635,635,123004,625,6476,393,7357,824,6659,847,4394,273,2756,95,6498,272,4661,102,5967,71,17563,148,19765,118,15808,273,10461,273,8564,857,6075,857
0500000US34033,34033,"Salem County, New Jersey",52231,175,25422,273,1362,273,939,251,2046,251,1119,273,577,273,1747,273,1740,273,1454,273,3695,273,4147,273,3348,273,1739,273,1042,231,467,231,26809,175,1212,114,1076,315,1868,315,1122,273,591,273,1569,273,1796,273,1607,273,3878,22,4219,83,3380,273,1962,273,1601,317,928,317
0500000US34035,34035,"Somerset County, New Jersey",215551,286,104949,115,6204,273,8069,864,7121,858,4833,273,2386,273,5071,273,2930,273,5122,273,17190,273,19862,273,13310,273,7214,101,3590,535,2047,535,110602,254,5869,273,6883,976,7324,967,4458,100,2061,273,4488,273,3422,273,5045,273,18493,273,20465,273,14133,273,8316,273,5821,678,3824,678
0500000US34037,34037,"Sussex County, New Jersey",138476,93,68694,93,3638,273,4973,727,4668,727,3595,273,1840,273,4142,273,3327,273,3523,273,11015,273,12619,93,8961,273,3985,273,1944,212,464,212,69782,273,3540,273,4091,664,5232,664,3382,273,1586,273,4046,273,3251,273,3615,273,11521,273,12815,273,8897,273,3908,273,2936,340,962,340
0500000US34039,34039,"Union County, New Jersey",256630,1404,124064,548,7260,273,8706,931,8138,931,5029,224,3129,273,6560,207,4025,249,5675,131,18872,281,21793,203,16386,273,8938,273,6874,571,2679,565,132566,1165,6996,71,7729,954,7866,937,5053,273,2786,107,5936,266,4171,195,5589,143,19226,413,22310,96,17631,273,10410,392,10531,794,6332,794
0500000US34041,34041,"Warren County, New Jersey",96632,449,46964,273,2640,273,3453,618,3112,618,2275,273,1152,273,2566,273,2117,273,2641,273,8031,273,8003,273,5473,273,2986,273,1990,251,525,251,49668,449,2635,273,2961,404,3160,442,2148,273,977,120,2384,273,2548,273,2848,273,8394,124,8118,90,5664,273,3355,273,2755,395,1721,395
0500000US42001,42001,"Adams County, Pennsylvania",92488,26,45290,26,2276,240,2766,542,2700,542,2015,240,1408,240,3295,240,3172,240,2691,240,6874,26,7076,240,5076,240,3250,240,2155,363,536,363,47198,240,2270,240,2731,498,2647,498,1921,240,2051,369,2493,369,3023,240,2785,240,6947,240,7265,240,5368,240,3578,240,2570,481,1549,481
0500000US42003,42003,"Allegheny County, Pennsylvania",1003820,971,480541,385,24072,299,25420,1663,29714,1636,19149,240,14400,240,32622,240,21519,240,26271,240,69524,82,84925,69,59781,105,35137,240,29048,898,8959,898,523279,785,23142,240,25721,1718,26203,1765,18149,240,13679,240,29315,66,20955,67,25983,82,71603,95,88293,131,67092,102,45107,123,45905,1530,22132,1530
0500000US42005,42005,"Armstrong County, Pennsylvania",68506,240,33440,240,1763,240,1942,441,2137,441,1361,240,745,240,1872,240,2199,240,1870,240,4574,240,5678,240,4150,240,2547,240,1891,278,711,278,35066,240,1591,240,1404,443,2387,443,1360,240,647,240,1893,240,1973,240,1851,240,4794,240,5485,240,4348,240,3202,240,3026,364,1105,364
