GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2006 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2006 inflation-adjusted dollars)
0500000US34001,34001,"Atlantic County, New Jersey",43958,12071
0500000US34003,34003,"Bergen County, New Jersey",53578,6875
0500000US34005,34005,"Burlington County, New Jersey",62424,13192
0500000US34007,34007,"Camden County, New Jersey",57447,11208
0500000US34009,34009,"Cape May County, New Jersey",-,**
0500000US34011,34011,"Cumberland County, New Jersey",63908,45687
0500000US34013,34013,"Essex County, New Jersey",40089,18491
0500000US34015,34015,"Gloucester County, New Jersey",96639,36086
0500000US34017,34017,"Hudson County, New Jersey",55271,25810
0500000US34023,34023,"Middlesex County, New Jersey",52142,15062
0500000US34025,34025,"Monmouth County, New Jersey",61261,20025
0500000US34029,34029,"Ocean County, New Jersey",41949,21617
0500000US34031,34031,"Passaic County, New Jersey",43959,12704
0500000US34035,34035,"Somerset County, New Jersey",94675,16913
0500000US34039,34039,"Union County, New Jersey",75174,38079
0500000US34041,34041,"Warren County, New Jersey",-,**
0500000US42001,42001,"Adams County, Pennsylvania",65774,22652
0500000US42003,42003,"Allegheny County, Pennsylvania",29016,10886
0500000US42005,42005,"Armstrong County, Pennsylvania",42763,15934
0500000US42007,42007,"Beaver County, Pennsylvania",30981,9263
0500000US42011,42011,"Berks County, Pennsylvania",59606,27852
0500000US42013,42013,"Blair County, Pennsylvania",22813,12564
0500000US42017,42017,"Bucks County, Pennsylvania",60573,11538
0500000US42019,42019,"Butler County, Pennsylvania",50318,47489
0500000US42021,42021,"Cambria County, Pennsylvania",101148,67676
0500000US42029,42029,"Chester County, Pennsylvania",85246,69818
0500000US42033,42033,"Clearfield County, Pennsylvania","200,000+",***
0500000US42037,42037,"Columbia County, Pennsylvania",-,**
0500000US42039,42039,"Crawford County, Pennsylvania",26575,2032
0500000US42041,42041,"Cumberland County, Pennsylvania",59450,29996
0500000US42043,42043,"Dauphin County, Pennsylvania",27409,17826
0500000US42045,42045,"Delaware County, Pennsylvania",52768,23257
0500000US42049,42049,"Erie County, Pennsylvania",28839,14433
0500000US42063,42063,"Indiana County, Pennsylvania",15430,11934
0500000US42071,42071,"Lancaster County, Pennsylvania",42016,42061
0500000US42075,42075,"Lebanon County, Pennsylvania",29771,21437
0500000US42077,42077,"Lehigh County, Pennsylvania",32044,13336
0500000US42081,42081,"Lycoming County, Pennsylvania","2,500-",***
0500000US42091,42091,"Montgomery County, Pennsylvania",45177,21642
0500000US42095,42095,"Northampton County, Pennsylvania",42964,24538
0500000US42097,42097,"Northumberland County, Pennsylvania",-,**
0500000US42101,42101,"Philadelphia County, Pennsylvania",30772,9312
0500000US42107,42107,"Schuylkill County, Pennsylvania",40722,13616
0500000US42133,42133,"York County, Pennsylvania",28689,15255
