GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC04_EST_VC12,HC04_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC03_EST_VC14,HC03_MOE_VC14,HC04_EST_VC14,HC04_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC04_EST_VC16,HC04_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC04_EST_VC17,HC04_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC03_EST_VC21,HC03_MOE_VC21,HC04_EST_VC21,HC04_MOE_VC21,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC03_EST_VC23,HC03_MOE_VC23,HC04_EST_VC23,HC04_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC03_EST_VC24,HC03_MOE_VC24,HC04_EST_VC24,HC04_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC03_EST_VC25,HC03_MOE_VC25,HC04_EST_VC25,HC04_MOE_VC25,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC03_EST_VC27,HC03_MOE_VC27,HC04_EST_VC27,HC04_MOE_VC27,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC03_EST_VC29,HC03_MOE_VC29,HC04_EST_VC29,HC04_MOE_VC29,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC03_EST_VC31,HC03_MOE_VC31,HC04_EST_VC31,HC04_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC03_EST_VC32,HC03_MOE_VC32,HC04_EST_VC32,HC04_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC03_EST_VC33,HC03_MOE_VC33,HC04_EST_VC33,HC04_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC03_EST_VC34,HC03_MOE_VC34,HC04_EST_VC34,HC04_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC03_EST_VC35,HC03_MOE_VC35,HC04_EST_VC35,HC04_MOE_VC35,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC03_EST_VC37,HC03_MOE_VC37,HC04_EST_VC37,HC04_MOE_VC37
0500000US34001,34001,"Atlantic County, New Jersey",214533,790,67.0,1.5,62.8,1.7,6.3,1.0,17350,1530,45.5,6.0,36.2,5.4,20.4,5.6,14156,1094,73.9,4.8,60.2,6.1,18.4,5.8,78573,592,84.9,2.3,80.4,2.7,5.2,1.5,40415,516,81.6,3.3,79.1,3.4,3.1,1.3,27760,659,68.5,3.8,66.1,4.0,3.5,2.2,17996,537,30.4,5.4,28.4,5.2,6.6,3.8,18283,370,7.2,2.8,6.8,2.7,5.0,8.5,N,N,N,N,N,N,N,N,146247,1812,65.3,1.9,61.8,2.0,5.2,1.1,33119,765,68.8,3.7,61.3,3.8,10.9,3.5,N,N,N,N,N,N,N,N,13960,338,74.2,7.0,69.6,7.1,6.1,4.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,26740,440,68.9,4.7,64.4,5.0,6.2,2.9,138791,799,65.0,1.9,61.6,2.0,5.2,1.1,160904,1384,80.3,1.6,75.8,1.8,5.5,1.0,78758,1028,84.7,2.2,79.5,2.4,6.1,1.5,82146,847,76.0,2.1,72.3,2.3,4.8,1.2,(X),(X),(X),(X),(X),(X),(X),(X),12582,2195,48.2,7.2,41.0,7.2,15.0,7.2,21730,2610,51.8,6.5,47.0,6.7,9.2,5.4,146748,678,80.9,1.6,77.3,1.9,4.3,0.9,15845,2027,66.2,6.7,59.9,7.5,9.5,4.4,52911,3493,79.1,2.8,75.7,3.3,4.3,2.1,41903,3622,84.9,3.0,80.7,3.2,4.8,1.8,36089,2864,85.2,2.7,83.5,2.9,2.0,1.1,3.4,(X),(X),(X),(X),(X),(X),(X)
0500000US34003,34003,"Bergen County, New Jersey",725511,1433,65.9,0.8,62.6,0.9,5.0,0.6,45795,1913,38.7,4.1,31.7,3.1,18.0,4.4,50199,866,73.7,3.1,66.0,3.6,10.2,2.9,243218,271,82.0,1.3,78.6,1.4,4.2,0.8,145593,99,83.8,1.5,80.2,1.7,4.3,1.1,108365,81,71.6,2.3,69.2,2.3,3.3,0.9,65376,385,30.4,2.4,29.2,2.5,4.1,2.4,66965,406,6.8,1.2,6.8,1.2,0.0,3.7,N,N,N,N,N,N,N,N,544674,4556,64.8,0.8,61.6,0.9,4.8,0.6,41404,1161,71.2,4.0,65.0,3.3,8.8,3.4,N,N,N,N,N,N,N,N,100353,1225,66.5,2.0,63.8,2.0,4.1,1.3,N,N,N,N,N,N,N,N,31433,4355,77.1,4.2,71.7,3.7,7.0,3.0,N,N,N,N,N,N,N,N,98499,650,75.6,2.6,70.3,2.7,7.1,2.1,482862,1122,63.5,0.9,60.6,1.0,4.4,0.6,547375,780,79.7,0.9,76.0,1.0,4.6,0.6,268928,735,87.5,1.1,83.3,1.2,4.7,0.8,278447,618,72.2,1.5,68.9,1.5,4.5,0.8,(X),(X),(X),(X),(X),(X),(X),(X),24124,2974,43.7,5.6,30.6,5.1,30.1,8.6,39366,3243,48.4,5.0,43.7,5.1,9.4,4.1,497176,321,80.3,0.9,77.0,1.0,4.1,0.5,30727,3646,64.5,5.9,58.3,6.1,9.7,4.1,114071,5536,76.6,2.1,73.0,2.2,4.7,1.3,117535,4971,82.2,1.6,78.6,1.8,4.4,1.1,234843,6242,83.2,1.1,80.6,1.1,3.1,0.6,3.2,(X),(X),(X),(X),(X),(X),(X)
0500000US34005,34005,"Burlington County, New Jersey",358819,1062,67.3,1.1,62.4,1.2,5.8,0.9,23281,1362,46.3,5.0,36.2,5.0,21.8,6.5,27485,887,76.5,3.2,64.8,3.6,13.1,3.3,131971,1374,81.8,1.9,76.0,2.0,4.5,1.4,69821,349,85.1,1.6,81.4,2.1,4.0,1.3,48828,235,67.2,3.1,64.5,3.0,4.0,1.4,29355,357,25.4,3.4,24.3,3.3,4.2,3.1,28078,283,7.1,2.6,6.8,2.6,4.8,6.9,N,N,N,N,N,N,N,N,271341,2545,67.8,1.1,63.5,1.2,5.2,0.9,57012,1234,65.0,3.2,57.1,3.0,9.0,2.7,N,N,N,N,N,N,N,N,14142,591,65.6,5.4,64.2,5.4,1.9,1.9,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,17480,244,65.4,5.1,60.7,5.6,6.3,3.3,263751,1849,67.8,1.1,63.4,1.2,5.3,0.9,278105,978,79.5,1.2,74.3,1.3,5.1,0.9,139611,674,81.4,1.7,76.0,1.9,4.2,1.1,138494,579,77.6,1.5,72.5,1.6,6.1,1.3,(X),(X),(X),(X),(X),(X),(X),(X),15791,2721,55.5,9.1,37.8,8.8,31.9,10.6,29920,2598,47.8,5.3,41.7,5.2,12.3,4.7,250620,1249,79.9,1.2,75.3,1.3,4.3,0.9,18801,2437,61.5,5.8,58.9,6.1,4.2,3.6,74723,3986,76.2,2.7,70.1,2.9,6.8,2.4,72436,3653,82.2,2.4,76.8,2.6,3.8,1.3,84660,4828,85.1,1.5,82.2,1.8,2.7,1.2,2.2,(X),(X),(X),(X),(X),(X),(X)
0500000US34007,34007,"Camden County, New Jersey",403288,1291,67.2,0.9,62.3,1.0,6.9,0.8,29207,1428,43.9,3.9,33.5,4.4,23.4,6.4,34234,527,79.7,3.5,68.8,3.9,13.2,2.7,144093,450,82.4,1.6,77.5,1.8,5.5,1.3,78378,198,81.8,2.1,79.1,2.3,3.2,1.2,54690,121,68.4,2.7,63.3,2.6,7.4,1.9,30627,653,29.1,4.6,27.3,4.4,6.2,3.6,32059,644,5.1,1.8,4.2,1.7,17.3,11.7,N,N,N,N,N,N,N,N,277405,2225,67.6,1.0,63.7,1.1,5.4,0.8,72112,1905,65.9,2.3,58.1,3.0,11.6,3.0,N,N,N,N,N,N,N,N,18927,388,66.2,5.6,62.5,6.3,5.6,3.5,N,N,N,N,N,N,N,N,28727,2691,66.6,4.9,59.6,5.1,10.2,3.6,N,N,N,N,N,N,N,N,42163,426,67.3,3.7,61.3,3.6,8.5,2.6,266711,880,67.7,1.1,63.8,1.2,5.5,0.8,311395,505,79.5,1.0,74.5,1.1,6.1,0.8,151743,331,84.3,1.3,78.4,1.4,6.6,1.1,159652,372,75.0,1.5,70.8,1.7,5.4,1.1,(X),(X),(X),(X),(X),(X),(X),(X),27841,2616,45.9,5.0,32.8,5.0,28.5,7.2,39675,3529,39.7,3.4,35.4,3.3,11.0,4.0,277161,434,79.5,1.0,75.2,1.2,5.2,0.8,36736,2627,64.0,4.1,57.2,4.8,10.6,3.8,86854,3846,77.8,1.7,72.3,1.9,7.0,1.6,72121,3790,81.3,2.3,77.5,2.5,4.3,1.1,81450,3824,86.6,1.7,84.2,1.7,2.3,0.8,3.2,(X),(X),(X),(X),(X),(X),(X)
0500000US34009,34009,"Cape May County, New Jersey",80470,508,60.3,2.5,54.2,2.4,8.7,2.5,4207,595,43.8,14.5,35.8,14.0,18.1,13.9,5108,380,79.3,11.8,54.8,17.1,30.1,22.3,24597,587,86.1,3.8,77.9,4.6,6.6,3.0,14462,401,80.9,5.6,75.6,5.5,5.6,3.4,12076,408,54.6,5.1,52.2,5.1,4.4,3.1,9569,341,25.5,6.8,24.0,6.5,5.6,5.0,10451,255,7.1,3.0,5.7,2.5,19.9,18.1,N,N,N,N,N,N,N,N,74339,1239,59.7,2.5,54.6,2.4,6.9,2.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,72702,1084,59.2,2.5,54.1,2.4,6.9,2.0,56243,531,77.4,3.2,69.7,3.0,8.2,2.6,27160,450,81.9,3.2,74.9,3.5,5.1,2.1,29083,592,73.2,5.2,64.9,4.8,11.3,3.9,(X),(X),(X),(X),(X),(X),(X),(X),4770,1535,56.6,14.9,28.9,11.2,49.0,23.8,7706,1374,37.8,11.2,25.9,8.6,31.4,15.7,51135,482,77.2,2.8,71.2,3.0,6.0,1.9,4955,1020,61.2,10.0,53.9,10.7,11.9,8.4,17489,1634,75.2,5.3,66.3,5.5,7.8,3.6,13146,1245,79.6,4.9,72.9,5.4,7.0,4.6,15545,1731,82.5,4.7,80.9,4.8,1.9,1.6,3.3,(X),(X),(X),(X),(X),(X),(X)
0500000US34011,34011,"Cumberland County, New Jersey",122450,626,58.5,1.7,51.6,1.8,11.7,2.1,8982,1063,48.4,9.5,29.4,9.4,39.2,18.3,10170,647,73.9,6.2,60.3,7.6,18.4,6.9,49148,1090,70.3,2.9,63.0,3.3,10.3,2.9,19317,839,67.0,5.7,60.6,5.9,9.5,4.8,15875,675,61.8,5.5,59.0,5.5,4.5,3.4,9536,527,20.1,4.7,19.7,4.7,2.0,3.4,9422,459,5.6,3.5,5.6,3.5,0.0,27.3,N,N,N,N,N,N,N,N,83896,2379,62.4,1.8,57.2,2.0,8.4,2.0,24418,784,47.8,4.6,34.4,5.1,28.1,9.1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,24109,342,62.2,5.0,54.0,5.9,13.2,5.6,70923,367,60.8,2.0,56.6,2.1,6.9,1.9,94510,891,68.6,2.2,61.6,2.4,10.2,2.0,51437,816,67.9,2.8,62.5,3.3,7.9,2.6,43073,588,69.4,3.5,60.5,4.0,12.9,3.3,(X),(X),(X),(X),(X),(X),(X),(X),11341,1771,40.2,6.6,24.1,6.2,40.1,13.2,14492,1826,29.1,6.9,26.7,7.0,8.2,5.4,84340,845,67.9,2.3,61.7,2.5,9.2,2.2,20507,1945,46.5,6.2,38.3,6.3,17.7,7.7,32297,2585,70.1,3.9,64.8,4.1,7.6,2.8,20492,1985,77.4,4.9,68.7,5.4,11.3,4.4,11044,1696,83.9,6.7,83.2,6.7,0.8,0.8,2.4,(X),(X),(X),(X),(X),(X),(X)
0500000US34013,34013,"Essex County, New Jersey",605150,1438,64.5,0.9,58.7,1.0,9.0,0.8,44643,1515,34.1,3.8,24.6,3.1,27.8,5.3,51685,434,71.0,3.3,57.7,3.9,18.8,3.9,223983,274,80.2,1.4,74.0,1.5,7.8,1.1,113152,349,79.8,2.0,73.8,2.2,7.4,1.3,80810,174,65.2,2.7,62.4,2.7,4.2,1.3,47222,410,26.3,3.2,24.1,3.0,8.4,4.1,43655,474,8.3,2.0,8.0,2.0,2.9,3.3,N,N,N,N,N,N,N,N,268697,4432,62.8,1.3,59.4,1.4,5.4,1.0,240868,3135,63.5,1.6,55.0,1.8,13.5,1.5,N,N,N,N,N,N,N,N,27231,556,71.9,3.7,67.8,4.0,5.7,3.4,N,N,N,N,N,N,N,N,57754,4624,71.9,3.9,65.7,4.1,8.6,2.1,N,N,N,N,N,N,N,N,104447,489,66.6,2.3,60.7,2.5,8.9,1.8,226739,1635,63.1,1.4,59.9,1.4,5.1,1.0,469630,606,76.5,0.9,70.2,1.2,8.3,0.9,226418,444,80.2,1.3,73.3,1.7,8.6,1.1,243212,368,73.0,1.4,67.2,1.6,8.0,1.2,(X),(X),(X),(X),(X),(X),(X),(X),59007,4917,45.0,3.5,28.4,3.3,36.9,6.0,52427,4359,36.5,3.4,30.3,3.1,17.0,5.1,417945,352,77.2,1.0,71.7,1.1,7.1,0.8,71067,4246,59.1,3.2,50.8,3.5,14.0,3.3,117628,5043,74.6,2.3,68.1,2.5,8.7,1.5,92442,4031,81.7,2.0,76.1,2.3,6.9,1.6,136808,5540,85.8,1.3,82.7,1.4,3.6,0.9,4.0,(X),(X),(X),(X),(X),(X),(X)
0500000US34015,34015,"Gloucester County, New Jersey",224641,783,68.4,1.3,64.7,1.2,5.4,0.9,17009,997,51.2,6.5,39.4,5.6,23.1,6.5,20874,1024,76.3,4.9,66.3,5.9,13.2,4.9,81005,1476,84.6,2.0,82.1,2.0,2.9,0.9,43709,619,86.3,2.4,83.1,2.7,3.7,1.3,29397,524,61.8,4.2,59.9,4.1,3.2,1.5,17535,766,21.8,4.4,20.8,4.3,4.3,3.9,15112,488,5.8,3.0,5.4,2.8,6.6,9.9,N,N,N,N,N,N,N,N,192658,1255,69.2,1.6,65.7,1.5,5.0,0.8,21255,1064,61.4,5.1,56.6,4.7,7.8,5.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,189191,668,69.1,1.6,65.7,1.5,5.0,0.8,174985,1068,80.2,1.4,76.7,1.4,4.3,0.9,85630,680,87.4,1.6,83.4,1.8,4.7,1.1,89355,891,73.2,2.4,70.4,2.4,3.9,1.2,(X),(X),(X),(X),(X),(X),(X),(X),9424,1807,30.6,7.9,23.1,7.1,24.3,11.7,19580,2133,44.8,5.8,42.0,5.9,6.3,3.4,154111,1287,80.7,1.4,78.2,1.4,3.2,0.8,12204,1689,59.0,6.6,54.9,6.4,7.1,3.9,53693,3164,76.5,2.6,73.5,2.6,3.9,1.6,43535,2761,83.6,2.3,81.1,2.3,3.0,1.2,44679,2663,88.9,2.2,87.3,2.3,1.9,0.9,2.4,(X),(X),(X),(X),(X),(X),(X)
0500000US34017,34017,"Hudson County, New Jersey",480010,1150,68.4,0.9,62.9,0.9,7.9,0.8,28321,1223,33.6,4.2,24.0,4.2,28.7,6.9,39805,363,71.0,4.4,59.9,4.1,15.5,3.6,209867,*****,85.7,1.1,80.3,1.2,6.3,1.0,80496,*****,81.2,2.5,75.4,2.7,7.2,1.7,55937,*****,61.4,3.3,57.2,3.1,6.8,2.0,34049,371,26.4,3.9,25.2,4.0,4.7,3.9,31535,370,5.1,1.8,5.1,1.8,0.0,10.1,N,N,N,N,N,N,N,N,283714,5561,67.0,1.2,62.1,1.2,7.2,1.0,64277,2438,67.8,3.4,58.7,3.3,13.4,2.7,N,N,N,N,N,N,N,N,55803,1070,70.5,3.2,66.9,3.3,4.6,1.8,N,N,N,N,N,N,N,N,68785,5595,73.0,2.8,67.6,3.0,7.4,2.4,5087,1418,58.4,10.6,46.5,11.0,20.3,9.9,190431,825,69.2,1.4,64.0,1.5,7.5,1.3,172281,1115,66.7,1.5,61.9,1.5,7.1,1.4,386105,363,79.8,1.1,73.8,1.1,7.4,0.8,195452,305,85.6,1.3,79.4,1.4,7.1,1.1,190653,178,73.8,1.7,68.0,1.7,7.8,1.1,(X),(X),(X),(X),(X),(X),(X),(X),42856,3851,52.3,4.7,38.5,3.9,26.5,4.6,39941,2940,38.9,4.0,33.6,3.6,13.6,3.9,346300,*****,80.8,1.1,75.4,1.1,6.6,0.8,59412,4523,65.6,3.3,58.9,3.4,10.3,3.0,101812,5137,78.8,2.1,72.7,2.3,7.5,1.4,66989,4230,83.0,2.5,77.4,2.8,6.7,1.6,118087,4062,88.8,1.3,84.9,1.7,4.4,1.2,3.4,(X),(X),(X),(X),(X),(X),(X)
0500000US34019,34019,"Hunterdon County, New Jersey",103495,448,67.4,1.7,65.1,2.0,3.4,1.0,6225,651,57.5,8.9,53.4,8.8,7.1,8.1,7484,602,64.6,7.8,61.3,8.4,5.0,4.2,32889,878,79.4,3.0,76.7,3.2,3.5,1.9,25296,703,84.9,3.0,82.8,3.1,2.2,1.1,17364,463,64.5,5.4,62.0,5.6,3.8,2.5,7892,316,28.5,8.2,28.1,8.3,1.7,3.1,6345,175,5.2,3.5,5.2,3.5,0.0,37.6,N,N,N,N,N,N,N,N,95037,896,69.2,1.7,66.9,2.1,3.3,1.1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,92714,639,69.3,1.8,67.0,2.1,3.3,1.0,83033,598,76.6,2.0,74.1,2.3,3.2,1.0,40975,581,84.7,2.2,81.9,2.5,3.3,1.2,42058,441,68.8,3.1,66.5,3.2,3.1,1.6,(X),(X),(X),(X),(X),(X),(X),(X),2943,876,45.5,9.3,30.7,9.0,32.5,14.8,6651,1515,38.8,9.3,36.5,9.2,5.9,5.9,75549,977,77.8,2.1,75.4,2.3,3.1,1.0,3473,1010,33.0,13.6,33.0,13.6,0.0,14.0,16503,1641,72.6,4.9,71.0,4.8,2.3,1.6,17438,1725,82.0,3.5,77.7,4.0,5.2,3.2,38135,2073,82.2,3.1,80.0,3.4,2.5,1.1,1.4,(X),(X),(X),(X),(X),(X),(X)
