GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0500000US34001,34001,"Atlantic County, New Jersey",45917,2191,22568,1243,2678,735,1921,592,1564,478,1536,266,1174,600,1376,590,1398,838,1313,229,3092,383,2697,173,1780,130,1168,390,398,374,473,405,23349,1527,1086,513,1647,528,2046,597,1214,91,739,502,2429,710,570,319,1734,259,3389,616,3416,87,2037,400,1556,277,871,369,615,375
0500000US34003,34003,"Bergen County, New Jersey",50372,2858,24054,1785,1278,363,1973,581,1441,610,929,546,485,522,1971,672,1744,468,1593,238,4356,646,3576,338,2516,301,1402,116,704,149,86,102,26318,1616,1147,376,1182,631,1506,659,1212,514,701,633,2076,662,1548,246,1405,372,4546,358,4451,456,3081,230,2047,87,818,199,598,199
0500000US34005,34005,"Burlington County, New Jersey",70757,1971,35660,1160,2166,320,2035,624,2572,639,1691,212,1042,288,4045,288,3183,261,2495,195,5377,181,5087,167,2820,289,1925,277,1071,166,151,166,35097,1153,2233,264,1980,616,2720,813,1790,198,1005,92,2519,287,2343,255,2209,220,5555,212,5098,365,3644,174,2376,83,718,527,907,555
0500000US34007,34007,"Camden County, New Jersey",99636,2145,46293,1179,3819,538,2690,745,5179,791,2767,121,1713,277,3678,114,3303,363,3289,599,6812,232,5851,153,3815,137,2062,277,893,258,422,258,53343,1290,3868,288,3768,811,4155,773,2614,200,1487,227,3794,310,4527,394,3684,163,7826,306,7711,179,4759,551,2743,61,1719,271,688,271
0500000US34011,34011,"Cumberland County, New Jersey",30097,1075,17418,705,1090,74,946,219,1055,278,571,276,471,277,2043,776,1481,730,2307,356,3808,388,1934,92,896,178,541,277,263,68,12,21,12679,662,551,466,738,313,1172,357,638,163,626,389,659,324,965,195,1109,277,2486,274,1208,273,1150,24,702,61,410,222,265,227
0500000US34013,34013,"Essex County, New Jersey",317799,4066,147191,2318,12573,639,11308,1291,12698,1191,8195,412,4943,185,11204,521,11264,342,9919,365,21405,709,19944,521,12179,415,7171,378,3463,510,925,499,170608,2314,11856,634,12288,1424,11185,1296,7401,238,4816,282,12132,582,11399,346,12252,296,26286,685,23895,427,17215,385,11185,419,5596,749,3102,746
0500000US34015,34015,"Gloucester County, New Jersey",28248,1082,13628,692,1019,391,558,276,1624,319,619,221,1033,475,790,454,1144,28,98,120,2586,317,1873,113,1207,277,845,258,232,195,0,277,14620,759,557,322,1646,404,546,330,772,95,431,341,1047,479,1181,277,990,166,2066,404,2087,167,1437,62,936,373,924,373,0,277
0500000US34017,34017,"Hudson County, New Jersey",79861,2893,37841,1687,3150,374,2955,564,2909,626,1996,122,1370,240,3182,346,3154,272,2808,462,6613,883,4984,390,2714,297,1529,268,436,225,41,68,42020,1653,2695,91,2381,641,3028,656,1976,344,1262,223,3083,126,3605,395,3343,525,7043,448,5817,447,3705,283,2485,327,1253,336,344,232
0500000US34021,34021,"Mercer County, New Jersey",72347,2333,34580,1152,2879,257,1992,734,3423,793,1725,374,1311,133,2973,374,2768,280,2607,277,5039,85,4639,290,2739,277,1548,277,819,222,118,185,37767,1600,2677,452,2313,718,3224,732,1651,559,971,630,3017,634,3125,150,2539,77,5485,350,5225,428,3501,257,2295,74,1326,297,418,256
