GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Quintile Means: - Lowest Quintile,Margin of Error; Quintile Means: - Lowest Quintile,Estimate; Quintile Means: - Second Quintile,Margin of Error; Quintile Means: - Second Quintile,Estimate; Quintile Means: - Third Quintile,Margin of Error; Quintile Means: - Third Quintile,Estimate; Quintile Means: - Fourth Quintile,Margin of Error; Quintile Means: - Fourth Quintile,Estimate; Quintile Means: - Highest Quintile,Margin of Error; Quintile Means: - Highest Quintile,Estimate; Top 5 Percent,Margin of Error; Top 5 Percent
0500000US34001,34001,"Atlantic County, New Jersey",12124,1491,33567,2178,53249,2681,80218,3137,158901,11416,272560,37377
0500000US34003,34003,"Bergen County, New Jersey",20382,1124,51381,1775,82660,2049,125566,2628,275406,11114,500422,31913
0500000US34005,34005,"Burlington County, New Jersey",19477,1434,48825,1895,77489,2438,110607,2595,206595,10006,338055,28597
0500000US34007,34007,"Camden County, New Jersey",13267,1084,36589,1860,61591,2213,94917,2866,183780,8405,309570,25467
0500000US34009,34009,"Cape May County, New Jersey",16143,2877,38598,4590,59602,6128,88216,6112,190398,21654,352509,68973
0500000US34011,34011,"Cumberland County, New Jersey",11389,1299,29848,2667,51415,2596,76946,3398,134269,8684,205536,26142
0500000US34013,34013,"Essex County, New Jersey",10590,758,31229,1445,55474,2135,91870,2677,240379,10596,477124,36529
0500000US34015,34015,"Gloucester County, New Jersey",17967,1548,45746,2268,70812,3137,102777,3454,179782,7177,265244,18771
0500000US34017,34017,"Hudson County, New Jersey",10845,786,31104,1585,55588,2085,91488,2717,201868,10567,347023,32592
0500000US34019,34019,"Hunterdon County, New Jersey",28227,3336,65001,4302,102704,5383,152999,8186,316607,30611,554015,88272
0500000US34021,34021,"Mercer County, New Jersey",15303,1446,43299,2282,73650,2958,115950,3706,255083,14091,453341,44776
0500000US34023,34023,"Middlesex County, New Jersey",18842,1037,48192,1725,77500,1724,114823,2179,214165,7742,337540,24366
0500000US34025,34025,"Monmouth County, New Jersey",19952,1247,50245,1547,83295,1969,122801,2678,270183,11503,474053,32189
0500000US34027,34027,"Morris County, New Jersey",26081,1961,62683,2576,99108,2780,143155,3798,309859,14039,546982,43064
0500000US34029,34029,"Ocean County, New Jersey",15040,955,36960,1440,59898,2017,91107,2502,175299,7619,282215,25422
0500000US34031,34031,"Passaic County, New Jersey",11331,952,32325,1727,56895,1989,93083,3020,191847,12278,315534,38974
0500000US34033,34033,"Salem County, New Jersey",13485,2042,35190,3980,59009,4944,85440,4970,166380,16571,283258,49538
0500000US34035,34035,"Somerset County, New Jersey",27489,1636,63007,2992,100155,3562,149234,6143,337698,25583,625869,79044
0500000US34037,34037,"Sussex County, New Jersey",22212,2655,52901,3338,78835,3456,109685,4974,203962,11309,323648,32839
