GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0500000US34001,34001,"Atlantic County, New Jersey",17714,834,8683,654,625,197,646,306,509,286,421,242,141,157,310,255,811,312,537,106,1499,432,1338,416,1002,69,565,189,153,129,126,135,9031,420,588,144,489,321,740,302,339,242,147,172,68,73,938,213,676,74,1480,192,1464,279,988,89,906,220,208,220,0,279
0500000US34003,34003,"Bergen County, New Jersey",132898,1546,65458,871,4373,250,4398,750,4888,813,2841,147,1378,68,3403,279,4293,98,5283,102,12378,402,11071,231,6432,279,3312,164,1332,164,76,133,67440,982,3845,417,4743,812,3596,721,2639,89,1364,279,3382,277,4367,254,5694,107,13498,233,11823,109,6615,105,3627,126,1944,286,303,286
0500000US34005,34005,"Burlington County, New Jersey",19029,799,9233,501,658,192,577,237,826,279,423,202,170,197,482,304,577,328,780,132,1897,279,1256,114,834,279,577,139,176,139,0,279,9796,508,723,133,736,291,690,324,214,161,81,126,496,175,693,279,773,130,1895,91,1375,116,974,134,437,244,511,211,198,158
0500000US34007,34007,"Camden County, New Jersey",24635,846,12306,666,782,153,625,253,738,300,549,334,442,247,652,247,1050,48,949,434,2252,656,1667,488,1281,125,1319,89,0,279,0,279,12329,606,675,238,856,351,955,355,489,271,268,195,623,251,1007,113,934,213,1804,181,1842,92,2052,393,593,422,231,212,0,279
0500000US34013,34013,"Essex County, New Jersey",33320,1233,16160,724,1152,221,1029,357,1057,369,547,104,417,303,1003,330,1101,286,1174,218,2768,246,2676,64,1779,133,1136,236,267,219,54,88,17160,737,1132,221,962,357,737,303,450,204,211,243,1126,278,1394,279,1274,268,3002,230,2871,159,2261,200,1169,321,345,262,226,222
0500000US34017,34017,"Hudson County, New Jersey",68327,1399,35006,923,2191,249,2018,708,1588,749,1100,185,569,92,2296,279,4581,277,5200,105,5282,278,4362,161,3345,279,2095,310,306,265,73,123,33321,679,2092,218,1910,509,1422,462,910,103,545,279,1752,196,4413,105,4279,202,5228,230,4198,131,3500,53,2010,279,919,162,143,162
0500000US34021,34021,"Mercer County, New Jersey",29699,1082,14654,680,1105,215,1198,390,778,361,504,79,325,283,900,304,1054,252,1355,241,2845,115,2186,78,1336,279,900,173,168,173,0,279,15045,657,1062,220,1153,334,879,339,436,144,247,251,976,390,1146,472,1516,279,2946,168,1999,200,1454,279,565,309,281,229,385,248
0500000US34023,34023,"Middlesex County, New Jersey",153425,1584,76955,1036,7007,350,6856,979,4919,994,2648,174,1611,163,3745,177,5922,277,7712,64,15440,236,10015,260,6014,153,3369,195,1490,219,207,208,76470,805,6906,346,6303,732,5002,675,2511,99,1759,279,4397,239,6911,132,8105,142,13517,277,9681,87,5883,237,3351,279,1722,288,422,288
0500000US34025,34025,"Monmouth County, New Jersey",34245,1247,17025,705,956,213,1082,605,1192,627,621,213,331,258,1161,289,1229,215,1136,134,3128,279,2806,108,1901,279,974,250,378,236,130,144,17220,749,970,285,984,405,1323,393,711,279,322,262,1061,394,783,154,1082,273,3193,279,3030,228,1952,279,1012,339,653,293,144,163
0500000US34027,34027,"Morris County, New Jersey",42868,1167,21805,706,1713,250,1638,391,1620,347,1241,237,616,387,945,377,1207,124,1728,61,4118,179,3288,147,1893,178,1102,319,535,308,161,174,21063,790,1496,286,1741,512,1114,440,543,237,400,198,1206,205,1442,279,1893,59,3942,234,3421,229,1999,237,946,147,685,213,235,213
0500000US34029,34029,"Ocean County, New Jersey",10690,603,5307,364,615,164,433,201,343,223,71,107,0,279,75,130,498,325,491,320,791,301,585,272,663,377,575,370,167,199,0,279,5383,520,257,212,440,346,482,259,0,279,0,279,324,351,345,371,310,341,1100,299,544,297,506,345,970,433,105,165,0,279
0500000US34031,34031,"Passaic County, New Jersey",23547,1165,11976,676,1456,301,1166,454,585,425,477,255,67,117,1255,330,377,261,910,279,1703,149,1616,122,1556,437,739,438,69,118,0,279,11571,720,485,264,1116,273,526,317,318,198,338,228,580,279,898,271,1162,279,1887,135,1493,248,1396,279,844,408,528,408,0,279
0500000US34035,34035,"Somerset County, New Jersey",42917,1015,21252,708,1686,305,1744,516,1653,571,767,139,551,284,696,286,1274,63,1978,132,4287,316,3420,115,1697,81,1030,405,342,259,127,178,21665,608,1651,210,1761,517,1958,511,870,279,156,218,764,409,1487,279,2023,228,4524,242,3087,86,1716,130,1010,357,658,333,0,279
0500000US34039,34039,"Union County, New Jersey",24469,832,12089,622,617,369,771,332,697,310,599,225,396,169,609,169,996,96,921,122,2171,213,2012,182,1612,377,239,264,352,300,97,168,12380,583,932,315,551,273,1100,336,459,240,362,255,537,251,774,152,995,279,2047,183,2020,159,1452,279,635,314,416,285,100,115
0500000US42003,42003,"Allegheny County, Pennsylvania",29328,1193,15299,879,1137,318,744,385,1034,463,732,236,788,442,1219,520,1595,108,1981,141,2568,505,1656,246,465,217,885,289,392,264,103,119,14029,684,1194,244,868,414,953,328,192,204,497,326,1163,325,1383,270,1780,132,2478,207,1401,195,1062,246,713,274,259,259,86,156
0500000US42011,42011,"Berks County, Pennsylvania",4912,537,2192,426,141,113,167,175,142,97,50,84,36,43,222,145,124,110,114,113,416,229,296,239,308,237,176,131,0,246,0,246,2720,343,114,109,165,106,314,135,71,89,340,420,77,117,182,240,42,76,458,221,380,204,311,187,39,65,227,213,0,246
0500000US42017,42017,"Bucks County, Pennsylvania",22488,1083,10906,837,866,510,596,300,1181,300,608,268,105,116,1091,303,291,243,543,336,2150,356,1484,328,1118,246,423,211,360,185,90,146,11582,785,1226,490,971,310,951,303,189,185,196,220,642,318,369,223,891,246,2116,164,1853,135,1131,71,649,247,323,232,75,125
0500000US42027,42027,"Centre County, Pennsylvania",6919,482,3948,401,275,183,417,419,0,246,227,205,222,209,1534,352,244,321,219,194,563,258,165,165,82,131,0,246,0,246,0,246,2971,356,194,148,0,246,15,26,157,151,576,455,362,357,555,435,218,197,374,223,375,243,58,100,0,246,87,98,0,246
0500000US42029,42029,"Chester County, Pennsylvania",17374,1095,8387,638,817,257,730,286,472,268,159,144,423,350,45,79,467,292,732,213,2143,246,1291,246,388,264,720,264,0,246,0,246,8987,578,916,141,653,315,933,327,308,183,167,157,412,299,649,310,839,134,1834,201,1194,84,529,185,269,175,199,186,85,135
0500000US42043,42043,"Dauphin County, Pennsylvania",6627,628,3161,367,224,189,238,165,146,150,35,64,0,246,252,260,267,199,304,225,758,204,422,219,246,168,136,134,133,148,0,246,3466,443,432,212,281,236,174,138,189,154,53,64,214,152,303,158,257,222,722,287,305,186,352,161,170,149,14,26,0,246
0500000US42045,42045,"Delaware County, Pennsylvania",25280,795,12361,499,858,272,1026,313,1073,320,548,246,359,266,761,469,749,471,1119,246,2284,91,1726,121,1101,330,461,272,253,225,43,70,12919,529,892,348,1003,354,899,299,487,73,420,367,631,423,1111,484,1223,246,2369,61,1774,246,1094,156,476,229,493,227,47,78
0500000US42071,42071,"Lancaster County, Pennsylvania",7537,835,3637,733,216,286,0,246,407,401,318,296,61,106,395,259,137,151,94,157,518,223,665,286,492,202,233,196,101,111,0,246,3900,617,166,277,320,234,111,134,236,158,184,222,334,283,107,175,87,141,755,360,680,246,293,188,193,145,434,233,0,246
0500000US42077,42077,"Lehigh County, Pennsylvania",10082,428,4947,439,301,96,476,151,273,149,59,96,208,261,167,298,95,165,776,399,981,90,808,246,279,351,472,212,52,91,0,246,5135,361,303,106,615,236,525,238,143,132,45,73,225,313,180,163,736,298,1017,299,588,264,501,195,152,171,105,175,0,246
0500000US42091,42091,"Montgomery County, Pennsylvania",42946,1260,20650,801,1588,294,1196,325,1913,426,789,176,580,352,1225,328,1475,16,1678,52,3775,196,2914,116,1816,107,1156,301,250,218,295,278,22296,664,1891,232,1840,430,1274,434,887,246,744,361,1085,340,1588,58,1900,84,3934,314,3213,175,2154,246,1342,298,384,295,60,104
0500000US42095,42095,"Northampton County, Pennsylvania",6822,400,3609,416,215,185,326,197,345,209,210,251,55,90,0,246,203,209,553,240,823,251,384,251,227,134,108,102,160,131,0,246,3213,354,113,132,360,252,210,190,64,85,69,116,290,213,260,177,386,241,667,272,288,208,146,92,209,142,94,105,57,81
0500000US42101,42101,"Philadelphia County, Pennsylvania",86919,1162,42589,945,3561,258,3397,772,2331,762,1590,185,961,470,3921,882,4940,87,4504,171,6078,172,4960,187,3583,246,1754,246,560,353,449,353,44330,603,3764,246,1922,595,3021,641,1607,70,1885,246,3338,202,5025,43,4956,195,6491,227,5099,81,3901,246,1979,60,983,259,359,259
0500000US42133,42133,"York County, Pennsylvania",5238,450,2765,259,134,126,252,235,244,228,100,54,53,97,233,151,222,156,74,82,786,186,119,127,351,198,135,112,62,102,0,246,2473,384,120,138,244,166,199,165,106,65,119,135,219,156,61,98,347,216,206,132,593,191,163,115,0,246,96,109,0,246
