GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Less than $10,000","Margin of Error; Less than $10,000","Estimate; $10,000 to $14,999","Margin of Error; $10,000 to $14,999","Estimate; $15,000 to $19,999","Margin of Error; $15,000 to $19,999","Estimate; $20,000 to $24,999","Margin of Error; $20,000 to $24,999","Estimate; $25,000 to $29,999","Margin of Error; $25,000 to $29,999","Estimate; $30,000 to $34,999","Margin of Error; $30,000 to $34,999","Estimate; $35,000 to $39,999","Margin of Error; $35,000 to $39,999","Estimate; $40,000 to $44,999","Margin of Error; $40,000 to $44,999","Estimate; $45,000 to $49,999","Margin of Error; $45,000 to $49,999","Estimate; $50,000 to $59,999","Margin of Error; $50,000 to $59,999","Estimate; $60,000 to $74,999","Margin of Error; $60,000 to $74,999","Estimate; $75,000 to $99,999","Margin of Error; $75,000 to $99,999","Estimate; $100,000 to $124,999","Margin of Error; $100,000 to $124,999","Estimate; $125,000 to $149,999","Margin of Error; $125,000 to $149,999","Estimate; $150,000 to $199,999","Margin of Error; $150,000 to $199,999","Estimate; $200,000 or more","Margin of Error; $200,000 or more"
0500000US34003,34003,"Bergen County, New Jersey",8604,1704,563,554,151,185,403,381,372,239,298,294,40,67,216,218,131,154,197,254,434,345,1873,895,1409,596,893,557,870,576,537,348,217,210
0500000US34007,34007,"Camden County, New Jersey",10593,1311,2049,696,474,354,720,443,781,429,355,254,616,434,399,343,673,517,455,436,838,502,1493,609,526,395,852,479,0,279,160,168,202,179
0500000US34013,34013,"Essex County, New Jersey",14997,1678,1271,560,833,464,888,480,991,518,1611,637,873,492,651,411,633,403,448,325,1517,551,1319,723,1574,581,878,453,449,375,1061,601,0,279
0500000US34017,34017,"Hudson County, New Jersey",22380,2184,2233,934,1273,521,1344,552,1184,566,1012,469,1175,625,1290,575,1080,575,857,512,3012,972,2617,841,2298,792,1239,660,568,437,815,390,383,325
0500000US34023,34023,"Middlesex County, New Jersey",8862,1470,205,255,148,191,225,199,146,189,345,309,545,441,470,448,483,428,950,566,855,549,1341,559,1503,677,740,443,501,390,209,205,196,162
0500000US34031,34031,"Passaic County, New Jersey",22633,1989,1960,751,1226,547,2291,845,2670,1089,2265,843,1539,784,1495,581,1200,566,1098,483,2155,994,1521,712,2245,796,435,241,46,76,69,84,418,443
0500000US34039,34039,"Union County, New Jersey",17910,1837,1125,619,748,486,528,367,863,546,1061,494,1064,549,738,421,1119,666,1189,708,2249,792,3211,889,1501,636,1648,732,425,328,264,264,177,289
0500000US42011,42011,"Berks County, Pennsylvania",7677,1788,942,507,774,467,1264,662,433,391,804,562,700,481,804,577,276,310,182,241,832,483,334,232,186,267,146,231,0,246,0,246,0,246
0500000US42077,42077,"Lehigh County, Pennsylvania",7512,1050,1509,747,844,516,501,410,641,437,175,206,419,410,878,648,126,162,311,302,652,655,1070,736,217,223,124,148,0,246,0,246,45,73
0500000US42101,42101,"Philadelphia County, Pennsylvania",24197,2513,5089,1231,3974,1371,2386,954,1847,936,1953,906,1243,603,626,474,830,554,1248,674,1148,643,1856,838,1561,623,245,258,147,165,44,73,0,246
