GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0500000US34001,34001,"Atlantic County, New Jersey",15329,1462,2416,917,1159,559,418,254,656,341,1483,547,1803,712,1300,537,741,503,276,254,1651,798,1260,493,877,410,734,369,389,320,124,154,42,72
0500000US34003,34003,"Bergen County, New Jersey",18357,1364,986,487,1059,519,811,496,631,392,768,518,847,617,465,246,855,621,589,397,1353,560,2335,854,2586,837,1825,704,1211,695,1207,477,829,527
0500000US34005,34005,"Burlington County, New Jersey",23578,1354,695,301,555,377,729,367,1428,681,821,569,1234,453,1234,554,1318,585,1608,783,2117,791,2298,746,2867,724,2508,660,1564,529,2070,744,532,346
0500000US34007,34007,"Camden County, New Jersey",35428,1381,4555,891,2919,889,2410,711,2005,710,1534,668,2042,729,2619,770,2092,731,1925,877,1638,483,3164,815,3132,853,1916,708,1507,662,1000,468,970,553
0500000US34011,34011,"Cumberland County, New Jersey",8476,877,854,336,325,257,480,356,562,367,875,488,439,348,299,192,632,426,448,322,1041,512,825,436,880,345,512,453,66,77,219,271,19,33
0500000US34013,34013,"Essex County, New Jersey",112646,2776,18700,2046,9112,1347,8528,1353,7257,1279,6306,1117,7206,1254,5900,1166,4995,1035,4230,919,7716,1354,9497,1328,8713,1212,6151,1194,3116,817,3297,920,1922,621
0500000US34015,34015,"Gloucester County, New Jersey",10464,990,822,617,456,361,794,577,323,237,970,589,578,422,411,452,377,257,175,152,1012,543,536,272,961,426,434,231,632,368,1621,813,362,327
0500000US34017,34017,"Hudson County, New Jersey",29408,1992,4280,990,1847,631,2022,782,1551,677,2089,696,1287,515,1094,545,1254,486,724,397,2392,892,3049,812,2490,875,2623,819,834,506,1069,560,803,481
0500000US34021,34021,"Mercer County, New Jersey",26973,1468,4120,1073,1796,731,1863,730,1908,725,1250,585,1098,639,1183,575,809,375,1280,557,1417,488,3118,923,3148,917,1516,647,775,423,823,424,869,529
0500000US34023,34023,"Middlesex County, New Jersey",27316,1657,1142,531,2193,1089,940,596,1022,597,1173,594,1533,590,942,481,858,525,851,463,2529,980,2617,741,3414,826,3251,853,1973,839,2146,632,732,468
0500000US34025,34025,"Monmouth County, New Jersey",15311,1250,1542,701,1081,447,1230,545,859,511,474,346,1221,595,532,248,834,469,683,411,1082,538,1482,597,1169,404,1265,508,383,243,595,327,879,459
0500000US34031,34031,"Passaic County, New Jersey",21052,1392,3900,958,1918,633,1416,683,1822,725,1429,573,1087,467,980,414,651,395,985,506,1266,588,1854,867,1591,653,1039,540,640,625,119,158,355,300
0500000US34033,34033,"Salem County, New Jersey",3801,461,638,268,276,203,493,249,302,222,291,204,72,82,249,140,310,209,188,161,181,128,132,109,174,123,55,90,212,203,177,182,51,77
0500000US34035,34035,"Somerset County, New Jersey",9356,860,639,441,286,267,293,266,239,216,198,201,140,126,322,261,274,298,234,361,304,197,1340,505,1831,584,1301,658,406,336,982,537,567,303
0500000US34039,34039,"Union County, New Jersey",41092,1737,4211,900,1983,714,2055,722,2378,766,2693,884,2342,827,1680,550,1801,606,1383,652,3035,932,4025,1032,5182,1058,3671,1080,1586,599,2336,825,731,394
0500000US42003,42003,"Allegheny County, Pennsylvania",65329,2313,13489,1621,8500,1354,6226,1037,4618,949,4298,989,3743,1085,2556,732,3340,773,1810,777,4318,1020,4994,972,3738,716,1888,754,845,529,655,434,311,227
0500000US42007,42007,"Beaver County, Pennsylvania",3934,599,833,469,263,163,523,321,346,282,36,61,396,310,259,181,240,274,177,230,201,140,258,170,134,175,248,250,12,19,0,168,8,15
0500000US42011,42011,"Berks County, Pennsylvania",6735,721,336,214,477,311,651,408,447,303,540,371,524,422,102,94,735,451,422,355,602,398,463,281,643,393,241,204,293,292,259,233,0,168
0500000US42017,42017,"Bucks County, Pennsylvania",8103,1045,583,368,597,411,251,241,373,289,483,324,755,467,412,507,643,441,108,134,1185,443,392,388,921,555,647,512,106,169,596,367,51,86
0500000US42029,42029,"Chester County, Pennsylvania",10108,845,1055,457,646,349,665,366,819,466,687,431,417,290,253,173,1038,594,288,304,1362,609,746,352,805,422,470,269,102,121,316,211,439,333
0500000US42043,42043,"Dauphin County, Pennsylvania",17338,1203,1045,447,1467,545,1211,570,1426,647,1306,536,1394,741,2117,977,317,248,1199,630,1533,802,1879,860,1150,592,814,440,221,201,259,316,0,168
0500000US42045,42045,"Delaware County, Pennsylvania",37194,1476,3352,777,2030,789,3211,955,2127,731,3042,912,2302,805,2161,831,3333,846,2415,645,2390,639,4146,920,2854,630,1926,572,956,405,434,353,515,416
0500000US42049,42049,"Erie County, Pennsylvania",6281,762,1232,484,1294,622,540,253,429,262,344,275,237,139,641,301,277,326,368,279,138,175,220,191,129,120,361,276,0,168,20,35,51,88
0500000US42077,42077,"Lehigh County, Pennsylvania",7227,1179,909,557,591,336,452,372,1000,628,557,462,477,396,245,280,415,345,85,141,1046,687,0,168,640,377,404,345,331,386,27,48,48,78
0500000US42091,42091,"Montgomery County, Pennsylvania",25697,1336,2876,843,1689,945,1021,547,1407,601,1136,626,1296,645,1200,519,1238,552,532,279,1805,609,2983,820,3017,946,2575,859,1220,490,1135,435,567,262
