GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0500000US34001,34001,"Atlantic County, New Jersey",16439,3943,8355,2288,669,436,1178,740,694,567,946,710,166,220,848,637,489,436,1044,521,1173,658,772,513,57,99,259,291,0,192,60,86,8084,2042,1232,480,856,690,840,635,51,90,212,255,431,427,759,434,1147,460,1025,585,1023,582,122,124,306,219,80,138,0,192
0500000US34003,34003,"Bergen County, New Jersey",44996,5879,22452,3390,876,650,1426,758,1941,840,1168,512,610,301,1973,790,2265,863,2607,914,3838,948,3088,948,1494,654,803,395,363,336,0,192,22544,3136,1680,583,1572,656,1780,909,1181,527,999,547,1399,502,2049,667,1754,623,3278,875,3561,943,1792,667,792,536,707,506,0,192
0500000US34005,34005,"Burlington County, New Jersey",12731,2778,7704,1813,924,466,358,263,400,234,537,330,755,417,454,428,1160,862,749,329,1446,576,575,274,86,142,260,277,0,192,0,192,5027,1276,267,352,421,308,582,397,91,115,92,123,693,355,414,377,793,283,685,418,526,347,296,231,144,178,0,192,23,38
0500000US34007,34007,"Camden County, New Jersey",40531,3714,21431,1920,1890,656,2342,770,1321,585,1000,439,750,306,2405,666,3161,301,1960,721,3018,683,2155,540,687,373,496,288,246,323,0,192,19100,2381,2663,650,2363,706,1648,598,843,418,240,222,1313,518,2130,565,1266,515,3179,577,1808,527,805,352,665,257,107,174,70,107
0500000US34011,34011,"Cumberland County, New Jersey",20860,3581,11353,2101,937,732,902,460,940,556,509,358,479,474,679,381,1304,583,1457,377,1727,631,1258,436,999,479,162,235,0,192,0,192,9507,1919,903,392,839,461,1112,459,486,412,52,90,716,478,1191,284,834,339,1481,540,1004,420,665,336,202,243,22,48,0,192
0500000US34013,34013,"Essex County, New Jersey",83616,5887,44917,3133,3891,907,3352,897,3236,849,1478,549,1965,523,4085,696,5202,753,4936,972,7708,1067,5806,949,2267,635,938,398,0,192,53,84,38699,3447,3086,713,2755,677,2573,739,1719,399,1380,391,3215,874,3408,807,3906,770,7435,1102,5341,873,2311,582,1361,462,110,97,99,112
0500000US34017,34017,"Hudson County, New Jersey",87801,7389,44230,4563,3882,1009,4452,1107,3860,913,2165,626,1417,564,4170,1193,4235,1278,4050,814,4625,1105,5974,1094,3445,1001,1271,513,551,332,133,212,43571,3803,3473,1017,3400,1098,2478,757,1354,535,1200,449,3697,779,4791,1187,3642,841,6958,1340,6397,1123,3407,908,1674,573,951,473,149,180
0500000US34021,34021,"Mercer County, New Jersey",17253,3883,8908,2299,387,363,941,525,636,495,581,354,6,10,983,581,505,511,1258,575,1424,596,1326,545,401,280,212,203,100,154,148,170,8345,2033,1008,785,788,445,561,395,486,305,125,189,682,436,614,535,768,443,1344,551,1053,460,96,157,378,246,442,377,0,192
0500000US34023,34023,"Middlesex County, New Jersey",25356,4814,12711,2358,933,509,624,361,419,282,539,320,280,233,1584,751,1620,740,1132,658,2787,908,1869,610,634,403,190,162,100,163,0,192,12645,3015,1670,830,1009,578,782,407,317,211,213,168,1178,577,1378,637,985,441,1678,607,1439,590,798,465,790,679,368,398,40,66
