GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0500000US34001,34001,"Atlantic County, New Jersey",9350,2641,4880,1631,632,385,863,509,744,543,203,189,73,119,395,428,314,340,243,250,380,334,76,105,348,318,411,466,198,169,0,200,4470,1325,642,420,1173,736,508,334,58,102,223,264,295,266,257,227,241,207,474,348,296,261,144,187,77,96,0,200,82,144
0500000US34003,34003,"Bergen County, New Jersey",16797,2960,8693,1812,839,473,1093,452,1012,439,598,355,326,233,1160,619,334,245,426,330,1016,478,1207,637,500,314,121,145,61,99,0,200,8104,1654,1008,455,1513,567,483,268,311,261,495,414,976,445,444,310,306,214,961,348,617,417,398,281,507,299,41,67,44,69
0500000US34005,34005,"Burlington County, New Jersey",14210,2700,6771,1383,846,541,677,315,750,430,560,353,428,266,1104,785,740,530,59,86,445,317,805,400,140,153,186,156,31,51,0,200,7439,1675,838,421,632,346,864,471,513,401,189,154,257,199,510,513,568,329,1125,498,1078,561,461,399,404,345,0,200,0,200
0500000US34007,34007,"Camden County, New Jersey",16617,3318,8895,2109,1432,697,1203,587,1110,626,621,521,164,153,1333,1132,668,473,412,321,538,295,478,388,524,275,354,296,58,105,0,200,7722,1873,1009,511,759,412,831,445,720,376,509,456,671,372,644,429,347,363,609,308,854,540,613,425,13,22,94,125,49,68
0500000US34013,34013,"Essex County, New Jersey",22266,4032,9868,1751,1109,566,1782,748,1175,572,626,379,270,232,632,479,1476,916,477,322,678,353,1112,420,397,267,64,103,26,45,44,70,12398,2736,1768,762,1253,608,946,401,698,440,276,209,1610,973,1210,609,465,299,805,339,1245,602,1174,652,453,298,453,386,42,68
0500000US34015,34015,"Gloucester County, New Jersey",6455,1473,2831,964,529,315,372,350,179,189,319,355,29,41,245,220,228,193,121,155,490,275,146,136,161,156,0,200,12,20,0,200,3624,907,363,273,620,555,261,214,395,394,57,75,239,184,170,179,210,190,494,420,308,215,507,326,0,200,0,200,0,200
0500000US34017,34017,"Hudson County, New Jersey",22581,4074,12177,2515,1668,1019,1256,629,1127,490,566,338,177,121,1035,538,1327,610,1032,701,1281,538,1347,547,658,474,197,285,506,373,0,200,10404,2192,1135,448,1018,484,1174,598,859,515,522,391,519,323,597,413,1297,553,1438,563,747,385,469,313,383,312,190,220,56,98
0500000US34021,34021,"Mercer County, New Jersey",7391,1787,3556,1019,675,426,231,232,879,661,237,272,223,136,398,284,311,252,48,79,329,213,45,76,126,109,54,86,0,200,0,200,3835,1134,258,267,469,279,483,321,315,256,310,233,482,381,294,301,362,260,143,146,346,275,234,210,50,88,56,87,33,53
0500000US34023,34023,"Middlesex County, New Jersey",18709,4773,9641,2747,1266,531,1511,752,1252,483,180,174,407,319,406,317,934,532,805,686,696,380,905,411,904,532,268,218,68,106,39,65,9068,2334,1096,625,710,318,1055,497,566,298,219,171,334,272,806,689,682,497,1038,455,954,458,1284,598,139,138,109,125,76,129
