GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0500000US34001,34001,"Atlantic County, New Jersey",154517,197,74593,197,3254,197,3004,572,4241,572,2576,197,1747,197,4598,197,4244,197,3972,197,7975,197,11427,197,12755,197,8900,197,4536,432,1364,432,79924,197,3235,197,3388,702,3523,702,2341,197,1771,197,4828,197,4171,197,3958,197,8282,197,12190,197,13451,197,10106,197,5340,724,3340,724
0500000US34003,34003,"Bergen County, New Jersey",540479,726,262781,468,11561,59,14523,1350,16220,1356,10878,197,5972,100,14751,197,12921,197,13262,119,29797,117,42009,294,41959,118,27457,197,14163,997,7308,997,277698,321,11150,197,14142,1352,15209,1360,10401,197,5698,197,14258,126,12166,68,13314,197,30472,197,42855,53,43816,163,31005,197,20264,912,12948,912
0500000US34005,34005,"Burlington County, New Jersey",307015,330,150337,141,6959,197,8279,1016,8928,1016,5875,197,3363,71,9587,197,9050,197,8701,197,17743,48,24280,61,23094,197,14427,197,6714,723,3337,723,156678,211,6497,48,8813,978,7685,978,5540,93,2818,197,8316,92,8211,197,8544,197,18169,48,25522,66,24209,197,16630,197,9435,874,6289,874
0500000US34007,34007,"Camden County, New Jersey",293362,1495,142448,770,7097,182,7349,938,8152,959,5048,289,2872,197,8038,197,9376,101,9310,198,17582,197,22039,197,22376,55,13901,120,6366,679,2942,679,150914,765,6825,197,6612,902,7646,930,4990,197,2503,197,7790,197,9214,197,9567,197,17484,305,23037,197,23951,125,16180,127,9710,773,5405,779
0500000US34009,34009,"Cape May County, New Jersey",80713,72,39155,197,1593,197,1559,401,1869,401,1200,197,864,197,2488,197,2168,197,1825,197,3455,197,5400,197,6803,197,6008,197,2722,419,1201,419,41558,72,1496,197,1662,477,1600,477,1216,197,675,197,2063,197,1901,197,1764,197,3660,197,5823,197,7603,72,6645,197,3684,450,1766,450
0500000US34011,34011,"Cumberland County, New Jersey",73762,31,36182,17,1584,197,1862,457,1628,457,1168,197,600,197,1895,197,2389,197,2268,197,4577,197,5685,197,5641,17,4144,197,1713,300,1028,300,37580,15,1581,197,1455,404,1816,404,1042,197,595,197,1839,197,2076,197,2108,197,4190,197,5693,15,6167,197,4675,197,2600,411,1743,411
0500000US34013,34013,"Essex County, New Jersey",250387,1359,122255,964,5965,218,6980,1082,8100,1066,4315,217,2871,197,6592,127,6090,287,6594,326,15894,300,20052,183,18760,193,11362,355,5373,573,3307,573,128132,619,5650,136,5824,781,8424,770,4337,197,2529,197,6477,197,6081,139,6675,305,15679,278,19692,270,19418,131,13085,215,7429,1026,6832,1022
0500000US34015,34015,"Gloucester County, New Jersey",230195,371,112201,165,5707,197,6480,975,7410,975,4761,197,2662,197,7214,197,7296,197,6549,146,13822,197,17809,197,16347,71,10198,197,4504,386,1442,386,117994,210,5477,197,6288,702,6962,702,4502,197,2508,197,6913,197,6777,197,6840,197,14760,127,18819,197,17432,79,11445,43,6151,620,3120,620
0500000US34017,34017,"Hudson County, New Jersey",194764,963,99374,661,5875,158,3464,596,3533,629,2013,197,1560,197,5219,32,11703,168,12125,136,16237,198,13563,197,12304,197,6923,197,3632,401,1223,401,95390,451,5139,344,3387,522,3605,522,1677,47,1140,197,4540,197,11713,73,11131,84,13794,211,11620,122,11703,197,7829,197,3922,713,4190,713
