GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0500000US34003,34003,"Bergen County, New Jersey",4709,858,415,259,114,140,199,219,472,415,159,165,69,115,80,132,150,178,0,197,544,308,234,180,774,354,662,364,254,270,290,213,293,194
0500000US34005,34005,"Burlington County, New Jersey",5096,1115,599,451,70,114,167,194,157,157,58,87,341,290,658,637,245,186,291,258,441,321,309,183,603,321,593,381,330,260,192,187,42,50
0500000US34007,34007,"Camden County, New Jersey",4203,972,554,344,248,228,81,132,210,186,370,387,65,118,336,310,181,244,230,281,405,290,483,436,423,346,353,305,155,138,109,104,0,197
0500000US34013,34013,"Essex County, New Jersey",6055,1094,1040,522,412,341,330,245,370,238,125,159,35,55,255,206,479,528,96,116,153,113,459,255,514,373,621,338,250,227,319,292,597,278
0500000US34017,34017,"Hudson County, New Jersey",6163,1386,1147,668,406,308,224,229,232,355,222,248,456,377,313,256,100,165,310,208,454,380,185,137,343,232,578,354,129,161,330,278,734,529
0500000US34023,34023,"Middlesex County, New Jersey",4379,930,0,197,0,197,600,432,260,221,0,197,312,295,266,272,70,88,447,462,176,167,220,179,619,359,357,242,253,216,398,257,401,230
0500000US42003,42003,"Allegheny County, Pennsylvania",7199,1303,980,481,836,598,404,329,616,308,285,191,281,307,495,460,197,151,210,239,446,350,526,231,619,464,841,501,88,108,221,165,154,144
0500000US42011,42011,"Berks County, Pennsylvania",4723,1035,723,556,1030,629,205,216,252,265,383,328,0,168,77,93,333,242,282,253,380,339,309,301,330,246,174,166,0,168,151,173,94,118
0500000US42091,42091,"Montgomery County, Pennsylvania",4532,1079,188,178,93,155,69,83,105,142,88,152,458,358,142,146,172,178,96,117,272,251,656,406,729,438,285,206,609,410,131,128,439,353
0500000US42101,42101,"Philadelphia County, Pennsylvania",11920,1564,1627,592,813,416,1112,674,673,412,645,326,938,480,409,252,323,355,543,308,1093,525,1200,494,751,331,920,432,313,257,343,273,217,185
