GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0500000US34001,34001,"Atlantic County, New Jersey",270991,*****
0500000US34003,34003,"Bergen County, New Jersey",939151,*****
0500000US34005,34005,"Burlington County, New Jersey",449284,*****
0500000US34007,34007,"Camden County, New Jersey",510150,*****
0500000US34009,34009,"Cape May County, New Jersey",94430,*****
0500000US34011,34011,"Cumberland County, New Jersey",153797,*****
0500000US34013,34013,"Essex County, New Jersey",796914,*****
0500000US34015,34015,"Gloucester County, New Jersey",292330,*****
0500000US34017,34017,"Hudson County, New Jersey",677983,*****
0500000US34019,34019,"Hunterdon County, New Jersey",124676,*****
0500000US34021,34021,"Mercer County, New Jersey",371023,*****
0500000US34023,34023,"Middlesex County, New Jersey",837073,*****
0500000US34025,34025,"Monmouth County, New Jersey",625846,*****
0500000US34027,34027,"Morris County, New Jersey",498423,*****
0500000US34029,34029,"Ocean County, New Jersey",592497,*****
0500000US34031,34031,"Passaic County, New Jersey",507945,*****
0500000US34033,34033,"Salem County, New Jersey",63436,*****
0500000US34035,34035,"Somerset County, New Jersey",333751,*****
0500000US34037,34037,"Sussex County, New Jersey",142522,*****
0500000US34039,34039,"Union County, New Jersey",555630,*****
0500000US34041,34041,"Warren County, New Jersey",106617,*****
0500000US42001,42001,"Adams County, Pennsylvania",102180,*****
0500000US42003,42003,"Allegheny County, Pennsylvania",1225365,*****
0500000US42005,42005,"Armstrong County, Pennsylvania",66486,*****
0500000US42007,42007,"Beaver County, Pennsylvania",167429,*****
0500000US42011,42011,"Berks County, Pennsylvania",414812,*****
0500000US42013,42013,"Blair County, Pennsylvania",124650,*****
0500000US42017,42017,"Bucks County, Pennsylvania",626399,*****
0500000US42019,42019,"Butler County, Pennsylvania",186847,*****
0500000US42021,42021,"Cambria County, Pennsylvania",134732,*****
0500000US42025,42025,"Carbon County, Pennsylvania",63594,*****
0500000US42027,42027,"Centre County, Pennsylvania",161464,*****
0500000US42029,42029,"Chester County, Pennsylvania",516312,*****
0500000US42033,42033,"Clearfield County, Pennsylvania",80596,*****
0500000US42037,42037,"Columbia County, Pennsylvania",66420,*****
0500000US42039,42039,"Crawford County, Pennsylvania",86257,*****
0500000US42041,42041,"Cumberland County, Pennsylvania",248506,*****
0500000US42043,42043,"Dauphin County, Pennsylvania",273707,*****
0500000US42045,42045,"Delaware County, Pennsylvania",563402,*****
0500000US42049,42049,"Erie County, Pennsylvania",276207,*****
0500000US42051,42051,"Fayette County, Pennsylvania",132733,*****
0500000US42055,42055,"Franklin County, Pennsylvania",153851,*****
0500000US42063,42063,"Indiana County, Pennsylvania",86364,*****
0500000US42069,42069,"Lackawanna County, Pennsylvania",211321,*****
0500000US42071,42071,"Lancaster County, Pennsylvania",538500,*****
0500000US42073,42073,"Lawrence County, Pennsylvania",87294,*****
0500000US42075,42075,"Lebanon County, Pennsylvania",138863,*****
0500000US42077,42077,"Lehigh County, Pennsylvania",363147,*****
0500000US42079,42079,"Luzerne County, Pennsylvania",316383,*****
0500000US42081,42081,"Lycoming County, Pennsylvania",115248,*****
0500000US42085,42085,"Mercer County, Pennsylvania",112913,*****
0500000US42089,42089,"Monroe County, Pennsylvania",166098,*****
0500000US42091,42091,"Montgomery County, Pennsylvania",821725,*****
0500000US42095,42095,"Northampton County, Pennsylvania",302294,*****
0500000US42097,42097,"Northumberland County, Pennsylvania",92541,*****
0500000US42101,42101,"Philadelphia County, Pennsylvania",1567872,*****
0500000US42107,42107,"Schuylkill County, Pennsylvania",143573,*****
0500000US42111,42111,"Somerset County, Pennsylvania",75061,*****
0500000US42125,42125,"Washington County, Pennsylvania",207981,*****
0500000US42129,42129,"Westmoreland County, Pennsylvania",355458,*****
0500000US42133,42133,"York County, Pennsylvania",443744,*****
