GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0500000US34001,34001,"Atlantic County, New Jersey",68055,2085,2372,784,3100,894,3427,873,3017,734,2259,655,2323,742,3079,856,2637,768,3285,967,4125,855,6908,1322,9761,1498,6754,1036,4553,863,6394,1368,4061,862
0500000US34003,34003,"Bergen County, New Jersey",253486,2894,9151,1287,8832,1572,7506,1206,7447,1259,8072,1626,6424,1076,6797,1614,7407,1328,7625,1305,12358,1660,20720,2405,30404,2536,25933,2323,20284,2086,28042,2055,46484,2347
0500000US34005,34005,"Burlington County, New Jersey",125982,2066,3755,897,2738,746,2976,757,4425,874,3521,867,4033,1009,3466,848,4626,1108,4116,833,9987,1478,12677,1607,18381,1725,13619,1422,10642,1477,12338,1374,14682,1685
0500000US34007,34007,"Camden County, New Jersey",124041,2557,4887,1151,5079,1210,4339,1121,3994,909,3917,869,3359,727,4612,952,4005,912,3976,979,8537,1324,13400,1610,18089,2108,13252,1460,9834,1383,11484,1493,11277,1576
0500000US34009,34009,"Cape May County, New Jersey",36669,1773,1751,530,1769,676,1416,436,1514,444,1868,794,1440,585,1604,565,1689,803,1054,364,2954,759,3855,898,4196,819,4274,787,2615,732,2327,642,2343,528
0500000US34011,34011,"Cumberland County, New Jersey",38464,1725,2848,1008,2552,848,2241,765,1916,807,2103,904,1469,611,2000,874,1519,687,1523,781,2581,743,4553,1165,6328,1400,2562,822,1764,636,1470,589,1035,513
0500000US34013,34013,"Essex County, New Jersey",129492,3481,7632,1557,5805,1147,5849,1313,4622,1126,4441,1079,3290,864,4071,1002,4181,970,3337,777,6859,1230,9608,1501,13559,1583,12915,1484,8105,1366,12791,1294,22427,1620
0500000US34015,34015,"Gloucester County, New Jersey",89304,1711,2802,891,2209,844,2725,837,3701,976,2904,875,2691,731,3541,884,2464,657,3412,961,5280,927,8285,1251,12760,1442,12442,1636,7141,1125,9761,1070,7186,1087
0500000US34017,34017,"Hudson County, New Jersey",149125,3437,11897,1758,6084,1281,7122,1370,6077,1302,5099,1238,4744,946,5057,1153,5383,1198,5171,1225,10369,1364,12747,1897,16679,2196,12301,1592,10109,1369,11675,1501,18611,1860
0500000US34019,34019,"Hunterdon County, New Jersey",44442,1141,1313,501,598,307,703,358,900,425,1697,661,1419,512,422,240,918,404,1108,461,1872,604,3291,802,4872,1085,5436,1069,3724,838,6707,1132,9462,1300
0500000US34021,34021,"Mercer County, New Jersey",86125,2240,3192,909,2243,686,3106,702,2931,796,2962,957,2563,828,2051,759,2754,771,2494,866,5645,1080,9210,1401,11397,1342,8748,1457,6317,1001,8261,1262,12251,1296
0500000US34023,34023,"Middlesex County, New Jersey",180714,2586,7868,1201,6072,1249,7356,1283,6570,1165,5996,1408,6761,1171,7286,1655,6322,1311,6426,1317,12729,1558,17005,1847,24176,2206,18177,1993,14886,1691,16500,1774,16584,1833
0500000US34025,34025,"Monmouth County, New Jersey",196710,2721,6390,1219,6454,1304,4371,1153,6815,1086,6387,1086,6197,1154,5603,1106,5675,1343,4732,1118,11340,1606,16024,1767,22627,1927,21744,2230,15934,1472,25074,2359,31343,2290
0500000US34027,34027,"Morris County, New Jersey",154093,2260,4339,1029,3564,965,3282,966,2930,853,3179,1054,4105,1105,4515,1074,4037,1035,2752,823,9269,1493,9800,1426,18186,2151,18807,2075,13223,1736,18995,1795,33110,2214
0500000US34029,34029,"Ocean County, New Jersey",206855,3635,8202,1523,9010,1450,9907,1690,11332,1946,10545,1526,9574,1612,10074,1843,9223,1425,6453,1056,14453,1478,20375,2377,27400,2787,20828,1982,13214,1890,14154,1910,12111,1571
0500000US34031,34031,"Passaic County, New Jersey",113092,2226,5457,1188,4433,863,6078,1264,4030,994,4768,997,3868,1039,3898,997,3912,921,4556,1145,7519,1394,9791,1582,13187,1993,11914,1241,7789,1368,10863,1659,11029,1469
0500000US34033,34033,"Salem County, New Jersey",20615,849,872,369,1062,499,838,474,894,338,1003,482,715,313,1080,515,1039,388,1255,532,2311,642,1908,474,2502,642,1373,475,1515,464,1423,447,825,395
0500000US34035,34035,"Somerset County, New Jersey",82877,1888,2459,1039,1620,604,1781,735,1987,718,2009,694,1773,580,1956,588,2895,871,1971,583,4800,979,6393,1178,8229,1260,10333,1608,6337,960,11386,1439,16948,1440
0500000US34037,34037,"Sussex County, New Jersey",49414,1871,1624,517,952,333,1133,406,1372,580,1190,397,1202,409,1447,437,1155,361,1586,516,2871,877,4664,924,8498,1328,6268,879,4374,806,5951,898,5127,870
0500000US34039,34039,"Union County, New Jersey",111242,2673,5169,1029,2721,756,3578,919,4205,863,3512,1029,2768,767,3569,900,4323,959,3056,707,6562,1098,10807,1845,12608,1962,9378,1310,9230,1311,10853,1516,18903,1717
0500000US34041,34041,"Warren County, New Jersey",36754,1245,1182,521,573,326,975,402,2077,523,1332,470,1766,672,1217,449,983,349,1353,544,3143,739,3647,833,3970,852,6055,1154,2260,581,3080,769,3141,682
0500000US42001,42001,"Adams County, Pennsylvania",36322,1171,1238,516,1758,631,1793,495,1037,368,2433,693,2025,598,1818,506,1687,554,1825,509,2621,634,3696,733,6017,904,3381,691,2094,518,1698,477,1201,438
0500000US42003,42003,"Allegheny County, Pennsylvania",435432,4258,22394,2130,19043,1823,20936,1927,22046,1835,19247,1864,19996,1791,18233,2246,20370,1925,15441,1590,34540,2166,43078,2322,57753,3458,41154,2702,26465,2207,27183,2364,27553,1891
0500000US42005,42005,"Armstrong County, Pennsylvania",25588,1024,1553,413,1836,584,1711,456,1553,416,1526,402,1614,457,1383,462,1199,421,1060,350,2321,514,2874,638,2509,483,2037,580,1098,348,630,266,684,401
0500000US42007,42007,"Beaver County, Pennsylvania",64319,1558,3205,751,2777,686,2733,694,3280,742,3871,897,2983,704,3767,796,2900,697,2735,586,5706,1275,6490,1019,9361,1206,5910,841,3364,737,2941,721,2296,529
0500000US42011,42011,"Berks County, Pennsylvania",133145,2404,6679,1233,5142,1156,5304,1026,5883,1139,5999,988,4966,981,7594,1306,7610,1631,4701,927,10705,1185,13355,1602,20002,2130,12988,1874,8306,1301,8267,1359,5644,924
0500000US42013,42013,"Blair County, Pennsylvania",49479,1192,2913,747,3146,724,2803,693,3155,831,3431,793,3632,752,3724,835,2051,558,2226,567,4094,866,5963,936,5900,937,3009,773,1504,463,1198,476,730,404
0500000US42017,42017,"Bucks County, Pennsylvania",212500,2614,7722,1583,4308,910,7122,1168,6681,1326,7134,1225,6351,1196,5958,1090,8401,1331,6764,1448,15142,1634,21509,1756,30522,2664,23756,1907,18089,1624,19285,1874,23756,1672
0500000US42019,42019,"Butler County, Pennsylvania",73379,1167,2772,654,1978,559,3259,760,3217,659,2867,617,3148,642,3394,755,3577,670,3029,717,5819,873,7726,1075,10150,1171,7597,1020,4696,822,4917,875,5233,922
0500000US42021,42021,"Cambria County, Pennsylvania",54340,1403,3592,805,3636,809,3530,697,3458,762,3074,625,3341,850,3731,732,2923,634,2206,588,4458,745,5327,817,6893,907,4160,676,1999,635,1207,381,805,319
0500000US42025,42025,"Carbon County, Pennsylvania",25075,1369,887,416,1606,785,1271,666,1329,648,1570,551,1653,594,1759,633,771,375,1135,487,1701,611,3553,1056,3324,739,1838,695,1170,471,1000,471,508,317
0500000US42027,42027,"Centre County, Pennsylvania",52260,1683,3994,886,2099,676,1756,687,2915,847,1814,615,2760,696,2240,660,1692,612,1780,663,3770,761,5697,1085,5898,953,5702,1139,2978,658,3435,817,3730,872
0500000US42029,42029,"Chester County, Pennsylvania",165083,2223,4881,867,3613,1059,3418,798,6808,1209,3864,783,5235,1164,4315,855,4899,852,5220,1143,10709,1427,13199,1222,20661,1852,18197,1826,15027,1776,18828,1951,26209,1818
0500000US42033,42033,"Clearfield County, Pennsylvania",28354,1330,1299,340,2212,582,1531,398,1939,567,1588,396,1941,486,1288,378,1284,392,1249,485,3107,666,3644,819,3441,677,2082,568,623,315,454,208,672,378
