GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0500000US34001,34001,"Atlantic County, New Jersey",62108,1736,2173,745,2828,867,3191,799,2809,744,2057,591,2131,693,2562,786,2434,751,3054,926,3458,751,6219,1252,8622,1461,6527,1002,3970,756,6140,1334,3933,857
0500000US34003,34003,"Bergen County, New Jersey",211113,2365,7314,1179,6701,1313,6350,1044,5287,941,6057,1111,5865,998,4972,1060,5954,1175,6255,1170,9985,1536,16462,2013,24520,2107,20579,1933,17136,1859,24161,2087,43515,2215
0500000US34005,34005,"Burlington County, New Jersey",119729,1880,3611,882,2699,740,2725,714,4249,826,3143,760,3979,1001,3026,774,4054,942,3902,812,9670,1442,12368,1584,17138,1614,13169,1429,9588,1290,12177,1383,14231,1635
0500000US34007,34007,"Camden County, New Jersey",115051,2489,4133,1029,4592,1101,3496,915,3715,882,3505,802,3147,632,4182,923,4005,912,3685,912,7580,1116,12794,1608,17071,2079,12565,1451,9419,1343,10535,1403,10627,1558
0500000US34009,34009,"Cape May County, New Jersey",34703,1537,1722,527,1567,572,1354,425,1451,437,1379,537,1440,585,1518,531,1232,455,1054,364,2887,726,3740,889,4084,789,3990,735,2615,732,2327,642,2343,528
0500000US34011,34011,"Cumberland County, New Jersey",28780,1170,1352,626,1906,696,1504,535,1103,481,1168,583,1268,588,1450,694,1251,535,1335,671,2076,633,2951,804,5577,1130,2232,736,1511,559,1207,503,889,442
0500000US34013,34013,"Essex County, New Jersey",98142,2242,4274,1078,3868,918,3412,922,3880,988,2906,766,2333,644,1940,636,2754,803,2253,530,5190,1218,6567,1192,9607,1265,10430,1486,6958,1198,11309,1221,20461,1502
0500000US34015,34015,"Gloucester County, New Jersey",87810,1645,2747,880,2209,844,2695,837,3584,966,2904,875,2550,727,3397,859,2464,657,3366,960,5280,927,8245,1243,12431,1472,12168,1619,7068,1115,9660,1068,7042,1077
0500000US34017,34017,"Hudson County, New Jersey",89303,2553,4811,996,2689,723,2629,796,2867,789,2795,797,2262,503,2142,721,2325,685,2941,881,5541,1080,7093,1065,10139,1537,7386,1032,7497,1156,9001,1364,17185,1840
0500000US34019,34019,"Hunterdon County, New Jersey",42344,985,1313,501,476,262,703,358,857,415,1453,530,1299,479,402,236,870,397,982,404,1581,475,3165,811,4600,1038,5283,1012,3630,828,6545,1148,9185,1297
0500000US34021,34021,"Mercer County, New Jersey",73300,1813,2241,674,1697,566,1819,548,1822,721,2297,746,2036,669,1625,677,2374,691,1890,777,4546,987,7894,1162,9926,1329,7728,1430,5652,996,7780,1267,11973,1293
0500000US34023,34023,"Middlesex County, New Jersey",146525,2431,5488,870,4769,1260,5804,1148,5105,946,4855,1208,5515,1085,5621,1321,5191,1178,4751,1203,9534,1266,13840,1736,18440,1937,15584,1903,12274,1403,14881,1650,14873,1724
