GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC04_EST_VC12,HC04_MOE_VC12,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC04_EST_VC16,HC04_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC04_EST_VC17,HC04_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC03_EST_VC21,HC03_MOE_VC21,HC04_EST_VC21,HC04_MOE_VC21,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC03_EST_VC23,HC03_MOE_VC23,HC04_EST_VC23,HC04_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC03_EST_VC24,HC03_MOE_VC24,HC04_EST_VC24,HC04_MOE_VC24,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC03_EST_VC26,HC03_MOE_VC26,HC04_EST_VC26,HC04_MOE_VC26,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC03_EST_VC28,HC03_MOE_VC28,HC04_EST_VC28,HC04_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC03_EST_VC29,HC03_MOE_VC29,HC04_EST_VC29,HC04_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC03_EST_VC30,HC03_MOE_VC30,HC04_EST_VC30,HC04_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC03_EST_VC31,HC03_MOE_VC31,HC04_EST_VC31,HC04_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC03_EST_VC32,HC03_MOE_VC32,HC04_EST_VC32,HC04_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC03_EST_VC33,HC03_MOE_VC33,HC04_EST_VC33,HC04_MOE_VC33,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC03_EST_VC36,HC03_MOE_VC36,HC04_EST_VC36,HC04_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC03_EST_VC37,HC03_MOE_VC37,HC04_EST_VC37,HC04_MOE_VC37,HC01_EST_VC40,HC01_MOE_VC40,HC02_EST_VC40,HC02_MOE_VC40,HC03_EST_VC40,HC03_MOE_VC40,HC04_EST_VC40,HC04_MOE_VC40,HC01_EST_VC43,HC01_MOE_VC43,HC02_EST_VC43,HC02_MOE_VC43,HC03_EST_VC43,HC03_MOE_VC43,HC04_EST_VC43,HC04_MOE_VC43,HC01_EST_VC44,HC01_MOE_VC44,HC02_EST_VC44,HC02_MOE_VC44,HC03_EST_VC44,HC03_MOE_VC44,HC04_EST_VC44,HC04_MOE_VC44,HC01_EST_VC45,HC01_MOE_VC45,HC02_EST_VC45,HC02_MOE_VC45,HC03_EST_VC45,HC03_MOE_VC45,HC04_EST_VC45,HC04_MOE_VC45,HC01_EST_VC46,HC01_MOE_VC46,HC02_EST_VC46,HC02_MOE_VC46,HC03_EST_VC46,HC03_MOE_VC46,HC04_EST_VC46,HC04_MOE_VC46,HC01_EST_VC47,HC01_MOE_VC47,HC02_EST_VC47,HC02_MOE_VC47,HC03_EST_VC47,HC03_MOE_VC47,HC04_EST_VC47,HC04_MOE_VC47
0500000US34001,34001,"Atlantic County, New Jersey",219524,892,63.6,1.5,56.8,1.6,10.6,1.5,13645,1233,36.5,7.2,25.1,5.8,31.1,11.7,19236,1200,76.8,5.4,61.6,6.7,19.8,6.1,16618,543,80.5,6.0,71.8,6.8,10.1,4.9,15336,967,87.4,4.1,76.9,5.5,11.9,5.1,31296,1037,85.5,3.4,76.2,4.8,10.6,4.2,38367,390,83.6,2.9,76.6,3.5,8.4,2.7,22060,1445,74.2,5.0,72.3,4.9,2.6,1.6,17176,1450,58.2,5.9,53.4,6.1,8.3,4.8,26968,589,25.6,4.2,24.1,4.1,6.0,3.5,18822,578,5.4,2.1,4.9,1.9,9.0,12.7,150294,2954,62.9,1.8,57.4,2.1,8.6,1.6,31697,1206,60.0,5.0,52.0,5.0,13.3,4.4,N,N,N,N,N,N,N,N,18467,482,64.5,4.9,57.5,5.6,10.9,5.8,N,N,N,N,N,N,N,N,13934,2835,75.1,7.1,61.8,8.3,17.7,8.1,N,N,N,N,N,N,N,N,35871,488,68.4,4.2,59.0,4.5,13.4,4.1,130974,436,62.6,1.7,57.2,2.2,8.5,1.9,160089,1212,79.2,1.6,71.2,1.7,10.0,1.6,77951,1066,82.8,2.3,73.9,2.8,10.5,2.2,82138,525,75.8,2.1,68.6,2.2,9.5,2.2,26908,2102,80.3,3.9,72.5,4.4,9.8,3.6,5940,1381,76.8,8.7,63.8,10.4,16.8,11.5,5213,1243,71.7,10.5,61.3,11.5,14.6,11.0,15755,1737,84.5,5.0,79.4,5.8,6.0,3.4,19392,3028,62.1,5.7,40.2,5.7,35.3,7.5,138571,3474,82.3,1.6,76.2,1.9,7.3,1.5,18542,2350,44.1,6.6,38.0,6.5,13.8,6.7,140853,619,79.5,1.6,72.5,2.0,8.7,1.8,13815,1809,63.6,6.3,57.6,6.7,9.5,5.3,45077,3178,78.9,3.2,67.6,4.1,14.3,3.7,41282,3032,78.3,3.6,72.6,3.8,7.0,2.8,40679,3142,86.8,2.7,82.8,3.3,4.5,2.2
0500000US34003,34003,"Bergen County, New Jersey",763625,1542,66.0,0.9,63.0,0.9,4.6,0.4,46755,1526,26.2,3.3,24.0,3.2,7.7,4.3,56082,150,65.8,4.3,59.9,4.7,8.9,2.6,51717,270,84.0,3.1,80.9,3.3,3.5,1.3,57959,135,84.1,2.7,80.4,2.8,4.3,1.4,123746,151,84.2,1.7,80.9,1.9,3.8,1.0,142417,180,85.3,1.6,82.3,1.7,3.5,0.7,68685,2581,84.0,2.4,79.5,2.5,5.3,1.7,61522,2567,69.2,2.7,65.8,3.0,4.9,1.5,84265,86,35.9,2.8,34.0,2.8,5.1,1.6,70477,34,9.5,1.3,9.1,1.4,4.2,2.5,558242,3700,65.7,0.9,62.5,0.9,4.8,0.5,46598,3156,61.2,4.5,59.1,4.3,3.4,1.7,N,N,N,N,N,N,N,N,124937,2054,68.0,2.3,65.5,2.3,3.6,1.2,N,N,N,N,N,N,N,N,16221,3031,71.4,4.4,68.9,4.9,3.5,2.4,15438,2631,69.2,6.7,64.0,7.0,7.6,3.6,139666,659,71.8,1.9,68.9,2.0,3.9,0.9,446839,1126,64.1,1.1,60.8,1.1,5.1,0.6,562128,177,80.9,1.0,77.3,1.1,4.5,0.4,274673,92,88.5,1.4,84.3,1.4,4.7,0.6,287455,159,73.7,1.3,70.6,1.4,4.2,0.6,110200,3515,70.5,2.1,68.2,2.3,3.3,0.9,27415,2727,67.3,5.2,64.5,5.5,4.0,2.2,19660,2504,59.1,5.9,57.7,5.7,2.5,2.4,63125,3061,75.5,2.4,73.0,2.5,3.3,1.0,34016,3903,50.0,5.0,39.2,5.2,21.5,5.1,525212,4055,83.3,1.0,80.0,1.0,3.8,0.4,25993,2645,49.7,4.9,42.1,4.9,15.3,4.4,506046,102,82.6,0.9,79.2,1.0,4.1,0.4,28616,3129,65.0,5.5,62.7,5.5,3.5,2.0,98961,4547,79.1,2.3,76.0,2.4,3.8,1.1,107857,4865,83.9,2.1,78.6,2.3,6.3,1.3,270612,6188,85.3,1.2,82.4,1.2,3.3,0.5
0500000US34005,34005,"Burlington County, New Jersey",366773,1026,66.9,1.0,61.4,1.0,6.2,0.7,21824,1217,38.8,4.7,30.2,4.5,21.0,6.5,29560,831,78.7,4.0,62.5,4.9,12.8,3.8,28090,100,87.1,3.3,76.3,3.7,10.2,3.5,27393,130,86.8,2.7,80.3,3.4,3.4,1.4,55008,145,87.2,2.3,80.7,2.8,5.0,2.0,67987,215,84.6,2.1,80.9,2.4,4.2,1.3,35293,1478,77.3,3.5,74.1,3.8,4.2,1.9,28408,1484,63.9,4.6,61.5,4.6,3.8,2.1,41088,488,30.5,3.2,29.1,3.0,4.3,2.0,32122,461,6.1,1.6,5.8,1.5,4.7,5.8,267686,1855,66.3,1.1,61.5,1.2,5.6,0.9,61327,2025,64.0,2.8,55.8,3.1,10.6,2.2,N,N,N,N,N,N,N,N,19070,527,69.8,4.1,66.3,4.3,3.8,2.1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,25695,419,77.0,3.8,68.8,5.2,5.7,2.7,253892,975,66.1,1.1,61.3,1.2,5.5,0.9,271739,787,81.9,1.1,75.4,1.1,5.7,0.8,136805,354,85.2,1.7,76.9,1.7,6.2,1.2,134934,732,78.5,1.7,73.9,1.9,5.3,1.1,45072,2333,80.0,2.5,76.1,2.7,3.8,1.6,10481,1558,73.4,6.1,69.5,6.5,1.3,2.3,8531,1264,78.2,6.0,73.6,6.4,5.5,3.9,26060,2031,83.3,2.9,79.5,3.3,4.2,2.1,14237,1893,49.6,5.8,33.3,6.2,31.3,9.3,250390,2538,85.7,1.0,79.9,1.2,4.9,0.8,25681,2676,47.5,6.0,39.4,5.9,16.3,6.7,242179,202,82.2,1.2,77.0,1.3,5.0,0.8,11567,1838,64.5,7.8,56.3,7.7,11.7,5.5,64813,3511,76.9,2.9,71.0,2.7,7.2,1.8,68649,3461,81.6,2.0,75.7,2.3,4.5,1.3,97150,3448,88.4,1.4,84.4,1.7,3.4,1.0
0500000US34007,34007,"Camden County, New Jersey",406696,1050,66.7,1.1,62.2,1.2,6.7,0.9,25099,1067,42.4,5.7,33.4,5.9,21.1,7.2,32352,550,80.9,4.1,72.1,4.6,10.8,3.7,35669,29,85.6,3.4,79.8,4.0,6.7,3.0,35195,83,86.5,3.7,81.1,4.5,6.2,2.3,63822,77,85.0,2.8,80.0,2.8,5.8,1.9,70715,160,80.0,2.7,75.1,2.8,6.1,1.8,38761,1826,71.8,3.5,69.1,3.7,3.3,1.5,28965,1833,63.1,4.0,60.3,4.2,4.4,2.2,44426,407,31.4,3.6,30.2,3.6,3.7,2.1,31692,434,7.8,2.1,7.3,2.1,6.7,6.4,266127,2987,67.8,1.3,64.0,1.3,5.5,0.9,75908,2203,64.3,2.8,57.1,3.0,11.3,2.4,N,N,N,N,N,N,N,N,23645,761,65.2,5.1,62.5,5.1,4.1,2.4,N,N,N,N,N,N,N,N,32356,3108,64.9,5.7,59.8,5.9,7.9,3.9,N,N,N,N,N,N,N,N,58313,437,67.7,3.9,63.1,4.0,6.8,2.3,244295,602,67.4,1.4,63.6,1.3,5.6,0.9,305479,484,79.9,1.2,74.9,1.3,6.2,1.0,148441,295,84.8,1.6,78.7,1.8,7.0,1.5,157038,389,75.3,1.7,71.3,1.8,5.3,1.1,55768,2603,77.7,2.8,75.0,3.0,3.4,1.2,11939,1767,74.0,6.4,68.9,6.2,6.9,4.5,12239,1735,75.1,6.6,71.5,7.3,4.8,3.3,31590,1885,80.0,3.7,78.7,3.8,1.7,0.9,33336,4103,49.6,4.2,35.8,4.0,27.9,6.8,269304,3951,84.4,1.2,80.4,1.3,4.6,0.9,32902,2849,37.6,4.4,31.0,4.1,17.4,6.1,273127,181,79.8,1.2,75.2,1.3,5.6,1.0,26624,2955,54.7,5.8,48.9,5.0,10.6,5.6,77352,4321,76.5,2.6,69.4,3.0,9.3,2.3,79313,3619,81.4,2.2,77.3,2.3,4.9,1.5,89838,3702,88.5,1.7,86.2,2.0,2.6,1.0
0500000US34009,34009,"Cape May County, New Jersey",79758,559,60.1,2.2,53.9,2.4,8.5,2.1,3511,604,50.4,14.1,43.7,14.0,0.0,10.2,5760,634,87.5,5.7,66.7,8.6,17.1,10.0,4873,481,91.8,6.8,84.1,8.5,4.3,4.2,4223,326,88.5,5.9,80.8,8.6,6.6,6.1,9161,806,84.3,5.6,73.0,7.5,13.5,7.2,12935,813,81.6,5.8,76.7,6.0,6.0,3.8,6428,736,77.1,5.1,72.7,5.5,5.8,3.4,8609,749,55.1,5.8,52.1,6.3,5.5,4.2,14290,335,27.8,4.9,25.4,4.9,8.7,5.9,9968,285,9.3,3.4,7.1,3.0,24.6,17.2,73863,633,59.8,2.1,54.0,2.3,7.8,2.1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,69863,377,58.7,2.1,54.0,2.4,6.0,1.7,51989,610,79.3,2.5,71.4,2.9,8.5,2.3,25475,415,88.0,3.4,78.9,4.3,8.0,3.5,26514,472,71.0,3.5,64.2,4.1,9.0,4.2,7617,1007,75.6,7.6,70.7,8.3,6.5,4.7,1794,496,73.7,12.3,65.2,13.9,11.6,9.4,1420,564,82.9,15.0,75.8,15.4,8.6,10.2,4403,886,73.9,10.4,71.2,10.7,3.6,5.9,5127,1582,48.4,11.8,21.4,8.7,55.9,17.6,46236,1854,82.5,2.2,77.9,2.6,5.4,1.7,6333,1453,39.9,8.5,32.8,9.2,17.8,13.4,46229,945,78.3,2.8,72.0,2.8,7.4,2.0,3288,1104,72.4,16.4,55.1,17.8,23.8,20.7,14991,1922,76.1,5.8,67.8,5.1,10.6,5.3,12926,1471,75.8,5.6,71.9,5.8,3.3,2.0,15024,1729,83.9,4.0,80.0,4.4,4.4,2.1
0500000US34011,34011,"Cumberland County, New Jersey",121067,637,53.8,2.7,50.5,2.6,6.0,1.3,7877,1188,42.4,10.2,32.6,9.9,23.1,11.5,8768,977,72.5,9.3,64.2,9.8,11.4,6.7,11676,252,67.4,10.6,64.8,10.8,3.8,3.6,11009,163,70.4,7.7,66.5,7.7,4.7,4.8,20391,323,58.1,5.9,55.5,6.0,4.5,3.9,20488,385,65.9,4.8,63.0,4.8,4.4,2.8,10552,1018,63.2,7.6,59.0,8.1,6.7,6.2,7872,1119,43.5,8.7,42.2,8.7,3.0,3.8,13124,687,28.7,6.0,28.4,6.0,0.9,1.3,9310,659,6.5,4.0,5.9,3.9,9.6,15.9,83532,1674,56.7,2.8,53.7,2.8,5.3,1.6,23201,1156,42.0,5.8,39.0,5.7,7.3,4.6,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,31718,319,61.3,5.1,58.1,5.4,5.2,2.9,61700,364,54.3,3.0,51.0,2.9,6.1,1.9,90756,987,63.3,3.3,59.8,3.2,5.3,1.5,48222,540,63.0,4.6,58.3,4.6,7.3,2.8,42534,741,63.6,4.1,61.6,4.2,3.2,2.0,15736,1633,68.6,7.1,67.1,7.3,2.2,2.3,2184,866,87.5,10.8,82.1,14.1,6.2,9.5,4851,1185,63.5,13.4,63.5,13.4,0.0,5.2,8701,1433,66.8,10.4,65.4,10.4,2.0,3.0,14445,2356,40.6,7.5,33.9,7.0,16.5,9.4,65512,3002,78.7,2.8,75.4,2.9,4.1,1.5,11243,2092,39.1,8.3,33.3,7.7,14.8,9.9,81988,466,62.3,3.3,59.4,3.2,4.6,1.6,17140,2058,49.0,7.1,46.4,6.8,5.2,5.1,32124,2386,58.0,5.3,54.8,5.6,5.6,3.2,21464,2261,69.3,4.6,66.2,4.7,4.5,2.8,11260,2084,81.2,5.6,79.1,5.6,1.9,2.2
0500000US34013,34013,"Essex County, New Jersey",627662,1239,63.8,0.9,58.4,1.0,8.4,0.8,40317,1212,19.9,3.4,14.0,3.2,29.2,9.0,53289,398,68.9,3.6,54.0,4.3,21.7,4.0,55316,5,77.0,3.2,69.8,3.3,9.2,2.4,54074,3,80.9,3.1,73.9,4.1,8.7,3.1,111751,23,83.0,1.7,76.7,2.1,7.6,1.6,113776,23,80.2,1.9,75.8,1.9,5.4,1.4,51804,2437,72.4,3.1,68.4,3.2,5.6,1.9,44765,2437,61.1,3.5,59.1,3.5,3.3,1.5,59292,307,28.6,3.0,27.5,2.9,3.8,1.8,43278,292,7.9,1.6,7.5,1.6,4.6,3.9,285176,4723,63.9,1.2,60.6,1.2,5.0,0.7,249693,2734,62.7,1.7,54.9,1.7,12.4,1.7,N,N,N,N,N,N,N,N,34302,1016,68.9,3.3,64.7,3.5,6.2,2.5,N,N,N,N,N,N,N,N,44015,4353,62.8,4.8,56.4,4.8,10.2,3.4,13108,2994,74.3,6.6,67.3,6.4,9.0,4.6,132829,755,64.6,2.2,59.0,2.2,8.6,1.6,205677,1123,63.0,1.4,60.2,1.4,4.4,0.8,484775,388,76.7,1.1,70.4,1.2,8.2,0.9,235064,307,78.8,1.9,72.4,1.8,8.2,1.4,249711,285,74.7,1.5,68.5,1.6,8.3,1.2,86692,3732,79.0,2.4,72.0,2.6,8.9,1.9,18773,2269,76.4,5.1,69.4,5.6,9.2,4.0,18387,1928,75.5,4.9,68.1,6.2,9.8,4.7,49532,2900,81.3,2.6,74.4,2.6,8.4,2.4,71542,5515,47.9,3.6,34.3,3.3,28.3,4.6,402853,5347,83.7,1.1,78.5,1.3,6.2,0.9,45458,3371,35.7,3.5,26.9,2.7,24.5,5.1,431486,47,77.7,1.1,72.4,1.2,6.8,0.9,51913,3625,58.2,4.0,51.8,4.3,11.1,3.7,116787,5270,71.4,2.1,63.5,2.6,11.0,2.5,110161,6086,79.9,2.1,74.4,2.4,6.9,1.6,152625,5425,87.5,1.2,84.8,1.2,3.1,0.6
0500000US34015,34015,"Gloucester County, New Jersey",233860,841,68.5,1.2,64.4,1.3,5.9,1.0,14703,1077,49.7,6.4,43.5,6.2,12.4,5.5,18524,667,79.5,5.0,71.9,6.1,9.3,4.0,18241,454,92.6,2.8,84.5,3.8,8.8,3.2,18193,1387,85.1,3.8,81.2,3.7,4.6,2.3,36587,1323,85.1,2.9,79.3,3.2,6.9,2.2,43105,544,86.7,2.5,83.3,2.8,3.9,1.7,21787,1419,78.8,3.8,76.3,3.7,3.1,1.9,18872,1402,61.5,5.1,59.2,5.3,3.7,3.7,26694,658,27.7,3.6,26.6,3.8,4.1,2.7,17154,462,6.9,2.9,6.0,2.7,13.1,15.6,193401,1508,68.2,1.2,64.5,1.4,5.4,1.1,23274,787,71.5,4.2,65.3,4.9,8.6,3.6,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,12212,222,76.5,5.6,67.6,5.6,11.6,5.6,188279,668,68.0,1.3,64.3,1.4,5.3,1.1,175309,935,82.3,1.3,77.7,1.5,5.6,1.0,85797,722,86.0,1.7,81.3,2.2,5.5,1.5,89512,614,78.8,1.8,74.3,2.2,5.8,1.5,31558,2005,80.6,3.4,76.6,3.9,5.0,2.3,7000,1298,74.6,8.4,72.7,9.3,2.5,3.3,5524,1281,76.5,8.0,72.3,8.9,5.5,5.7,19034,1503,84.1,4.3,79.3,4.9,5.7,3.2,13695,2261,52.2,8.1,37.7,8.2,27.7,11.0,160606,2456,85.1,1.2,81.3,1.4,4.5,0.8,18375,2023,43.1,5.9,38.6,5.9,10.4,5.6,156785,810,82.7,1.3,78.4,1.4,5.2,0.9,10318,2016,56.3,7.5,47.6,8.8,15.4,9.6,48583,2933,76.7,2.9,70.7,3.0,7.8,2.2,44633,2649,86.4,2.2,82.0,2.5,5.1,1.7,53251,3377,90.1,1.8,88.3,2.0,2.1,0.9
0500000US34017,34017,"Hudson County, New Jersey",553121,1216,69.0,1.0,64.6,1.0,6.3,0.6,26480,1342,27.2,4.5,21.7,4.2,20.4,8.2,44475,640,70.1,3.5,62.9,4.0,10.2,3.0,71244,115,84.1,2.1,79.5,2.4,5.3,1.6,72976,181,85.8,3.1,81.7,3.4,4.6,1.7,106604,240,84.9,2.0,80.7,2.0,4.9,1.3,85014,176,81.6,2.0,75.0,2.2,8.0,1.6,37742,2211,73.7,3.5,69.9,3.6,5.1,1.9,34266,2201,57.3,4.7,53.9,4.6,6.0,2.7,43007,5,28.2,3.0,26.6,3.0,5.7,3.0,31313,7,4.1,1.7,4.1,1.7,0.0,12.0,307992,7863,68.9,1.4,65.0,1.4,5.5,1.0,65603,2227,65.2,3.2,59.3,3.3,9.1,2.8,N,N,N,N,N,N,N,N,88385,1910,67.1,2.7,64.7,2.7,3.7,1.1,N,N,N,N,N,N,N,N,72459,7354,75.9,3.0,68.4,2.9,9.8,1.9,15952,2462,66.7,5.4,62.3,5.4,6.7,2.7,227942,1026,69.1,1.6,63.6,1.6,7.8,1.1,166930,1126,71.2,1.4,67.9,1.7,4.5,0.9,452321,713,79.8,1.1,74.9,1.1,6.1,0.7,228984,584,86.1,1.7,81.5,1.8,5.2,0.8,223337,369,73.4,1.4,68.2,1.5,7.0,1.1,72288,3352,71.9,2.6,65.3,2.8,9.1,2.4,21983,2397,69.3,4.9,62.9,4.8,9.2,5.8,14410,2090,63.3,7.2,59.6,7.1,5.9,3.6,35895,2701,76.9,3.8,69.0,4.3,10.2,3.5,57757,4649,48.4,3.5,40.1,3.2,17.0,3.5,390843,5532,85.2,0.9,80.8,0.9,5.1,0.7,30858,3051,43.3,4.2,37.2,4.3,14.0,4.7,407846,363,80.9,1.2,76.2,1.2,5.7,0.7,48406,3879,67.5,3.8,62.0,3.7,8.2,2.6,104225,4460,75.1,2.5,68.1,2.3,9.3,1.7,75884,3995,80.3,2.7,75.4,2.9,6.1,1.7,179331,3841,88.1,1.3,85.2,1.4,3.2,0.7
0500000US34019,34019,"Hunterdon County, New Jersey",103604,589,67.3,1.8,64.9,2.0,3.6,1.0,7405,740,28.3,8.2,21.7,8.3,23.4,17.3,8017,490,72.5,6.7,68.4,7.3,5.7,4.9,5397,455,80.9,7.7,76.2,9.2,5.8,5.1,5695,421,89.5,4.9,87.6,4.8,2.2,2.7,12923,896,90.3,3.2,88.3,3.4,2.3,1.6,21634,693,87.0,3.5,85.7,3.7,1.5,1.3,11482,1168,87.6,4.6,84.7,5.0,3.4,2.4,10218,1064,67.9,6.8,64.3,6.8,5.3,3.5,12342,384,30.4,6.3,30.0,6.2,1.3,2.1,8491,305,12.5,5.1,12.5,5.1,0.0,14.3,94976,780,68.3,1.9,66.1,2.0,3.4,1.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,90159,451,67.9,2.0,65.8,2.0,3.1,0.9,75366,692,83.3,1.8,80.7,2.0,3.1,0.9,37519,472,87.2,2.4,84.5,2.6,3.1,1.3,37847,520,79.4,2.9,77.0,3.0,3.1,1.4,13511,1166,78.8,4.6,77.3,4.5,1.8,1.2,2982,788,83.6,7.8,79.8,8.5,4.5,5.1,1639,435,74.4,14.8,73.1,15.1,1.7,3.1,8890,1060,78.0,5.6,77.3,5.8,0.9,1.1,3111,836,48.7,12.3,29.3,10.3,39.7,16.5,70414,1123,87.0,1.8,85.1,1.8,2.2,0.8,3958,888,51.6,8.9,46.6,8.3,9.6,8.3,67349,772,84.6,1.9,82.2,2.1,2.8,1.0,2161,816,68.6,14.2,65.6,13.9,4.4,7.7,13519,1913,79.5,5.2,77.0,5.1,3.1,2.4,14210,1706,82.2,3.8,79.0,4.1,3.9,2.1,37459,2311,88.2,2.2,86.2,2.4,2.3,1.1
