GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0500000US34001,34001,"Atlantic County, New Jersey",174454,4144,84552,2182,4211,453,4754,841,4011,725,3111,358,1899,215,5085,466,5006,485,4445,444,9842,619,11927,583,14194,437,9939,338,4637,487,1491,487,89902,2268,3911,558,4082,954,4285,848,3126,302,1941,283,5627,488,4835,483,4834,325,9198,611,13035,475,14960,459,11021,507,5911,719,3136,724
0500000US34003,34003,"Bergen County, New Jersey",681675,5303,332651,2913,17062,795,17630,1675,22795,1916,13882,403,8021,422,20180,568,18628,624,19594,541,40698,1050,49653,784,49254,553,31840,530,16508,1208,6906,1101,349024,2951,16390,658,19359,1751,19374,1687,13027,457,7742,354,19639,744,17227,524,18691,727,41327,888,51330,719,51426,572,36496,428,21877,1470,15119,1480
0500000US34005,34005,"Burlington County, New Jersey",324376,2518,159769,1421,7371,387,7947,1014,10563,964,6401,380,3465,251,10365,452,10141,520,9724,412,19479,432,23393,409,24641,269,15680,227,7664,643,2935,637,164607,1496,6915,329,9136,1206,8773,1215,5450,182,2955,324,8479,341,9040,271,9249,326,19237,432,25011,302,25906,229,18317,278,10975,888,5164,839
0500000US34007,34007,"Camden County, New Jersey",330346,5240,160728,2788,9442,876,8630,1269,9569,1248,5696,503,2919,202,9211,647,11461,728,11421,647,19879,1022,22498,659,24505,562,15564,298,7611,612,2322,593,169618,3093,8796,719,9062,1282,8772,1266,5198,355,3093,330,8810,540,11019,525,11075,661,19265,755,24385,685,26238,423,18243,319,10529,847,5133,847
0500000US34009,34009,"Cape May County, New Jersey",85921,838,42114,513,2006,351,1662,620,2543,634,1292,141,971,464,2610,468,2343,147,2161,361,3756,237,5243,255,7038,183,6298,161,2921,343,1270,427,43807,525,1604,151,1826,444,2008,534,1291,269,660,61,2034,206,1959,130,2334,543,3816,313,5823,515,7790,86,7027,89,3796,423,1839,420
0500000US34011,34011,"Cumberland County, New Jersey",107450,2611,52986,1329,3649,272,3684,695,4025,670,2037,220,1203,427,3171,437,3820,419,3413,303,6620,373,6790,609,6792,309,4711,337,2309,284,762,363,54464,1654,3068,508,4768,622,2623,691,1881,261,729,216,3277,471,3179,528,3436,182,6573,258,7302,558,7085,301,5632,343,3152,541,1759,547
0500000US34013,34013,"Essex County, New Jersey",345870,7150,170393,4265,10307,1108,9937,1294,11949,1318,6508,601,4099,416,10517,915,10797,846,10406,888,22709,1369,25302,1099,23551,785,14725,495,6069,736,3517,668,175477,3959,10039,1106,8809,1391,10309,1362,5919,511,4051,362,11266,662,9357,799,9807,837,23601,1321,25198,888,24359,762,16666,643,9085,1065,7011,1025
0500000US34015,34015,"Gloucester County, New Jersey",238405,1920,116364,1043,5974,241,6946,1044,7592,972,4687,127,2888,200,7568,366,7665,299,7011,249,13704,235,17862,509,17220,203,10943,212,4864,490,1440,439,122041,1140,5626,270,6512,905,7228,919,4649,253,2675,256,7184,279,7072,150,6985,173,14970,367,18750,215,18421,231,12253,80,6645,669,3071,635
0500000US34017,34017,"Hudson County, New Jersey",375365,8970,186089,5056,11753,1328,9208,1563,9702,1454,4359,815,2722,657,11561,1024,19464,1314,20078,1195,30278,1666,24594,1332,21097,1043,12534,822,6372,871,2367,684,189276,4992,11340,1085,9790,1520,7530,1108,4938,648,2968,600,10539,954,19416,988,18101,1170,28895,1227,22792,1045,22408,1047,15309,944,10602,1095,4648,1013
0500000US34019,34019,"Hunterdon County, New Jersey",113585,687,55703,485,2107,232,2166,563,4188,590,2610,206,1273,206,3652,307,2488,252,2424,169,5641,363,9024,183,10460,96,6134,68,2638,436,898,436,57882,504,2397,245,2631,607,3535,683,2412,135,1346,217,3229,208,2102,71,2519,189,6040,293,10057,285,10335,222,6250,109,3559,535,1470,543
0500000US34021,34021,"Mercer County, New Jersey",237298,3347,117329,1825,5860,482,4884,998,8137,1091,4296,198,4023,442,9040,764,7873,214,7094,411,14865,460,16499,478,16736,446,10603,335,5252,614,2167,581,119969,1809,5722,491,6484,903,5433,866,4226,178,4501,151,9136,379,6465,421,6627,300,13559,441,16441,411,17856,228,12182,185,6390,815,4947,827
0500000US34023,34023,"Middlesex County, New Jersey",483880,6585,239415,3254,12722,898,12699,1700,12948,1569,9094,516,6902,401,16057,728,17739,638,15799,683,28211,877,33338,1101,35873,683,22743,379,10755,697,4535,659,244465,3874,12643,753,11345,1595,12314,1451,8175,536,6677,351,15576,597,14554,729,14494,678,27337,933,34394,859,36701,735,25952,623,14684,1257,9619,1244
0500000US34025,34025,"Monmouth County, New Jersey",514895,4365,249846,2502,12627,492,13774,1399,16676,1329,10459,373,6303,353,15385,517,13213,605,13034,488,27212,635,38895,576,41108,498,25892,338,10536,885,4732,858,265049,2273,11668,604,14743,1368,15055,1303,10424,287,5897,181,15089,580,13156,367,12976,449,29101,625,41829,496,42412,500,28316,239,15676,932,8707,987
