GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0500000US34001,34001,"Atlantic County, New Jersey",38933,1653,17744,1020,664,565,1416,771,1237,683,887,434,1265,521,1685,631,985,541,1076,162,2192,634,2306,760,2063,446,1271,90,697,188,0,206,21189,1421,1990,650,611,427,1613,671,599,357,1445,678,1323,679,935,562,994,582,2531,626,2997,337,3028,107,1605,254,880,290,638,293
0500000US34003,34003,"Bergen County, New Jersey",57359,2335,26824,1566,1936,359,1297,597,1940,678,1241,330,421,396,2007,535,1238,770,1671,160,4104,412,4289,368,3447,334,2022,390,682,282,529,365,30535,1625,1592,378,1613,473,1397,446,1166,220,787,551,2166,718,1726,210,1805,374,4414,678,4926,445,4231,282,2662,274,1307,344,743,352
0500000US34005,34005,"Burlington County, New Jersey",78368,2877,38519,1522,2429,518,2924,558,2301,643,1885,223,1105,213,3770,510,2901,499,2174,310,4303,692,6000,360,4578,59,2471,78,1495,166,183,166,39849,1868,2266,476,1933,623,3268,743,1735,555,891,200,2613,640,2681,357,2089,470,5307,595,5987,432,5223,218,3245,226,1554,374,1057,374
0500000US34007,34007,"Camden County, New Jersey",96908,3268,45110,1935,3075,403,3498,1057,3444,970,2432,175,2034,908,3561,912,2912,579,3197,657,5624,472,5581,519,5175,305,2903,89,1040,322,634,322,51798,1941,3103,983,3860,961,2829,764,2292,150,1266,65,4012,411,3794,295,3333,291,6535,640,6895,379,6557,232,4253,69,2572,498,497,293
0500000US34011,34011,"Cumberland County, New Jersey",31131,1579,16317,1171,951,599,1296,543,779,441,597,417,841,805,1531,940,727,282,1401,641,3074,596,2287,206,1536,172,743,223,543,349,11,20,14814,1360,1295,845,1090,389,1018,391,756,374,378,317,1171,338,1340,429,367,369,2326,393,1730,40,1734,161,903,89,116,107,590,107
0500000US34013,34013,"Essex County, New Jersey",321415,3485,148904,2157,10347,665,11102,1302,9956,1461,6301,509,4198,196,12334,410,12677,721,10490,234,19867,501,20534,696,16757,478,9055,279,3969,399,1317,670,172511,2138,9840,405,9912,1430,11028,1476,6306,285,4142,298,11735,531,14225,463,12042,355,23328,759,24842,584,21432,453,13342,407,7676,740,2661,667
0500000US34015,34015,"Gloucester County, New Jersey",30397,2077,14958,1039,448,383,1279,743,1543,793,663,410,579,346,1370,346,1044,234,754,605,1783,689,1969,576,1914,206,650,352,794,337,168,168,15439,1389,556,428,680,435,1101,590,619,426,737,509,1520,621,451,407,851,334,2213,206,2242,423,2154,59,1364,99,785,139,166,139
0500000US34017,34017,"Hudson County, New Jersey",80772,3467,39304,2103,2994,480,1874,939,2272,912,1813,396,1034,445,3740,395,3983,573,3117,235,5575,421,5527,373,4068,416,2136,375,696,243,475,284,41468,1977,2150,647,1857,750,3457,840,1504,157,1060,254,3208,412,3825,584,3540,346,5321,499,5647,583,4414,304,3369,363,1452,347,664,373
0500000US34021,34021,"Mercer County, New Jersey",78243,2716,36617,1716,2585,611,3330,1033,1990,844,1632,172,2100,837,2624,895,2805,320,2362,483,4611,311,5033,409,4224,83,2072,120,1091,160,158,160,41626,1282,2624,357,2813,675,2325,676,1588,216,1276,646,3664,800,3180,411,2628,206,5470,339,5525,290,5076,117,3059,148,1654,357,744,351
0500000US34023,34023,"Middlesex County, New Jersey",87425,3519,41288,1909,2309,465,1969,656,3513,626,2258,334,1440,261,3924,605,2536,521,2904,488,5738,490,6700,574,4569,273,2303,90,924,208,201,208,46137,2152,2243,582,2780,771,2903,765,1928,356,1225,204,3582,575,3482,678,2762,152,6994,529,7218,354,5539,305,3318,257,1114,457,1049,460
0500000US34025,34025,"Monmouth County, New Jersey",43140,2122,20465,1283,1231,164,1172,742,1238,660,630,444,854,506,1480,477,1799,220,1555,662,2512,761,2974,197,2561,239,1469,46,849,131,141,131,22675,1337,1246,283,1198,366,1377,576,920,536,473,184,1227,470,1567,162,1452,88,2611,421,3179,274,3234,237,2311,215,1567,230,313,230
0500000US34027,34027,"Morris County, New Jersey",17476,1594,8156,1012,390,413,571,378,645,370,524,227,306,190,901,347,120,205,254,300,1238,656,1505,574,1023,414,448,334,156,141,75,101,9320,1058,645,527,659,227,248,160,402,419,578,252,383,252,796,300,300,477,1477,751,1387,549,1008,180,631,324,606,376,200,224
0500000US34029,34029,"Ocean County, New Jersey",18755,1958,8777,1315,637,452,607,439,268,277,511,558,392,402,540,500,929,686,789,573,993,635,906,659,1725,385,186,207,294,278,0,206,9978,1217,428,453,426,471,884,569,88,149,101,174,1742,529,337,307,929,554,847,508,1546,676,1387,188,1133,324,117,141,13,28
0500000US34031,34031,"Passaic County, New Jersey",56046,1414,25440,778,1986,300,2322,432,1294,470,1146,206,1332,494,1477,592,2291,77,1668,206,3022,329,3326,248,2895,104,1617,90,957,229,107,122,30606,940,1840,407,1242,463,2227,534,1132,171,1485,417,1895,410,2627,119,1925,160,3914,277,4476,257,3529,159,2461,116,1601,216,252,174
0500000US34033,34033,"Salem County, New Jersey",8812,679,3740,648,138,192,407,280,185,279,174,191,198,244,395,401,57,109,356,312,553,345,397,309,381,217,499,141,0,206,0,206,5072,507,493,398,356,347,341,289,99,158,52,86,366,287,461,289,30,51,921,324,586,321,674,86,454,218,124,136,115,109
0500000US34035,34035,"Somerset County, New Jersey",32683,1400,16746,1104,1734,754,838,692,1551,671,1275,284,1082,604,855,575,579,381,1151,265,1925,111,2346,372,1952,206,942,432,516,432,0,206,15937,818,592,364,779,367,1080,377,106,135,479,561,1159,973,703,721,1420,909,2387,150,2733,188,2219,243,1552,489,516,434,212,219
0500000US34039,34039,"Union County, New Jersey",123985,4675,58376,3074,3384,602,3578,1041,4437,1212,2537,393,1723,174,4273,615,4844,730,4194,545,7741,493,8561,522,7104,335,3783,259,1515,377,702,377,65609,2359,3801,690,2695,873,4326,1044,2218,389,1345,480,3946,671,4738,301,4102,413,8943,514,10682,423,8780,251,5574,217,2904,432,1555,505
0500000US42003,42003,"Allegheny County, Pennsylvania",154620,4755,69812,2647,4550,989,4575,1297,5902,1349,2745,623,2167,491,6495,474,6372,576,4988,510,7178,510,8121,354,8678,357,5180,292,2184,431,677,299,84808,2990,4341,924,5592,1308,5981,1215,3166,582,2513,460,6552,501,7750,796,5843,475,9385,668,10010,395,10940,433,6867,325,3725,544,2143,540
