GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0500000US34001,34001,"Atlantic County, New Jersey",23250,870,10960,675,386,364,444,340,1131,397,540,308,432,286,1035,375,239,250,393,379,1569,336,1639,125,1695,206,1014,257,291,261,152,183,12290,689,607,444,1050,407,366,342,594,317,552,410,667,362,731,616,694,418,1980,418,1921,208,1613,72,963,206,388,145,164,145
0500000US34003,34003,"Bergen County, New Jersey",161307,2437,76216,1531,4226,340,4260,787,5302,843,2870,226,1501,120,4067,287,4530,432,5742,386,13249,175,12032,238,9409,261,5449,107,3079,348,500,348,85091,1189,4067,439,4404,836,5269,872,2771,321,1323,308,4026,289,5684,272,6647,186,15099,239,13614,398,11010,269,6749,94,3263,599,1165,571
0500000US34005,34005,"Burlington County, New Jersey",22557,1520,10642,924,490,357,923,373,536,273,414,266,311,201,594,225,547,247,873,135,1808,312,1536,261,1300,83,789,248,517,221,4,9,11915,771,774,132,668,401,577,409,390,270,144,128,709,152,832,51,924,191,1988,229,1746,247,1486,115,917,311,372,261,388,265
0500000US34007,34007,"Camden County, New Jersey",29625,1059,14556,841,768,285,1016,304,1015,319,706,298,385,286,1115,451,676,389,863,335,2273,186,2125,206,1724,206,1141,419,674,424,75,121,15069,602,193,187,492,368,1298,363,369,281,364,252,816,303,1009,245,1329,206,2627,114,2400,82,1913,206,1404,206,716,123,139,123
0500000US34013,34013,"Essex County, New Jersey",44333,1200,21067,710,895,311,1483,394,1187,409,957,238,708,293,1310,303,1352,137,1565,90,3582,177,3132,178,2371,206,1665,206,673,218,187,201,23266,690,1028,225,1524,422,1238,371,662,268,545,279,1226,286,1319,190,1751,196,4532,142,3484,110,3021,175,1946,105,872,228,118,101
0500000US34015,34015,"Gloucester County, New Jersey",9036,861,4137,561,84,150,419,270,515,372,163,167,275,287,52,89,391,448,133,228,863,359,447,170,509,366,211,231,0,206,75,135,4899,597,314,260,178,226,197,199,443,229,57,102,493,255,126,146,290,267,958,317,456,268,595,397,236,234,497,384,59,103
0500000US34017,34017,"Hudson County, New Jersey",108481,1796,54197,1011,3462,386,2313,618,1723,545,857,390,1314,435,3078,453,8439,246,9440,341,10437,440,5036,153,3979,210,2649,216,1345,248,125,215,54284,1221,3055,363,2880,485,1025,412,861,412,404,237,3858,269,8122,263,8335,305,9675,230,5824,191,4884,271,3423,188,1358,396,580,396
0500000US34021,34021,"Mercer County, New Jersey",41449,1329,20397,787,864,251,991,509,1715,644,687,329,701,281,1777,314,1472,206,1316,206,3598,150,3276,248,2130,206,1213,340,505,274,152,178,21052,869,1035,144,1214,416,1177,430,835,207,586,282,1556,540,1495,206,1462,97,4213,206,3242,254,2087,78,1431,475,555,379,164,271
0500000US34023,34023,"Middlesex County, New Jersey",211307,1811,104753,1103,6490,324,7878,1018,6723,906,3820,410,2814,53,6117,139,6946,131,8809,200,20214,277,14884,213,10105,276,6294,218,3264,221,395,221,106554,1131,6404,134,8220,1024,6651,1101,3613,194,2635,105,6341,216,8375,397,9506,217,19290,185,13620,415,10901,248,6756,145,3165,493,1077,492
