GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0500000US34001,34001,"Atlantic County, New Jersey",5736,1006,271,219,382,357,285,256,337,274,426,292,62,110,81,102,77,100,198,211,219,205,385,303,1114,600,611,399,360,264,349,294,579,404
0500000US34003,34003,"Bergen County, New Jersey",53547,1823,3187,979,1034,542,1321,698,1237,565,1243,624,1156,608,855,484,1389,672,1028,524,2826,785,3087,946,6143,1276,6921,1309,5052,951,7006,1220,10062,1426
0500000US34005,34005,"Burlington County, New Jersey",6466,727,128,132,95,156,184,165,224,240,258,251,47,61,51,59,441,380,44,69,176,181,543,361,818,365,565,315,612,380,1001,411,1279,456
0500000US34007,34007,"Camden County, New Jersey",9275,887,397,350,357,401,312,252,260,267,586,410,62,104,461,300,0,206,221,218,437,301,780,386,1299,548,447,305,1078,547,995,466,1583,575
0500000US34013,34013,"Essex County, New Jersey",14322,732,335,229,89,122,138,130,538,363,90,104,85,152,257,237,748,519,161,188,934,499,467,243,1362,529,1473,473,1254,519,2243,604,4148,695
0500000US34017,34017,"Hudson County, New Jersey",39828,1656,1948,703,884,397,553,355,574,363,597,361,783,451,804,513,642,332,811,353,1884,741,3412,760,5073,1049,5353,975,3533,917,5870,1195,7107,1079
0500000US34021,34021,"Mercer County, New Jersey",13632,951,436,299,320,278,183,209,228,274,192,227,312,292,118,173,280,244,247,187,206,234,825,436,966,588,1314,592,782,508,2495,684,4728,890
0500000US34023,34023,"Middlesex County, New Jersey",61810,1863,2255,749,801,452,546,280,1018,532,1072,520,1323,558,876,484,984,461,1356,737,3020,926,3842,1055,7895,1268,7580,1190,5887,1176,10211,1527,13144,1537
0500000US34025,34025,"Monmouth County, New Jersey",10768,805,241,151,118,107,0,206,155,189,164,153,373,280,40,65,160,197,257,211,602,379,741,335,782,342,253,264,805,469,1874,630,4203,827
0500000US34027,34027,"Morris County, New Jersey",17489,940,554,288,75,92,397,402,623,453,159,175,80,101,202,314,112,133,368,333,566,414,1227,682,2051,693,1650,571,2282,748,2940,789,4203,830
0500000US34029,34029,"Ocean County, New Jersey",3897,612,0,206,146,211,52,90,280,221,186,295,55,92,95,113,144,113,259,244,335,272,375,295,542,322,798,419,208,206,216,184,206,163
0500000US34031,34031,"Passaic County, New Jersey",7607,821,256,251,198,203,213,204,272,261,130,146,411,382,339,290,318,293,129,168,340,309,365,263,940,403,844,571,505,382,1279,610,1068,415
0500000US34035,34035,"Somerset County, New Jersey",18196,1125,240,188,482,365,510,335,0,206,170,224,127,201,275,199,0,206,48,83,386,279,597,313,1856,753,1764,746,1700,590,3211,808,6830,908
0500000US34039,34039,"Union County, New Jersey",9618,955,332,237,201,209,0,206,242,196,255,228,252,209,117,148,105,124,287,214,368,267,540,308,1389,594,1076,513,1732,717,994,434,1728,496
