GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0500000US34001,34001,"Atlantic County, New Jersey",14135,1450,982,516,913,639,1304,665,1248,574,1132,628,1016,578,741,522,686,472,624,410,315,242,1519,617,1585,658,1104,634,223,234,622,500,121,171
0500000US34003,34003,"Bergen County, New Jersey",57115,2379,2401,826,2164,971,2436,841,1416,598,1051,599,2357,925,2010,873,2063,928,1855,742,3592,1112,5929,1542,9920,1983,5264,1193,4593,1128,4919,1171,5145,1094
0500000US34005,34005,"Burlington County, New Jersey",10063,1048,326,267,569,440,232,229,251,232,374,285,611,460,306,291,130,218,634,487,598,421,1064,468,1787,596,1325,539,1131,609,245,211,480,277
0500000US34007,34007,"Camden County, New Jersey",27382,1524,4045,1324,2563,1040,1550,703,1618,859,1963,883,1627,762,804,479,1333,615,706,539,1609,697,2349,934,3114,868,2090,715,1169,517,490,298,352,232
0500000US34011,34011,"Cumberland County, New Jersey",12417,999,2039,940,866,535,922,442,748,459,20,35,906,708,278,220,1100,621,67,114,1120,634,1310,662,1535,611,796,385,225,220,390,330,95,155
0500000US34013,34013,"Essex County, New Jersey",56232,2376,6159,1404,3147,967,3557,1191,4155,1127,2888,875,2455,886,2949,900,2514,889,2111,852,3563,881,5210,1234,5195,1043,3747,980,2599,853,2197,653,3786,1059
0500000US34017,34017,"Hudson County, New Jersey",93293,2754,9092,1788,5394,1015,5437,1220,4984,1126,4828,1250,6621,1459,6224,1190,4482,1121,3945,1107,5736,1113,9208,1682,10016,1792,6526,1260,3131,832,4476,1072,3193,918
0500000US34021,34021,"Mercer County, New Jersey",16421,1168,1652,602,695,454,763,365,735,426,845,449,1110,756,699,464,1130,849,651,505,1238,726,1024,487,2082,831,1314,695,756,428,396,285,1331,595
0500000US34023,34023,"Middlesex County, New Jersey",48987,2339,4336,1096,1612,672,2064,834,2462,823,2080,716,2568,904,1538,731,1501,666,2746,1099,4147,1210,6293,1489,5349,1292,4629,998,2661,801,3114,979,1887,730
0500000US34025,34025,"Monmouth County, New Jersey",19387,1266,1007,470,725,484,559,421,924,530,1326,600,552,380,1169,639,753,464,672,363,1048,558,1381,661,2023,771,2759,670,990,494,1496,502,2003,670
0500000US34027,34027,"Morris County, New Jersey",18716,1516,882,601,460,391,83,150,536,520,919,626,1079,739,1254,729,345,389,967,651,739,428,1549,576,2096,917,3061,820,1385,697,1148,522,2213,781
0500000US34029,34029,"Ocean County, New Jersey",15418,1161,700,529,621,359,693,416,997,532,523,310,448,367,518,357,737,494,412,298,1106,571,1340,717,2686,1011,1342,542,990,655,1177,561,1128,592
0500000US34031,34031,"Passaic County, New Jersey",59455,2049,5034,1075,3482,1006,4526,1017,3595,1015,4198,1071,2842,915,2615,806,3152,1011,2246,853,4654,1106,6129,1171,6249,1227,3820,1077,2065,763,3129,918,1719,753
0500000US34035,34035,"Somerset County, New Jersey",12751,1698,385,368,60,99,322,326,549,386,84,118,38,56,336,277,898,589,656,535,1791,974,1098,472,1322,606,773,431,1129,702,2347,985,963,553
0500000US34039,34039,"Union County, New Jersey",51790,1810,2282,885,1673,630,1512,692,2545,816,2479,808,3028,843,3067,927,2013,709,3145,928,4561,1043,5766,1138,6944,1371,5134,1133,3109,882,2801,949,1731,705
0500000US42003,42003,"Allegheny County, Pennsylvania",8343,790,685,364,597,399,372,351,673,330,414,276,407,285,242,158,414,267,244,189,592,323,556,403,976,500,428,243,412,299,296,218,1035,463
0500000US42011,42011,"Berks County, Pennsylvania",23380,1640,3461,967,1689,852,1636,609,2129,781,1369,694,1625,713,839,465,1467,658,566,449,2471,862,2538,840,2309,925,543,337,488,366,114,158,136,160
0500000US42017,42017,"Bucks County, Pennsylvania",10080,1032,598,354,675,399,295,325,78,99,658,425,715,452,254,261,640,381,612,542,1061,512,1401,607,750,510,776,366,364,260,578,370,625,447
0500000US42029,42029,"Chester County, Pennsylvania",9176,785,211,233,208,197,561,409,422,335,200,270,583,383,479,405,443,290,481,349,755,463,1605,632,1263,550,475,304,738,464,505,284,247,174
0500000US42043,42043,"Dauphin County, Pennsylvania",7589,843,770,391,402,343,512,313,619,352,633,530,276,299,166,165,567,374,477,391,803,520,738,402,737,372,607,512,177,220,83,114,22,38
0500000US42045,42045,"Delaware County, Pennsylvania",5161,936,195,215,416,295,175,274,226,263,176,203,386,333,295,234,87,112,189,211,466,360,893,509,681,537,258,231,217,211,275,245,226,191
0500000US42069,42069,"Lackawanna County, Pennsylvania",5326,560,853,471,560,465,503,411,453,341,596,427,206,224,228,232,321,475,226,223,148,143,839,596,242,265,0,179,64,91,0,179,87,143
0500000US42071,42071,"Lancaster County, Pennsylvania",16325,1479,1852,778,1614,782,375,362,1068,685,1526,833,501,297,492,390,1556,766,439,339,1372,665,1305,699,2624,989,456,368,313,306,201,257,631,597
0500000US42075,42075,"Lebanon County, Pennsylvania",5278,712,902,465,225,216,180,168,443,340,379,370,227,224,122,193,168,227,522,444,833,537,585,401,374,369,318,287,0,179,0,179,0,179
0500000US42077,42077,"Lehigh County, Pennsylvania",27515,1228,3774,1198,1804,764,1317,706,1637,852,1658,697,1374,690,1283,648,1452,692,2361,897,3148,1230,3019,1005,2755,1137,960,381,561,314,109,133,303,303
0500000US42079,42079,"Luzerne County, Pennsylvania",10002,1130,1112,593,330,319,628,399,1150,632,851,598,420,317,452,392,986,553,735,496,1099,546,654,544,675,459,313,255,227,261,180,284,190,283
0500000US42089,42089,"Monroe County, Pennsylvania",6367,1004,303,349,364,367,255,220,0,179,346,304,741,493,414,418,372,272,93,125,955,569,288,282,823,575,947,545,0,179,213,261,253,230
0500000US42091,42091,"Montgomery County, Pennsylvania",12646,974,991,492,479,433,102,122,602,391,582,441,315,246,629,480,994,662,374,267,794,487,1604,570,1638,443,586,356,924,527,783,415,1249,489
0500000US42095,42095,"Northampton County, Pennsylvania",11841,986,1263,666,494,391,622,396,894,709,541,335,618,366,347,305,235,203,553,449,829,544,903,501,1728,575,1198,509,681,703,145,143,790,689
0500000US42101,42101,"Philadelphia County, Pennsylvania",71465,3296,21359,2997,5849,1544,5133,1512,2990,1048,4554,1490,2802,936,2990,1044,2362,829,2515,944,4089,1136,5412,1488,4460,1304,2625,985,1173,609,1679,627,1473,753
0500000US42133,42133,"York County, Pennsylvania",9123,960,1048,574,268,253,691,487,600,359,569,485,509,434,444,349,289,285,341,341,1587,913,944,496,894,470,371,270,136,234,186,185,246,261
