GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04
0500000US34001,34001,"Atlantic County, New Jersey",30902,1861,35691,3874,26511,1805
0500000US34003,34003,"Bergen County, New Jersey",50273,895,58849,3413,40553,1037
0500000US34005,34005,"Burlington County, New Jersey",44139,3305,53052,2939,36353,1756
0500000US34007,34007,"Camden County, New Jersey",37504,2063,41575,1692,32566,2278
0500000US34009,34009,"Cape May County, New Jersey",32494,5558,42435,5219,24884,4984
0500000US34011,34011,"Cumberland County, New Jersey",27537,2515,30270,2319,25665,2431
0500000US34013,34013,"Essex County, New Jersey",38520,1914,45043,2071,32207,1210
0500000US34015,34015,"Gloucester County, New Jersey",41788,1500,51545,1706,34721,2555
0500000US34017,34017,"Hudson County, New Jersey",40217,1725,43839,3472,34898,1933
0500000US34019,34019,"Hunterdon County, New Jersey",56045,3441,67994,5913,47977,4795
0500000US34021,34021,"Mercer County, New Jersey",40501,1076,46946,2899,31537,1507
0500000US34023,34023,"Middlesex County, New Jersey",45377,1329,52413,2471,36243,1283
0500000US34025,34025,"Monmouth County, New Jersey",48044,2142,60861,2007,36868,1941
0500000US34027,34027,"Morris County, New Jersey",55183,1982,69413,4823,41641,1767
0500000US34029,34029,"Ocean County, New Jersey",37976,2366,47920,3231,30856,1092
0500000US34031,34031,"Passaic County, New Jersey",34166,2660,40119,1871,27601,2002
0500000US34033,34033,"Salem County, New Jersey",36902,3791,47337,6854,28153,2817
0500000US34035,34035,"Somerset County, New Jersey",51584,1329,62205,5753,42384,4831
0500000US34037,34037,"Sussex County, New Jersey",44908,4726,54376,4354,34144,4176
0500000US34039,34039,"Union County, New Jersey",38313,1572,43171,4607,32019,1193
0500000US34041,34041,"Warren County, New Jersey",42140,1906,51152,2229,32067,4143
0500000US42001,42001,"Adams County, Pennsylvania",33472,2993,40959,2134,27502,3043
0500000US42003,42003,"Allegheny County, Pennsylvania",36814,692,43878,2465,31078,553
0500000US42005,42005,"Armstrong County, Pennsylvania",30277,2104,36108,1644,25739,1458
0500000US42007,42007,"Beaver County, Pennsylvania",35607,1232,41894,1787,30355,1798
0500000US42011,42011,"Berks County, Pennsylvania",32172,779,40636,1192,28040,1686
0500000US42013,42013,"Blair County, Pennsylvania",28908,3171,35428,3258,22726,2094
0500000US42017,42017,"Bucks County, Pennsylvania",44021,1916,51559,1041,36608,1302
0500000US42019,42019,"Butler County, Pennsylvania",38946,2216,49431,3024,29198,3109
0500000US42021,42021,"Cambria County, Pennsylvania",30236,1121,36019,1463,25253,2432
0500000US42025,42025,"Carbon County, Pennsylvania",32021,2966,37425,5486,27390,3647
0500000US42027,42027,"Centre County, Pennsylvania",25809,1307,32449,4087,20228,2242
0500000US42029,42029,"Chester County, Pennsylvania",45229,1865,55241,2629,36086,1924
0500000US42033,42033,"Clearfield County, Pennsylvania",27007,1739,32396,4120,22810,3340
0500000US42037,42037,"Columbia County, Pennsylvania",31611,1230,40050,4143,26173,1315
0500000US42039,42039,"Crawford County, Pennsylvania",29574,1931,36560,3097,22952,2481
0500000US42041,42041,"Cumberland County, Pennsylvania",37276,1287,44125,2898,30868,1594
0500000US42043,42043,"Dauphin County, Pennsylvania",34890,1650,41687,1377,29645,2405
0500000US42045,42045,"Delaware County, Pennsylvania",40502,968,47113,2141,33988,2781
0500000US42049,42049,"Erie County, Pennsylvania",28517,2516,35129,3634,23908,2191
0500000US42051,42051,"Fayette County, Pennsylvania",29939,2157,37492,4190,21942,2039
0500000US42055,42055,"Franklin County, Pennsylvania",35300,1641,40568,2051,30736,1156
0500000US42063,42063,"Indiana County, Pennsylvania",23041,3329,31853,2329,16435,4183
0500000US42069,42069,"Lackawanna County, Pennsylvania",31879,1139,37158,1640,26025,1770
0500000US42071,42071,"Lancaster County, Pennsylvania",33329,1898,42014,938,25571,929
0500000US42073,42073,"Lawrence County, Pennsylvania",29776,2731,37813,5014,23284,2861
0500000US42075,42075,"Lebanon County, Pennsylvania",33596,2058,40091,4270,27130,1656
0500000US42077,42077,"Lehigh County, Pennsylvania",32430,1436,38414,3117,27685,2078
0500000US42079,42079,"Luzerne County, Pennsylvania",31370,898,35389,1400,27662,1531
0500000US42081,42081,"Lycoming County, Pennsylvania",30112,2472,34638,2319,23765,2771
0500000US42085,42085,"Mercer County, Pennsylvania",29270,2624,32274,2020,23720,4320
0500000US42089,42089,"Monroe County, Pennsylvania",32679,2522,37982,3795,29771,4410
0500000US42091,42091,"Montgomery County, Pennsylvania",46785,1072,55084,2175,37497,2280
0500000US42095,42095,"Northampton County, Pennsylvania",36144,1571,42103,2223,30524,1309
0500000US42097,42097,"Northumberland County, Pennsylvania",30221,1706,36195,1897,25044,2940
0500000US42101,42101,"Philadelphia County, Pennsylvania",32011,554,35245,1307,30689,770
0500000US42107,42107,"Schuylkill County, Pennsylvania",33239,1587,39985,2600,27158,1339
0500000US42111,42111,"Somerset County, Pennsylvania",27136,1427,34611,3971,21954,2346
0500000US42125,42125,"Washington County, Pennsylvania",34622,3133,46990,3625,26826,1993
0500000US42129,42129,"Westmoreland County, Pennsylvania",34979,1382,43191,4094,27829,1586
0500000US42133,42133,"York County, Pennsylvania",35832,928,43397,2978,30476,843
