GEOID,NAME,racUniverse,racWhite,hispUniverse,notHisp,whiteNotHisp,povUniverse,stcty,above200
34007600200,"Census Tract 6002, Camden County, New Jersey",2152,193,2152,1236,78,2152,34007,1100
34007600400,"Census Tract 6004, Camden County, New Jersey",3245,423,3245,1921,187,3118,34007,473
34007600700,"Census Tract 6007, Camden County, New Jersey",1723,387,1723,521,97,1342,34007,854
34007600800,"Census Tract 6008, Camden County, New Jersey",4542,740,4542,1509,113,4362,34007,1229
34007600900,"Census Tract 6009, Camden County, New Jersey",4572,980,4572,1600,197,4572,34007,1012
34007601000,"Census Tract 6010, Camden County, New Jersey",5126,1496,5126,1731,435,5114,34007,2662
34007601101,"Census Tract 6011.01, Camden County, New Jersey",4225,867,4225,1432,86,4209,34007,1777
34007601102,"Census Tract 6011.02, Camden County, New Jersey",5448,551,5448,2755,168,5448,34007,2269
34007601200,"Census Tract 6012, Camden County, New Jersey",6746,1780,6746,3280,749,6738,34007,3085
34007601300,"Census Tract 6013, Camden County, New Jersey",5013,802,5013,2178,41,4958,34007,1204
34007601400,"Census Tract 6014, Camden County, New Jersey",4733,144,4733,4449,0,4733,34007,2748
34007601500,"Census Tract 6015, Camden County, New Jersey",5836,419,5836,4425,158,5810,34007,2015
34007601600,"Census Tract 6016, Camden County, New Jersey",2026,183,2026,1653,84,2026,34007,492
34007601700,"Census Tract 6017, Camden County, New Jersey",2538,170,2538,1806,110,2538,34007,324
34007601800,"Census Tract 6018, Camden County, New Jersey",1494,157,1494,890,79,1494,34007,533
34007601900,"Census Tract 6019, Camden County, New Jersey",3637,244,3637,2152,28,3537,34007,660
34007602000,"Census Tract 6020, Camden County, New Jersey",8021,1420,8021,4938,775,8007,34007,3181
34007602503,"Census Tract 6025.03, Camden County, New Jersey",2371,255,2371,1512,208,2371,34007,1804
34007602601,"Census Tract 6026.01, Camden County, New Jersey",2785,1341,2785,2075,1209,2762,34007,2333
34007602602,"Census Tract 6026.02, Camden County, New Jersey",3090,1325,3090,1955,1053,3090,34007,1866
34007602901,"Census Tract 6029.01, Camden County, New Jersey",5033,3897,5033,4577,3660,5033,34007,4330
34007602902,"Census Tract 6029.02, Camden County, New Jersey",3331,2077,3331,2664,1719,3331,34007,2553
34007603001,"Census Tract 6030.01, Camden County, New Jersey",3540,2875,3540,3066,2604,3529,34007,2874
34007603002,"Census Tract 6030.02, Camden County, New Jersey",5070,1936,5070,3491,1072,5060,34007,3303
34007603100,"Census Tract 6031, Camden County, New Jersey",3835,3011,3835,3586,2821,3835,34007,2788
34007603200,"Census Tract 6032, Camden County, New Jersey",6883,5316,6883,6444,5153,6595,34007,5823
34007603301,"Census Tract 6033.01, Camden County, New Jersey",5164,3939,5164,4763,3813,5164,34007,3898
34007603302,"Census Tract 6033.02, Camden County, New Jersey",6018,4832,6018,5604,4457,6018,34007,5490
34007603303,"Census Tract 6033.03, Camden County, New Jersey",2809,2148,2809,2797,2136,2619,34007,2161
34007603400,"Census Tract 6034, Camden County, New Jersey",7070,5850,7070,6867,5729,6920,34007,6252
34007603501,"Census Tract 6035.01, Camden County, New Jersey",6305,4409,6305,6239,4371,6305,34007,5379
34007603503,"Census Tract 6035.03, Camden County, New Jersey",4770,4147,4770,4640,4017,4770,34007,4715
34007603504,"Census Tract 6035.04, Camden County, New Jersey",2741,2129,2741,2681,2087,2741,34007,2601
34007603505,"Census Tract 6035.05, Camden County, New Jersey",3473,2610,3473,3275,2461,3473,34007,3083
34007603506,"Census Tract 6035.06, Camden County, New Jersey",6489,4984,6489,6379,4944,6489,34007,6032
34007603507,"Census Tract 6035.07, Camden County, New Jersey",7262,5579,7262,7031,5447,7185,34007,6149
34007603601,"Census Tract 6036.01, Camden County, New Jersey",3764,3417,3764,3666,3362,3241,34007,2930
34007603602,"Census Tract 6036.02, Camden County, New Jersey",2476,2289,2476,2458,2271,2476,34007,2443
34007603603,"Census Tract 6036.03, Camden County, New Jersey",2216,2153,2216,2216,2153,2216,34007,2145
34007603700,"Census Tract 6037, Camden County, New Jersey",3523,2467,3523,2864,2340,3523,34007,2682
34007603800,"Census Tract 6038, Camden County, New Jersey",4991,4739,4991,4756,4587,4991,34007,4353
34007603901,"Census Tract 6039.01, Camden County, New Jersey",5130,4781,5130,4991,4759,5130,34007,4378
34007603902,"Census Tract 6039.02, Camden County, New Jersey",3055,2825,3055,2951,2799,3055,34007,2733
34007604100,"Census Tract 6041, Camden County, New Jersey",2949,690,2949,2006,467,2926,34007,1919
34007604200,"Census Tract 6042, Camden County, New Jersey",3338,2500,3338,2807,2390,3258,34007,2434
34007604300,"Census Tract 6043, Camden County, New Jersey",3402,3296,3402,3097,3011,3402,34007,2765
34007604400,"Census Tract 6044, Camden County, New Jersey",3201,2990,3201,3108,2897,3201,34007,2822
34007604600,"Census Tract 6046, Camden County, New Jersey",1956,1602,1956,1693,1500,1956,34007,1628
34007604700,"Census Tract 6047, Camden County, New Jersey",2114,2102,2114,2059,2047,2114,34007,1843
34007605100,"Census Tract 6051, Camden County, New Jersey",2447,2293,2447,2412,2293,2418,34007,1628
34007605200,"Census Tract 6052, Camden County, New Jersey",2879,2599,2879,2775,2563,2879,34007,2268
34007605300,"Census Tract 6053, Camden County, New Jersey",1697,1402,1697,1640,1352,1697,34007,1433
34007605400,"Census Tract 6054, Camden County, New Jersey",2592,2552,2592,2530,2490,2583,34007,2216
34007605602,"Census Tract 6056.02, Camden County, New Jersey",2746,2574,2746,2572,2510,2746,34007,2357
34007605700,"Census Tract 6057, Camden County, New Jersey",3860,3596,3860,3744,3587,3851,34007,3422
34007605800,"Census Tract 6058, Camden County, New Jersey",2791,2701,2791,2791,2701,2791,34007,2557
34007605900,"Census Tract 6059, Camden County, New Jersey",2502,2441,2502,2465,2441,2483,34007,2361
34007606000,"Census Tract 6060, Camden County, New Jersey",2207,2103,2207,2155,2073,2207,34007,1888
34007606100,"Census Tract 6061, Camden County, New Jersey",2211,2154,2211,2121,2074,2211,34007,2061
34007606200,"Census Tract 6062, Camden County, New Jersey",3812,3655,3812,3726,3569,3796,34007,3220
34007606300,"Census Tract 6063, Camden County, New Jersey",2583,2327,2583,2561,2305,2583,34007,2144
34007606400,"Census Tract 6064, Camden County, New Jersey",3006,2932,3006,2946,2879,3006,34007,2974
34007606500,"Census Tract 6065, Camden County, New Jersey",2898,79,2898,2787,79,2887,34007,2244
34007606600,"Census Tract 6066, Camden County, New Jersey",2375,2162,2375,2170,1966,2375,34007,2087
34007606700,"Census Tract 6067, Camden County, New Jersey",4646,4346,4646,4423,4199,4646,34007,3962
34007606800,"Census Tract 6068, Camden County, New Jersey",3941,3526,3941,3744,3364,3920,34007,3143
34007607000,"Census Tract 6070, Camden County, New Jersey",4719,4173,4719,4290,3927,4643,34007,3188
34007607100,"Census Tract 6071, Camden County, New Jersey",3705,3363,3705,3561,3278,3693,34007,3088
34007607200,"Census Tract 6072, Camden County, New Jersey",4782,4129,4782,4529,4058,4724,34007,3520
34007607300,"Census Tract 6073, Camden County, New Jersey",4364,3328,4364,4242,3299,4364,34007,3685
34007607401,"Census Tract 6074.01, Camden County, New Jersey",3169,2029,3169,2738,1916,3169,34007,2548
34007607402,"Census Tract 6074.02, Camden County, New Jersey",2028,1648,2028,1901,1611,2028,34007,1710
34007607502,"Census Tract 6075.02, Camden County, New Jersey",5341,4420,5341,5201,4326,5134,34007,4872
34007607503,"Census Tract 6075.03, Camden County, New Jersey",7102,5187,7102,6807,5121,6089,34007,5389
34007607504,"Census Tract 6075.04, Camden County, New Jersey",3898,3041,3898,3785,2992,3898,34007,3585
34007607505,"Census Tract 6075.05, Camden County, New Jersey",4945,3296,4945,4841,3247,4945,34007,4406
34007607506,"Census Tract 6075.06, Camden County, New Jersey",2769,1297,2769,2743,1297,2769,34007,2421
34007607507,"Census Tract 6075.07, Camden County, New Jersey",4995,3387,4995,4710,3204,4995,34007,3754
34007607600,"Census Tract 6076, Camden County, New Jersey",2341,2114,2341,2312,2091,2325,34007,2052
34007607701,"Census Tract 6077.01, Camden County, New Jersey",4736,1604,4736,3104,1232,4735,34007,2630
34007607702,"Census Tract 6077.02, Camden County, New Jersey",5415,1964,5415,3707,1684,5415,34007,3914
34007607801,"Census Tract 6078.01, Camden County, New Jersey",5182,2406,5182,4505,2238,5109,34007,3690
34007607802,"Census Tract 6078.02, Camden County, New Jersey",2268,1646,2268,2044,1637,2259,34007,1878
34007607900,"Census Tract 6079, Camden County, New Jersey",2157,2022,2157,2009,1952,2138,34007,1685
34007608001,"Census Tract 6080.01, Camden County, New Jersey",3464,2406,3464,3243,2375,3444,34007,2484
