GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15
Id,Id2,Geography,Total races tallied for householders:,Total races tallied for Not Hispanic or Latino householders:,Total races tallied for Not Hispanic or Latino householders: - White alone or in combination with one or more other races,Total races tallied for Not Hispanic or Latino householders: - Black or African American alone or in combination with one or more other races,Total races tallied for Not Hispanic or Latino householders: - American Indian and Alaska Native alone or in combination with one or more other races,Total races tallied for Not Hispanic or Latino householders: - Asian alone or in combination with one or more other races,Total races tallied for Not Hispanic or Latino householders: - Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races,Total races tallied for Not Hispanic or Latino householders: - Some other race alone or in combination with one or more other races,Total races tallied for Hispanic or Latino householders:,Total races tallied for Hispanic or Latino householders: - White alone or in combination with one or more other races,Total races tallied for Hispanic or Latino householders: - Black or African American alone or in combination with one or more other races,Total races tallied for Hispanic or Latino householders: - American Indian and Alaska Native alone or in combination with one or more other races,Total races tallied for Hispanic or Latino householders: - Asian alone or in combination with one or more other races,Total races tallied for Hispanic or Latino householders: - Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races,Total races tallied for Hispanic or Latino householders: - Some other race alone or in combination with one or more other races
0500000US34001,34001,"Atlantic County, New Jersey",96903,88009,67019,15796,538,3973,63,620,8894,3609,617,128,55,15,4470
0500000US34003,34003,"Bergen County, New Jersey",337019,308928,258231,16982,924,29987,184,2620,28091,17842,1044,282,176,31,8716
0500000US34005,34005,"Burlington County, New Jersey",156720,152033,125071,21307,861,3917,101,776,4687,2433,461,73,62,11,1647
0500000US34007,34007,"Camden County, New Jersey",188571,174378,135544,31171,990,5733,116,824,14193,4959,1315,174,97,63,7585
0500000US34009,34009,"Cape May County, New Jersey",42462,41474,39198,1792,175,224,17,68,988,508,70,14,2,6,388
0500000US34011,34011,"Cumberland County, New Jersey",50232,42815,33577,7717,734,464,28,295,7417,3256,382,127,28,17,3607
0500000US34013,34013,"Essex County, New Jersey",292998,254731,122049,116125,1346,9471,402,5338,38267,18167,2693,372,152,114,16769
0500000US34015,34015,"Gloucester County, New Jersey",91556,89764,79526,8338,448,1182,36,234,1792,980,151,29,11,7,614
0500000US34017,34017,"Hudson County, New Jersey",242674,159230,105088,28034,889,19603,240,5376,83444,46704,3807,821,335,148,31629
0500000US34019,34019,"Hunterdon County, New Jersey",43971,43158,41799,386,137,730,13,93,813,588,17,23,3,1,181
0500000US34021,34021,"Mercer County, New Jersey",127939,118733,88726,23244,517,5316,110,820,9206,4364,507,110,48,72,4105
0500000US34023,34023,"Middlesex County, New Jersey",271403,243829,185442,22484,963,32280,213,2447,27574,14429,1245,336,168,52,11344
0500000US34025,34025,"Monmouth County, New Jersey",227033,216462,189716,17039,803,7733,128,1043,10571,6823,585,144,75,27,2917
0500000US34027,34027,"Morris County, New Jersey",171546,161848,146716,4630,449,9342,92,619,9698,6781,216,79,52,12,2558
0500000US34029,34029,"Ocean County, New Jersey",202086,195023,187066,4712,675,2026,67,477,7063,4799,271,96,49,11,1837
0500000US34031,34031,"Passaic County, New Jersey",169800,129971,101268,19971,528,5361,117,2726,39829,15879,1532,503,165,138,21612
0500000US34033,34033,"Salem County, New Jersey",24530,23869,20011,3489,191,112,8,58,661,275,72,11,3,2,298
0500000US34035,34035,"Somerset County, New Jersey",110468,103562,87011,7645,307,7929,69,601,6906,4376,271,58,40,13,2148
0500000US34037,34037,"Sussex County, New Jersey",51265,49905,48563,470,201,514,16,141,1360,991,30,21,7,4,307
0500000US34039,34039,"Union County, New Jersey",191398,160120,114731,36197,630,6151,137,2274,31278,19040,1427,298,102,63,10348
0500000US34041,34041,"Warren County, New Jersey",39021,37919,36534,683,154,395,12,141,1102,740,32,9,2,1,318
0500000US42001,42001,"Adams County, Pennsylvania",33853,33119,32417,377,131,135,9,50,734,361,16,7,3,2,345
0500000US42003,42003,"Allegheny County, Pennsylvania",541491,537421,461554,63306,2021,8859,218,1463,4070,2637,438,133,50,21,791
0500000US42005,42005,"Armstrong County, Pennsylvania",29107,29016,28647,238,76,30,5,20,91,63,5,2,4,2,15
0500000US42007,42007,"Beaver County, Pennsylvania",72972,72573,67919,4119,259,156,17,103,399,285,26,15,3,1,69
0500000US42009,42009,"Bedford County, Pennsylvania",19864,19790,19594,53,78,53,4,8,74,59,2,2,0,0,11
0500000US42011,42011,"Berks County, Pennsylvania",142942,132897,126414,4473,461,1169,46,334,10045,3495,437,115,30,38,5930
0500000US42013,42013,"Blair County, Pennsylvania",51726,51516,50609,547,157,167,5,31,210,146,12,4,3,1,44
0500000US42015,42015,"Bradford County, Pennsylvania",24581,24470,24144,59,144,104,5,14,111,80,2,4,0,1,24
0500000US42017,42017,"Bucks County, Pennsylvania",220321,216177,203443,7024,698,4384,92,536,4144,2448,161,58,43,17,1417
0500000US42019,42019,"Butler County, Pennsylvania",66122,65840,64831,409,180,344,21,55,282,198,7,4,3,5,65
0500000US42021,42021,"Cambria County, Pennsylvania",60759,60443,58756,1273,127,207,23,57,316,225,20,4,5,2,60
0500000US42023,42023,"Cameron County, Pennsylvania",2472,2465,2445,7,9,2,0,2,7,6,0,0,0,0,1
0500000US42025,42025,"Carbon County, Pennsylvania",23825,23573,23279,107,91,57,8,31,252,176,3,6,3,1,63
0500000US42027,42027,"Centre County, Pennsylvania",49724,49096,46001,776,160,1992,32,135,628,381,36,14,9,0,188
0500000US42029,42029,"Chester County, Pennsylvania",159101,155332,142456,9027,555,2896,64,334,3769,2091,188,51,21,14,1404
