GEO.id,GEO.id2,GEO.display-label,VD02,VD03,VD04
0500000US34001,34001,"Atlantic County, New Jersey",25030,28813,21563
0500000US34003,34003,"Bergen County, New Jersey",35512,42348,28442
0500000US34005,34005,"Burlington County, New Jersey",31102,38474,25108
0500000US34007,34007,"Camden County, New Jersey",27252,34308,21726
0500000US34009,34009,"Cape May County, New Jersey",23768,30807,18705
0500000US34011,34011,"Cumberland County, New Jersey",22391,27398,18792
0500000US34013,34013,"Essex County, New Jersey",27452,32087,23679
0500000US34015,34015,"Gloucester County, New Jersey",29200,37898,21525
0500000US34017,34017,"Hudson County, New Jersey",25400,28412,21584
0500000US34019,34019,"Hunterdon County, New Jersey",38518,51700,28098
0500000US34021,34021,"Mercer County, New Jersey",30001,36169,25265
0500000US34023,34023,"Middlesex County, New Jersey",31575,40104,25263
0500000US34025,34025,"Monmouth County, New Jersey",33284,45201,24782
0500000US34027,34027,"Morris County, New Jersey",38677,50525,29778
0500000US34029,34029,"Ocean County, New Jersey",27716,36632,20627
0500000US34031,34031,"Passaic County, New Jersey",26008,31043,20981
0500000US34033,34033,"Salem County, New Jersey",26591,35361,19659
0500000US34035,34035,"Somerset County, New Jersey",40416,50571,31769
0500000US34037,34037,"Sussex County, New Jersey",33847,43191,23678
0500000US34039,34039,"Union County, New Jersey",30189,36097,25070
0500000US34041,34041,"Warren County, New Jersey",31466,41272,22463
0500000US42001,42001,"Adams County, Pennsylvania",21938,28202,16888
0500000US42003,42003,"Allegheny County, Pennsylvania",24014,30346,19420
0500000US42005,42005,"Armstrong County, Pennsylvania",20403,26351,13716
0500000US42007,42007,"Beaver County, Pennsylvania",22149,29516,17012
0500000US42009,42009,"Bedford County, Pennsylvania",20237,25360,13738
0500000US42011,42011,"Berks County, Pennsylvania",25171,31778,19108
0500000US42013,42013,"Blair County, Pennsylvania",20054,26108,14145
0500000US42015,42015,"Bradford County, Pennsylvania",21024,26677,15829
0500000US42017,42017,"Bucks County, Pennsylvania",31041,40148,23121
0500000US42019,42019,"Butler County, Pennsylvania",23664,31560,16002
0500000US42021,42021,"Cambria County, Pennsylvania",18180,23266,13345
0500000US42023,42023,"Cameron County, Pennsylvania",21540,27873,14552
0500000US42025,42025,"Carbon County, Pennsylvania",21755,28473,15280
0500000US42027,42027,"Centre County, Pennsylvania",14665,18522,10834
0500000US42029,42029,"Chester County, Pennsylvania",31931,41952,24422
0500000US42031,42031,"Clarion County, Pennsylvania",16587,23502,11017
0500000US42033,42033,"Clearfield County, Pennsylvania",18686,24265,13309
0500000US42035,42035,"Clinton County, Pennsylvania",17372,23238,12800
0500000US42037,42037,"Columbia County, Pennsylvania",18020,24339,12671
0500000US42039,42039,"Crawford County, Pennsylvania",19747,26167,13642
0500000US42041,42041,"Cumberland County, Pennsylvania",24987,31400,19211
0500000US42043,42043,"Dauphin County, Pennsylvania",25726,30509,21501
0500000US42045,42045,"Delaware County, Pennsylvania",28002,35462,22378
0500000US42047,42047,"Elk County, Pennsylvania",22785,30283,16311
0500000US42049,42049,"Erie County, Pennsylvania",20611,27559,15085
0500000US42051,42051,"Fayette County, Pennsylvania",18651,24176,13469
0500000US42053,42053,"Forest County, Pennsylvania",17895,23443,12486
0500000US42055,42055,"Franklin County, Pennsylvania",22418,28933,16921
0500000US42057,42057,"Fulton County, Pennsylvania",21348,26408,15142
0500000US42059,42059,"Greene County, Pennsylvania",18417,24018,13071
0500000US42061,42061,"Huntingdon County, Pennsylvania",18365,22995,13917
0500000US42063,42063,"Indiana County, Pennsylvania",15276,21988,10474
0500000US42065,42065,"Jefferson County, Pennsylvania",19599,25790,12446
0500000US42067,42067,"Juniata County, Pennsylvania",21073,26302,15036
0500000US42069,42069,"Lackawanna County, Pennsylvania",21022,27257,16097
0500000US42071,42071,"Lancaster County, Pennsylvania",23869,31341,17064
0500000US42073,42073,"Lawrence County, Pennsylvania",20097,27197,14020
0500000US42075,42075,"Lebanon County, Pennsylvania",23030,29834,17465
0500000US42077,42077,"Lehigh County, Pennsylvania",25133,31420,19619
0500000US42079,42079,"Luzerne County, Pennsylvania",21142,26752,16084
0500000US42081,42081,"Lycoming County, Pennsylvania",19494,24666,15156
0500000US42083,42083,"McKean County, Pennsylvania",21073,26777,15730
0500000US42085,42085,"Mercer County, Pennsylvania",19787,26552,14272
0500000US42087,42087,"Mifflin County, Pennsylvania",20657,26844,14046
0500000US42089,42089,"Monroe County, Pennsylvania",23570,31492,16566
0500000US42091,42091,"Montgomery County, Pennsylvania",31898,40486,25493
0500000US42093,42093,"Montour County, Pennsylvania",22303,28248,17617
