GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17
Id,Id2,Geography,Total:,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
0500000US34001,34001,"Atlantic County, New Jersey",69405,4744,3622,3907,4181,4409,4090,3724,4250,3768,7282,8516,8616,4065,1709,1131,1391
0500000US34003,34003,"Bergen County, New Jersey",270926,12375,10225,10091,10256,10890,11370,11983,11922,10786,21913,28600,39898,26892,15787,16789,21149
0500000US34005,34005,"Burlington County, New Jersey",125828,4435,4320,4657,5341,6303,6332,6243,6727,6037,12314,16472,19756,12055,6104,4688,4044
0500000US34007,34007,"Camden County, New Jersey",139143,8475,6715,6836,7350,7141,7718,7522,7246,6837,12917,18222,18872,10242,5147,4016,3887
0500000US34009,34009,"Cape May County, New Jersey",39376,2677,2539,2773,2852,2659,2686,2276,2372,1899,3400,3903,4331,2067,954,858,1130
0500000US34011,34011,"Cumberland County, New Jersey",35969,3053,2254,2225,2364,2422,2265,2028,2169,1822,3579,4438,3899,1835,634,442,540
0500000US34013,34013,"Essex County, New Jersey",135824,10250,6595,5867,5837,5923,5944,5491,5931,5183,9854,13846,16818,11656,7068,7881,11680
0500000US34015,34015,"Gloucester County, New Jersey",79955,3784,3340,3392,3832,4287,3963,4395,4060,4074,8226,10855,13025,6676,2784,1974,1288
0500000US34017,34017,"Hudson County, New Jersey",142972,16800,9954,8913,8184,8361,8056,8056,7258,6302,10787,13897,15385,8610,4501,4096,3812
0500000US34019,34019,"Hunterdon County, New Jersey",42162,1064,1093,1229,1046,1278,1422,1450,1568,1435,3030,4933,6986,4981,3264,3725,3658
0500000US34021,34021,"Mercer County, New Jersey",91755,4884,3434,3646,3845,3719,4102,4020,4153,3945,7479,11109,13236,9095,4736,4910,5442
0500000US34023,34023,"Middlesex County, New Jersey",195324,9105,7935,7735,8005,8841,9647,9120,9574,8566,17179,24274,31110,19542,10098,8290,6303
0500000US34025,34025,"Monmouth County, New Jersey",195212,9216,7626,6663,7576,7949,8293,8005,8048,7866,15209,22785,29182,19537,12409,12222,12626
0500000US34027,34027,"Morris County, New Jersey",152032,4440,3740,3612,4370,4673,5451,5641,6242,5282,11398,17781,24355,17563,10917,12348,14219
0500000US34029,34029,"Ocean County, New Jersey",190280,11121,11632,12335,12336,11404,11530,11233,10662,9670,17387,22089,23949,12162,5551,4165,3054
0500000US34031,34031,"Passaic County, New Jersey",112602,6675,5614,5573,5429,5349,5672,5516,5641,4827,9640,12441,16323,10367,5369,4672,3494
0500000US34033,34033,"Salem County, New Jersey",20259,1122,1038,1112,1068,1237,1066,1299,1217,1017,1987,2901,2839,1306,555,254,241
0500000US34035,34035,"Somerset County, New Jersey",90364,2576,2626,2603,2667,2646,2861,3307,3762,3279,7103,10043,13938,9992,6516,7763,8682
0500000US34037,34037,"Sussex County, New Jersey",49165,1881,1552,1608,1726,1781,2031,2147,2379,2327,4590,6738,8831,5296,2515,2243,1520
0500000US34039,34039,"Union County, New Jersey",129701,7507,6102,5817,5963,6317,6052,5879,5953,4874,10385,14497,17443,11680,6585,6869,7778
0500000US34041,34041,"Warren County, New Jersey",37112,2086,1864,1507,1616,1638,1606,1804,2065,1805,3727,4905,5613,3371,1560,1117,828
0500000US42001,42001,"Adams County, Pennsylvania",32520,1825,1989,1912,2259,2140,2294,2392,2156,2050,3981,3984,3241,1339,434,325,199
0500000US42003,42003,"Allegheny County, Pennsylvania",461319,39455,32152,32146,33472,30426,29870,28130,26012,23070,40850,48099,45194,21559,10468,8957,11459
0500000US42005,42005,"Armstrong County, Pennsylvania",28557,3095,2846,2740,2586,2280,2077,2097,1849,1599,2402,2260,1558,645,262,109,152
0500000US42007,42007,"Beaver County, Pennsylvania",67805,5774,5259,4947,5232,5214,4624,4325,4199,3613,6525,7627,6139,2502,851,501,473
0500000US42009,42009,"Bedford County, Pennsylvania",19610,2001,1584,1690,1669,1928,1676,1487,1275,1096,1771,1605,1073,365,111,113,166
0500000US42011,42011,"Berks County, Pennsylvania",128632,8108,6798,7723,7787,8214,8107,7556,7805,6861,14013,16228,15603,6931,2653,2231,2014
0500000US42013,42013,"Blair County, Pennsylvania",50667,5708,4815,4063,4238,4151,3600,3681,3384,2764,4596,4228,3143,1207,342,376,371
0500000US42015,42015,"Bradford County, Pennsylvania",24101,2377,1910,1880,2007,2019,1863,1839,1572,1225,2332,2108,1650,633,250,228,208
0500000US42017,42017,"Bucks County, Pennsylvania",204214,8314,7342,7876,8272,9233,9872,9954,10214,9750,19891,26839,31340,19188,9530,8843,7756
0500000US42019,42019,"Butler County, Pennsylvania",64812,5211,4071,4464,4393,3990,4132,4175,3783,3369,6248,7176,7024,3275,1437,1139,925
0500000US42021,42021,"Cambria County, Pennsylvania",58945,6943,6033,5599,5596,4906,4564,3851,3574,3026,4700,4410,3335,1112,444,270,582
0500000US42023,42023,"Cameron County, Pennsylvania",2458,248,208,212,254,192,226,182,140,132,236,228,127,39,15,8,11
0500000US42025,42025,"Carbon County, Pennsylvania",23388,2321,1911,1838,1760,1998,1826,1683,1484,1343,2316,2276,1667,555,152,136,122
0500000US42027,42027,"Centre County, Pennsylvania",46023,4785,3608,3510,3097,3181,3451,2742,2537,2482,4054,4593,4008,1915,836,622,602
0500000US42029,42029,"Chester County, Pennsylvania",143718,5133,4423,4651,5058,5941,6329,6372,6329,5952,12492,17099,22698,14895,8719,8355,9272
0500000US42031,42031,"Clarion County, Pennsylvania",15798,2032,1403,1517,1414,1285,1269,1018,936,831,1428,1142,907,300,118,94,104
0500000US42033,42033,"Clearfield County, Pennsylvania",32449,3660,3095,3153,3048,2622,2353,2311,2189,1735,2819,2463,1778,630,224,158,211
0500000US42035,42035,"Clinton County, Pennsylvania",14654,1781,1438,1402,1325,1131,1113,1046,878,732,1169,1208,775,318,151,79,108
0500000US42037,42037,"Columbia County, Pennsylvania",24540,2520,2099,2003,2008,1953,1883,1800,1618,1405,2188,2051,1700,639,279,156,238
0500000US42039,42039,"Crawford County, Pennsylvania",33911,3333,2866,2927,2988,2817,2582,2270,2114,1866,2961,2998,2324,976,327,277,285
0500000US42041,42041,"Cumberland County, Pennsylvania",79912,4409,4034,4472,4736,5243,5137,4941,4977,4610,8071,10092,9535,4850,1785,1463,1557
0500000US42043,42043,"Dauphin County, Pennsylvania",82427,4924,4572,4852,5271,5906,5600,5151,4831,4756,8299,9881,9284,4321,1702,1513,1564
0500000US42045,42045,"Delaware County, Pennsylvania",170130,9799,8243,7879,8906,9104,9265,9197,8516,8338,15621,20464,23005,12907,6454,6100,6332
0500000US42047,42047,"Elk County, Pennsylvania",13993,969,1171,1200,1177,917,1013,973,830,825,1488,1634,1250,320,79,83,64
0500000US42049,42049,"Erie County, Pennsylvania",98741,8960,7508,7193,7571,7504,6764,6665,6429,5524,9351,10323,8391,3115,1244,969,1230
0500000US42051,42051,"Fayette County, Pennsylvania",57574,9269,6098,5323,5219,4817,3777,3194,2971,2550,4683,4061,3253,1192,481,273,413
0500000US42053,42053,"Forest County, Pennsylvania",1973,261,209,214,211,170,121,124,141,108,150,133,76,34,12,5,4
0500000US42055,42055,"Franklin County, Pennsylvania",48647,3455,2713,3224,3451,3762,3651,3510,3123,3145,5309,5626,4522,1631,688,366,471
0500000US42057,42057,"Fulton County, Pennsylvania",5576,557,434,378,460,457,496,404,455,325,589,445,376,102,40,31,27
0500000US42059,42059,"Greene County, Pennsylvania",14867,2024,1582,1287,1329,1148,1041,914,804,604,1181,1359,948,369,136,65,76
0500000US42061,42061,"Huntingdon County, Pennsylvania",16484,1770,1317,1486,1347,1440,1190,1078,1178,928,1542,1494,1034,394,120,66,100
0500000US42063,42063,"Indiana County, Pennsylvania",33375,4453,3322,3057,2925,2697,2390,2193,1966,1510,2791,2553,1971,783,354,203,207
0500000US42065,42065,"Jefferson County, Pennsylvania",18245,1961,1660,1601,1622,1645,1596,1460,1212,828,1513,1417,1022,310,163,101,134
0500000US42067,42067,"Juniata County, Pennsylvania",8479,697,611,596,805,743,801,658,609,500,824,759,537,156,58,55,70
0500000US42069,42069,"Lackawanna County, Pennsylvania",84272,9668,7862,6913,6401,6127,5586,5347,4884,4154,7021,7720,6706,2694,1246,877,1066
0500000US42071,42071,"Lancaster County, Pennsylvania",161167,8370,7549,8595,9911,10565,10401,10998,11037,10012,18107,21227,18100,8000,3235,2605,2455
0500000US42073,42073,"Lawrence County, Pennsylvania",35667,3958,3278,2995,2843,2830,2417,2447,2071,1782,3513,3077,2409,1052,384,358,253
0500000US42075,42075,"Lebanon County, Pennsylvania",44616,2738,2687,3064,3304,3086,3462,3064,3035,2475,4745,5206,4228,2023,668,356,475
0500000US42077,42077,"Lehigh County, Pennsylvania",109661,7219,6587,7090,6878,7069,6751,6647,6415,5335,11086,12648,12254,6520,2784,2329,2049
0500000US42079,42079,"Luzerne County, Pennsylvania",127989,15020,11800,10414,9977,9668,8677,8293,7703,6192,11212,11551,9706,3740,1635,1154,1247
0500000US42081,42081,"Lycoming County, Pennsylvania",45063,4295,3822,3774,3865,3623,3357,3357,2898,2570,4058,3882,2975,1341,523,326,397
0500000US42083,42083,"McKean County, Pennsylvania",17797,1922,1636,1449,1498,1370,1520,1114,1125,1097,1690,1552,1097,391,123,91,122
0500000US42085,42085,"Mercer County, Pennsylvania",44141,3868,3233,3707,3845,3618,3528,3005,2854,2557,4301,4028,3153,1210,358,388,488
0500000US42087,42087,"Mifflin County, Pennsylvania",18306,2417,1546,1554,1505,1300,1641,1321,1330,1030,1615,1356,1005,363,142,81,100
0500000US42089,42089,"Monroe County, Pennsylvania",44922,3083,2590,2839,2859,2938,2768,2466,2666,2418,4722,5486,5329,2570,990,655,543
0500000US42091,42091,"Montgomery County, Pennsylvania",253554,9724,9194,9564,10634,11389,11975,12544,12213,11331,22637,32218,38325,22985,12325,12103,14393
0500000US42093,42093,"Montour County, Pennsylvania",6961,520,496,534,607,489,489,519,488,399,712,624,488,277,113,109,97
0500000US42095,42095,"Northampton County, Pennsylvania",94779,6190,5679,5254,5807,5972,5986,5809,5383,5103,9439,12128,11258,5631,2140,1659,1341
0500000US42097,42097,"Northumberland County, Pennsylvania",38383,4503,4077,3408,3257,3122,2845,2707,2379,2074,3240,3313,2100,733,202,171,252
0500000US42099,42099,"Perry County, Pennsylvania",16591,1075,1128,1004,1240,1115,1183,1072,1126,1138,1891,1957,1634,610,214,79,125
0500000US42101,42101,"Philadelphia County, Pennsylvania",294622,38931,23218,21024,20209,19341,18866,17379,16358,13512,24714,28103,27117,11815,5561,4253,4221
0500000US42103,42103,"Pike County, Pennsylvania",16451,980,1094,1065,998,1025,1085,1058,1104,925,1917,1942,1811,730,312,225,180
0500000US42105,42105,"Potter County, Pennsylvania",6884,714,641,578,644,580,503,531,434,332,691,569,395,120,46,59,47
0500000US42107,42107,"Schuylkill County, Pennsylvania",59881,6666,5878,5108,5091,4656,4304,4052,3600,3176,5752,5248,3720,1221,506,359,544
0500000US42109,42109,"Snyder County, Pennsylvania",13536,1174,1061,1017,1074,1030,1202,990,899,725,1314,1444,889,322,138,79,178
0500000US42111,42111,"Somerset County, Pennsylvania",31010,3471,3050,2914,2821,2701,2636,2143,2035,1737,2785,2297,1409,486,155,167,203
0500000US42113,42113,"Sullivan County, Pennsylvania",2636,282,272,242,275,230,176,177,158,112,223,178,179,79,18,18,17
0500000US42115,42115,"Susquehanna County, Pennsylvania",16334,1623,1437,1363,1440,1315,1285,1077,1115,870,1525,1460,1039,398,144,129,114
0500000US42117,42117,"Tioga County, Pennsylvania",15754,1683,1447,1481,1405,1308,1253,1028,1005,921,1373,1285,943,284,131,114,93
0500000US42119,42119,"Union County, Pennsylvania",12918,1142,851,865,906,915,898,779,925,750,1452,1257,1139,484,168,157,230
0500000US42121,42121,"Venango County, Pennsylvania",22516,2593,1990,2172,1846,1672,1780,1527,1456,1160,2017,1956,1342,538,205,106,156
0500000US42123,42123,"Warren County, Pennsylvania",17539,1372,1417,1443,1484,1426,1344,1287,1224,987,1730,1750,1210,452,134,138,141
0500000US42125,42125,"Washington County, Pennsylvania",77732,7145,6296,5682,5760,5674,4933,5076,4403,3989,7537,7587,6957,3036,1374,1062,1221
0500000US42127,42127,"Wayne County, Pennsylvania",18010,1810,1579,1514,1615,1311,1425,1178,1275,1042,1687,1501,1096,452,176,148,201
0500000US42129,42129,"Westmoreland County, Pennsylvania",145806,12694,11711,11405,11710,10770,10199,9086,8727,7375,13448,14861,12521,5650,2106,1738,1805
0500000US42131,42131,"Wyoming County, Pennsylvania",10732,1026,858,822,824,761,862,748,642,550,1016,1077,864,333,156,128,65
0500000US42133,42133,"York County, Pennsylvania",140168,7550,7120,7481,9200,8901,9621,9384,8939,8576,16564,18715,15453,6279,2594,1926,1865
