GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17
Id,Id2,Geography,Total:,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
0500000US34001,34001,"Atlantic County, New Jersey",289,23,21,24,0,11,25,31,34,20,22,25,20,18,6,0,9
0500000US34003,34003,"Bergen County, New Jersey",376,70,9,13,4,47,0,9,9,56,25,31,34,11,34,6,18
0500000US34005,34005,"Burlington County, New Jersey",338,28,36,5,29,25,22,14,15,24,20,46,24,22,11,5,12
0500000US34007,34007,"Camden County, New Jersey",358,57,0,19,15,34,34,14,24,39,23,0,83,2,0,14,0
0500000US34009,34009,"Cape May County, New Jersey",46,0,0,0,0,0,10,0,3,4,5,0,0,7,17,0,0
0500000US34011,34011,"Cumberland County, New Jersey",468,95,36,19,17,8,15,63,22,8,54,60,38,10,23,0,0
0500000US34013,34013,"Essex County, New Jersey",554,77,25,64,18,16,44,23,26,10,26,66,57,30,18,11,43
0500000US34015,34015,"Gloucester County, New Jersey",230,33,11,7,20,11,0,7,15,13,12,36,40,11,8,6,0
0500000US34017,34017,"Hudson County, New Jersey",523,72,29,38,26,51,11,37,26,21,38,26,107,13,13,5,10
0500000US34019,34019,"Hunterdon County, New Jersey",85,0,0,2,0,0,3,0,2,16,11,6,12,5,15,0,13
0500000US34021,34021,"Mercer County, New Jersey",242,45,0,0,0,16,11,17,23,4,9,24,68,16,9,0,0
0500000US34023,34023,"Middlesex County, New Jersey",376,36,8,9,15,41,34,37,17,9,50,64,4,19,6,6,21
0500000US34025,34025,"Monmouth County, New Jersey",283,13,7,23,0,36,11,34,6,20,27,35,32,16,10,4,9
0500000US34027,34027,"Morris County, New Jersey",144,9,0,0,0,5,13,0,3,7,24,13,28,9,12,6,15
0500000US34029,34029,"Ocean County, New Jersey",307,10,36,36,16,8,9,71,6,0,52,37,10,12,4,0,0
0500000US34031,34031,"Passaic County, New Jersey",388,52,16,27,11,32,10,24,11,29,38,66,42,24,6,0,0
0500000US34033,34033,"Salem County, New Jersey",108,28,25,15,3,3,0,0,0,4,11,3,16,0,0,0,0
0500000US34035,34035,"Somerset County, New Jersey",126,0,5,6,11,8,15,0,0,8,8,10,14,18,9,9,5
0500000US34037,34037,"Sussex County, New Jersey",73,3,0,8,2,20,0,0,0,14,12,0,10,0,2,2,0
0500000US34039,34039,"Union County, New Jersey",327,32,0,30,7,28,20,3,33,8,32,71,34,22,7,0,0
0500000US34041,34041,"Warren County, New Jersey",33,0,0,0,0,0,0,9,13,0,6,5,0,0,0,0,0
0500000US42001,42001,"Adams County, Pennsylvania",47,0,8,4,0,0,0,0,18,0,14,3,0,0,0,0,0
0500000US42003,42003,"Allegheny County, Pennsylvania",599,118,55,63,30,38,61,18,36,57,31,35,17,30,5,0,5
0500000US42005,42005,"Armstrong County, Pennsylvania",21,10,0,1,6,0,0,0,0,0,2,0,2,0,0,0,0
0500000US42007,42007,"Beaver County, Pennsylvania",65,0,26,2,4,3,0,4,11,6,8,0,0,1,0,0,0
0500000US42009,42009,"Bedford County, Pennsylvania",12,0,2,0,0,1,0,0,0,0,2,2,3,0,0,0,2
0500000US42011,42011,"Berks County, Pennsylvania",327,70,8,27,14,35,16,11,4,22,19,62,32,1,0,0,6
0500000US42013,42013,"Blair County, Pennsylvania",100,38,12,11,13,11,7,0,3,0,0,0,5,0,0,0,0
0500000US42015,42015,"Bradford County, Pennsylvania",50,6,2,4,13,1,0,9,1,2,2,5,4,0,1,0,0
0500000US42017,42017,"Bucks County, Pennsylvania",358,63,0,18,23,14,22,15,15,6,21,76,60,6,12,0,7
0500000US42019,42019,"Butler County, Pennsylvania",79,21,8,7,8,2,0,0,0,9,11,13,0,0,0,0,0
0500000US42021,42021,"Cambria County, Pennsylvania",42,11,0,2,2,4,0,11,3,0,0,7,0,0,2,0,0
0500000US42023,42023,"Cameron County, Pennsylvania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0500000US42025,42025,"Carbon County, Pennsylvania",33,4,0,0,0,0,7,0,19,0,0,0,0,3,0,0,0
0500000US42027,42027,"Centre County, Pennsylvania",77,2,7,15,0,0,0,7,0,0,10,12,16,8,0,0,0
0500000US42029,42029,"Chester County, Pennsylvania",181,21,10,0,13,17,12,27,25,0,12,15,24,5,0,0,0
0500000US42031,42031,"Clarion County, Pennsylvania",18,10,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0
0500000US42033,42033,"Clearfield County, Pennsylvania",43,4,2,2,0,2,0,10,0,0,16,3,0,0,0,0,4
0500000US42035,42035,"Clinton County, Pennsylvania",14,12,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0500000US42037,42037,"Columbia County, Pennsylvania",28,9,2,2,0,0,0,2,7,0,2,0,3,1,0,0,0
0500000US42039,42039,"Crawford County, Pennsylvania",34,8,3,0,0,2,4,7,0,0,4,4,2,0,0,0,0
0500000US42041,42041,"Cumberland County, Pennsylvania",117,8,22,0,10,0,44,0,0,8,0,15,10,0,0,0,0
0500000US42043,42043,"Dauphin County, Pennsylvania",186,40,5,7,17,19,12,0,0,5,16,19,9,15,20,0,2
0500000US42045,42045,"Delaware County, Pennsylvania",245,25,26,23,28,42,10,0,0,21,26,14,18,12,0,0,0
0500000US42047,42047,"Elk County, Pennsylvania",21,0,0,7,0,0,0,8,5,0,0,1,0,0,0,0,0
0500000US42049,42049,"Erie County, Pennsylvania",163,34,14,23,37,17,6,0,2,12,0,14,2,2,0,0,0
0500000US42051,42051,"Fayette County, Pennsylvania",54,8,7,7,3,0,24,2,0,0,0,3,0,0,0,0,0
