GEO.id,GEO.id2,GEO.display-label,VD01
Id,Id2,Geography,Median household income in 1999
0500000US34001,34001,"Atlantic County, New Jersey",52731
0500000US34003,34003,"Bergen County, New Jersey",69609
0500000US34005,34005,"Burlington County, New Jersey",61463
0500000US34007,34007,"Camden County, New Jersey",57643
0500000US34009,34009,"Cape May County, New Jersey",71548
0500000US34011,34011,"Cumberland County, New Jersey",49479
0500000US34013,34013,"Essex County, New Jersey",77066
0500000US34015,34015,"Gloucester County, New Jersey",72083
0500000US34017,34017,"Hudson County, New Jersey",54504
0500000US34019,34019,"Hunterdon County, New Jersey",95454
0500000US34021,34021,"Mercer County, New Jersey",83288
0500000US34023,34023,"Middlesex County, New Jersey",77613
0500000US34025,34025,"Monmouth County, New Jersey",92164
0500000US34027,34027,"Morris County, New Jersey",90386
0500000US34029,34029,"Ocean County, New Jersey",68094
0500000US34031,34031,"Passaic County, New Jersey",63194
0500000US34033,34033,"Salem County, New Jersey",61250
0500000US34035,34035,"Somerset County, New Jersey",101349
0500000US34037,34037,"Sussex County, New Jersey",75104
0500000US34039,34039,"Union County, New Jersey",75082
0500000US34041,34041,"Warren County, New Jersey",60208
0500000US42001,42001,"Adams County, Pennsylvania",42708
0500000US42003,42003,"Allegheny County, Pennsylvania",42254
0500000US42005,42005,"Armstrong County, Pennsylvania",22188
0500000US42007,42007,"Beaver County, Pennsylvania",48068
0500000US42009,42009,"Bedford County, Pennsylvania",17188
0500000US42011,42011,"Berks County, Pennsylvania",56172
0500000US42013,42013,"Blair County, Pennsylvania",59107
0500000US42015,42015,"Bradford County, Pennsylvania",39453
0500000US42017,42017,"Bucks County, Pennsylvania",61972
0500000US42019,42019,"Butler County, Pennsylvania",69205
0500000US42021,42021,"Cambria County, Pennsylvania",36346
0500000US42023,42023,"Cameron County, Pennsylvania",41250
0500000US42025,42025,"Carbon County, Pennsylvania",100000
0500000US42027,42027,"Centre County, Pennsylvania",19205
0500000US42029,42029,"Chester County, Pennsylvania",75576
0500000US42031,42031,"Clarion County, Pennsylvania",41250
0500000US42033,42033,"Clearfield County, Pennsylvania",83193
0500000US42035,42035,"Clinton County, Pennsylvania",27500
0500000US42037,42037,"Columbia County, Pennsylvania",30714
0500000US42039,42039,"Crawford County, Pennsylvania",40781
0500000US42041,42041,"Cumberland County, Pennsylvania",56417
0500000US42043,42043,"Dauphin County, Pennsylvania",43662
0500000US42045,42045,"Delaware County, Pennsylvania",50722
0500000US42047,42047,"Elk County, Pennsylvania",72604
0500000US42049,42049,"Erie County, Pennsylvania",37188
0500000US42051,42051,"Fayette County, Pennsylvania",66250
0500000US42053,42053,"Forest County, Pennsylvania",18750
0500000US42055,42055,"Franklin County, Pennsylvania",75000
0500000US42057,42057,"Fulton County, Pennsylvania",85298
0500000US42059,42059,"Greene County, Pennsylvania",19375
0500000US42061,42061,"Huntingdon County, Pennsylvania",48750
0500000US42063,42063,"Indiana County, Pennsylvania",18824
0500000US42065,42065,"Jefferson County, Pennsylvania",14167
0500000US42067,42067,"Juniata County, Pennsylvania",26750
0500000US42069,42069,"Lackawanna County, Pennsylvania",56188
0500000US42071,42071,"Lancaster County, Pennsylvania",49972
0500000US42073,42073,"Lawrence County, Pennsylvania",41786
0500000US42075,42075,"Lebanon County, Pennsylvania",46250
0500000US42077,42077,"Lehigh County, Pennsylvania",60701
0500000US42079,42079,"Luzerne County, Pennsylvania",61429
0500000US42081,42081,"Lycoming County, Pennsylvania",41157
0500000US42083,42083,"McKean County, Pennsylvania",40833
0500000US42085,42085,"Mercer County, Pennsylvania",61563
0500000US42087,42087,"Mifflin County, Pennsylvania",115285
0500000US42089,42089,"Monroe County, Pennsylvania",72609
0500000US42091,42091,"Montgomery County, Pennsylvania",60667
0500000US42093,42093,"Montour County, Pennsylvania",42273
0500000US42095,42095,"Northampton County, Pennsylvania",49861
0500000US42097,42097,"Northumberland County, Pennsylvania",41319
0500000US42099,42099,"Perry County, Pennsylvania",76131
0500000US42101,42101,"Philadelphia County, Pennsylvania",27794
0500000US42103,42103,"Pike County, Pennsylvania",60417
0500000US42105,42105,"Potter County, Pennsylvania",55625
0500000US42107,42107,"Schuylkill County, Pennsylvania",43125
0500000US42109,42109,"Snyder County, Pennsylvania",28750
0500000US42111,42111,"Somerset County, Pennsylvania",27344
0500000US42113,42113,"Sullivan County, Pennsylvania",0
0500000US42115,42115,"Susquehanna County, Pennsylvania",74375
0500000US42117,42117,"Tioga County, Pennsylvania",90807
0500000US42119,42119,"Union County, Pennsylvania",72875
0500000US42121,42121,"Venango County, Pennsylvania",58750
0500000US42123,42123,"Warren County, Pennsylvania",57917
0500000US42125,42125,"Washington County, Pennsylvania",51667
0500000US42127,42127,"Wayne County, Pennsylvania",35938
0500000US42129,42129,"Westmoreland County, Pennsylvania",127242
0500000US42131,42131,"Wyoming County, Pennsylvania",91396
0500000US42133,42133,"York County, Pennsylvania",52250
