geoid,stCode,coCode,geography,planningArea,PL_FIPS,MCD2,year,population
4209100156,42,91,Abington Township,Developed Community,156,156,1990,56322
4204500676,42,45,Aldan Borough,Developed Community,676,676,1990,4549
4209102264,42,91,Ambler Borough,Developed Community,2264,2264,1990,6609
4204503336,42,45,Aston Township,Developed Community,3336,3336,1990,15080
4202903384,42,29,Atglen Borough,Developed Community,3384,3384,1990,825
3400702200,34,7,Audubon Borough,Developed Community,2200,2200,1990,9205
3400702230,34,7,Audubon Park Borough,Developed Community,2230,2230,1990,1150
4202903656,42,29,Avondale Borough,Developed Community,3656,3656,1990,954
3400703250,34,7,Barrington Borough,Developed Community,3250,3250,1990,6774
3400503370,34,5,Bass River Township,Rural Area,3370,3370,1990,1580
4201704976,42,17,Bedminster Township,Rural Area,4976,4976,1990,4602
3400704750,34,7,Bellmawr Borough,Developed Community,4750,4750,1990,12603
4201705616,42,17,Bensalem Township,Developed Community,5616,5616,1990,56788
3400705440,34,7,Berlin Borough,Developed Community,5440,5440,1990,5672
3400705470,34,7,Berlin Township,Developed Community,5470,5470,1990,5466
4204506024,42,45,Bethel Township,Growing Suburb,6024,6024,1990,3330
3400505740,34,5,Beverly City,Developed Community,5740,5740,1990,2973
4202906544,42,29,Birmingham Township,Growing Suburb,6544,6544,1990,2636
3400506670,34,5,Bordentown City,Developed Community,6670,6670,1990,4341
3400506700,34,5,Bordentown Township,Growing Suburb,6700,6700,1990,7683
4209108568,42,91,Bridgeport Borough,Developed Community,8568,8568,1990,4292
4201708592,42,17,Bridgeton Township,Rural Area,8592,8592,1990,1378
4201708760,42,17,Bristol Borough,Developed Community,8760,8760,1990,10405
4201708768,42,17,Bristol Township,Developed Community,8768,8768,1990,57129
4204509080,42,45,Brookhaven Borough,Developed Community,9080,9080,1990,8567
3400708170,34,7,Brooklawn Borough,Developed Community,8170,8170,1990,1805
4209109696,42,91,Bryn Athyn Borough,Developed Community,9696,9696,1990,1081
4201709816,42,17,Buckingham Township,Growing Suburb,9816,9816,1990,9364
3400508920,34,5,Burlington City,Developed Community,8920,8920,1990,9835
3400508950,34,5,Burlington Township,Growing Suburb,8950,8950,1990,12454
4202910824,42,29,Caln Township,Growing Suburb,10824,10824,1990,11997
3400710000,34,7,Camden City,Core City,10000,10000,1990,87492
4204512442,42,45,Chadds Ford Township,Growing Suburb,12442,12442,1990,3118
4201712504,42,17,Chalfont Borough,Developed Community,12504,12504,1990,3069
4202912744,42,29,Charlestown Township,Growing Suburb,12744,12744,1990,2754
4209112968,42,91,Cheltenham Township,Developed Community,12968,12968,1990,34923
3400712280,34,7,Cherry Hill Township,Developed Community,12280,12280,1990,69348
3400712550,34,7,Chesilhurst Borough,Developed Community,12550,12550,1990,1526
4204513208,42,45,Chester City,Core City,13208,13208,1990,41856
4204513232,42,45,Chester Heights Borough,Growing Suburb,13232,13232,1990,2273
4204513212,42,45,Chester Township,Developed Community,13212,13212,1990,5399
3400512670,34,5,Chesterfield Township,Rural Area,12670,12670,1990,5152
3400512940,34,5,Cinnaminson Township,Developed Community,12940,12940,1990,14583
3401513360,34,15,Clayton Borough,Growing Suburb,13360,13360,1990,6155
3400713420,34,7,Clementon Borough,Developed Community,13420,13420,1990,5601
4204514264,42,45,Clifton Heights Borough,Developed Community,14264,14264,1990,7111
4202914712,42,29,Coatesville City,Developed Community,14712,14712,1990,11038
4209115192,42,91,Collegeville Borough,Developed Community,15192,15192,1990,4227
4204515232,42,45,Collingdale Borough,Developed Community,15232,15232,1990,9175
3400714260,34,7,Collingswood Borough,Developed Community,14260,14260,1990,15289
4204515432,42,45,Colwyn Borough,Developed Community,15432,15432,1990,2613
4204515488,42,45,Concord Township,Growing Suburb,15488,15488,1990,6933
4209115848,42,91,Conshohocken Borough,Developed Community,15848,15848,1990,8064
4204518152,42,45,Darby Borough,Developed Community,18152,18152,1990,11140
4204518160,42,45,Darby Township,Developed Community,18160,18160,1990,10955
3400517080,34,5,Delanco Township,Developed Community,17080,17080,1990,3316
3400517440,34,5,Delran Township,Developed Community,17440,17440,1990,13178
3401517710,34,15,Deptford Township,Developed Community,17710,17710,1990,24137
4209119672,42,91,Douglass Township,Rural Area,19672,19672,1990,7048
4202919752,42,29,Downingtown Borough,Developed Community,19752,19752,1990,7749
4201719784,42,17,Doylestown Borough,Developed Community,19784,19784,1990,8575
4201719792,42,17,Doylestown Township,Developed Community,19792,19792,1990,14510
4201720104,42,17,Dublin Borough,Developed Community,20104,20104,1990,1985
4201720480,42,17,Durham Township,Rural Area,20480,20480,1990,1209
4202920824,42,29,East Bradford Township,Growing Suburb,20824,20824,1990,6440
4202920864,42,29,East Brandywine Township,Growing Suburb,20864,20864,1990,5179
4202920920,42,29,East Caln Township,Growing Suburb,20920,20920,1990,2619
4202921008,42,29,East Coventry Township,Growing Suburb,21008,21008,1990,4450
4202921104,42,29,East Fallowfield Township,Rural Area,21104,21104,1990,4433
4202921192,42,29,East Goshen Township,Growing Suburb,21192,21192,1990,15138
4209121200,42,91,East Greenville Borough,Developed Community,21200,21200,1990,3117
3401519180,34,15,East Greenwich Township,Growing Suburb,19180,19180,1990,5258
4204521384,42,45,East Lansdowne Borough,Developed Community,21384,21384,1990,2691
4202921480,42,29,East Marlborough Township,Growing Suburb,21480,21480,1990,4781
4202921576,42,29,East Nantmeal Township,Rural Area,21576,21576,1990,1448
4209121600,42,91,East Norriton Township,Developed Community,21600,21600,1990,13324
4202921624,42,29,East Nottingham Township,Growing Suburb,21624,21624,1990,3841
4202921696,42,29,East Pikeland Township,Growing Suburb,21696,21696,1990,5825
4201721760,42,17,East Rockhill Township,Rural Area,21760,21760,1990,3753
4202922000,42,29,East Vincent Township,Growing Suburb,22000,22000,1990,4161
4202922056,42,29,East Whiteland Township,Growing Suburb,22056,22056,1990,8398
3402119780,34,21,East Windsor Township,Growing Suburb,19780,19780,1990,22353
3400518790,34,5,Eastampton Township,Growing Suburb,18790,18790,1990,4962
4202921928,42,29,Easttown Township,Growing Suburb,21928,21928,1990,9570
4204522296,42,45,Eddystone Borough,Developed Community,22296,22296,1990,2446
3400520050,34,5,Edgewater Park Township,Developed Community,20050,20050,1990,8388
4204522584,42,45,Edgmont Township,Growing Suburb,22584,22584,1990,2735
3401521060,34,15,Elk Township,Rural Area,21060,21060,1990,3806
4202923032,42,29,Elk Township,Rural Area,23032,23032,1990,1129
4202923440,42,29,Elverson Borough,Developed Community,23440,23440,1990,470
3400522110,34,5,Evesham Township,Growing Suburb,22110,22110,1990,35309
3402122185,34,21,Ewing Township,Developed Community,22185,22185,1990,34185
4201725112,42,17,Falls Township,Developed Community,25112,25112,1990,34997
3400523250,34,5,Fieldsboro Borough,Developed Community,23250,23250,1990,579
3400523850,34,5,Florence Township,Growing Suburb,23850,23850,1990,10266
4204526408,42,45,Folcroft Borough,Developed Community,26408,26408,1990,7506
4209127280,42,91,Franconia Township,Growing Suburb,27280,27280,1990,7224
3401524840,34,15,Franklin Township,Rural Area,24840,24840,1990,14482
4202927376,42,29,Franklin Township,Rural Area,27376,27376,1990,2779
3400726070,34,7,Gibbsboro Borough,Developed Community,26070,26070,1990,2383
3401526340,34,15,Glassboro Borough,Growing Suburb,26340,26340,1990,15614
4204529720,42,45,Glenolden Borough,Developed Community,29720,29720,1990,7260
3400726820,34,7,Gloucester City,Developed Community,26820,26820,1990,12649
3400726760,34,7,Gloucester Township,Developed Community,26760,26760,1990,53797
4209131088,42,91,Green Lane Borough,Developed Community,31088,31088,1990,442
3401528185,34,15,Greenwich Township,Growing Suburb,28185,28185,1990,5102
3400728800,34,7,Haddon Heights Borough,Developed Community,28800,28800,1990,7860
3400728740,34,7,Haddon Township,Developed Community,28740,28740,1990,14837
3400728770,34,7,Haddonfield Borough,Developed Community,28770,28770,1990,11628
3400529010,34,5,Hainesport Township,Growing Suburb,29010,29010,1990,3249
3402129310,34,21,Hamilton Township,Developed Community,29310,29310,1990,86553
3401530180,34,15,Harrison Township,Growing Suburb,30180,30180,1990,4715
4209133088,42,91,Hatboro Borough,Developed Community,33088,33088,1990,7382
4209133112,42,91,Hatfield Borough,Developed Community,33112,33112,1990,2650
4209133120,42,91,Hatfield Township,Growing Suburb,33120,33120,1990,15357
4204533144,42,45,Haverford Township,Developed Community,33144,33144,1990,49848
4201733224,42,17,Haycock Township,Rural Area,33224,33224,1990,2165
4202934448,42,29,Highland Township,Rural Area,34448,34448,1990,1199
3402131620,34,21,Hightstown Borough,Developed Community,31620,31620,1990,5126
4201734952,42,17,Hilltown Township,Growing Suburb,34952,34952,1990,10582
3400732220,34,7,Hi-Nella Borough,Developed Community,32220,32220,1990,1045
4202935528,42,29,Honey Brook Borough,Developed Community,35528,35528,1990,1184
4202935536,42,29,Honey Brook Township,Rural Area,35536,35536,1990,5449
3402133150,34,21,Hopewell Borough,Developed Community,33150,33150,1990,1968
3402133180,34,21,Hopewell Township,Rural Area,33180,33180,1990,11590
4209135808,42,91,Horsham Township,Growing Suburb,35808,35808,1990,21896
4201736192,42,17,Hulmeville Borough,Developed Community,36192,36192,1990,916
4201737304,42,17,Ivyland Borough,Developed Community,37304,37304,1990,490
4209138000,42,91,Jenkintown Borough,Developed Community,38000,38000,1990,4574
4202939352,42,29,Kennett Square Borough,Developed Community,39352,39352,1990,5218
4202939344,42,29,Kennett Township,Growing Suburb,39344,39344,1990,4624
4201741392,42,17,Langhorne Borough,Developed Community,41392,41392,1990,1361
4201741416,42,17,Langhorne Manor Borough,Developed Community,41416,41416,1990,807
4209141432,42,91,Lansdale Borough,Developed Community,41432,41432,1990,16362
4204541440,42,45,Lansdowne Borough,Developed Community,41440,41440,1990,11712
3400739210,34,7,Laurel Springs Borough,Developed Community,39210,39210,1990,2341
3400739420,34,7,Lawnside Borough,Developed Community,39420,39420,1990,2841
3402139510,34,21,Lawrence Township,Developed Community,39510,39510,1990,25787
4209143312,42,91,Limerick Township,Growing Suburb,43312,43312,1990,6691
3400740440,34,7,Lindenwold Borough,Developed Community,40440,40440,1990,18734
3401541160,34,15,Logan Township,Growing Suburb,41160,41160,1990,5147
4202944440,42,29,London Britain Township,Rural Area,44440,44440,1990,2671
4202944480,42,29,London Grove Township,Growing Suburb,44480,44480,1990,3922
4202944456,42,29,Londonderry Township,Rural Area,44456,44456,1990,1243
4204544888,42,45,Lower Chichester Township,Developed Community,44888,44888,1990,3660
